element_type,osmid,nodes,amenity,building,name,geometry,air_conditioning,cuisine,delivery,microbrewery,opening_hours,wheelchair
way,237316233,"[2452364585, 2452364586, 2452364587, 2452364588, 2452364585]",restaurant,yes,香园餐厅,"POLYGON ((118.7834023 32.0575739, 118.7839747 32.0575526, 118.7839642 32.0573482, 118.7833917 32.0573694, 118.7834023 32.0575739))",,,,,,
way,404071178,"[4063447235, 4063447236, 4063447237, 4063447238, 4063447239, 4063447240, 4063447241, 4063447242, 4063447235]",restaurant,school,沙塘园餐厅,"POLYGON ((118.7890355 32.0552011, 118.7889698 32.0548589, 118.7890583 32.054843, 118.7890476 32.0548066, 118.7892112 32.0547816, 118.7891978 32.0547111, 118.7895036 32.0546611, 118.7896007 32.0551115, 118.7890355 32.0552011))",yes,chinese,no,yes,Mo-Su 07:00-20:00,no
way,1056854748,"[9711161898, 9711161899, 9711161900, 9711161901, 9711573811, 9711573810, 9711573809, 9711573808, 9711161898]",restaurant,yes,莘园餐厅,"POLYGON ((118.7933944 32.0570326, 118.7932501 32.0565332, 118.7940155 32.0563744, 118.7941213 32.0567408, 118.7938079 32.0568134, 118.7937695 32.0566772, 118.7935381 32.0567252, 118.7936138 32.0569871, 118.7933944 32.0570326))",,chinese,,,,
