element_type,osmid,nodes,amenity,geometry,access,parking,surface
way,237311552,"[2452326346, 2452326347, 2452326348, 2452326349, 2452326346]",parking,"POLYGON ((118.790157 32.0568191, 118.7901467 32.0566701, 118.7903922 32.0566579, 118.7904025 32.0568069, 118.790157 32.0568191))",,,
way,237316236,"[2452364599, 2452364600, 2452364601, 2452364602, 2452364599]",parking,"POLYGON ((118.7838906 32.0582635, 118.7845363 32.0582391, 118.7845046 32.057685, 118.7838708 32.0577196, 118.7838906 32.0582635))",,,
way,404071181,"[4063447249, 4063447248, 4063447250, 9707574183, 4063447251, 4063447249]",parking,"POLYGON ((118.7886221 32.0551793, 118.7889591 32.0551226, 118.7889188 32.054918, 118.7887088 32.0549524, 118.7885836 32.054973, 118.7886221 32.0551793))",,,
way,981895472,"[9081309946, 9081309947, 9081309948, 9081309949, 9708740797, 9081309950, 9081309951, 9081309946]",parking,"POLYGON ((118.7870215 32.0592562, 118.787641 32.059222, 118.7876385 32.0590805, 118.7884275 32.0590441, 118.788451 32.0595008, 118.7884603 32.0596806, 118.787067 32.0597363, 118.7870215 32.0592562))",permit,surface,concrete
way,982277853,"[9084389951, 9084389952, 9084389953, 9084389954, 9084389951]",parking,"POLYGON ((118.7880629 32.0581338, 118.7883015 32.0581251, 118.7882875 32.0578991, 118.7880591 32.0579056, 118.7880629 32.0581338))",,,
way,1056580760,"[9081309950, 9708740797, 9708740798, 9708740799, 9081309950]",parking,"POLYGON ((118.7884603 32.0596806, 118.788451 32.0595008, 118.7893521 32.0594569, 118.7893728 32.0596373, 118.7884603 32.0596806))",,,
