element_type,osmid,geometry,nodes,building,name,architect,roof:colour,start_date,tourism,historic,layer,building:levels,amenity,healthcare,air_conditioning,cuisine,delivery,microbrewery,opening_hours,wheelchair,ways,type
way,236949941,"POLYGON ((118.7869977 32.0568083, 118.7869494 32.0562033, 118.7870949 32.0561976, 118.7870798 32.055884, 118.7869416 32.0558878, 118.7869327 32.0557417, 118.7872737 32.055728, 118.787305 32.0561805, 118.7876789 32.0561583, 118.7876946 32.0563433, 118.7871456 32.0563703, 118.7871681 32.0567929, 118.7869977 32.0568083))","[2449095367, 2449095368, 2449095369, 2449095370, 9711688993, 9711688994, 2449095371, 2449095372, 2449095373, 2449095374, 2449095375, 2449095376, 2449095367]",yes,动力楼,,,,,,,,,,,,,,,,,
way,237174414,"POLYGON ((118.7893686 32.0570536, 118.789523 32.0570437, 118.7895277 32.0570763, 118.789706 32.0570652, 118.7897053 32.0570319, 118.7898582 32.057022, 118.7898464 32.0568899, 118.7893567 32.0569215, 118.7893686 32.0570536))","[2451219189, 2451219190, 2451219191, 2451219193, 2451219195, 2451219197, 2451219199, 2451219201, 2451219189]",yes,中大院,,,,,,,3,,,,,,,,,,
way,237174543,"POLYGON ((118.7868556 32.0574922, 118.7878105 32.057422, 118.7878268 32.0575811, 118.7868719 32.0576514, 118.7868556 32.0574922))","[2451220784, 2451220785, 2451220786, 2451220787, 2451220784]",yes,南高院,,,,,,,,,,,,,,,,,
way,237174909,"POLYGON ((118.7932269 32.0564527, 118.7931944 32.056333, 118.7939342 32.0561888, 118.7939667 32.0563085, 118.7932269 32.0564527))","[2451227366, 2451227367, 2451227368, 2451227369, 2451227366]",yes,老六舍,,,,,,,,,,,,,,,,,
way,237175533,"POLYGON ((118.7876182 32.0560183, 118.7876022 32.0558296, 118.787688 32.055825, 118.7876773 32.0557705, 118.7873956 32.0557955, 118.7873903 32.0556773, 118.7877604 32.0556454, 118.7877819 32.0558796, 118.7876933 32.0558887, 118.7877014 32.0560137, 118.7876182 32.0560183))","[2451232862, 2451232863, 2451232864, 2451232865, 2451232866, 2451232867, 2451232868, 2451232869, 2451232871, 2451232870, 2451232862]",yes,中大校友会堂,,,,,,,,,,,,,,,,,
way,237202797,"POLYGON ((118.789231 32.0571267, 118.7892134 32.0569307, 118.7893567 32.0569215, 118.7893737 32.057118, 118.7892915 32.0571231, 118.789231 32.0571267))","[2451473863, 2451473864, 2451219201, 2451473865, 4063413366, 2451473863]",yes,中大院,,,,,,,3,,,,,,,,,,
way,237202798,"POLYGON ((118.7898464 32.0568899, 118.7899941 32.0568804, 118.7900111 32.0570705, 118.789942 32.057076, 118.7898644 32.0570808, 118.7898464 32.0568899))","[2451219199, 2451473866, 2451473867, 4063413377, 4063413361, 2451219199]",yes,中大院,,,,,,,3,,,,,,,,,,
way,237202800,"POLYGON ((118.7885105 32.0585871, 118.7896329 32.0585412, 118.7896235 32.0583776, 118.789205 32.0583947, 118.7891951 32.0582199, 118.7891396 32.0582222, 118.7889878 32.0582284, 118.7889491 32.05823, 118.7889593 32.0584086, 118.7885014 32.0584273, 118.7885105 32.0585871))","[2451473869, 2451473870, 2451473871, 2451473872, 2451473873, 2449048126, 2449048127, 2451473874, 2451473875, 2451473876, 2451473869]",yes,中心楼,,,,,,,,,,,,,,,,,
way,237311553,"POLYGON ((118.7897661 32.0554592, 118.7902456 32.0554248, 118.7902309 32.0552644, 118.789748 32.0553082, 118.7897661 32.0554592))","[2452326354, 2452326355, 2452326356, 2452326357, 2452326354]",university,水声信号处理教育部重点实验室消声水池实验中心,,,,,,,,,,,,,,,,,
way,237316223,"POLYGON ((118.7895753 32.0590494, 118.7895572 32.0587413, 118.7896295 32.0587382, 118.7896266 32.0586898, 118.7898963 32.0586784, 118.7899039 32.0588077, 118.7896211 32.0588196, 118.7896268 32.0589163, 118.7899112 32.0589042, 118.7899189 32.0590348, 118.7895753 32.0590494))","[2452364500, 2452364501, 2452364502, 2452364503, 2452364504, 2452364505, 2452364506, 2452364507, 2452364508, 2452364509, 2452364500]",yes,电子所,,,,,,,,,,,,,,,,,
way,237316224,"POLYGON ((118.7894711 32.0597059, 118.7896266 32.0597036, 118.7896213 32.0596831, 118.7900478 32.059674, 118.7903911 32.0593331, 118.7903723 32.0590125, 118.7901765 32.0590194, 118.7901899 32.0592785, 118.7899512 32.059499, 118.7896106 32.0595195, 118.7896106 32.059499, 118.7894577 32.0595081, 118.7894711 32.0597059))","[2452364510, 2452364511, 2452364512, 2452364513, 2452364514, 2452364515, 2452364516, 2452364517, 2452364518, 2452364519, 2452364520, 2452364521, 2452364510]",yes,五五楼,,,,,,,,,,,,,,,,,
way,237316225,"POLYGON ((118.7901412 32.0589566, 118.790134 32.0587816, 118.790653 32.0587661, 118.7906602 32.0589412, 118.7901412 32.0589566))","[2452364522, 2452364523, 2452364524, 2452364525, 2452364522]",yes,道桥实验室,,,,,,,,,,,,,,,,,
way,237316226,"POLYGON ((118.790544 32.0591421, 118.7905386 32.0590103, 118.79067 32.0589989, 118.790653 32.0587661, 118.7908041 32.0587602, 118.7908497 32.0588125, 118.7908095 32.0588193, 118.7907854 32.058792, 118.7907317 32.0587943, 118.7907424 32.0590285, 118.7906968 32.0591307, 118.790544 32.0591421))","[2452364526, 2452364527, 2452364528, 2452364524, 2452364529, 2452364530, 2452364531, 2452364532, 2452364533, 2452364534, 2452364535, 2452364526]",yes,,,,,,,,,,,,,,,,,,
way,237316227,"POLYGON ((118.7879985 32.0589603, 118.7879953 32.058889, 118.7879587 32.0588903, 118.7879464 32.0586231, 118.7879754 32.0586222, 118.7879725 32.0585579, 118.7881157 32.0585532, 118.7881142 32.05852, 118.7882968 32.058514, 118.7882977 32.0585327, 118.7883602 32.0585306, 118.7883659 32.058655, 118.7881284 32.0586628, 118.7881359 32.0588272, 118.7884821 32.0588158, 118.7884754 32.058701, 118.7886508 32.0586936, 118.7886714 32.0589536, 118.7881568 32.0589645, 118.7881556 32.0589373, 118.7880756 32.0589399, 118.7880765 32.0589577, 118.7879985 32.0589603))","[2452364536, 2452364537, 2452364538, 2452364539, 2452364540, 2452364541, 2452364542, 2452364543, 2452364544, 2452364545, 2452364546, 2452364547, 2452364548, 2452364549, 2452364550, 9708723671, 9708723672, 2452364551, 2452364552, 2452364553, 2452364554, 2452364555, 2452364536]",yes,建筑设计研究院,,,,,,,,,,,,,,,,,
