u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
4553246014,4553246034,0,459480090,service,False,False,46.682,"LINESTRING (121.4099463 31.2078199, 121.4104329 31.207875)",
4553246018,4171203489,0,459480085,service,False,False,6.735,"LINESTRING (121.4093716 31.2077432, 121.4093014 31.2077352)",
4553246018,4553246014,0,459480085,service,False,True,55.318,"LINESTRING (121.4093716 31.2077432, 121.4099463 31.2078199)",
4553246018,8959211596,0,459480086,service,False,False,40.465,"LINESTRING (121.4093716 31.2077432, 121.4093207 31.2081045)",
4553246019,4553246020,0,459480086,service,False,False,32.71,"LINESTRING (121.4092576 31.2084968, 121.4092013 31.208787)",
4553246019,8959211596,0,459480086,service,False,True,44.033,"LINESTRING (121.4092576 31.2084968, 121.4093207 31.2081045)",
4553246019,4553246026,0,459480087,service,False,False,55.375,"LINESTRING (121.4092576 31.2084968, 121.409834 31.2085673)",
4553246019,4553246024,0,459480087,service,False,True,48.58,"LINESTRING (121.4092576 31.2084968, 121.4088446 31.2084509, 121.4087628 31.2084107)",
4553246020,4553246019,0,459480086,service,False,True,32.71,"LINESTRING (121.4092013 31.208787, 121.4092576 31.2084968)",
4553246020,4198271802,0,459480088,service,False,False,56.452,"LINESTRING (121.4092013 31.208787, 121.4097887 31.2088601)",
4553246022,4198271796,0,419827351,service,False,False,24.029,"LINESTRING (121.4098928 31.2081734, 121.4098603 31.2083877)",
4553246022,4553246014,0,419827351,service,False,True,39.635,"LINESTRING (121.4098928 31.2081734, 121.4099463 31.2078199)",
4553246022,8959211596,0,459480087,service,False,False,54.946,"LINESTRING (121.4098928 31.2081734, 121.4093207 31.2081045)",
4553246023,4553246024,0,459480087,service,False,False,41.728,"LINESTRING (121.4088325 31.2080402, 121.4087628 31.2084107)",
4553246023,8959211596,0,459480087,service,False,True,46.977,"LINESTRING (121.4088325 31.2080402, 121.4093207 31.2081045)",
4553246023,4553246035,0,459480091,service,False,False,38.775,"LINESTRING (121.4088325 31.2080402, 121.4088902 31.207695)",
4553246024,4553246023,0,459480087,service,False,True,41.728,"LINESTRING (121.4087628 31.2084107, 121.4088325 31.2080402)",
4553246024,8959211561,0,968395972,service,False,False,28.745,"LINESTRING (121.4087628 31.2084107, 121.4084651 31.208366)",
4553246024,4553246019,0,459480087,service,False,False,48.58,"LINESTRING (121.4087628 31.2084107, 121.4088446 31.2084509, 121.4092576 31.2084968)",
4553246026,4198271802,0,419827351,service,False,False,32.842,"LINESTRING (121.409834 31.2085673, 121.4097887 31.2088601)",
4553246026,4198271796,0,419827351,service,False,True,20.127,"LINESTRING (121.409834 31.2085673, 121.4098603 31.2083877)",
4553246026,4553246019,0,459480087,service,False,True,55.375,"LINESTRING (121.409834 31.2085673, 121.4092576 31.2084968)",
4553246032,4198271796,0,419827352,service,False,False,44.483,"LINESTRING (121.4103221 31.2084512, 121.4098603 31.2083877)",
4553246032,4198271807,0,419827352,service,False,True,31.325,"LINESTRING (121.4103221 31.2084512, 121.4106458 31.2085033)",
4553246032,4553246034,0,459480089,service,False,False,64.931,"LINESTRING (121.4103221 31.2084512, 121.4104329 31.207875)",
4553246034,4553246032,0,459480089,service,False,True,64.931,"LINESTRING (121.4104329 31.207875, 121.4103221 31.2084512)",
4553246034,4553246014,0,459480090,service,False,True,46.682,"LINESTRING (121.4104329 31.207875, 121.4099463 31.2078199)",
4553246034,4198271794,0,459480089,service,False,False,28.905,"LINESTRING (121.4104329 31.207875, 121.4104472 31.2077853, 121.41047 31.207617)",
4553246035,4171203489,0,459480085,service,False,True,39.362,"LINESTRING (121.4088902 31.207695, 121.4093014 31.2077352)",
4553246035,4553246023,0,459480091,service,False,True,38.775,"LINESTRING (121.4088902 31.207695, 121.4088325 31.2080402)",
4553246035,4198271798,0,459480085,service,False,False,185.549,"LINESTRING (121.4088902 31.207695, 121.4084522 31.2076521, 121.4084173 31.2076475, 121.4084817 31.2071428, 121.4093546 31.2072462)",
4553246036,4198271798,0,459480093,service,False,True,89.431,"LINESTRING (121.4094709 31.2064481, 121.4093546 31.2072462)",yes
4553246036,4553246043,0,459480094,service,False,False,73.965,"LINESTRING (121.4094709 31.2064481, 121.4095114 31.2059556, 121.4095326 31.2057851)",
