element_type,osmid,nodes,amenity,geometry,access,fee,operator
way,692663784,"[6502917062, 6502917063, 6502917064, 6502917065, 6502917062]",parking,"POLYGON ((114.3967565 30.5208503, 114.3967657 30.5202823, 114.3975575 30.520285, 114.3975504 30.5208576, 114.3967565 30.5208503))",,,
way,912270598,"[8474619810, 8474619811, 8474619812, 8474619813, 8474619810]",parking,"POLYGON ((114.3941396 30.5316199, 114.3947471 30.5316695, 114.3947794 30.5313765, 114.3941719 30.5313268, 114.3941396 30.5316199))",yes,no,中国地质大学
