u,v,key,osmid,highway,oneway,reversed,length,tunnel,name,geometry,lanes,bridge,maxspeed
2864431791,2864431791,1,"[282494434, 282494435]",residential,False,True,211.30199999999996,,,"LINESTRING (114.3961445 30.5256305, 114.3954941 30.5256386, 114.3954592 30.5256409, 114.3954431 30.5256686, 114.3954485 30.5258084, 114.3954619 30.5258488, 114.3954767 30.5258916, 114.3955035 30.5259205, 114.3955504 30.5259493, 114.3959233 30.5260637, 114.3961463 30.5260631, 114.3961445 30.5256305)",,,
2864431791,2864434503,0,282494434,residential,False,True,37.763999999999996,,,"LINESTRING (114.3961445 30.5256305, 114.3961461 30.5255053, 114.3961488 30.5252909)",,,
2864434503,2864434505,0,282494434,residential,False,True,31.581,,,"LINESTRING (114.3961488 30.5252909, 114.3961524 30.5250069)",,,
2864434503,2864434504,0,282494437,residential,False,False,68.553,,,"LINESTRING (114.3961488 30.5252909, 114.3954331 30.5252881)",,,
2864434503,2864431791,0,282494434,residential,False,False,37.763999999999996,,,"LINESTRING (114.3961488 30.5252909, 114.3961461 30.5255053, 114.3961445 30.5256305)",,,
2864434504,2864434503,0,282494437,residential,False,True,68.553,,,"LINESTRING (114.3954331 30.5252881, 114.3961488 30.5252909)",,,
2864434505,2864434503,0,282494434,residential,False,False,31.581,,,"LINESTRING (114.3961524 30.5250069, 114.3961488 30.5252909)",,,
2864434505,2864434506,0,282494438,residential,False,False,68.898,,,"LINESTRING (114.3961524 30.5250069, 114.3954331 30.5250068)",,,
2864434505,2864434522,0,282494434,residential,False,True,34.812,,,"LINESTRING (114.3961524 30.5250069, 114.3961548 30.5248215, 114.3960489 30.5247322)",,,
2864434506,2864434505,0,282494438,residential,False,True,68.898,,,"LINESTRING (114.3954331 30.5250068, 114.3961524 30.5250069)",,,
2864434507,2864434520,0,282494439,residential,False,False,86.365,,,"LINESTRING (114.3947363 30.5255418, 114.3947398 30.5253924, 114.3947151 30.5252644, 114.3947274 30.524767)",,,
2864434510,2864434529,0,282494439,residential,False,True,41.352,,,"LINESTRING (114.3947393 30.5242851, 114.3947301 30.5246569)",,,
2864434510,2864434527,0,282494440,residential,False,False,64.053,,,"LINESTRING (114.3947393 30.5242851, 114.3953906 30.5244157)",,,
2864434510,4807242063,0,282494439,residential,False,False,191.246,,,"LINESTRING (114.3947393 30.5242851, 114.3935408 30.5242931, 114.3935672 30.5249802)",,,
2864434512,4807242063,0,282494439,residential,False,True,75.031,,,"LINESTRING (114.3935931 30.5256546, 114.3935672 30.5249802)",,,
2864434519,2864434526,0,282494441,residential,False,True,37.771,,,"LINESTRING (114.3957887 30.524755, 114.3953944 30.5247595)",,,
2864434519,2864434527,0,282494440,residential,False,True,56.391,,,"LINESTRING (114.3957887 30.524755, 114.3957744 30.5247077, 114.395746 30.5246429, 114.395687 30.5245729, 114.3956179 30.5245203, 114.3954939 30.5244538, 114.3954147 30.5244205, 114.3953906 30.5244157)",,,
