element_type,osmid,access,amenity,layer,parking,geometry,nodes
node,5100950215,private,parking,-1,underground,POINT (116.3103475 39.9716608),
way,971871003,,parking,,,"POLYGON ((116.3110345 39.9697411, 116.3110958 39.9691675, 116.3112506 39.9691772, 116.3112353 39.9693208, 116.3112186 39.9694773, 116.3111893 39.9697508, 116.3110345 39.9697411))","[5100835697, 8995076347, 8995076346, 5100835712, 5100835709, 8995076345, 5100835697]"
way,971871004,,parking,,,"POLYGON ((116.3037578 39.9702852, 116.3041334 39.9703027, 116.3041502 39.970076, 116.3037774 39.9700492, 116.3037578 39.9702852))","[5018595031, 5018595032, 5169269828, 8995076348, 5018595031]"
way,971871005,,parking,,,"POLYGON ((116.3090265 39.9696217, 116.3090721 39.9693174, 116.3095039 39.9693483, 116.3094717 39.9695703, 116.3093564 39.9696032, 116.3092008 39.9695991, 116.3091955 39.9696361, 116.3090265 39.9696217))","[8995076354, 8995076353, 8995076352, 8995076351, 5100834414, 8995076350, 8995076349, 8995076354]"
way,971871006,,parking,,,"POLYGON ((116.3093457 39.9689186, 116.3093832 39.9685651, 116.3097587 39.9685918, 116.3097668 39.9688261, 116.3095817 39.9689371, 116.3093457 39.9689186))","[8995076358, 5100835713, 8995076357, 8995076356, 8995076355, 8995076358]"
way,971871007,,parking,,,"POLYGON ((116.3035355 39.9688654, 116.3035627 39.9686705, 116.3044169 39.9687406, 116.3043897 39.9689355, 116.3035355 39.9688654))","[5100835644, 8995076361, 8995076360, 8995076359, 5100835644]"
way,971871008,,parking,,,"POLYGON ((116.3097674 39.9673156, 116.3097937 39.967167, 116.3102657 39.9672162, 116.3102394 39.9673648, 116.3097674 39.9673156))","[5100835832, 8995076364, 8995076363, 8995076362, 5100835832]"
way,971871009,,parking,,,"POLYGON ((116.3031377 39.9707687, 116.3035698 39.9707962, 116.3035762 39.9707373, 116.3031441 39.9707098, 116.3031377 39.9707687))","[5100834408, 8995076367, 8995076366, 8995076365, 5100834408]"
