element_type,osmid,amenity,geometry,access,operator,parking,nodes,building,building:levels,name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,height,name:tr,operator:type,ref,roof:levels,source,fee,surface,wheelchair,capacity,capacity:disabled
way,29618959,parking,"POLYGON ((-71.0930306 42.3616928, -71.0932893 42.3619761, -71.0925284 42.362358, -71.092519 42.3623609, -71.0925134 42.3623611, -71.092508 42.3623605, -71.0925029 42.3623589, -71.0924984 42.3623566, -71.0924948 42.3623535, -71.0924921 42.3623499, -71.0924907 42.3623459, -71.0924904 42.3623419, -71.0924914 42.3623378, -71.0924936 42.362334, -71.0924969 42.3623308, -71.092501 42.3623281, -71.0925573 42.3622999, -71.0925405 42.3622815, -71.0925545 42.3622745, -71.0925467 42.3622659, -71.0925327 42.362273, -71.0925253 42.3622764, -71.0925192 42.3622789, -71.092513 42.3622813, -71.0925065 42.3622832, -71.0925001 42.362285, -71.0924934 42.3622866, -71.0924867 42.3622878, -71.0924799 42.3622888, -71.092473 42.3622896, -71.0924661 42.36229, -71.0924591 42.3622902, -71.0924522 42.3622901, -71.0924453 42.3622898, -71.0924384 42.3622892, -71.0924316 42.3622883, -71.0924248 42.3622872, -71.0924181 42.3622858, -71.0924115 42.3622841, -71.092405 42.3622821, -71.0923987 42.36228, -71.0923927 42.3622776, -71.0923866 42.362275, -71.0923809 42.3622722, -71.0923754 42.3622691, -71.0923701 42.3622657, -71.0923649 42.3622622, -71.09236 42.3622586, -71.0923556 42.3622547, -71.0923512 42.3622506, -71.0923472 42.3622464, -71.0923435 42.362242, -71.0923401 42.3622375, -71.0923371 42.3622329, -71.0923344 42.3622282, -71.092332 42.3622234, -71.0923299 42.3622185, -71.0923282 42.3622134, -71.0923269 42.3622084, -71.0923259 42.3622034, -71.0923252 42.3621982, -71.092325 42.3621931, -71.092325 42.3621879, -71.0923256 42.3621827, -71.0923263 42.3621777, -71.0923276 42.3621726, -71.0923291 42.3621675, -71.092331 42.3621626, -71.0923332 42.3621577, -71.0923358 42.362153, -71.0923388 42.3621483, -71.092342 42.3621437, -71.0923455 42.3621393, -71.0923494 42.362135, -71.0923536 42.3621309, -71.092358 42.3621269, -71.0923627 42.3621232, -71.0923677 42.3621196, -71.092373 42.3621162, -71.0923783 42.3621131, -71.0923841 42.36211, -71.0923966 42.3621038, -71.0923878 42.3620941, -71.0923753 42.3621004, -71.0923502 42.362073, -71.0922964 42.3621, -71.0922872 42.3621026, -71.092282 42.3621027, -71.0922769 42.3621018, -71.0922722 42.3621001, -71.0922682 42.3620975, -71.0922652 42.3620943, -71.0922633 42.3620907, -71.0922626 42.3620868, -71.0922632 42.3620829, -71.0922652 42.3620793, -71.0922681 42.362076, -71.0922721 42.3620735, -71.0930306 42.3616928))",private,Massachusetts Institute of Technology,multi-storey,"[367779314, 325753002, 325733892, 325795405, 325766452, 326052080, 326040024, 326164517, 326061216, 326018967, 326009124, 326031906, 326024422, 325815273, 325990594, 326018285, 326008109, 325731187, 325801827, 325773283, 325836550, 326042610, 326166914, 326063972, 325750776, 326008220, 326036169, 326027442, 326050106, 325989487, 325981749, 326011320, 326034726, 325800169, 325771716, 325836785, 325814131, 326167045, 326063760, 325757651, 325728755, 326035463, 326026843, 326055037, 326042002, 325981419, 326013057, 326001721, 326025423, 325770653, 325847826, 325822306, 325992885, 326061885, 325755648, 325737193, 325805710, 326025847, 326053020, 326045005, 326169574, 325722780, 325745583, 325764286, 325797341, 326040573, 326049151, 326061219, 326165723, 326004767, 326017142, 326025263, 326034406, 325833001, 325978885, 325988669, 325996818, 325745037, 325763940, 325797042, 325817561, 326048283, 326060052, 325741837, 325761351, 326010172, 326021031, 326028869, 326039183, 325844349, 325984057, 325992349, 326003864, 325802755, 325826332, 325857617, 325986685, 326167990, 367779314]",parking,5,N4 Albany Garage,Cambridge,32,02139,MA,Albany Street,3,Middlesex,1970937,57871b70-0100-4405-bb30-88b2e001a944,no,17.7,Albany Garajı,university,N4,0,USGS Geonames,,,,,
way,187565434,parking,"POLYGON ((-71.0866358 42.3602611, -71.0865844 42.3601746, -71.086545 42.3601801, -71.0851416 42.3604409, -71.0853094 42.3607148, -71.0866358 42.3602611))",private,,surface,"[1982207088, 5562638426, 266341072, 266341089, 1982207085, 1982207088]",,,,,,,,,,,,,,,,,,,,,asphalt,,,
way,187565435,parking,"POLYGON ((-71.0852473 42.3607359, -71.0852424 42.3607275, -71.0852036 42.3606686, -71.0850435 42.3604251, -71.0849675 42.3603118, -71.0844494 42.3604791, -71.0846326 42.360808, -71.0846572 42.3608001, -71.0846785 42.360775, -71.0846987 42.3607685, -71.0847825 42.3607415, -71.0848543 42.360865, -71.0852473 42.3607359))",private,,surface,"[1982207078, 9373832957, 9373832958, 1982207058, 10865708107, 11362753318, 531212773, 531212771, 7631024559, 7631024563, 1982207069, 1982207070, 1982207078]",,,E51 Lot,,,,,,,,,,,,,,,,,,asphalt,yes,,
way,226183329,parking,"POLYGON ((-71.0950796 42.3604423, -71.0949666 42.3605031, -71.0949588 42.3605175, -71.0947293 42.3606395, -71.0945629 42.3604256, -71.0946991 42.3603594, -71.0948465 42.3603016, -71.0950796 42.3604423))",yes,Massachusetts Institute of Technology,surface,"[2350350834, 9634729529, 9634729528, 2350350838, 2350350836, 10047391721, 2350350828, 2350350834]",,,MIT Visitor Lot,Cambridge,139,02139,MA,Massachusetts Avenue,,,,,,,,university,,,,yes,,,,
way,249443672,parking,"POLYGON ((-71.1024589 42.3563147, -71.1024809 42.356304, -71.1031765 42.355966, -71.1031968 42.3559561, -71.1031024 42.3557992, -71.1029496 42.3555454, -71.1029397 42.355529, -71.1028137 42.3553196, -71.102767 42.355242, -71.1025696 42.3549141, -71.1025216 42.35493, -71.1025034 42.354936, -71.1024556 42.3549518, -71.1018414 42.3551546, -71.1017709 42.3551779, -71.1024589 42.3563147))",permit,Massachusetts Institute of Technology,surface,"[300423283, 9632405996, 9632405995, 2560434790, 9632405994, 9632405991, 9632405990, 9632405987, 9632488636, 61324602, 9632488651, 9672880786, 9632406000, 9632405997, 300423282, 300423283]",,,Westgate Lot,,,,,,,,,,,,,university,,,,,,,,
way,411917712,parking,"POLYGON ((-71.0929405 42.3590568, -71.0927308 42.3591278, -71.0923698 42.3585454, -71.0925795 42.3584744, -71.0929405 42.3590568))",private,Massachusetts Institute of Technology,surface,"[4134959801, 4134959802, 4134959803, 4134959804, 4134959801]",,,MIT Main Lot,,,,,,,,,,,,,university,,,,,asphalt,,22,14
way,728110809,parking,"POLYGON ((-71.0954642 42.3607177, -71.0952966 42.3606255, -71.0947518 42.3608869, -71.0947938 42.3609348, -71.0945927 42.3610313, -71.0946556 42.3611028, -71.0946334 42.3611137, -71.0944685 42.3611923, -71.0946165 42.3613611, -71.0947206 42.3613111, -71.094707 42.3612954, -71.0950422 42.3611461, -71.0949935 42.3610949, -71.0950251 42.3610797, -71.094907 42.3609455, -71.0952125 42.3607986, -71.0952562 42.3608482, -71.095483 42.3607391, -71.0954642 42.3607177))",private,MIT,surface,"[6823086450, 6823086451, 6823086452, 6823086453, 6823086454, 6823086455, 7703006477, 6823086456, 6823086457, 6823086458, 6823086459, 6823086460, 6823086461, 6823086462, 6823086463, 6823086464, 6823086465, 6823086466, 6823086450]",,,N10 Lot,,,,,,,,,,,,,private,,,,,asphalt,,47,2
way,728110810,parking,"POLYGON ((-71.096014 42.3602494, -71.09566 42.3604338, -71.0960811 42.3606864, -71.0961522 42.3606201, -71.0962166 42.3606062, -71.0962809 42.3606319, -71.096399 42.360572, -71.0962461 42.360409, -71.096014 42.3602494))",permit,Massachusetts Institute of Technology,surface,"[6823086467, 6823086468, 6823086469, 6823086470, 6823086471, 6823086472, 4288028289, 6823086473, 6823086467]",,,158 Mass Ave Lot,,,,,,,,,,,,,university,,,,,,,,
way,824942619,parking,"POLYGON ((-71.0945629 42.3604256, -71.0947293 42.3606395, -71.0944083 42.3607993, -71.0942205 42.360589, -71.0945629 42.3604256))",private,Massachusetts Institute of Technology,surface,"[2350350836, 2350350838, 7703006481, 7703039140, 2350350836]",,,,,,,,,,,,,,,,university,,,,,,,,
way,824958051,parking,"POLYGON ((-71.1089085 42.355418, -71.108566 42.3552072, -71.1086469 42.3549468, -71.1088798 42.3549871, -71.1092773 42.3550575, -71.1089085 42.355418))",private,Massachusetts Institute of Technology,surface,"[7703157924, 7703157885, 7703157934, 7703157918, 7703157917, 7703157924]",,,WW15 Lot,,,,,,,,,,,,,university,,,,,,,,
