u,v,key,osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,service
3034560107,3034560105,0,710426492,,service,,False,True,99.99600000000001,,"LINESTRING (121.418932 31.1464762, 121.4187414 31.1469666, 121.418317 31.1468468)",,
3034560108,5081255539,0,299485213,,unclassified,,False,False,50.621,勤奋路,"LINESTRING (121.4209422 31.144746, 121.4204376 31.144602)",,
3034560108,5175769085,0,299485213,,unclassified,,False,True,56.632,勤奋路,"LINESTRING (121.4209422 31.144746, 121.4207566 31.1452299)",,
3034560108,3034560110,0,"[299485194, 299485195, 299485196]",,service,,False,False,115.14500000000001,,"LINESTRING (121.4209422 31.144746, 121.421065 31.1447277, 121.4212686 31.1445612, 121.4213568 31.1444547, 121.4214269 31.1443715, 121.4219381 31.1444954)",yes,
3034560110,3034716206,0,299470383,,service,,False,False,51.807,,"LINESTRING (121.4219381 31.1444954, 121.4221049 31.1449389)",,
3034560110,3034716176,0,299485198,,service,,False,False,50.989,,"LINESTRING (121.4219381 31.1444954, 121.4220986 31.1440579)",,
3034560110,3034560108,0,"[299485194, 299485195, 299485196]",,service,,False,True,115.14500000000001,,"LINESTRING (121.4219381 31.1444954, 121.4214269 31.1443715, 121.4213568 31.1444547, 121.4212686 31.1445612, 121.421065 31.1447277, 121.4209422 31.144746)",yes,
3034560110,3034716180,0,299485199,,service,,False,False,55.917,,"LINESTRING (121.4219381 31.1444954, 121.4222321 31.1445709, 121.4223339 31.1445728, 121.422508 31.144538)",,
3034560113,3034560093,0,299470384,,service,,False,True,38.84,,"LINESTRING (121.4232114 31.1449503, 121.4230871 31.145283)",,
3034560113,3034560093,1,"[299485200, 299485201, 299470383]",,service,,False,"[False, True]",233.36900000000003,,"LINESTRING (121.4232114 31.1449503, 121.4236977 31.1450703, 121.4237226 31.1450374, 121.4238334 31.1450606, 121.4239419 31.1450645, 121.4240347 31.1450626, 121.4240709 31.14508, 121.4240822 31.1451206, 121.4240256 31.1455504, 121.4230871 31.145283)",,
3034560113,3034716200,0,299485200,,service,,False,True,3.176,,"LINESTRING (121.4232114 31.1449503, 121.4231795 31.1449419)",,
3034560114,5084971949,0,299470385,,service,,False,False,19.362,,"LINESTRING (121.4207277 31.1488047, 121.4207906 31.1486391)",,
3034560115,5257658204,0,299470385,,service,,False,True,28.786,,"LINESTRING (121.4209941 31.1481036, 121.4209006 31.1483498)",,
3034560115,5084888294,0,737361629,,unclassified,,False,True,65.018,勤奋路,"LINESTRING (121.4209941 31.1481036, 121.4216421 31.1482889)",,
3034560115,3034560097,0,"[737361629, 521502214]",2,unclassified,20,False,"[False, True]",27.231,勤奋路,"LINESTRING (121.4209941 31.1481036, 121.4208708 31.148071, 121.4209174 31.1479426)",,
3034716164,5175769090,0,299470379,,service,,False,True,37.679,,"LINESTRING (121.4228203 31.1460027, 121.42294 31.1456797)",,
3034716164,3034716165,0,299485191,,service,,False,False,102.985,,"LINESTRING (121.4228203 31.1460027, 121.421791 31.1457168)",,
3034716164,3034560094,0,"[299470379, 299485189, 299485190]",,service,,False,False,101.915,,"LINESTRING (121.4228203 31.1460027, 121.422718 31.1462787, 121.4225788 31.1466542, 121.4225437 31.1467491, 121.4224982 31.1468768)",yes,
3034716165,3034716164,0,299485191,,service,,False,True,102.985,,"LINESTRING (121.421791 31.1457168, 121.4228203 31.1460027)",,
3034716165,3034716166,0,"[299485192, 299485193]",,service,,False,True,110.485,,"LINESTRING (121.421791 31.1457168, 121.4216712 31.1456859, 121.420676 31.14544)",yes,
3034716165,5175769090,0,533508884,,footway,,False,True,135.187,,"LINESTRING (121.421791 31.1457168, 121.4218637 31.1455441, 121.4219763 31.1455556, 121.4220487 31.1454363, 121.4226308 31.1455947, 121.42294 31.1456797)",,
3034716166,5175769085,0,299485213,,unclassified,,False,False,24.589,勤奋路,"LINESTRING (121.420676 31.14544, 121.4207566 31.1452299)",,
3034716166,3034560095,0,299485213,,unclassified,,False,True,94.624,勤奋路,"LINESTRING (121.420676 31.14544, 121.4203619 31.1462474)",,
3034716166,3034716165,0,"[299485192, 299485193]",,service,,False,False,110.485,,"LINESTRING (121.420676 31.14544, 121.4216712 31.1456859, 121.421791 31.1457168)",yes,
3034716172,3034716239,0,299485197,,service,,False,False,46.764,,"LINESTRING (121.4209542 31.1441876, 121.4210809 31.1438818, 121.4211351 31.1438334, 121.4211678 31.1438256)",,
3034716176,3034716177,0,299485197,,service,,False,False,52.962,,"LINESTRING (121.4220986 31.1440579, 121.4226279 31.144205)",,
3034716176,3034560110,0,299485198,,service,,False,True,50.989,,"LINESTRING (121.4220986 31.1440579, 121.4219381 31.1444954)",,
3034716176,3034716239,0,299485197,,service,,False,True,93.031,,"LINESTRING (121.4220986 31.1440579, 121.4212166 31.143814, 121.4211678 31.1438256)",,
3034716177,3034716176,0,299485197,,service,,False,True,52.962,,"LINESTRING (121.4226279 31.144205, 121.4220986 31.1440579)",,
3034716177,3034716180,0,299485199,,service,,False,True,38.746,,"LINESTRING (121.4226279 31.144205, 121.422508 31.144538)",,
3034716180,3034716177,0,299485199,,service,,False,False,38.746,,"LINESTRING (121.422508 31.144538, 121.4226279 31.144205)",,
3034716180,3034560110,0,299485199,,service,,False,True,55.917,,"LINESTRING (121.422508 31.144538, 121.4223339 31.1445728, 121.4222321 31.1445709, 121.4219381 31.1444954)",,
3034716180,3034716200,0,299485200,,service,,False,False,82.6,,"LINESTRING (121.422508 31.144538, 121.4225419 31.1445709, 121.4226663 31.1446077, 121.4227387 31.1446522, 121.4228427 31.1448264, 121.4229038 31.144869, 121.4231795 31.1449419)",,
3034716195,3034716200,0,299485203,,service,,False,True,27.463,,"LINESTRING (121.4232428 31.1447024, 121.423182 31.1448806, 121.4231795 31.1449419)",,
3034716200,3034560113,0,299485200,,service,,False,False,3.176,,"LINESTRING (121.4231795 31.1449419, 121.4232114 31.1449503)",,
3034716200,3034716180,0,299485200,,service,,False,True,82.6,,"LINESTRING (121.4231795 31.1449419, 121.4229038 31.144869, 121.4228427 31.1448264, 121.4227387 31.1446522, 121.4226663 31.1446077, 121.4225419 31.1445709, 121.422508 31.144538)",,
