element_type,osmid,nodes,amenity,geometry
way,970855309,"[8985309502, 8985309505, 8985309504, 8985309503, 8985309502]",parking,"POLYGON ((118.818096 32.0391673, 118.818143 32.0397427, 118.8183258 32.039732, 118.8182788 32.0391565, 118.818096 32.0391673))"
way,970855310,"[8985309509, 8985309508, 8985309507, 8985309506, 8985309509]",parking,"POLYGON ((118.8157311 32.0340905, 118.8157205 32.0347428, 118.8158037 32.0347438, 118.8158143 32.0340915, 118.8157311 32.0340905))"
way,970855315,"[8985324523, 8985324522, 8985324521, 8985324520, 8985324523]",parking,"POLYGON ((118.8175801 32.0407709, 118.8181135 32.0407343, 118.818092 32.0405092, 118.8175586 32.0405458, 118.8175801 32.0407709))"
