u,v,key,osmid,highway,oneway,reversed,length,geometry,name,bridge,lanes,tunnel,service,access
5726340752,5726340773,0,603105956,residential,False,True,54.034,"LINESTRING (113.3466143 23.1531998, 113.3464941 23.153673)",韩江路,,,,,
5726340752,5726340751,0,603105971,residential,False,True,103.524,"LINESTRING (113.3466143 23.1531998, 113.3456269 23.1529935)",西樵山路,,,,,
5726340753,5726340745,0,603105956,residential,False,False,36.492,"LINESTRING (113.3466456 23.1530768, 113.3467267 23.1527572)",韩江路,,,,,
5726340753,5726340752,0,603105956,residential,False,True,14.046,"LINESTRING (113.3466456 23.1530768, 113.3466143 23.1531998)",韩江路,,,,,
5726340753,5726340754,0,603105972,residential,False,False,135.965,"LINESTRING (113.3466456 23.1530768, 113.3479601 23.1532622)",莲花山路,,,,,
5726340754,5726340753,0,603105972,residential,False,True,135.965,"LINESTRING (113.3479601 23.1532622, 113.3466456 23.1530768)",莲花山路,,,,,
5726340754,5726340761,0,603105973,living_street,False,True,18.655,"LINESTRING (113.3479601 23.1532622, 113.347985 23.1534284)",,,,,,
5726340754,5726340762,0,603105973,living_street,False,False,56.708,"LINESTRING (113.3479601 23.1532622, 113.3479647 23.1532008, 113.3481618 23.153215, 113.3482281 23.1532536, 113.3482753 23.1534432)",,,,,,
5726340758,5726340759,0,603105973,living_street,False,True,5.924,"LINESTRING (113.3483316 23.1536387, 113.3483116 23.1535887)",,,,,,
5726340758,5726340746,0,188244812,residential,False,False,79.0,"LINESTRING (113.3483316 23.1536387, 113.3482556 23.1531498, 113.3481472 23.1529575)",,,,,,
5726340759,5726340758,0,603105973,living_street,False,False,5.924,"LINESTRING (113.3483116 23.1535887, 113.3483316 23.1536387)",,,,,,
5726340759,5726340762,0,603105973,living_street,False,True,16.599,"LINESTRING (113.3483116 23.1535887, 113.3482753 23.1534432)",,,,,,
5726340759,5726340761,0,603105973,living_street,False,False,46.369,"LINESTRING (113.3483116 23.1535887, 113.3480047 23.1535606, 113.347985 23.1534284)",,,,,,
5726340761,5726340754,0,603105973,living_street,False,False,18.655,"LINESTRING (113.347985 23.1534284, 113.3479601 23.1532622)",,,,,,
5726340761,5726340762,0,603105974,living_street,False,False,29.726,"LINESTRING (113.347985 23.1534284, 113.3482753 23.1534432)",,,,,,
5726340761,5726340759,0,603105973,living_street,False,True,46.369,"LINESTRING (113.347985 23.1534284, 113.3480047 23.1535606, 113.3483116 23.1535887)",,,,,,
5726340762,5726340759,0,603105973,living_street,False,False,16.599,"LINESTRING (113.3482753 23.1534432, 113.3483116 23.1535887)",,,,,,
5726340762,5726340761,0,603105974,living_street,False,True,29.726,"LINESTRING (113.3482753 23.1534432, 113.347985 23.1534284)",,,,,,
5726340762,5726340754,0,603105973,living_street,False,True,56.708000000000006,"LINESTRING (113.3482753 23.1534432, 113.3482281 23.1532536, 113.3481618 23.153215, 113.3479647 23.1532008, 113.3479601 23.1532622)",,,,,,
5726340769,5726340772,0,488110319,residential,False,False,17.06,"LINESTRING (113.3453722 23.1538662, 113.3454291 23.1538238, 113.3454491 23.1537397)",北江路,,,,,
5726340769,3388097697,0,488110319,residential,False,True,19.229,"LINESTRING (113.3453722 23.1538662, 113.3452883 23.1539287, 113.3452157 23.1539598)",北江路,,,,,
5726340769,5726340771,0,603105976,living_street,False,False,111.268,"LINESTRING (113.3453722 23.1538662, 113.3455283 23.153952, 113.3464215 23.154094)",,,,,,
5726340771,5726340691,0,603105956,residential,False,False,18.801,"LINESTRING (113.3464215 23.154094, 113.3464301 23.1539251)",韩江路,,,,,
5726340771,5726340769,0,603105976,living_street,False,True,111.268,"LINESTRING (113.3464215 23.154094, 113.3455283 23.153952, 113.3453722 23.1538662)",,,,,,
5726340772,5726340776,0,488110319,residential,False,False,64.873,"LINESTRING (113.3454491 23.1537397, 113.3455849 23.1531698)",北江路,,,,,
5726340772,5726340691,0,603105977,living_street,False,False,102.393,"LINESTRING (113.3454491 23.1537397, 113.3464301 23.1539251)",,,,,,
5726340772,5726340769,0,488110319,residential,False,True,17.06,"LINESTRING (113.3454491 23.1537397, 113.3454291 23.1538238, 113.3453722 23.1538662)",北江路,,,,,
5726340772,5726340773,0,"[603105977, 603105978]",living_street,False,True,179.572,"LINESTRING (113.3454491 23.1537397, 113.3451919 23.1536876, 113.3452807 23.1534643, 113.3464941 23.153673)",松花江路,,,,,
5726340773,5726340752,0,603105956,residential,False,False,54.034,"LINESTRING (113.3464941 23.153673, 113.3466143 23.1531998)",韩江路,,,,,
5726340773,5726340691,0,603105956,residential,False,True,28.786,"LINESTRING (113.3464941 23.153673, 113.3464301 23.1539251)",韩江路,,,,,
5726340773,5726340772,0,"[603105977, 603105978]",living_street,False,False,179.57199999999997,"LINESTRING (113.3464941 23.153673, 113.3452807 23.1534643, 113.3451919 23.1536876, 113.3454491 23.1537397)",松花江路,,,,,
5726340776,5726340751,0,488110319,residential,False,False,20.068,"LINESTRING (113.3455849 23.1531698, 113.3456269 23.1529935)",北江路,,,,,
5726340776,5726340772,0,488110319,residential,False,True,64.873,"LINESTRING (113.3455849 23.1531698, 113.3454491 23.1537397)",北江路,,,,,
5726340776,5726340777,0,603105979,living_street,False,False,51.792,"LINESTRING (113.3455849 23.1531698, 113.3450883 23.1530778)",,,,,,
5726340777,5726340776,0,603105979,living_street,False,True,51.792,"LINESTRING (113.3450883 23.1530778, 113.3455849 23.1531698)",,,,,,
5726340778,5726340780,0,603105965,residential,False,False,25.986,"LINESTRING (113.3446605 23.152197, 113.3446348 23.1519645)",,,,,,
5726340778,5726340742,0,603105965,residential,False,True,20.029,"LINESTRING (113.3446605 23.152197, 113.3446803 23.1523762)",,,,,,
