element_type,osmid,nodes,amenity,building,building:levels,name,opening_hours,geometry
way,104108001,"[998032338, 998032336, 998032375, 998032364, 998032363, 998032345, 998032342, 998032341, 998032338]",library,yes,3,武汉大学图书馆(信息分馆),Mo-Su 07:30-22:30,"POLYGON ((114.3551874 30.5312743, 114.3551907 30.5315308, 114.3553574 30.5315295, 114.3553599 30.5316047, 114.355987 30.531599, 114.3559878 30.5315249, 114.3561378 30.5315234, 114.3561386 30.5312692, 114.3551874 30.5312743))"
way,153744434,"[1663948145, 1663948185, 9552099976, 1663948200, 9552099975, 1663948150, 1663948198, 1663948181, 1663948166, 1663948191, 1663948157, 1663948180, 1663948149, 1663948147, 1663948199, 1663948167, 1663948190, 1663948183, 1663948145]",library,yes,,武汉大学图书馆(工学分馆),,"POLYGON ((114.3559003 30.545897, 114.3562242 30.5459212, 114.3562148 30.546014, 114.3560827 30.5460041, 114.3560603 30.5462266, 114.3560075 30.5462226, 114.3560027 30.5462704, 114.3558668 30.5462602, 114.3558634 30.5462943, 114.3554991 30.5462671, 114.3555034 30.5462241, 114.355356 30.5462131, 114.3553661 30.5461123, 114.3554099 30.5461156, 114.35543 30.5459162, 114.3555815 30.5459276, 114.3555617 30.546124, 114.3558751 30.5461474, 114.3559003 30.545897))"
way,169548677,"[1807154880, 2857578860, 1807154843, 2857578862, 2857578861, 2857578863, 2857578864, 2857578865, 2857578859, 2857578858, 2857578857, 1807154838, 1807154822, 1807154871, 1807154884, 1807154894, 1807154893, 1807154853, 1807154851, 1807154839, 1807154819, 1807154885, 1807154880]",library,yes,5,武汉大学图书馆,Mo-Su 08:00-22:30,"POLYGON ((114.3570566 30.5384675, 114.3570241 30.5383006, 114.3569426 30.5383157, 114.3568747 30.5380368, 114.356967 30.5380201, 114.3569137 30.5378016, 114.3568282 30.537817, 114.3567485 30.53749, 114.3568158 30.5374671, 114.3567474 30.5371801, 114.3573333 30.5370742, 114.3572865 30.5368821, 114.3576019 30.5368251, 114.3577312 30.5373558, 114.3580657 30.5372954, 114.3581645 30.5377008, 114.3578891 30.5377506, 114.3579305 30.5379202, 114.3580885 30.5378917, 114.3581957 30.5383317, 114.3578478 30.5383945, 114.3578314 30.5383274, 114.3570566 30.5384675))"
way,314672039,"[3207204426, 3207204427, 3207204428, 3207204429, 3207204426]",library,yes,,图书馆医学分馆,,"POLYGON ((114.351072 30.5570112, 114.3510793 30.5568602, 114.351711 30.556883, 114.3517036 30.557034, 114.351072 30.5570112))"
