element_type,osmid,amenity,geometry,parking,nodes
node,1842395426,parking,POINT (114.3483304 30.5425397),,
node,4045224996,parking,POINT (114.3626955 30.5421643),,
node,4723392640,parking,POINT (114.3510365 30.5406926),,
node,9555524307,parking,POINT (114.3557198 30.5284585),surface,
way,488600335,parking,"POLYGON ((114.3469196 30.556376, 114.3476921 30.5564014, 114.3476868 30.55657, 114.3481454 30.5565816, 114.3481937 30.5557039, 114.3470993 30.5556646, 114.3470886 30.5559557, 114.346925 30.5559487, 114.3469196 30.556376))",,"[4808966426, 4808966427, 4808966428, 4808966429, 4808966430, 4808966431, 4808966432, 4808966433, 4808966426]"
way,953298281,parking,"POLYGON ((114.3510505 30.5409557, 114.3513684 30.5409977, 114.3515766 30.5410252, 114.3516179 30.5407934, 114.3510918 30.5407238, 114.3510505 30.5409557))",,"[8823668027, 4723392641, 8823668028, 8823668029, 8823668030, 8823668027]"
way,972813241,parking,"POLYGON ((114.3529101 30.5367789, 114.353185 30.5367761, 114.3531799 30.5364101, 114.3528072 30.5364139, 114.3528122 30.5367799, 114.3529101 30.5367789))",,"[9003570008, 9003570007, 9003570006, 9003570005, 9003570004, 9003570008]"
way,972813242,parking,"POLYGON ((114.3544812 30.5346991, 114.3547823 30.5351304, 114.3550756 30.5349784, 114.3547745 30.5345472, 114.3544812 30.5346991))",,"[9003570012, 9003570011, 9003570010, 9003570009, 9003570012]"
