element_type,osmid,amenity,name,geometry,building,man_made,name:en,capacity,phone,addr:city,addr:district,addr:postcode,addr:province,addr:street,fee,leisure,nodes,building:levels,height,shop,healthcare,wheelchair,name:zh,tourism,int_name,alt_name,name_1,wikidata,addr:housenumber,website,opening_hours,addr:housename,description,cuisine,fast_food,level,opening_hours:covid19,note,bicycle_parking,covered,supervised,power,takeaway,layer,access,female,toilets:disposal,male,name:zh-Hans,ways,type
way,103638413,,,"POLYGON ((114.3679249 30.5325641, 114.3676507 30.5324998, 114.3676793 30.5324092, 114.3679535 30.5324734, 114.3679249 30.5325641))",residential,,,,,,,,,,,,"[1196665075, 1196665185, 1196665176, 1196665103, 1196665075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638414,,,"POLYGON ((114.3678541 30.5327837, 114.3675854 30.5327187, 114.3676158 30.5326255, 114.3678845 30.5326905, 114.3678541 30.5327837))",residential,,,,,,,,,,,,"[1196665124, 1196665177, 1196665180, 1196665059, 1196665124]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638416,,,"POLYGON ((114.3672091 30.5325012, 114.3666591 30.5323651, 114.3666969 30.532252, 114.3672468 30.5323881, 114.3672091 30.5325012))",residential,,,,,,,,,,,,"[1196665171, 1196665156, 1196665066, 1196665089, 1196665171]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638419,,,"POLYGON ((114.3681184 30.5317878, 114.3678406 30.531775, 114.3678472 30.5316678, 114.368125 30.5316806, 114.3681184 30.5317878))",residential,,,,,,,,,,,,"[1196665114, 1196665096, 1196665184, 1196665128, 1196665114]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638420,,,"POLYGON ((114.3675331 30.5323898, 114.3674171 30.5323634, 114.3674509 30.5322532, 114.3675669 30.5322796, 114.3675331 30.5323898))",residential,,,,,,,,,,,,"[1196665189, 1196665121, 1196665144, 1196665179, 1196665189]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638421,,,"POLYGON ((114.3679862 30.5323434, 114.3677183 30.5322813, 114.367744 30.532199, 114.368012 30.5322612, 114.3679862 30.5323434))",residential,,,,,,,,,,,,"[1196665153, 1196665146, 1196665094, 1196665113, 1196665153]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638422,,,"POLYGON ((114.3673129 30.5322159, 114.3667233 30.5320719, 114.36676 30.5319606, 114.3673496 30.5321046, 114.3673129 30.5322159))",residential,,,,,,,,,,,,"[1196665136, 1196665063, 1196665084, 1196665137, 1196665136]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638423,,,"POLYGON ((114.3675996 30.532107, 114.3674911 30.5320835, 114.3675241 30.5319703, 114.3676326 30.5319937, 114.3675996 30.532107))",residential,,,,,,,,,,,,"[1196665178, 1196665072, 1196665155, 1196665142, 1196665178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638424,,,"POLYGON ((114.3670189 30.5328204, 114.3665928 30.5327154, 114.3666278 30.5326101, 114.3670539 30.5327151, 114.3670189 30.5328204))",residential,,,,,,,,,,,,"[1196665085, 1196665122, 1196665099, 1196665090, 1196665085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638425,,,"POLYGON ((114.3665515 30.5326878, 114.3662463 30.5326117, 114.3662739 30.5325296, 114.3663316 30.532544, 114.3663822 30.5323935, 114.3665713 30.5324407, 114.3665233 30.5325836, 114.3665816 30.5325981, 114.3665515 30.5326878))",residential,,,,,,,,,,,,"[1196665170, 1196665065, 1196665079, 1196665174, 1196665082, 1196665166, 1196665188, 1196665165, 1196665170]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
