element_type,osmid,nodes,building,name,name:en,tourism,geometry,amenity,addr:city,addr:district,addr:housenumber,addr:postcode,addr:province,addr:street,building:levels
way,112648060,"[1279975040, 1279975339, 1279974980, 1279975080, 1279975184, 1279975028, 1279975141, 1279975419, 1279975072, 1279975421, 1279975178, 1279975278, 1279975381, 1279975011, 1279975123, 1279975223, 1279975044, 1279975150, 1279975255, 1279975369, 1279975003, 1279975116, 1279975216, 1279975323, 1279975145, 1279975040]",yes,地质宫,Culture Square,attraction,"POLYGON ((125.3005027 43.8803004, 125.3000558 43.8802969, 125.3000592 43.880075, 125.2998686 43.8800735, 125.2998703 43.8799597, 125.3000599 43.8799612, 125.3000614 43.8798588, 125.3002787 43.8798605, 125.3010558 43.8798654, 125.3013525 43.8798683, 125.3022392 43.8798759, 125.3022376 43.8799827, 125.3023596 43.8799837, 125.3023581 43.8800846, 125.3022377 43.8800836, 125.3022364 43.8801709, 125.3021854 43.8801705, 125.3021833 43.8803068, 125.3017939 43.8803037, 125.3017958 43.880177, 125.3013199 43.8801733, 125.301319 43.8802272, 125.3010182 43.8802249, 125.3010192 43.8801631, 125.3005048 43.880159, 125.3005027 43.8803004))",,,,,,,,
way,131379148,"[1446010730, 1446010724, 1446010722, 1446010718, 1446010719, 1446010716, 1446010717, 1446010729, 1446010728, 1446010721, 1446010720, 1446010723, 1446010725, 1446010731, 1446010730]",university,,,,"POLYGON ((125.302789 43.8802843, 125.302794 43.8801635, 125.3027609 43.8801628, 125.3027702 43.8799419, 125.3028081 43.8799428, 125.3028149 43.8797791, 125.3038426 43.8798016, 125.3038225 43.8802812, 125.3036409 43.8802772, 125.3036541 43.8799614, 125.3029865 43.8799468, 125.3029775 43.8801633, 125.3030927 43.8801658, 125.3030875 43.8802908, 125.302789 43.8802843))",,,,,,,,
way,131379150,"[1446010759, 1446010749, 1446010750, 1446010760, 1446010759]",university,,,,"POLYGON ((125.3018491 43.8808707, 125.3018533 43.8807312, 125.3025314 43.880742, 125.3025272 43.8808814, 125.3018491 43.8808707))",,,,,,,,
way,131379151,"[1446010755, 1446010734, 1446010735, 1446010756, 1446010755]",yes,,,,"POLYGON ((125.3027694 43.8808066, 125.3027709 43.8805153, 125.3038527 43.8805182, 125.3038511 43.8808095, 125.3027694 43.8808066))",library,,,,,,,
way,131379153,"[1446010733, 1446010727, 1446010726, 1446010757, 1446010758, 1446010732, 5009472385, 1446010733]",university,,,,"POLYGON ((125.2994149 43.8804362, 125.2994163 43.8802579, 125.2985692 43.8802545, 125.2985644 43.8808547, 125.2987339 43.8808554, 125.2987372 43.8804334, 125.2992387 43.8804355, 125.2994149 43.8804362))",,,,,,,,
way,512313312,"[5009472383, 5009472384, 1446010733, 5009472385, 5009472386, 5009472387, 5009472383]",school,钻采实验楼,,,"POLYGON ((125.2988255 43.8808588, 125.2994063 43.8808596, 125.2994149 43.8804362, 125.2992387 43.8804355, 125.2992386 43.8807668, 125.2988294 43.8807626, 125.2988255 43.8808588))",,长春市,朝阳区,938,130021,吉林省,西民主大街 West Minzhu St,5
way,678067160,"[6348899813, 6348899814, 6348899815, 6348899816, 6348899813]",yes,,,,"POLYGON ((125.3011133 43.8816617, 125.3023766 43.8816752, 125.3023793 43.8815438, 125.301116 43.8815303, 125.3011133 43.8816617))",,,,,,,,
