element_type,osmid,nodes,building,building:levels,name,name:en,name:zh,geometry,brand,internet_access,internet_access:fee,payment:credit_cards,smoking,tourism
way,937478503,"[8686170189, 8686170190, 8686170191, 8686170197, 8686170204, 8686170192, 8686170189]",university,12,서울 대학교 교육 협력관-시흥 스마트 캠퍼스,Education Cooperation Building Seoul National University - Siheung Smart Campus,首尔大学教育合作大楼-始兴智慧校园,"POLYGON ((126.7184409 37.3632124, 126.7196793 37.3645084, 126.7182468 37.3652953, 126.7180341 37.3650629, 126.7179136 37.3649312, 126.7170737 37.3640133, 126.7184409 37.3632124))",,,,,,
way,937478505,"[8686170197, 8686170198, 8686170199, 8686170200, 8686170201, 8686170202, 8686170203, 8686170204, 8686170197]",yes,,서울 대학교 시흥 스마트 캠퍼스-호텔,Seoul National University Siheung Smart Campus - Hotel,首尔大学始兴智能校园 - 酒店,"POLYGON ((126.7180341 37.3650629, 126.717562 37.3653348, 126.7178022 37.3655754, 126.7171826 37.3659304, 126.7158999 37.3646934, 126.7165583 37.3642988, 126.7174367 37.365196, 126.7179136 37.3649312, 126.7180341 37.3650629))",Seoul National University,yes,customers,yes,no,hotel
