u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,maxspeed
3051268486,3051268488,0,301016543,园北路,service,permissive,False,True,110.27199999999999,"LINESTRING (113.2951576 23.1042459, 113.2956519 23.1042724, 113.2962288 23.1041948)",30
3051268488,3051268485,0,301016543,园北路,service,permissive,False,True,108.509,"LINESTRING (113.2962288 23.1041948, 113.2972821 23.1040779)",30
3051268488,3051268486,0,301016543,园北路,service,permissive,False,False,110.27199999999999,"LINESTRING (113.2962288 23.1041948, 113.2956519 23.1042724, 113.2951576 23.1042459)",30
3051268489,3053894787,0,300949482,逸仙路,unclassified,permissive,False,True,56.947,"LINESTRING (113.2943255 23.1043986, 113.294208 23.103898)",
3051268489,3051268486,0,301016543,园北路,service,permissive,False,True,86.781,"LINESTRING (113.2943255 23.1043986, 113.2951576 23.1042459)",30
3051268489,3051268490,0,"[300949482, 300917758]",逸仙路,unclassified,permissive,False,"[False, True]",81.651,"LINESTRING (113.2943255 23.1043986, 113.2944496 23.1049911, 113.294475 23.1051199)",
3051268490,3051268489,0,"[300949482, 300917758]",逸仙路,unclassified,permissive,False,"[False, True]",81.651,"LINESTRING (113.294475 23.1051199, 113.2944496 23.1049911, 113.2943255 23.1043986)",
3051268490,3051268493,0,300917758,逸仙路,unclassified,permissive,False,True,23.444,"LINESTRING (113.294475 23.1051199, 113.2944753 23.1051691, 113.2944603 23.1052095, 113.2944319 23.1052475, 113.2943606 23.1052792)",
3051268493,3051268490,0,300917758,逸仙路,unclassified,permissive,False,False,23.444,"LINESTRING (113.2943606 23.1052792, 113.2944319 23.1052475, 113.2944603 23.1052095, 113.2944753 23.1051691, 113.294475 23.1051199)",
3051268493,3053894811,0,300917758,逸仙路,unclassified,permissive,False,True,179.37,"LINESTRING (113.2943606 23.1052792, 113.2941882 23.1053121, 113.294136 23.1053082, 113.2940873 23.1052913, 113.2940512 23.105261, 113.2940247 23.1052157, 113.2940061 23.1051608, 113.2939875 23.1050749, 113.2937522 23.1039825)",
3053894787,3051268489,0,300949482,逸仙路,unclassified,permissive,False,False,56.947,"LINESTRING (113.294208 23.103898, 113.2943255 23.1043986)",
3053894787,3051268470,0,300949482,逸仙路,unclassified,permissive,False,True,55.52,"LINESTRING (113.294208 23.103898, 113.2940999 23.1034087)",
3053894787,3053894811,0,301319409,,footway,,False,True,47.555,"LINESTRING (113.294208 23.103898, 113.2937522 23.1039825)",
3053894811,3051268468,0,300917758,逸仙路,unclassified,permissive,False,True,74.52,"LINESTRING (113.2937522 23.1039825, 113.2936106 23.1033251)",
3053894811,3053894787,0,301319409,,footway,,False,False,47.555,"LINESTRING (113.2937522 23.1039825, 113.294208 23.103898)",
3053894811,3051268493,0,300917758,逸仙路,unclassified,permissive,False,False,179.37,"LINESTRING (113.2937522 23.1039825, 113.2939875 23.1050749, 113.2940061 23.1051608, 113.2940247 23.1052157, 113.2940512 23.105261, 113.2940873 23.1052913, 113.294136 23.1053082, 113.2941882 23.1053121, 113.2943606 23.1052792)",
3055328959,3051268404,0,301470850,,service,,False,True,8.551,"LINESTRING (113.2999162 23.101649, 113.2999998 23.1016487)",
3055328959,3051268409,0,638998135,,service,,False,False,21.351,"LINESTRING (113.2999162 23.101649, 113.2999139 23.101841)",
3055328959,3051268396,0,638998135,,service,,False,True,45.165,"LINESTRING (113.2999162 23.101649, 113.299917 23.1015795, 113.2999248 23.1012429)",
3055328962,3051268404,0,301016534,,service,,False,True,52.912,"LINESTRING (113.3005171 23.1016539, 113.2999998 23.1016487)",
3055328962,3051268404,1,301016534,,service,,False,False,145.095,"LINESTRING (113.3005171 23.1016539, 113.300522 23.1012477, 113.2999905 23.1012391, 113.2999998 23.1016487)",
3055328962,3051268410,0,301016534,,service,,False,True,88.93299999999999,"LINESTRING (113.3005171 23.1016539, 113.3005161 23.1018992, 113.2999133 23.1018929)",
3061180292,3051268311,0,301016430,,service,permissive,False,False,30.735,"LINESTRING (113.2891714 23.0999509, 113.2891265 23.0996776)",
3061180292,3050561856,0,"[301016481, 301016430]",岭南路,service,permissive,False,"[False, True]",162.23,"LINESTRING (113.2891714 23.0999509, 113.2892381 23.1003574, 113.2903582 23.1001663)",
6021660191,3051268297,0,301016481,岭南路,service,permissive,False,False,107.155,"LINESTRING (113.2959373 23.0993209, 113.2969817 23.0993969)",
6021660191,3051268299,0,301016481,岭南路,service,permissive,False,True,96.80600000000001,"LINESTRING (113.2959373 23.0993209, 113.2956193 23.0992977, 113.2950056 23.099418)",
6021660191,6021660194,0,638998128,,footway,,False,False,108.38300000000001,"LINESTRING (113.2959373 23.0993209, 113.2959694 23.0987679, 113.2958172 23.0987549, 113.2958263 23.0984747)",
6021660194,3051268254,0,301016547,康乐路,service,permissive,False,True,20.109,"LINESTRING (113.2958263 23.0984747, 113.2956337 23.098511)",
6021660194,3051268236,0,301016547,康乐路,service,permissive,False,False,134.462,"LINESTRING (113.2958263 23.0984747, 113.296889 23.0982741, 113.2971144 23.098233)",
6021660194,6021660191,0,638998128,,footway,,False,True,108.38300000000001,"LINESTRING (113.2958263 23.0984747, 113.2958172 23.0987549, 113.2959694 23.0987679, 113.2959373 23.0993209)",
6021660195,3051268130,0,301016547,康乐路,service,permissive,False,False,39.06,"LINESTRING (113.2973573 23.0981887, 113.2977319 23.0981204)",
6021660195,3051268236,0,301016547,康乐路,service,permissive,False,True,25.328,"LINESTRING (113.2973573 23.0981887, 113.2971144 23.098233)",
6021660195,6021660196,0,638998129,,service,,False,False,54.983,"LINESTRING (113.2973573 23.0981887, 113.2973854 23.0976949)",
6021660196,6021660195,0,638998129,,service,,False,True,54.983,"LINESTRING (113.2973854 23.0976949, 113.2973573 23.0981887)",
6021660201,3051268303,0,301016481,岭南路,service,permissive,False,False,58.575,"LINESTRING (113.2977302 23.0994514, 113.2983011 23.099493)",
6021660201,3051268297,0,301016481,岭南路,service,permissive,False,True,76.796,"LINESTRING (113.2977302 23.0994514, 113.2969817 23.0993969)",
6021660201,3051268375,0,638998131,,footway,,False,False,170.879,"LINESTRING (113.2977302 23.0994514, 113.2976142 23.1001348, 113.2975955 23.100719, 113.2975867 23.1009795)",
6946997677,3051268460,0,301016508,,footway,,False,True,40.974,"LINESTRING (113.2925776 23.1030893, 113.2929683 23.1030078)",
6946997677,6946997681,0,742063711,,footway,,False,False,56.411,"LINESTRING (113.2925776 23.1030893, 113.292673 23.1029525, 113.292732 23.1028478, 113.2928133 23.1027618, 113.2929163 23.1027004)",
6946997681,3051268460,0,301016426,,footway,,False,False,34.593,"LINESTRING (113.2929163 23.1027004, 113.2929683 23.1030078)",
6946997681,3051268449,0,301016426,,footway,,False,True,5.885,"LINESTRING (113.2929163 23.1027004, 113.2929075 23.1026481)",
6946997681,6946997677,0,742063711,,footway,,False,True,56.411,"LINESTRING (113.2929163 23.1027004, 113.2928133 23.1027618, 113.292732 23.1028478, 113.292673 23.1029525, 113.2925776 23.1030893)",
8694878738,3051268097,0,300949478,,footway,,False,False,60.985,"LINESTRING (113.291565 23.0980418, 113.2914589 23.0975021)",
8694878738,3051268239,0,300949478,,footway,,False,True,25.122,"LINESTRING (113.291565 23.0980418, 113.2916155 23.0982629)",
8694878738,3051268132,0,301016506,,footway,,False,True,49.323,"LINESTRING (113.291565 23.0980418, 113.2910919 23.0981277)",
8818460953,3051268254,0,952731797,,service,,False,True,6.605,"LINESTRING (113.2956344 23.0985704, 113.2956337 23.098511)",
8818460953,8818460953,0,952731797,,service,,False,False,66.274,"LINESTRING (113.2956344 23.0985704, 113.2957149 23.0986, 113.295747 23.0986543, 113.295747 23.098711, 113.2957068 23.0987406, 113.2955942 23.0987505, 113.2955459 23.0987184, 113.2955351 23.0986543, 113.2955593 23.0986173, 113.2956344 23.0985704)",
8818460953,8818460953,1,952731797,,service,,False,True,66.274,"LINESTRING (113.2956344 23.0985704, 113.2955593 23.0986173, 113.2955351 23.0986543, 113.2955459 23.0987184, 113.2955942 23.0987505, 113.2957068 23.0987406, 113.295747 23.098711, 113.295747 23.0986543, 113.2957149 23.0986, 113.2956344 23.0985704)",
9247523129,9864176969,0,1001934876,,service,,True,False,94.904,"LINESTRING (113.2961008 23.1027793, 113.2961797 23.1036297)",
9247523129,3051268451,0,301016530,,footway,,False,False,114.68,"LINESTRING (113.2961008 23.1027793, 113.2964272 23.1029527, 113.2971382 23.1027501)",
9247523129,3051268436,0,301016530,,footway,,False,True,98.214,"LINESTRING (113.2961008 23.1027793, 113.2958271 23.1026468, 113.2952703 23.1023366)",
9864176967,3051268429,0,300917758,逸仙路,unclassified,permissive,False,False,30.912,"LINESTRING (113.2933205 23.1019779, 113.2933792 23.1022506)",
9864176967,3051268412,0,300917758,逸仙路,unclassified,permissive,False,True,4.534,"LINESTRING (113.2933205 23.1019779, 113.2933119 23.1019379)",
9864176967,9864176968,0,1075559582,,footway,,False,False,46.272,"LINESTRING (113.2933205 23.1019779, 113.2937638 23.1018948)",
9864176968,3051268425,0,300949482,逸仙路,unclassified,permissive,False,False,36.775,"LINESTRING (113.2937638 23.1018948, 113.293837 23.1022186)",
9864176968,3051268380,0,300949482,逸仙路,unclassified,permissive,False,True,95.098,"LINESTRING (113.2937638 23.1018948, 113.2935744 23.1010575)",
9864176968,9864176967,0,1075559582,,footway,,False,True,46.272,"LINESTRING (113.2937638 23.1018948, 113.2933205 23.1019779)",
9864176969,3051268488,0,1001934876,,service,,True,False,63.037,"LINESTRING (113.2961797 23.1036297, 113.2962288 23.1041948)",
9864176969,9864176972,0,1075559583,,service,,False,False,121.434,"LINESTRING (113.2961797 23.1036297, 113.2957481 23.1036669, 113.2956972 23.1036461, 113.2953287 23.103519, 113.2950283 23.1035651)",
9864176972,3051268486,0,301016490,,footway,,False,False,76.848,"LINESTRING (113.2950283 23.1035651, 113.2951576 23.1042459)",
9864176972,3051268470,0,301016490,,footway,,False,True,123.363,"LINESTRING (113.2950283 23.1035651, 113.2949658 23.1032697, 113.2940999 23.1034087)",
9864176972,9864176969,0,1075559583,,service,,False,True,121.43400000000001,"LINESTRING (113.2950283 23.1035651, 113.2953287 23.103519, 113.2956972 23.1036461, 113.2957481 23.1036669, 113.2961797 23.1036297)",
