element_type,osmid,nodes,name,name:en,name:zh,natural,water,geometry
way,262345157,"[2680173967, 2680173994, 2680173969, 2680173996, 2680173971, 2680173973, 2680173974, 2680173997, 2680173936, 2680173999, 2680174009, 2680173938, 2680174001, 2680173940, 2680173976, 2680173942, 2680173978, 2680173944, 2680173961, 2680173963, 2680173965, 2680173980, 2680173946, 2680173948, 2680174003, 2680173949, 2680174005, 2680174007, 2680173951, 2680173988, 2680173984, 2680173986, 2680173953, 2680173990, 2680173982, 2680173955, 2680173992, 2680173967]",园东湖,East Lake,园东湖,water,lake,"POLYGON ((113.2978592 23.0989926, 113.2978068 23.0990067, 113.2977452 23.0989954, 113.2976527 23.0989727, 113.2975665 23.0989586, 113.2974371 23.0989472, 113.2973354 23.0989359, 113.2972508 23.098927, 113.2971998 23.0989161, 113.2971598 23.0988821, 113.2971474 23.0988367, 113.2971542 23.0987469, 113.297165 23.0986704, 113.2971784 23.0986112, 113.2972079 23.0985495, 113.2972741 23.0984987, 113.2973581 23.0984804, 113.297468 23.098473, 113.2976129 23.0984878, 113.2976743 23.0984825, 113.2977575 23.0984626, 113.2978248 23.0984335, 113.2979608 23.0984116, 113.2980206 23.0984311, 113.2981037 23.0984755, 113.2981493 23.0985248, 113.2981788 23.0985791, 113.2981922 23.0986334, 113.2981827 23.0987007, 113.2981708 23.0987394, 113.2981413 23.098774, 113.2980957 23.0988011, 113.2980474 23.0988135, 113.2979911 23.0988159, 113.2979294 23.0988381, 113.2978972 23.0988973, 113.2978838 23.0989541, 113.2978592 23.0989926))"
way,291549766,"[2950175065, 2950175066, 2950175067, 2950175068, 2950175069, 2950175070, 2950175071, 2950175072, 2950175073, 2950175074, 2950175075, 2950175076, 2950175077, 2950175065]",,,,water,pond,"POLYGON ((113.2940623 23.1051408, 113.2938155 23.1040109, 113.2941508 23.1039443, 113.2943949 23.1050742, 113.2943975 23.1051186, 113.2943841 23.105168, 113.2943546 23.105205, 113.294309 23.105237, 113.2942661 23.1052543, 113.2942071 23.1052592, 113.2941508 23.105242, 113.2941079 23.1052148, 113.2940757 23.1051754, 113.2940623 23.1051408))"
way,300917761,"[3050202494, 3050202498, 3050202499, 3050202492, 3050202488, 3050202487, 3050202481, 3050202478, 3050202483, 3050202482, 3050202480, 3050202485, 3050202490, 3050202494]",园西湖,,园西湖,water,pond,"POLYGON ((113.287247 23.0966984, 113.2874483 23.0967757, 113.2877249 23.0967798, 113.2878068 23.0965396, 113.287986 23.0962954, 113.2880989 23.0962752, 113.2881793 23.0960609, 113.2879552 23.0959899, 113.2877937 23.0961188, 113.2875488 23.096103, 113.2874622 23.0960493, 113.2872085 23.096163, 113.2871933 23.0963616, 113.287247 23.0966984))"
way,300957326,"[3050649933, 3050649934, 3050649935, 3050650033, 3050650034, 3050650035, 3050650133, 3050650134, 3050650233, 3050649936, 3050649937, 3050649938, 3050650036, 3050650037, 3050650038, 3050650039, 3050650135, 3051665068, 3050650136, 3050650137, 3050650138, 3050649939, 3050650139, 3050649940, 3050649933]",松园湖,Songyuan Lake,松园湖,water,pond,"POLYGON ((113.295066 23.1031402, 113.2952375 23.1031183, 113.2954805 23.1029226, 113.2955679 23.1028247, 113.2955901 23.1026523, 113.2955399 23.1025944, 113.2954681 23.1025771, 113.295438 23.1026135, 113.2954246 23.1026529, 113.2953677 23.1026615, 113.2953275 23.1026177, 113.2953463 23.1025789, 113.2953624 23.1025438, 113.2952759 23.1024865, 113.295186 23.1024879, 113.2950727 23.1025532, 113.2949753 23.1025836, 113.2950037 23.1026017, 113.2950655 23.1026632, 113.2950971 23.1027402, 113.2951016 23.1028194, 113.2950852 23.1029016, 113.2949246 23.1028591, 113.2949642 23.1030586, 113.295066 23.1031402))"
way,301035486,"[3051468757, 3051468755, 3051468754, 3051468756, 3051468758, 3051468760, 3051468762, 3051468764, 3051468766, 3051468768, 3051468769, 3051468767, 3051468765, 3051468763, 3051468761, 3051468759, 3051468757]",,,,water,pond,"POLYGON ((113.2936086 23.1025343, 113.2936415 23.1025216, 113.2936771 23.1025213, 113.2937102 23.1025335, 113.2937358 23.1025563, 113.29375 23.1025864, 113.2937507 23.1026196, 113.2937375 23.1026505, 113.2937124 23.1026743, 113.2936792 23.1026875, 113.2936431 23.1026879, 113.2936096 23.1026755, 113.2935839 23.1026523, 113.2935698 23.1026217, 113.2935696 23.1025886, 113.2935832 23.1025579, 113.2936086 23.1025343))"
way,301035487,"[3051468825, 3051468822, 3051468818, 3051468817, 3051468819, 3051468811, 3051468810, 3051468795, 3051468794, 3051468796, 3051468804, 3051468806, 3051468814, 3051468816, 3051468820, 3051468821, 3051468823, 3051468824, 3051468825]",,,,water,pond,"POLYGON ((113.2955002 23.1052015, 113.2956326 23.1051291, 113.295732 23.1050872, 113.2957885 23.1050783, 113.2958768 23.1050923, 113.2958934 23.1049235, 113.2959513 23.1049197, 113.295961 23.1046278, 113.2956174 23.1046202, 113.295576 23.1046342, 113.2956174 23.1048398, 113.2955333 23.1048753, 113.2955153 23.1049705, 113.2955374 23.1050568, 113.2955071 23.1050974, 113.295467 23.1051139, 113.2954519 23.1051545, 113.2954629 23.1051786, 113.2955002 23.1052015))"
