u,v,key,osmid,oneway,name,highway,reversed,length,geometry,tunnel,access,width,bridge,service
1196672273,1196672361,0,527572904,False,珞珈山路,residential,True,25.424,"LINESTRING (114.3580757 30.5364733, 114.3580403 30.5366999)",,,,,
1196672273,1197846031,0,103751589,False,梅园二路,residential,True,497.02099999999996,"LINESTRING (114.3580757 30.5364733, 114.3584028 30.5367506, 114.358612 30.536977, 114.3589553 30.5372542, 114.359127 30.5374714, 114.3593362 30.5378872, 114.3595004 30.5384316, 114.3599531 30.5385248, 114.360511 30.5387096, 114.3606502 30.538749, 114.3615062 30.5389325, 114.3616107 30.5389453, 114.3618523 30.5389634)",,,,,
1196672273,3631666661,0,527572904,False,珞珈山路,residential,False,73.713,"LINESTRING (114.3580757 30.5364733, 114.3581133 30.5359281, 114.3581287 30.5358121)",,,,,
1196672287,1196672255,0,103639128,False,,living_street,False,76.521,"LINESTRING (114.3612762 30.5336595, 114.3620744 30.5336295)",,,,,
1196672287,1196676768,0,103639638,False,,living_street,False,28.067,"LINESTRING (114.3612762 30.5336595, 114.3612513 30.533408)",,,,,
1196672287,1196672252,0,103639128,False,,living_street,True,92.248,"LINESTRING (114.3612762 30.5336595, 114.3611206 30.5336688, 114.3608309 30.5337381, 114.3604608 30.5338166, 114.3603489 30.5338653)",,,,,
1196672289,1196688848,0,103639126,False,,living_street,False,17.93,"LINESTRING (114.3636311 30.5334562, 114.3636108 30.5336165)",,,,,
1196672289,1196672258,0,103639126,False,,living_street,True,49.005,"LINESTRING (114.3636311 30.5334562, 114.3636271 30.5330155)",,,,,
1196672289,1196672267,0,527572906,False,,living_street,True,64.367,"LINESTRING (114.3636311 30.5334562, 114.362966 30.5333731)",,,,,
1196672295,1197850857,0,103752736,False,,steps,False,53.573,"LINESTRING (114.3582713 30.5383813, 114.3588203 30.5382889)",,,,,
1196672295,1196672361,0,103639121,False,珞珈山路,residential,False,193.602,"LINESTRING (114.3582713 30.5383813, 114.3583973 30.5380902, 114.3582503 30.5376222, 114.3580774 30.5371321, 114.3580403 30.5366999)",,,,,
1196672295,1196672324,0,103639121,False,珞珈山路,residential,True,68.555,"LINESTRING (114.3582713 30.5383813, 114.3581417 30.5387184, 114.3580361 30.5389635)",,,,,
1196672296,1196672313,0,103639119,False,珞东三路,residential,False,329.898,"LINESTRING (114.3694549 30.5386648, 114.3693288 30.5385101, 114.3692978 30.5383954, 114.3693322 30.5383065, 114.3693998 30.5382383, 114.3698665 30.5380119, 114.3702345 30.5378731, 114.3702817 30.537855, 114.3705638 30.5376931, 114.3706658 30.5375729, 114.3706765 30.5374759, 114.3706765 30.537402, 114.3706765 30.537268, 114.3706014 30.5371294, 114.3704512 30.5370231, 114.3701722 30.5369122, 114.3698397 30.5368475)",,,,,
1196672296,1358787373,0,488587938,False,扬波路,residential,False,221.975,"LINESTRING (114.3694549 30.5386648, 114.3700749 30.5382808, 114.3706435 30.5379956, 114.3709775 30.5377888, 114.3711491 30.5376155, 114.3712883 30.5374684)",,,,,
1196672296,1196701860,0,488587938,False,扬波路,residential,True,106.55400000000002,"LINESTRING (114.3694549 30.5386648, 114.3693039 30.5387792, 114.3692355 30.5388358, 114.3691175 30.5389038, 114.368992 30.5389588, 114.3688756 30.5390064, 114.3686567 30.5390807, 114.3685791 30.5392107)",,,,,
1196672299,1196672252,0,27619462,True,珞南四路,residential,False,57.287,"LINESTRING (114.3606668 30.5343017, 114.3603489 30.5338653)",,,,,
1196672299,1199709737,0,527572904,False,珞珈山路,residential,True,50.851,"LINESTRING (114.3606668 30.5343017, 114.3602168 30.5345444)",,,,,
1196672299,1196672342,0,527572904,False,珞珈山路,residential,False,82.477,"LINESTRING (114.3606668 30.5343017, 114.3611442 30.5341446, 114.3614822 30.534066)",,,,,
1196672313,1196701923,0,103639119,False,珞东三路,residential,False,149.132,"LINESTRING (114.3698397 30.5368475, 114.3695907 30.5368936, 114.3692152 30.536889, 114.3687432 30.536658, 114.3683945 30.5365194)",,,,,
1196672313,1196672296,0,103639119,False,珞东三路,residential,True,329.898,"LINESTRING (114.3698397 30.5368475, 114.3701722 30.5369122, 114.3704512 30.5370231, 114.3706014 30.5371294, 114.3706765 30.537268, 114.3706765 30.537402, 114.3706765 30.5374759, 114.3706658 30.5375729, 114.3705638 30.5376931, 114.3702817 30.537855, 114.3702345 30.5378731, 114.3698665 30.5380119, 114.3693998 30.5382383, 114.3693322 30.5383065, 114.3692978 30.5383954, 114.3693288 30.5385101, 114.3694549 30.5386648)",,,,,
1196672313,1196672350,0,103939870,False,珞东二路,residential,False,173.707,"LINESTRING (114.3698397 30.5368475, 114.3695929 30.5367182, 114.3695163 30.5366869, 114.3682207 30.5361454)",,,,,
1196672318,1196701894,0,103642352,False,学府路,residential,True,41.745,"LINESTRING (114.3577839 30.5394117, 114.3582077 30.5393239)",,,,,
1196672318,1196701977,0,103639121,False,珞珈山路,residential,False,36.03,"LINESTRING (114.3577839 30.5394117, 114.3579234 30.5391992, 114.3579587 30.5391253)",,,,,
1196672318,1196701902,0,"[103639121, 27619437]",False,"['自强大道', '珞珈山路']","['tertiary', 'residential']","[False, True]",104.398,"LINESTRING (114.3577839 30.5394117, 114.357682 30.5395272, 114.3569105 30.5399615)",,,,,
1196672324,1196701977,0,103639121,False,珞珈山路,residential,True,19.459,"LINESTRING (114.3580361 30.5389635, 114.3579587 30.5391253)",,,,,
1196672324,3709156213,0,358205729,False,,service,False,2.262,"LINESTRING (114.3580361 30.5389635, 114.3580268 30.5389448)",,,,,
1196672324,1196672295,0,103639121,False,珞珈山路,residential,False,68.555,"LINESTRING (114.3580361 30.5389635, 114.3581417 30.5387184, 114.3582713 30.5383813)",,,,,
1196672326,1199709558,0,103642348,False,珞东路,residential,False,48.896,"LINESTRING (114.3660953 30.5347637, 114.3660878 30.5348329, 114.3661543 30.5349116, 114.3663152 30.5350594, 114.3663579 30.5351193)",,,,,
1196672326,1197776481,0,103745616,False,,residential,True,237.023,"LINESTRING (114.3660953 30.5347637, 114.3663614 30.5347593, 114.366753 30.5349996, 114.3682497 30.5357432)",,,,,
1196672326,1196688823,0,527572904,False,珞珈山路,residential,True,43.400000000000006,"LINESTRING (114.3660953 30.5347637, 114.3658914 30.534773, 114.3656445 30.5347455)",,,,,
1196672334,1196688827,0,103640963,False,珞南六路,living_street,True,37.864999999999995,"LINESTRING (114.36277 30.5343779, 114.3628211 30.5340798, 114.362829 30.5340412)",,,,,
1196672334,1199709820,0,527572904,False,珞珈山路,residential,False,58.97200000000001,"LINESTRING (114.36277 30.5343779, 114.3630378 30.5344403, 114.3633715 30.5344882)",,,,,
1196672334,1197846082,0,527572904,False,珞珈山路,residential,True,66.056,"LINESTRING (114.36277 30.5343779, 114.3625819 30.534334, 114.3621248 30.5341708)",,,,,
1196672335,1196688706,0,103639126,False,,living_street,True,40.826,"LINESTRING (114.3635206 30.5345096, 114.3635441 30.534143)",,,,,
1196672335,1196688785,0,527572904,False,珞珈山路,residential,False,44.981,"LINESTRING (114.3635206 30.5345096, 114.3639864 30.5345613)",,,,,
1196672335,1199709820,0,527572904,False,珞珈山路,residential,True,14.477,"LINESTRING (114.3635206 30.5345096, 114.3633715 30.5344882)",,,,,
1196672342,1196688711,0,103639127,False,珞南五路,residential,False,59.601,"LINESTRING (114.3614822 30.534066, 114.3615337 30.5340197, 114.3617858 30.5338628, 114.361962 30.5337265)",,,,,
1196672342,1197846082,0,527572904,False,珞珈山路,residential,False,63.41499999999999,"LINESTRING (114.3614822 30.534066, 114.3616699 30.534066, 114.361922 30.5340984, 114.3621248 30.5341708)",,,,,
1196672342,1196672299,0,527572904,False,珞珈山路,residential,True,82.477,"LINESTRING (114.3614822 30.534066, 114.3611442 30.5341446, 114.3606668 30.5343017)",,,,,
1196672347,1197829743,0,103747561,False,,living_street,True,37.658,"LINESTRING (114.3597924 30.5347637, 114.3595876 30.5344746)",,,,,
1196672347,1196672356,0,527572904,False,珞珈山路,residential,True,15.828,"LINESTRING (114.3597924 30.5347637, 114.3596583 30.5348469)",,,,,
1196672347,1199709737,0,527572904,False,珞珈山路,residential,False,47.402,"LINESTRING (114.3597924 30.5347637, 114.3601357 30.5345881, 114.3602168 30.5345444)",,,,,
1196672350,1196701937,0,103745612,False,,steps,False,24.749,"LINESTRING (114.3682207 30.5361454, 114.3679952 30.5362541)",,,,,
1196672350,1197776481,0,103745612,False,,steps,True,50.016999999999996,"LINESTRING (114.3682207 30.5361454, 114.3681183 30.535965, 114.3682497 30.5357432)",,,,,
1196672350,1196701959,0,103939870,False,珞东二路,residential,False,70.97,"LINESTRING (114.3682207 30.5361454, 114.3680426 30.5361083, 114.3675792 30.5358409)",,,,,
1196672350,1196672313,0,103939870,False,珞东二路,residential,True,173.707,"LINESTRING (114.3682207 30.5361454, 114.3695163 30.5366869, 114.3695929 30.5367182, 114.3698397 30.5368475)",,,,,
1196672356,1196672347,0,527572904,False,珞珈山路,residential,False,15.828,"LINESTRING (114.3596583 30.5348469, 114.3597924 30.5347637)",,,,,
1196672356,1197829725,0,527572904,False,珞珈山路,residential,True,53.437,"LINESTRING (114.3596583 30.5348469, 114.3592881 30.5350687, 114.3591939 30.5351124)",,,,,
1196672356,9555952699,0,1037329807,False,,path,True,136.221,"LINESTRING (114.3596583 30.5348469, 114.3598209 30.5351361, 114.3598242 30.5352999, 114.3596874 30.5354982, 114.3591502 30.5357109)",,,,,
1196672361,1196672273,0,527572904,False,珞珈山路,residential,False,25.424,"LINESTRING (114.3580403 30.5366999, 114.3580757 30.5364733)",,,,,
1196672361,1196672295,0,103639121,False,珞珈山路,residential,True,193.60199999999998,"LINESTRING (114.3580403 30.5366999, 114.3580774 30.5371321, 114.3582503 30.5376222, 114.3583973 30.5380902, 114.3582713 30.5383813)",,,,,
1196672361,1197850857,0,103751583,False,梅园一路,residential,True,196.27,"LINESTRING (114.3580403 30.5366999, 114.3581056 30.5367921, 114.3583792 30.5370554, 114.3585026 30.5371987, 114.3586099 30.5375729, 114.358685 30.537827, 114.358744 30.5380996, 114.3588203 30.5382889)",,,,,
1196672364,1196688767,0,103639127,False,珞南五路,residential,False,12.667,"LINESTRING (114.3624885 30.5328417, 114.36247 30.5327289)",,,,,
1196672364,1196688786,0,527572905,False,,living_street,True,14.895,"LINESTRING (114.3624885 30.5328417, 114.3625332 30.53297)",,,,,
1196672364,1196676769,0,103639127,False,珞南五路,residential,True,32.871,"LINESTRING (114.3624885 30.5328417, 114.3624081 30.5330773, 114.3623852 30.5331233)",,,,,
1196676697,1196676777,0,103639638,False,,living_street,True,134.183,"LINESTRING (114.3622229 30.5327884, 114.3612841 30.5328439, 114.3612143 30.5328508, 114.3612009 30.5328993, 114.3612291 30.5331841)",,,,,
1196676768,1196676773,0,103639632,False,,living_street,True,97.303,"LINESTRING (114.3612513 30.533408, 114.3622659 30.5333631)",,,,,
1196676768,1196676777,0,103639638,False,,living_street,False,24.987,"LINESTRING (114.3612513 30.533408, 114.3612291 30.5331841)",,,,,
1196676768,1196672287,0,103639638,False,,living_street,True,28.067,"LINESTRING (114.3612513 30.533408, 114.3612762 30.5336595)",,,,,
1196676769,1196676773,0,103639127,False,珞南五路,residential,True,29.01,"LINESTRING (114.3623852 30.5331233, 114.3622659 30.5333631)",,,,,
1196676769,1196676777,0,103639643,False,,living_street,False,110.933,"LINESTRING (114.3623852 30.5331233, 114.3612291 30.5331841)",,,,,
1196676769,1196672364,0,103639127,False,珞南五路,residential,False,32.871,"LINESTRING (114.3623852 30.5331233, 114.3624081 30.5330773, 114.3624885 30.5328417)",,,,,
1196676773,1196676769,0,103639127,False,珞南五路,residential,False,29.01,"LINESTRING (114.3622659 30.5333631, 114.3623852 30.5331233)",,,,,
1196676773,1196688782,0,103639127,False,珞南五路,residential,True,10.055,"LINESTRING (114.3622659 30.5333631, 114.3622245 30.5334462)",,,,,
1196676773,1196676768,0,103639632,False,,living_street,False,97.303,"LINESTRING (114.3622659 30.5333631, 114.3612513 30.533408)",,,,,
1196676777,1196676768,0,103639638,False,,living_street,True,24.987,"LINESTRING (114.3612291 30.5331841, 114.3612513 30.533408)",,,,,
1196676777,1196676769,0,103639643,False,,living_street,True,110.933,"LINESTRING (114.3612291 30.5331841, 114.3623852 30.5331233)",,,,,
