u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
5227149207,5227149205,0,540274757,unclassified,False,False,77.389,"LINESTRING (113.4069869 23.0202638, 113.4069012 23.020599, 113.4069048 23.0209506)",
5227149208,5227149182,0,504914068,unclassified,False,False,101.879,"LINESTRING (113.4072212 23.0198583, 113.4081096 23.0202717)",
5227149208,4950043876,0,504914068,unclassified,False,True,100.374,"LINESTRING (113.4072212 23.0198583, 113.4063392 23.0194635)",
5227149208,5227149207,0,540274757,unclassified,False,False,51.069,"LINESTRING (113.4072212 23.0198583, 113.4069869 23.0202638)",
5227149210,5227149205,0,540274757,unclassified,False,True,134.47,"LINESTRING (113.4068977 23.0221599, 113.4069048 23.0209506)",
5227149210,5227149213,0,540274757,unclassified,False,False,79.155,"LINESTRING (113.4068977 23.0221599, 113.4073404 23.0221829, 113.4074297 23.0221961, 113.4076427 23.0222971)",
5227149210,5227149188,0,972227827,service,False,False,175.99,"LINESTRING (113.4068977 23.0221599, 113.4066564 23.0221595, 113.4065759 23.0221768, 113.4065357 23.0222138, 113.4065276 23.022473, 113.4065437 23.0225322, 113.4066054 23.0225767, 113.4067959 23.0226433, 113.4075027 23.0226902)",
5227149213,5227149188,0,540274754,unclassified,False,False,46.317,"LINESTRING (113.4076427 23.0222971, 113.4075406 23.0225059, 113.4075027 23.0226902)",
5227149213,9627884431,0,540274754,unclassified,False,True,18.343,"LINESTRING (113.4076427 23.0222971, 113.4076867 23.022207, 113.4077046 23.0221429)",
5227149213,5227149210,0,540274757,unclassified,False,True,79.155,"LINESTRING (113.4076427 23.0222971, 113.4074297 23.0221961, 113.4073404 23.0221829, 113.4068977 23.0221599)",
5227149214,5227224051,0,504914064,unclassified,False,False,143.159,"LINESTRING (113.4059972 23.020116, 113.4053958 23.0212784)",
5227149214,4950043876,0,504914064,unclassified,False,True,80.556,"LINESTRING (113.4059972 23.020116, 113.4063392 23.0194635)",
5227149214,5227149207,0,540274756,unclassified,False,True,102.611,"LINESTRING (113.4059972 23.020116, 113.4069869 23.0202638)",
5227149216,9627882855,0,504914064,unclassified,False,False,152.168,"LINESTRING (113.4084437 23.0242695, 113.4085972 23.0242794, 113.408765 23.0242465, 113.4089114 23.0241742, 113.4090328 23.0240231, 113.4093791 23.0235236, 113.409397 23.0234349, 113.4093797 23.0233924)",
5227149216,5227223969,0,504914064,unclassified,False,True,106.519,"LINESTRING (113.4084437 23.0242695, 113.4082437 23.0241808, 113.4075652 23.0237589)",
5227149325,9627882855,0,504914064,unclassified,False,True,71.9,"LINESTRING (113.4088132 23.0230547, 113.4092827 23.0232443, 113.4093541 23.0233297, 113.4093797 23.0233924)",
5227149325,9627882865,0,540274754,unclassified,False,False,94.43800000000002,"LINESTRING (113.4088132 23.0230547, 113.4088481 23.022985, 113.4089194 23.022706, 113.408995 23.0223773, 113.4090564 23.0222384)",
5227149325,5227149188,0,540274754,unclassified,False,True,170.445,"LINESTRING (113.4088132 23.0230547, 113.4087577 23.0231236, 113.4085103 23.0232026, 113.4084294 23.0232172, 113.4082722 23.0232287, 113.4079519 23.0231882, 113.4077517 23.0231085, 113.4075731 23.0229093, 113.4075027 23.0226902)",
5227149338,5227149339,0,540282341,unclassified,False,False,103.537,"LINESTRING (113.4103642 23.0223008, 113.4108221 23.0214705)",
