u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,service,tunnel,bridge,ref,junction,access
1988660769,8493451184,0,188244800,,residential,False,False,138.318,"LINESTRING (113.3550466 23.1647057, 113.3536936 23.1647076)",,,,,,,,
1988660769,1988660768,0,188244800,,residential,False,True,41.24,"LINESTRING (113.3550466 23.1647057, 113.35545 23.1647052)",,,,,,,,
1988660769,1988660755,0,188244764,永根路,residential,False,False,126.711,"LINESTRING (113.3550466 23.1647057, 113.3550446 23.1644389, 113.3550178 23.1642595, 113.354927 23.1641231, 113.3548029 23.1640122, 113.3546081 23.1638957, 113.3544383 23.1638657)",,,,,,,,
1988660770,8493451184,0,188244800,,residential,False,True,109.427,"LINESTRING (113.3526232 23.1647086, 113.3536936 23.1647076)",,,,,,,,
1988660770,1988660783,0,188244807,昭阳路,residential,False,True,56.137,"LINESTRING (113.3526232 23.1647086, 113.3526099 23.1652133)",,,,,,,,
1988660770,1988660792,0,"[188244800, 969710165]",,residential,False,False,161.45100000000002,"LINESTRING (113.3526232 23.1647086, 113.3517796 23.1647102, 113.3516395 23.1647647, 113.3516361 23.1653012)",,,,,,,,
1988660770,1988660746,0,"[969710166, 188244807]",昭阳路,residential,False,False,196.72899999999998,"LINESTRING (113.3526232 23.1647086, 113.3526423 23.1639789, 113.3526803 23.1638977, 113.3527787 23.1638512, 113.3535 23.1638618, 113.3536985 23.1638261)",,,,,,,,
1988660773,1988676671,0,188246618,华农紫薇路,residential,False,True,63.035,"LINESTRING (113.3473839 23.1647202, 113.3480005 23.1647195)",,,,,,,,
1988660773,5808417305,0,613986257,,residential,False,False,90.308,"LINESTRING (113.3473839 23.1647202, 113.3472866 23.1646208, 113.3472236 23.1644978, 113.3471882 23.1643188, 113.3471712 23.1639586)",,,,,,,,
1988660783,1988660770,0,188244807,昭阳路,residential,False,False,56.137,"LINESTRING (113.3526099 23.1652133, 113.3526232 23.1647086)",,,,,,,,
1988660783,1988660796,0,188244770,,residential,False,False,18.274,"LINESTRING (113.3526099 23.1652133, 113.3525739 23.1652145, 113.3525401 23.1652266, 113.3525127 23.1652481, 113.3524944 23.1652767, 113.3524874 23.1653076)",,,,,,,,
1988660783,8973570969,0,188244770,,residential,False,True,16.031,"LINESTRING (113.3526099 23.1652133, 113.3526445 23.165223, 113.3526716 23.1652407, 113.3526916 23.1652651, 113.3527025 23.1652939, 113.3527032 23.1653132)",,,,,,,,
1988660792,1988660793,0,188244785,华农燕山路,residential,False,False,80.598,"LINESTRING (113.3516361 23.1653012, 113.3508477 23.1652999)",,,,,,,,
1988660792,1988660796,0,188244785,华农燕山路,residential,False,True,87.031,"LINESTRING (113.3516361 23.1653012, 113.3524874 23.1653076)",,,,,,,,
1988660792,1988660808,0,969710165,,residential,False,False,39.397,"LINESTRING (113.3516361 23.1653012, 113.3516342 23.1656555)",,,,,,,,
1988660792,1988660770,0,"[188244800, 969710165]",,residential,False,True,161.45100000000002,"LINESTRING (113.3516361 23.1653012, 113.3516395 23.1647647, 113.3517796 23.1647102, 113.3526232 23.1647086)",,,,,,,,
