element_type,osmid,amenity,fee,parking,geometry,access,nodes
node,7996596234,parking,no,surface,POINT (113.3495802 23.1595685),,
node,8019792982,parking,,,POINT (113.3439024 23.161537),,
node,8148205759,parking,,surface,POINT (113.3493349 23.1584851),,
node,8526973973,parking,,,POINT (113.3425209 23.1652895),customers,
node,11185987608,parking,,,POINT (113.3442283 23.1616969),,
way,614119173,parking,,,"POLYGON ((113.3473138 23.1615633, 113.3472656 23.1615362, 113.3472455 23.1614992, 113.3472414 23.1614733, 113.3472508 23.161128, 113.3473051 23.1611532, 113.3478275 23.1613974, 113.3477846 23.1616249, 113.3473138 23.1615633))",,"[5809450692, 5809450691, 5809450690, 5809450689, 5809450688, 8067848291, 5809450687, 5809450686, 5809450692]"
way,854396423,parking,no,surface,"POLYGON ((113.3518078 23.1563663, 113.3520046 23.1563728, 113.3520183 23.1560186, 113.3518215 23.1560122, 113.3518078 23.1563663))",yes,"[7967862932, 7967862933, 7967862934, 7967862935, 7967862932]"
way,871061286,parking,,surface,"POLYGON ((113.3509232 23.1622262, 113.351028 23.1617751, 113.351165 23.161802, 113.3510601 23.1622531, 113.3509232 23.1622262))",,"[8113908150, 8113908151, 8113908152, 8113908153, 8113908150]"
