element_type,osmid,building,historic,name,name:zh-Hans,geometry,nodes,addr:housenumber,addr:place,alt_name,name:zh,name:en,addr:city,addr:district,addr:postcode,addr:province,building:levels,wheelchair,amenity,layer,level,opening_hours,operator,ref,start_date,subway,wikidata,wikimedia_commons,wikipedia,smoking,name:alt,old_name,alt_name:en,alt_name:zh,height,tourism,office,leisure,construction,ways,type
way,362332924,university,,第二教学大楼,,"POLYGON ((113.3413406 23.1615504, 113.3413528 23.1613886, 113.3414692 23.161396, 113.3414747 23.1613226, 113.3413979 23.1613177, 113.3414049 23.1612244, 113.3414889 23.1612297, 113.3414949 23.1611502, 113.3419363 23.1611784, 113.3419297 23.1612652, 113.3420099 23.1612703, 113.3420037 23.1613526, 113.3419288 23.1613479, 113.341922 23.1614391, 113.3420258 23.1614457, 113.3420147 23.1615931, 113.3413406 23.1615504))","[3666609366, 3666609367, 8001716414, 3666609368, 3666609369, 8001716415, 8001716416, 8001716417, 3666609370, 3666609371, 3666609372, 8001716418, 8001716419, 8001716420, 8001716421, 3666609373, 3666609366]",35,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,371361763,university,,,,"POLYGON ((113.3431426 23.1594865, 113.3431554 23.159292, 113.3435568 23.1593143, 113.343544 23.1595088, 113.3431426 23.1594865))","[3749345755, 3749345756, 3749345757, 3749345758, 3749345755]",4,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,371362288,university,,,,"POLYGON ((113.3424549 23.1594777, 113.3427036 23.1595004, 113.3427124 23.1594207, 113.342464 23.1594063, 113.3424549 23.1594777))","[3749349556, 3749349557, 3749349558, 3749349559, 3749349556]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,371362289,dormitory,,职工住宅,,"POLYGON ((113.342769 23.1594451, 113.3427708 23.1593719, 113.3430451 23.15938, 113.3430415 23.1594532, 113.342769 23.1594451))","[3749349560, 3749349561, 3749349562, 3749349563, 3749349560]",,,,职工住宅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,371878330,university,,木材科学与工程教学实践基地,,"POLYGON ((113.3415294 23.161998, 113.3415237 23.1617378, 113.341943 23.1617299, 113.3419488 23.1619902, 113.3415294 23.161998))","[3754284388, 3754284389, 3754284390, 3754284392, 3754284388]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,383469181,university,,,,"POLYGON ((113.3456905 23.1592599, 113.3460436 23.159256, 113.346042 23.1591366, 113.3456889 23.1591405, 113.3456905 23.1592599))","[3867429896, 3867429897, 3867429898, 3867429899, 3867429896]",15,华南农业大学,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
way,383469182,university,,,,"POLYGON ((113.3466714 23.1592341, 113.3466679 23.1591221, 113.3470367 23.1591124, 113.3470402 23.1592245, 113.3466714 23.1592341))","[3867429900, 3867429901, 3867429902, 3867429903, 3867429900]",14,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,383469183,yes,,,,"POLYGON ((113.3457806 23.1603083, 113.3457777 23.1602356, 113.3461504 23.1602229, 113.3461533 23.1602956, 113.3457806 23.1603083))","[3867429906, 3867429907, 3867429908, 3867429909, 3867429906]",18-1,华南农业大学,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
way,383469184,university,,,,"POLYGON ((113.3460026 23.1586033, 113.3460014 23.1585017, 113.346225 23.1584995, 113.3462261 23.1586011, 113.3460026 23.1586033))","[3867429910, 3867429911, 3867429912, 3867429913, 3867429910]",12,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,400487945,university,,,,"POLYGON ((113.3528994 23.1637107, 113.3528994 23.1629216, 113.35357 23.1629216, 113.3534895 23.1632027, 113.3534841 23.1634, 113.3535646 23.1637107, 113.3528994 23.1637107))","[4030356127, 4030356128, 4030356129, 4030356130, 4030356131, 4030356132, 4030356127]",76,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
