element_type,osmid,amenity,name,name:zh,geometry,nodes,building
node,4540665445,restaurant,稻香园,,POINT (113.3649037 23.165989),,
node,7961613985,restaurant,芷园,,POINT (113.3605361 23.1561351),,
node,7975842522,restaurant,绿榕园,,POINT (113.3495361 23.158834),,
way,205491391,restaurant,荷园饭堂,荷园饭堂,"POLYGON ((113.3620132 23.1636452, 113.3619092 23.1634717, 113.3619929 23.1634684, 113.3619947 23.1632923, 113.362079 23.1632837, 113.3620763 23.1632129, 113.3620099 23.1631799, 113.3619799 23.1631134, 113.3620127 23.1630475, 113.3620669 23.163021, 113.3620836 23.1629574, 113.3624302 23.1629283, 113.3625942 23.1630148, 113.362682 23.1631295, 113.3626838 23.1633062, 113.3620132 23.1636452))","[4112882663, 2154546740, 2154546729, 2154546744, 4112882669, 9398303832, 9398303833, 9398303831, 9398303835, 9398303834, 2154546706, 2154546710, 2154546715, 2154546737, 2154546755, 4112882663]",yes
