element_type,osmid,nodes,name,name:zh,natural,geometry,fishing,salt,tidal,water,ways,type
way,205382429,"[2153536206, 2153536144, 2153536141, 8064230013, 2153536156, 2153536206]",,,water,"POLYGON ((113.3610399 23.1563525, 113.3616796 23.1561679, 113.3615803 23.1559803, 113.3612645 23.1560533, 113.3610453 23.1561466, 113.3610399 23.1563525))",,,,,,
way,205382430,"[2153536200, 2153536204, 2153536214, 2153536114, 2153536118, 2153536202, 2153536213, 2153536220, 2153536195, 2153536194, 2153536222, 2153536226, 2153536191, 2153536200]",,,water,"POLYGON ((113.3481902 23.1554881, 113.3482519 23.1558186, 113.3482626 23.156223, 113.3482626 23.1564573, 113.3483807 23.1565461, 113.3485469 23.1565732, 113.3487696 23.1565189, 113.3489573 23.156445, 113.3489359 23.1557742, 113.3487964 23.1555103, 113.348563 23.1552883, 113.348437 23.155276, 113.3482734 23.1553673, 113.3481902 23.1554881))",,,,,,
way,205382432,"[2153536145, 2153536228, 6509548117, 2153536211, 6509548118, 2153536212, 2153536225, 2153536123, 2153536145]",宁荫湖,,water,"POLYGON ((113.3505497 23.1625507, 113.3506516 23.162319, 113.3494203 23.1619118, 113.3490613 23.1618135, 113.3488355 23.1617987, 113.3487476 23.1618158, 113.3487798 23.1620871, 113.3490387 23.1621238, 113.3505497 23.1625507))",no,no,no,lake,,
way,205382433,"[2153536111, 2153536210, 2153536128, 2153536230, 2153536115, 2153536207, 2153536178, 2153536105, 2153536101, 2153536229, 2153536127, 2153536132, 2153536177, 2153536160, 2153536165, 2153536129, 2153536185, 2153536205, 2153536170, 2153536180, 2153536126, 2153536147, 2153536146, 2153536208, 2153536122, 2153536119, 2153536111]",邵阳湖,,water,"POLYGON ((113.3539511 23.1626099, 113.3540198 23.1624175, 113.3541539 23.1624076, 113.3541914 23.162457, 113.3544017 23.1624274, 113.3544178 23.1623189, 113.3545348 23.1623287, 113.3545412 23.1624224, 113.3547504 23.1624471, 113.3548953 23.1624126, 113.3550712 23.1624126, 113.3549918 23.1626099, 113.3550347 23.1628022, 113.3552053 23.1629403, 113.3551206 23.1629847, 113.3551195 23.1631474, 113.3548738 23.1632066, 113.3545573 23.1636456, 113.3540638 23.1635864, 113.3539661 23.1635321, 113.353935 23.1634236, 113.3539619 23.1632658, 113.3539726 23.1631622, 113.3538921 23.1630981, 113.3541496 23.1627973, 113.3541228 23.1626592, 113.3539511 23.1626099))",,,,,,
way,205382434,"[2153536143, 10677742353, 2153536216, 2153536196, 2153536187, 2153536151, 2153536121, 2153536157, 2153536148, 2153536140, 2153536215, 2153536167, 2153536154, 2153536179, 2153536168, 2153536133, 2153536176, 2153536197, 2153536153, 2153536143]",,,water,"POLYGON ((113.3494718 23.1573476, 113.3496296 23.1573381, 113.3498034 23.1573276, 113.349901 23.1576879, 113.3500394 23.1578899, 113.3502175 23.1580085, 113.3504632 23.1581315, 113.3505007 23.1581808, 113.3506348 23.1581956, 113.3506778 23.1582647, 113.3509792 23.1582647, 113.351108 23.1581513, 113.3514127 23.1581661, 113.3514073 23.1584077, 113.3514513 23.1585162, 113.3514352 23.1585656, 113.3499761 23.1585409, 113.3498956 23.1584423, 113.3497712 23.158388, 113.3494718 23.1573476))",,,,,,
way,205382435,"[2153536181, 2153536212, 2153536225, 6509548113, 2153536139, 2153536107, 2153536136, 2153536183, 2153536166, 8115369374, 8115369373, 2153536217, 2153536106, 8115369372, 2153536158, 8115369371, 2153536192, 7994162438, 2153536113, 6509548115, 2153536186, 6509548114, 2153536173, 7994162443, 6509548112, 2153536181]",宁荫湖,,water,"POLYGON ((113.3485014 23.1619454, 113.3487476 23.1618158, 113.3487798 23.1620871, 113.3486354 23.1620748, 113.3483292 23.1621857, 113.3478196 23.1624915, 113.347546 23.1628861, 113.3474012 23.1632362, 113.3474162 23.1639563, 113.3474992 23.1642229, 113.347624 23.1643818, 113.3476979 23.1645341, 113.3476522 23.1646256, 113.3475081 23.1646434, 113.3473891 23.1645959, 113.3473053 23.1644939, 113.3472592 23.1643381, 113.347228 23.1634729, 113.3472712 23.1624982, 113.3473372 23.1624087, 113.3473356 23.1619842, 113.3474017 23.1619132, 113.3475034 23.1618783, 113.3476745 23.1618503, 113.3480139 23.1619396, 113.3485014 23.1619454))",no,no,no,lake,,
way,205382436,"[2153536137, 2153536218, 2153536131, 2153536142, 2153536223, 2153536104, 2153536138, 2153536209, 2153536172, 2153536219, 2153536108, 2153536227, 2153536130, 2153536161, 2153536224, 2153536116, 2153536201, 2153536120, 2153536137]",洪泽湖,洪泽湖,water,"POLYGON ((113.3468485 23.1581244, 113.3469558 23.1580109, 113.3469424 23.1577865, 113.3465052 23.1575226, 113.3463603 23.157498, 113.3459714 23.1576953, 113.3455503 23.1578704, 113.3451909 23.1578457, 113.3450461 23.1579493, 113.3449844 23.1583315, 113.3450853 23.158531, 113.345038 23.15898, 113.3452365 23.1591008, 113.3453277 23.1590712, 113.3454698 23.1587432, 113.3456728 23.1583905, 113.3460814 23.158117, 113.3465042 23.1581143, 113.3468485 23.1581244))",,,,lake,,
way,546710163,"[5283031976, 5283031977, 5283031978, 5283031979, 5283031980, 5283031981, 5283031982, 5283031983, 5283031976]",,,water,"POLYGON ((113.3485512 23.1664808, 113.348873 23.1659926, 113.3491842 23.1661208, 113.349211 23.1662638, 113.3492485 23.1663476, 113.3493558 23.1663871, 113.3491305 23.1666238, 113.3488838 23.1667126, 113.3485512 23.1664808))",,,,pond,,
way,613986283,"[5808417747, 5808417722, 5808417723, 5808417724, 5808417725, 5808417726, 5808417727, 5808417728, 5808417729, 5808417730, 5808417731, 5808417732, 5808417733, 5808417734, 5808417735, 5808417736, 5808417737, 5808417738, 5808417739, 5808417740, 5808417741, 5808417742, 5808417743, 5808417744, 5808417745, 5808417746, 5808417790, 5808417789, 5808417788, 5808417787, 5808417786, 5808417785, 5808417784, 5808417783, 5808417782, 5808417781, 5808417780, 5808417779, 5808417778, 5808417777, 5808417776, 5808417775, 5808417774, 5808417773, 5808417772, 5808417771, 5808417770, 5808417769, 5808417768, 5808417767, 5808417766, 5808417765, 5808417764, 5808417763, 5808417762, 5808417761, 5808417760, 5808417759, 5808417758, 5808417757, 5808417756, 5808417755, 5808417754, 5808417753, 5808417752, 5808417751, 5808417750, 5808417749, 5808417748, 5808417747]",西湖,,water,"POLYGON ((113.3424278 23.162863, 113.3423553 23.1629215, 113.3422896 23.1629628, 113.342234 23.162998, 113.3421367 23.1630467, 113.3419047 23.1631145, 113.3418263 23.1631201, 113.3417337 23.1631151, 113.3416358 23.1631046, 113.341546 23.1630942, 113.3414273 23.1630948, 113.3411758 23.1631028, 113.3411028 23.163104, 113.34098 23.1630837, 113.3406729 23.1629807, 113.3406146 23.1629591, 113.3405549 23.1629234, 113.340504 23.1628876, 113.3404376 23.1628389, 113.3401935 23.1626577, 113.3401546 23.1626447, 113.340109 23.1626472, 113.3400949 23.1626608, 113.3400835 23.1626947, 113.3400795 23.162723, 113.3400919 23.1628167, 113.3401016 23.1629382, 113.3401197 23.1630202, 113.3401311 23.1630467, 113.3401526 23.1630695, 113.3401841 23.1630763, 113.3402371 23.1630837, 113.3402619 23.1630911, 113.3403739 23.1631361, 113.340451 23.1631583, 113.3405167 23.1631644, 113.3405697 23.16317, 113.3407333 23.163199, 113.3408124 23.163223, 113.3409043 23.1632551, 113.3409747 23.1632902, 113.3411484 23.1633753, 113.3412577 23.1634191, 113.3415487 23.1635097, 113.3416385 23.1635362, 113.3417089 23.1635535, 113.3417666 23.1635608, 113.3418156 23.1635664, 113.3418672 23.1635664, 113.3419155 23.1635565, 113.3419497 23.1635461, 113.3421287 23.1633679, 113.3422574 23.1632304, 113.3423916 23.1631201, 113.3424479 23.1630818, 113.3425062 23.1630467, 113.3425532 23.1630128, 113.3425947 23.1629696, 113.3426323 23.1629055, 113.3426591 23.1628451, 113.3426665 23.1628056, 113.3426672 23.1627606, 113.3426611 23.1627181, 113.3426303 23.1626978, 113.3426216 23.1626984, 113.3425867 23.1627144, 113.3425558 23.1627421, 113.3425035 23.1627933, 113.3424405 23.1628506, 113.3424278 23.162863))",,,,,,
way,854849159,"[7972736855, 7972736856, 7972736857, 7972736858, 7972736859, 7972736860, 7972736861, 7972736862, 7972736863, 7972736864, 7972736865, 7972736866, 7972736867, 7972736868, 7972736855]",,,water,"POLYGON ((113.3561525 23.1582494, 113.3561525 23.1581284, 113.3561157 23.1579978, 113.3561893 23.1579446, 113.3562682 23.1579446, 113.3563156 23.1580365, 113.3563735 23.1581526, 113.3563735 23.1582155, 113.3564471 23.158351, 113.3564892 23.1584622, 113.3565032 23.1586182, 113.3563852 23.1586387, 113.3562735 23.1585058, 113.3562525 23.1583364, 113.3561525 23.1582494))",,,,lake,,
