element_type,osmid,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,level,name,name:de,name:en,opening_hours,opening_hours:note,operator,internet_access,nodes,building,building:part
node,4279565297,POINT (121.4959614 31.2832773),上海,50,200092,赤峰路,library,"1,_2",同济大学德文图书馆,Deutsche Bibliothek der Tongji-Universität,German Library of Tongji University,Mo-Su 08:00-22:00,周一至周日 北京时间早八点到晚十点,同济大学,,,,
node,7507463491,POINT (121.4994129 31.2855352),,,,,library,,同济大学图书馆,,,,,,wlan,,,
way,49263174,"POLYGON ((121.499631 31.2849345, 121.4991625 31.2851115, 121.4992364 31.2852545, 121.4991345 31.285293, 121.498996 31.2853453, 121.4992113 31.2857615, 121.4994231 31.2856815, 121.4994909 31.2858126, 121.4999881 31.2856247, 121.4998275 31.2853143, 121.499631 31.2849345))",,,,,library,4,同济图书馆,,The Library of Tongji University,,,,,"[625766239, 625766244, 1919676921, 2024714403, 1919676926, 1919676934, 1919676918, 625766248, 625766252, 2024714404, 625766239]",yes,
way,183383976,"POLYGON ((121.4993047 31.2852932, 121.4993681 31.2851304, 121.4995563 31.285184, 121.4994928 31.2853468, 121.4993047 31.2852932))",,,,,library,11,同济图书馆南区,,South Area of Tongji Lib.,,,,,"[1937562288, 1937562281, 1937562284, 1937562290, 1937562288]",,yes
way,183383977,"POLYGON ((121.4994736 31.2855815, 121.4995019 31.285509, 121.4995371 31.2854187, 121.4997253 31.2854723, 121.4996618 31.2856351, 121.4994736 31.2855815))",,,,,library,11,同济图书馆北区,,North Area of Tongji Lib.,,,,,"[1937562316, 3820708158, 1937562296, 1937562299, 1937562324, 1937562316]",,yes
