element_type,osmid,amenity,level,name,name:en,geometry,nodes,building,building:levels
node,3823819552,restaurant,1,南苑饮食广场,Nanyuan Canteen,POINT (121.4949072 31.28093),,,
way,125461261,restaurant,,西苑饮食广场,Xiyuan Canteen,"POLYGON ((121.4929901 31.2851158, 121.4930551 31.2850909, 121.4930751 31.285129, 121.4932815 31.2850499, 121.4934096 31.2852943, 121.4940034 31.285067, 121.4938534 31.2847808, 121.4937912 31.284735, 121.4936891 31.2847239, 121.4929951 31.2849827, 121.4930132 31.2850173, 121.4929509 31.2850411, 121.4929901 31.2851158))","[1393503465, 1393503439, 1393503481, 1393503458, 1393503462, 1393503429, 1393503468, 1393503433, 1393503407, 1393503411, 1393503426, 1393503416, 1393503465]",,
way,181555254,restaurant,,三好坞餐厅,Sanhaowu Canteen,"POLYGON ((121.4993096 31.287622, 121.4992545 31.2875214, 121.4997079 31.2873638, 121.4998221 31.2875844, 121.4996328 31.2876559, 121.499592 31.2875769, 121.4997184 31.2875291, 121.4996872 31.2874689, 121.4993096 31.287622))","[1919676933, 1919676905, 1919676922, 1919676909, 1919676920, 1919676937, 1919676903, 1919676915, 1919676933]",yes,3
way,183383957,restaurant,,学苑饮食广场,Xueyuan Canteen,"POLYGON ((121.498093 31.2844486, 121.4987155 31.2841959, 121.4988702 31.2844742, 121.4982476 31.2847269, 121.498093 31.2844486))","[1937562255, 1937562248, 1937562257, 1937562266, 1937562255]",yes,
way,183964066,restaurant,,西北食堂,Northwest Canteen,"POLYGON ((121.4959557 31.2883687, 121.4959791 31.2881998, 121.4963509 31.2882373, 121.4963634 31.2881471, 121.4965638 31.2881674, 121.4965321 31.288396, 121.4964391 31.2883865, 121.4964255 31.2884847, 121.4966899 31.2885115, 121.4966583 31.2887404, 121.4961682 31.2886908, 121.4961966 31.2884857, 121.4960416 31.2884701, 121.4960542 31.2883786, 121.4959557 31.2883687))","[1943975863, 1943975857, 1943975860, 1943975853, 1943975854, 1943975866, 1943975864, 1943975871, 1943975873, 1943975884, 1943975880, 1943975872, 1943975870, 1943975865, 1943975863]",yes,
way,189478409,restaurant,,三好坞餐厅,Sanhaowu Canteen(International Students' Canteen),"POLYGON ((121.4992814 31.2874248, 121.4992246 31.2873858, 121.4992934 31.2873126, 121.4993502 31.2873516, 121.4992814 31.2874248))","[2000861608, 2000861605, 2000861598, 2000861601, 2000861608]",yes,
way,406761638,restaurant,,北苑食堂,,"POLYGON ((121.4959716 31.2890772, 121.4959839 31.2889455, 121.4962304 31.2889692, 121.4962488 31.288856, 121.4961503 31.2888481, 121.4961687 31.2887349, 121.4963937 31.2887665, 121.4963351 31.289114, 121.4959716 31.2890772))","[4087968601, 4087968602, 4087968603, 4087968604, 4087968605, 4087968606, 4087968607, 4087968608, 4087968601]",yes,
