element_type,osmid,building,geometry,name,nodes,amenity,level,name:en,leisure,addr:city,addr:housenumber,addr:postcode,addr:street,building:levels,name:de,website,sport,shop,healthcare
way,183388123,yes,"POLYGON ((121.5015764 31.2866702, 121.501888 31.2865575, 121.5018102 31.2864003, 121.5014985 31.2865131, 121.5015764 31.2866702))",,"[1937606866, 1937606865, 1937606862, 1937606864, 1937606866]",,,,,,,,,,,,,,
way,183388124,residential,"POLYGON ((121.4949575 31.2850335, 121.4948806 31.284903, 121.4953539 31.2846995, 121.4954307 31.2848301, 121.4949575 31.2850335))",西南三楼,"[1937606847, 1937606846, 1937606835, 1937606840, 1937606847]",,,Xinan Apartments Building 2,,,,,,,,,,,
way,183388125,yes,"POLYGON ((121.5027752 31.2838881, 121.5025332 31.2834275, 121.5023409 31.2835013, 121.5024567 31.2837765, 121.5023307 31.2838105, 121.5024361 31.2840173, 121.5027752 31.2838881))",,"[1937606752, 1937606735, 1937606740, 1937606746, 1937606747, 1937606761, 1937606752]",,,,,,,,,,,,,,
way,183388126,yes,"POLYGON ((121.4961142 31.2840325, 121.496039 31.2838885, 121.4959651 31.2837328, 121.4957659 31.2838057, 121.4957049 31.2836841, 121.4960708 31.2835556, 121.496209 31.2838266, 121.496324 31.2837798, 121.4963662 31.2838604, 121.4963004 31.2838855, 121.4963335 31.2839488, 121.4961142 31.2840325))",干训楼,"[1937606762, 1937606756, 3013651085, 3013651086, 3013651084, 3013651082, 3013651083, 1937606748, 1937606754, 1937606755, 1937606759, 1937606762]",,,Ganxun Building,,,,,,,,,,,
way,183388127,university,"POLYGON ((121.5021194 31.2838674, 121.5023307 31.2838105, 121.5024567 31.2837765, 121.5023409 31.2835013, 121.5023389 31.2834965, 121.5019833 31.2836155, 121.5021194 31.2838674))",同济大学设计与创意学院,"[1937606751, 1937606747, 1937606746, 1937606740, 1937606739, 1937606743, 1937606751]",,,,,,,,,,,,,,
way,183962590,yes,"POLYGON ((121.4988275 31.2841703, 121.4991327 31.2840522, 121.4992723 31.2842966, 121.4989603 31.2844182, 121.4988275 31.2841703))",,"[1937554309, 1937554306, 1943966632, 1943966635, 1937554309]",,,,pitch,,,,,,,,table_tennis,,
way,183962592,yes,"POLYGON ((121.4975815 31.2866901, 121.4976275 31.2866911, 121.4977421 31.2866368, 121.4977494 31.2865763, 121.497688 31.2865578, 121.4976089 31.286571, 121.4975315 31.28662, 121.4975345 31.2866769, 121.4975815 31.2866901))",,"[1943966659, 1943966660, 1943966657, 1943966655, 1943966653, 1943966654, 1943966656, 1943966658, 1943966659]",,,,,,,,,,,,,,
way,183964056,yes,"POLYGON ((121.494433 31.2882288, 121.4950156 31.2882853, 121.4950287 31.2881869, 121.4953141 31.2882146, 121.4953304 31.2880912, 121.4950054 31.2880597, 121.495044 31.2877686, 121.4946163 31.2877271, 121.4945882 31.2879387, 121.4947438 31.2879538, 121.4947223 31.2881158, 121.4944514 31.2880895, 121.494433 31.2882288))",西北三楼,"[1943975859, 1943975861, 1943975856, 1943975858, 1943975850, 1943975848, 1943975836, 1943975834, 1943975843, 1943975844, 1943975851, 1943975849, 1943975859]",,,,,,,,,6,,,,,
way,183964058,yes,"POLYGON ((121.4993584 31.2879958, 121.499313 31.2878969, 121.4995237 31.2878262, 121.4995691 31.287925, 121.4993584 31.2879958))",,"[1943975845, 1943975840, 1943975838, 1943975842, 1943975845]",,,,,,,,,,,,,,
way,183964060,yes,"POLYGON ((121.4937636 31.2878793, 121.494057 31.2879146, 121.4940206 31.2881356, 121.494362 31.2881767, 121.494383 31.2880497, 121.4942016 31.2880279, 121.4942415 31.2877852, 121.4937881 31.2877307, 121.4937636 31.2878793))",,"[1943975839, 1943975841, 1943975852, 1943975855, 1943975847, 1943975846, 1943975837, 1943975835, 1943975839]",,,,,,,,,,,,,,
way,183964063,dormitory,"POLYGON ((121.4949984 31.2888557, 121.4955603 31.2889192, 121.4955773 31.2888098, 121.4958741 31.2888434, 121.4958924 31.2887252, 121.4954524 31.2886754, 121.495438 31.2887681, 121.4950193 31.2887207, 121.4949984 31.2888557))",西北五楼,"[1943975888, 1943975889, 1943975886, 1943975887, 1943975883, 1943975879, 1943975885, 1943975881, 1943975888]",,,,,,,,,6,,,,,
way,183964064,dormitory,"POLYGON ((121.4947305 31.2885466, 121.4952925 31.2886102, 121.4953094 31.2885008, 121.4956062 31.2885343, 121.4956245 31.2884162, 121.4951845 31.2883664, 121.4951702 31.288459, 121.4947514 31.2884117, 121.4947305 31.2885466))",西北四楼,"[1943975877, 1943975878, 1943975874, 1943975875, 1943975868, 1943975862, 1943975869, 1943975867, 1943975877]",,,,,,,,,6,,,,,
way,183964066,yes,"POLYGON ((121.4959557 31.2883687, 121.4959791 31.2881998, 121.4963509 31.2882373, 121.4963634 31.2881471, 121.4965638 31.2881674, 121.4965321 31.288396, 121.4964391 31.2883865, 121.4964255 31.2884847, 121.4966899 31.2885115, 121.4966583 31.2887404, 121.4961682 31.2886908, 121.4961966 31.2884857, 121.4960416 31.2884701, 121.4960542 31.2883786, 121.4959557 31.2883687))",西北食堂,"[1943975863, 1943975857, 1943975860, 1943975853, 1943975854, 1943975866, 1943975864, 1943975871, 1943975873, 1943975884, 1943975880, 1943975872, 1943975870, 1943975865, 1943975863]",restaurant,,Northwest Canteen,,,,,,,,,,,
way,184542420,college,"POLYGON ((121.4969906 31.2835675, 121.4969465 31.2834603, 121.4970451 31.2833908, 121.4969736 31.2832581, 121.4968578 31.2833045, 121.4968331 31.2832581, 121.4969416 31.2831907, 121.4968701 31.283058, 121.4967542 31.2831044, 121.4967296 31.283058, 121.4968356 31.2829906, 121.4967641 31.2828579, 121.4966041 31.2829209, 121.4966187 31.2829464, 121.4965694 31.282978, 121.4966926 31.2830875, 121.4967247 31.2831465, 121.4966754 31.2831781, 121.4967961 31.2832876, 121.4968282 31.2833466, 121.4967789 31.2833782, 121.4968972 31.2834898, 121.4969484 31.2835981, 121.4966534 31.2838123, 121.4967643 31.2839935, 121.497383 31.2835448, 121.497277 31.2833594, 121.4969906 31.2835675))",同济大学医学院,"[1950362693, 1950362687, 1950362682, 1950362668, 1950362672, 1950362666, 1950362664, 1950362652, 1950362656, 1950362650, 1950362644, 1950362640, 1950362641, 1950362642, 1950362643, 1950362654, 1950362660, 1950362662, 1950362670, 1950362678, 1950362680, 1950362689, 1950362695, 1950362699, 1950362706, 1950362691, 1950362679, 1950362693]",,,Tongji University School of Medicine,,,,,,,,,,,
way,184542424,yes,"POLYGON ((121.5011129 31.2840112, 121.5010986 31.2839852, 121.5012356 31.2839304, 121.5012602 31.2839754, 121.5013788 31.283928, 121.5012682 31.2837261, 121.5011487 31.2837738, 121.5011662 31.2838057, 121.5007914 31.2839556, 121.5008482 31.2840593, 121.5010448 31.2839807, 121.501067 31.2840212, 121.5010206 31.2840397, 121.5010813 31.2841506, 121.5010451 31.2841845, 121.5010475 31.2842303, 121.5010871 31.2842613, 121.5011408 31.2842592, 121.5011628 31.2842994, 121.5009956 31.2843662, 121.5010624 31.2844881, 121.5015804 31.284281, 121.5014498 31.2840424, 121.5011874 31.2841473, 121.501168 31.2841149, 121.5012068 31.2840854, 121.5012062 31.2840395, 121.5011678 31.2840074, 121.5011129 31.2840112))",逸夫楼,"[1950362710, 1402943266, 1402943258, 1402943269, 1402943274, 1402943262, 1402943264, 1402943260, 1402943256, 1402943267, 1402943254, 1402943253, 1402943280, 1950362720, 1950362722, 1950362731, 1950362737, 1950362735, 1402943265, 1402943283, 1402943281, 1402943272, 1402943273, 1402943268, 1950362717, 1950362714, 1950362712, 1950362708, 1950362710]",,,Yifu Building,,,,,,,,,,,
way,184544230,college,"POLYGON ((121.4944537 31.2837468, 121.4950174 31.2833016, 121.4949651 31.2831914, 121.495155 31.2831256, 121.4950776 31.2829625, 121.49442 31.2831903, 121.4946582 31.2834042, 121.4943507 31.2836544, 121.4944537 31.2837468))",同济大学土木工程学院,"[1950380087, 1950380084, 1950380083, 1950380081, 1950380080, 1950380082, 1950380085, 1950380086, 1950380087]",,,Tongji University College of Civil Engineering,,,,,,,,,,,
way,188231251,yes,"POLYGON ((121.4963832 31.2826127, 121.4967024 31.2824912, 121.49677 31.2826209, 121.4964508 31.2827424, 121.4965106 31.2828572, 121.496346 31.2829199, 121.4962861 31.2828051, 121.4961423 31.2828599, 121.4960747 31.2827302, 121.4962185 31.2826754, 121.4961801 31.2826017, 121.4963448 31.282539, 121.4963832 31.2826127))",同济大学校医院,"[1988536115, 1988536112, 1988536116, 1988536119, 1988536122, 1988536124, 1988536121, 1988536123, 1988536118, 1988536117, 1988536114, 1988536113, 1988536115]",hospital,,School Clinic of Tongji University,,,,,,,,,,,hospital
way,189248345,yes,"POLYGON ((121.4930609 31.2852251, 121.493197 31.2851734, 121.4932619 31.2852983, 121.4931258 31.28535, 121.4930609 31.2852251))",,"[1998919429, 1998919428, 1998919432, 1998919435, 1998919429]",,,,,,,,,,,,,,
way,189248346,yes,"POLYGON ((121.4933724 31.2847366, 121.493498 31.2846854, 121.4940045 31.2844936, 121.4939261 31.2843448, 121.4935807 31.2844775, 121.4936233 31.2845585, 121.4933366 31.2846687, 121.4933724 31.2847366))",,"[1998919424, 10866688412, 1998919418, 1998919416, 1998919417, 1998919419, 1998919421, 1998919424]",,,,,,,,,,,,,,
way,189478398,yes,"POLYGON ((121.4964218 31.2865263, 121.4962828 31.2862851, 121.4963746 31.2862464, 121.4965136 31.2864877, 121.4964218 31.2865263))",,"[2000861580, 2000861575, 2000861571, 2000861579, 2000861580]",,,,,,,,,,,,,,
way,189478399,yes,"POLYGON ((121.4964175 31.286254, 121.4968088 31.2860895, 121.4969025 31.2862523, 121.4966617 31.2863535, 121.4966798 31.286385, 121.4965293 31.2864482, 121.4964175 31.286254))",,"[2000861573, 2000861569, 2000861572, 2000861576, 2000861577, 2000861578, 2000861573]",,,,,,,,,,,,,,
way,189478409,yes,"POLYGON ((121.4992814 31.2874248, 121.4992246 31.2873858, 121.4992934 31.2873126, 121.4993502 31.2873516, 121.4992814 31.2874248))",三好坞餐厅,"[2000861608, 2000861605, 2000861598, 2000861601, 2000861608]",restaurant,,Sanhaowu Canteen(International Students' Canteen),,,,,,,,,,,
way,191911298,yes,"POLYGON ((121.4968664 31.2876532, 121.4969931 31.2875929, 121.4971005 31.2877576, 121.4969738 31.2878179, 121.4968664 31.2876532))",,"[2024714433, 2024714432, 2024714435, 2024714437, 2024714433]",,,,,,,,,,,,,supermarket,
way,379035415,yes,"POLYGON ((121.4977764 31.2829567, 121.498109 31.2828375, 121.4978997 31.2824478, 121.4976208 31.2825303, 121.4977764 31.2829567))",滑冰场,"[3823797619, 3823797620, 3823797621, 3823797622, 3823797619]",,,Ice-Rinking Field,ice_rink,,,,,,,,,,
way,379036008,college,"POLYGON ((121.4942675 31.2813896, 121.4945612 31.2813209, 121.4944767 31.2810481, 121.4941669 31.2811237, 121.4942675 31.2813896))",同济大学中德职业技能认证研究中心,"[3823819539, 3823819540, 3823819541, 3823819542, 3823819539]",,,Tongji University Sino-Germany authentication center for vocational skills,,,,,,,,,,,
way,379036009,college,"POLYGON ((121.4938826 31.2805953, 121.4945236 31.2804991, 121.4944941 31.2803546, 121.4938531 31.2804509, 121.4938826 31.2805953))",南校区第一教学楼,"[3823819544, 3823819545, 3823819546, 3823819547, 3823819544]",,,First Teaching Building of the South Campus of Tongji University,,,,,,4,,,,,
way,379036010,college,"POLYGON ((121.4948267 31.2810309, 121.4952586 31.280875, 121.4951513 31.2806733, 121.4947141 31.2808292, 121.4948267 31.2810309))",,"[3823819548, 3823819549, 3823819550, 3823819551, 3823819548]",,,,,,,,,,,,,,
way,380537300,college,"POLYGON ((121.4956232 31.2860957, 121.4956848 31.286208, 121.4959826 31.2860888, 121.4959477 31.2860304, 121.4959155 31.2859765, 121.4956232 31.2860957))",大学生活动中心,"[3838577633, 3838577634, 3838577635, 3838577647, 3838577636, 3838577633]",,,Activity Center for University Students,,,,,,5,,,,,
way,380537301,college,"POLYGON ((121.4964332 31.2857496, 121.4960845 31.2858963, 121.4961141 31.2859559, 121.4961301 31.285988, 121.4961006 31.2859971, 121.4961676 31.2861209, 121.4962121 31.2861036, 121.4963447 31.2860521, 121.4962883 31.2859352, 121.4962642 31.2859444, 121.4962427 31.2858986, 121.4964627 31.2858115, 121.4964332 31.2857496))",经纬楼,"[3838577637, 3838577638, 3838577648, 3838577639, 3838577640, 3838577641, 10881817494, 3838577642, 3838577643, 3838577644, 3838577645, 3838577646, 3838577637]",,,Jingwei Building,,,,,,3,,,,,
way,380537304,college,"POLYGON ((121.4956527 31.2821783, 121.4961086 31.2820224, 121.4961274 31.2820591, 121.4961891 31.2821668, 121.4957626 31.2823089, 121.4957921 31.2823708, 121.4957492 31.2823869, 121.4956527 31.2821783))",同济大学科技园,"[3838584957, 3838584958, 3838584959, 3838584960, 3838584961, 3838584962, 3838584963, 3838584957]",,,Science Park of Tongji University,,,,,,,,,,,
way,380537306,college,"POLYGON ((121.4954005 31.2818207, 121.4954837 31.2819743, 121.4953147 31.2820339, 121.4952342 31.2818826, 121.4954005 31.2818207))",,"[3838584965, 3838584966, 3838584967, 3838584968, 3838584965]",,,,,,,,,,,,,,
way,380537307,college,"POLYGON ((121.4956017 31.281878, 121.4960604 31.281713, 121.4961328 31.281862, 121.4956714 31.2820247, 121.4956017 31.281878))",大学生创业园,"[3838584969, 3838584970, 3838584971, 3838584972, 3838584969]",,,Collegiate Pioneer Park,,,,,,,,,,,
way,380537308,college,"POLYGON ((121.4955936 31.2818367, 121.4960389 31.2816763, 121.4959718 31.2815319, 121.4955239 31.2817015, 121.4955936 31.2818367))",西南十楼A楼,"[3838584973, 3838584974, 3838584975, 3838584976, 3838584973]",,,Xinan Apartments Building 10A,,,,,,,,,,,
way,380537309,college,"POLYGON ((121.4954488 31.2816396, 121.4959504 31.2814677, 121.4958753 31.2813187, 121.4953818 31.2814998, 121.4954488 31.2816396))",西南十楼B楼,"[3838584977, 3838584978, 3838584979, 3838584980, 3838584977]",,,Xinan Apartments Building 10B,,,,,,,,,,,
way,380537313,college,"POLYGON ((121.4951001 31.2814425, 121.4958887 31.2811605, 121.4958619 31.2811078, 121.4959182 31.2810895, 121.4958941 31.2810344, 121.4954032 31.2812178, 121.4953952 31.2811949, 121.4950465 31.2813279, 121.4951001 31.2814425))",西南十一楼,"[3838584988, 3838584989, 3838584990, 3838584991, 3838584992, 3838584993, 3838584994, 3838584995, 3838584988]",,,Xinan Apartments Building 11,,,,,,,,,,,
way,380537315,college,"POLYGON ((121.4943384 31.2825416, 121.4952208 31.2822161, 121.4951618 31.2820832, 121.494266 31.282411, 121.4943384 31.2825416))",国际文化交流学院,"[3838585033, 3838585034, 3838585035, 3838585036, 3838585033]",,,Institute of International Cultural Exchange,,,,,,,,,,,
way,380537318,college,"POLYGON ((121.4952718 31.280749, 121.4955293 31.2806642, 121.4954703 31.2805496, 121.4952208 31.2806413, 121.4952718 31.280749))",同济大学文档制作中心,"[3838585049, 3838585050, 3838585051, 3838585052, 3838585049]",,,Tongji University Document Producing Center,,,,,,,,,,,
way,380537320,college,"POLYGON ((121.4943089 31.2826264, 121.4944913 31.2825622, 121.4945288 31.2826356, 121.4949687 31.2824797, 121.4949419 31.2824155, 121.4950653 31.2823651, 121.4951672 31.2825577, 121.4944108 31.2828419, 121.4943089 31.2826264))",同济大学德国学术中心,"[3838585165, 3838585166, 3838585167, 3838585168, 3838585169, 3838585170, 3838585171, 3838585172, 3838585165]",,,German Academic Center for Tongji University,,,,,,,,,,,
way,380537322,college,"POLYGON ((121.4948078 31.2802, 121.4953415 31.2801152, 121.495367 31.2802642, 121.4948373 31.280341, 121.4948078 31.2802))",同济大学职业技术教育研究所,"[3838585173, 3838585174, 3838585175, 3838585176, 3838585173]",,,Tongji University Institute of Vocational Skill Education,,,,,,,,,,,
way,380537323,industrial,"POLYGON ((121.4936034 31.2804453, 121.493822 31.2804212, 121.4938368 31.2805313, 121.4936249 31.2805542, 121.4936034 31.2804453))",同济印刷厂,"[3838585177, 3838585178, 3838585179, 3838585180, 3838585177]",,,Tongji University Printing House,,,,,,,,,,,
way,381876810,apartments,"POLYGON ((121.4920588 31.285745, 121.4922868 31.2857175, 121.4923217 31.2857404, 121.4923646 31.2859811, 121.4923324 31.2860338, 121.4920991 31.2860682, 121.4920588 31.2860292, 121.492024 31.2857817, 121.4920588 31.285745))",同济大学博士生公寓1号楼,"[3850751257, 3850751258, 3850751259, 3850751260, 3850751261, 3850751262, 3850751263, 3850751264, 3850751257]",,,Apartment For Dr.s  Building 1,,,,,,,,,,,
way,387456859,yes,"POLYGON ((121.4933843 31.2858264, 121.4935566 31.286136, 121.4940735 31.2859321, 121.4940117 31.2858188, 121.4936185 31.2859698, 121.493508 31.2857811, 121.4933843 31.2858264))",,"[3907534274, 3907534275, 3907534276, 3907534277, 3907534278, 3907534279, 3907534274]",,,,,,,,,,,,,,
way,387456860,yes,"POLYGON ((121.4933357 31.2857055, 121.4933843 31.2857886, 121.4939145 31.2855696, 121.4938659 31.2854828, 121.4933357 31.2857055))",,"[3907534280, 3907534281, 3907534282, 3907534283, 3907534280]",,,,,,,,,,,,,,
way,387456861,yes,"POLYGON ((121.4941221 31.2859057, 121.4939763 31.2856602, 121.4941884 31.2855621, 121.4943298 31.2858113, 121.4941221 31.2859057))",,"[3907534284, 3907534285, 3907534286, 3907534287, 3907534284]",,,,,,,,,,,,,,
way,387456864,yes,"POLYGON ((121.4938836 31.2861586, 121.4939587 31.2862568, 121.4944668 31.286034, 121.4943872 31.2859321, 121.4938836 31.2861586))",,"[3907534290, 3907534291, 3907534292, 3907534293, 3907534290]",,,,,,,,,,,,,,
way,404187384,yes,"POLYGON ((121.4978674 31.2852845, 121.4983207 31.2850782, 121.4982456 31.2849889, 121.497795 31.2851837, 121.4978674 31.2852845))",空间信息科学及可持续发展应用中心,"[4064633231, 4064633232, 4064633233, 4064633234, 4064633231]",,,,,上海,,200092,南大道,2,,,,,
way,406761637,dormitory,"POLYGON ((121.4990618 31.2878607, 121.4990125 31.2877817, 121.4995148 31.2875974, 121.499561 31.2876817, 121.4990618 31.2878607))",留学生宿舍,"[4087968597, 4087968598, 4087968599, 4087968600, 4087968597]",,,,,,,,,,,,,,
way,406761638,yes,"POLYGON ((121.4959716 31.2890772, 121.4959839 31.2889455, 121.4962304 31.2889692, 121.4962488 31.288856, 121.4961503 31.2888481, 121.4961687 31.2887349, 121.4963937 31.2887665, 121.4963351 31.289114, 121.4959716 31.2890772))",北苑食堂,"[4087968601, 4087968602, 4087968603, 4087968604, 4087968605, 4087968606, 4087968607, 4087968608, 4087968601]",restaurant,,,,,,,,,,,,,
way,429244211,university,"POLYGON ((121.5024737 31.2845574, 121.5029668 31.2843733, 121.5031114 31.2846561, 121.5026183 31.2848402, 121.5024737 31.2845574))",同济大学经济与管理学院,"[4283690672, 4283690673, 4283690674, 4283690675, 4283690672]",,,,,,,,,,,,,,
way,436877289,yes,"POLYGON ((121.4937107 31.2876344, 121.4941511 31.2876841, 121.4941585 31.2876364, 121.4940759 31.2876271, 121.4940844 31.2875719, 121.4937266 31.2875315, 121.4937107 31.2876344))",,"[4347329384, 4347329385, 4347329386, 4347329387, 4347329388, 4347329489, 4347329384]",,,,,,,,,,,,,,
way,436877290,yes,"POLYGON ((121.4935385 31.2877985, 121.4936632 31.2878108, 121.4936942 31.2875812, 121.4935695 31.2875689, 121.4935385 31.2877985))",,"[4347329490, 4347329491, 4347329492, 4347329493, 4347329490]",,,,,,,,,,,,,,
way,436877291,yes,"POLYGON ((121.49335 31.2875924, 121.4937132 31.2874643, 121.4936572 31.2873484, 121.4935275 31.2873942, 121.4935058 31.2873494, 121.4933704 31.2873971, 121.4933959 31.2874499, 121.4932978 31.2874845, 121.49335 31.2875924))",,"[4347329494, 4347329495, 4347329496, 4347329497, 4347329498, 4347329499, 4347329500, 4347329501, 4347329494]",,,,,,,,,,,,,,
way,436877292,yes,"POLYGON ((121.4938387 31.2873944, 121.4943183 31.2871946, 121.4942402 31.2870576, 121.4937606 31.2872575, 121.4938387 31.2873944))",,"[4347329502, 4347329503, 4347329504, 4347329505, 4347329502]",,,,,,,,,,,,,,
way,436877293,yes,"POLYGON ((121.4941682 31.2875687, 121.4940812 31.2874159, 121.494272 31.2873365, 121.494359 31.2874893, 121.4941682 31.2875687))",,"[4347329506, 4347329507, 4347329508, 4347329509, 4347329506]",,,,,,,,,,,,,,
way,436877294,yes,"POLYGON ((121.4947133 31.2875591, 121.4946174 31.2873757, 121.4947744 31.2873158, 121.4948703 31.2874992, 121.4947133 31.2875591))",,"[4347329510, 4347329511, 4347329512, 4347329513, 4347329510]",,,,,,,,,,,,,,
way,436877295,yes,"POLYGON ((121.4943424 31.287344, 121.4946963 31.287189, 121.4946367 31.2870896, 121.4942828 31.2872446, 121.4943424 31.287344))",,"[4347329514, 4347329515, 4347329516, 4347329517, 4347329514]",,,,,,,,,,,,,,
way,436877296,yes,"POLYGON ((121.4933839 31.2870916, 121.4937556 31.2869193, 121.49373 31.2868821, 121.4939606 31.2867844, 121.4939302 31.2867343, 121.4939043 31.2867094, 121.4938609 31.2867029, 121.4938149 31.2867199, 121.4932829 31.2869863, 121.4933158 31.2870373, 121.493345 31.287025, 121.4933839 31.2870916))",,"[4347329518, 4347329519, 4347329520, 4347329521, 4347329522, 4347329975, 4347329976, 4347329523, 4347329524, 4347329525, 4347329977, 4347329518]",,,,,,,,,,,,,,
way,436877297,yes,"POLYGON ((121.4926962 31.2868904, 121.493065 31.2867344, 121.493214 31.2869917, 121.4931586 31.2869984, 121.4933634 31.2873521, 121.4931138 31.2874577, 121.4930013 31.2872635, 121.4929298 31.2872938, 121.4926962 31.2868904))",,"[4347329526, 4347329527, 4347329528, 4347329529, 4347329530, 4347329531, 4347329532, 4347329533, 4347329526]",,,,,,,,,,,,,,
way,436877298,yes,"POLYGON ((121.4935149 31.2872588, 121.4936766 31.2871957, 121.4935943 31.2870417, 121.4934326 31.2871048, 121.4935149 31.2872588))",,"[4347329534, 4347329535, 4347329536, 4347329537, 4347329534]",,,,,,,,,,,,,,
way,436877299,yes,"POLYGON ((121.4937493 31.2872082, 121.4941997 31.2870187, 121.4941094 31.2868619, 121.4936589 31.2870515, 121.4937493 31.2872082))",,"[4347329538, 4347329539, 4347329540, 4347329541, 4347329538]",,,,,,,,,,,,,,
way,436877300,yes,"POLYGON ((121.4932907 31.2866792, 121.4937794 31.2864789, 121.4937427 31.2864135, 121.4935957 31.2864738, 121.4935085 31.2863183, 121.4931667 31.2864584, 121.4932907 31.2866792))",,"[4347329542, 4347329543, 4347329544, 4347329545, 4347329546, 4347329547, 4347329542]",,,,,,,,,,,,,,
way,436877301,yes,"POLYGON ((121.4942376 31.286629, 121.4946667 31.2864568, 121.4946455 31.2864182, 121.4947589 31.2863727, 121.4946807 31.2862303, 121.4945234 31.2862933, 121.494569 31.2863763, 121.4941836 31.2865309, 121.4942376 31.286629))",,"[4347329548, 4347329549, 4347329550, 4347329551, 4347329552, 4347329553, 4347329554, 4347329555, 4347329548]",,,,,,,,,,,,,,
way,436877302,yes,"POLYGON ((121.495257 31.2875181, 121.4954817 31.2874349, 121.4953149 31.2871057, 121.4950902 31.2871888, 121.495257 31.2875181))",,"[4347329556, 4347329557, 4347329558, 4347329559, 4347329556]",,,,,,,,,,,,,,
way,436877314,yes,"POLYGON ((121.4924896 31.2840307, 121.4931032 31.2837962, 121.4931831 31.2839488, 121.4936137 31.2837843, 121.4937825 31.2841069, 121.4943377 31.2838869, 121.494272 31.2837539, 121.4940956 31.2834107, 121.4941465 31.2833723, 121.4940986 31.2832807, 121.4924307 31.2839181, 121.4924896 31.2840307))",,"[4347329625, 4347329626, 4347329627, 4347329628, 4347329629, 4347329633, 4279565299, 4832116452, 4832116453, 4279565298, 4347329623, 4347329625]",,,,,,,,,,,,,,
way,436877316,apartments,"POLYGON ((121.4923843 31.2851631, 121.4925368 31.2851691, 121.4925354 31.285195, 121.4926355 31.285199, 121.4926374 31.2851637, 121.4928209 31.2851709, 121.4928236 31.2851196, 121.4927897 31.2851183, 121.492792 31.2850768, 121.492719 31.285074, 121.4927227 31.2850062, 121.4925098 31.2849978, 121.4925066 31.2850582, 121.4923902 31.2850536, 121.4923843 31.2851631))",,"[4347329636, 4347329637, 4347329638, 4347329639, 4347329640, 4347329641, 4347329642, 4347329643, 4347329644, 4347329645, 4347329646, 4347329647, 4347329648, 4347329649, 4347329636]",,,,,,,,,,,,,,
way,436877317,apartments,"POLYGON ((121.4917578 31.2847926, 121.4919103 31.2847986, 121.4919089 31.2848245, 121.492009 31.2848284, 121.4920109 31.2847932, 121.4921943 31.2848004, 121.4921971 31.2847491, 121.4921632 31.2847477, 121.4921654 31.2847063, 121.4920925 31.2847034, 121.4920962 31.2846356, 121.4918833 31.2846272, 121.49188 31.2846877, 121.4917637 31.2846831, 121.4917578 31.2847926))",,"[4347329650, 4347329651, 4347329652, 4347329653, 4347329654, 4347329655, 4347329656, 4347329657, 4347329658, 4347329659, 4347329660, 4347329661, 4347329662, 4347329663, 4347329650]",,,,,,,,,,,,,,
way,436877319,apartments,"POLYGON ((121.4919024 31.2843025, 121.4920549 31.2843085, 121.4920535 31.2843344, 121.4921536 31.2843383, 121.4921555 31.2843031, 121.492339 31.2843103, 121.4923417 31.284259, 121.4923078 31.2842576, 121.4923101 31.2842162, 121.4922371 31.2842133, 121.4922408 31.2841455, 121.4920279 31.2841371, 121.4920247 31.2841976, 121.4919084 31.284193, 121.4919024 31.2843025))",,"[4347329664, 4347329665, 4347329666, 4347329667, 4347329668, 4347329669, 4347329670, 4347329671, 4347329672, 4347329673, 4347329674, 4347329675, 4347329676, 4347329677, 4347329664]",,,,,,,,,,,,,,
way,436877321,apartments,"POLYGON ((121.4922007 31.2854217, 121.4922511 31.2853287, 121.4921567 31.2852914, 121.4921556 31.2852654, 121.4922248 31.2852633, 121.4922216 31.2851835, 121.4921537 31.2851855, 121.4921515 31.2851314, 121.4919627 31.2851371, 121.4919643 31.2851771, 121.4919039 31.2851789, 121.4919073 31.2852616, 121.4919779 31.2852595, 121.4919789 31.2852839, 121.491857 31.2853505, 121.4919251 31.2854416, 121.4920101 31.2853951, 121.4920095 31.2853479, 121.4921085 31.2853469, 121.492109 31.2853855, 121.4922007 31.2854217))",,"[4347329678, 4347329679, 4347329680, 4347329681, 4347329682, 4347329683, 4347329684, 4347329685, 4347329686, 4347329687, 4347329688, 4347329789, 4347329790, 4347329791, 4347329792, 4347329793, 4347329794, 4347329795, 4347329796, 4347329797, 4347329678]",,,,,,,,,,,,,,
way,436877324,yes,"POLYGON ((121.4926475 31.2858144, 121.4929139 31.2857008, 121.4929364 31.2857393, 121.4930528 31.2856897, 121.4930477 31.2855835, 121.4930202 31.2855936, 121.4929857 31.285525, 121.4928534 31.2855735, 121.4928054 31.2854778, 121.4925626 31.2855668, 121.4926189 31.2856789, 121.4925859 31.285783, 121.4926206 31.2857682, 121.4926475 31.2858144))",,"[4347329798, 4347329799, 4347329800, 4347329801, 4347329802, 4347329803, 4347329804, 4347329805, 4347329806, 4347329807, 4347329808, 4347329809, 4347329810, 4347329798]",,,,,,,,,,,,,,
way,490938777,house,"POLYGON ((121.4933026 31.2845863, 121.4935203 31.284501, 121.4934537 31.2843696, 121.4932309 31.2844638, 121.4933026 31.2845863))",同济大学快递服务中心,"[4831057471, 4831057472, 4831057473, 4831057474, 4831057471]",,,,,,,,,,,,,,
