u,v,key,osmid,name,highway,oneway,reversed,length,geometry,service,bridge,lanes
265972458,625187028,0,183383510,爱校路(樱花大道),service,False,True,111.185,"LINESTRING (121.4957545 31.2825173, 121.4957979 31.2825946, 121.4962609 31.2834187)",,,
265972458,3823819536,0,379036007,,service,False,False,39.323,"LINESTRING (121.4957545 31.2825173, 121.4957294 31.2824694, 121.4955855 31.2821945)",,,
265972522,1950362744,0,183383508,南大道,service,False,False,37.209,"LINESTRING (121.4972736 31.2852215, 121.497631 31.2850848)",,,
265972522,1943966643,0,183383508,南大道,service,False,True,62.663,"LINESTRING (121.4972736 31.2852215, 121.4966718 31.2854519)",,,
265972522,625196989,0,183383510,爱校路(樱花大道),service,False,False,119.904,"LINESTRING (121.4972736 31.2852215, 121.4967275 31.2842494)",,,
265972522,1937554449,0,183383510,爱校路(樱花大道),service,False,True,101.214,"LINESTRING (121.4972736 31.2852215, 121.4977345 31.2860421)",,,
265972708,558631487,0,1131988409,彰武路,tertiary,False,False,18.19,"LINESTRING (121.5019877 31.2844378, 121.5021631 31.2843723)",,,
265972708,559837138,0,183389273,,service,False,True,93.13499999999999,"LINESTRING (121.5019877 31.2844378, 121.5016226 31.2845919, 121.5011086 31.2848081)",,,
442028523,1937554429,0,183383503,,footway,False,True,29.37,"LINESTRING (121.5016804 31.2858997, 121.5019641 31.2857949)",,,
442028523,1937554451,0,183383975,北大道,service,False,True,47.225,"LINESTRING (121.5016804 31.2858997, 121.5012257 31.2860711)",,,
442028523,1943978010,0,379035417,东大道,service,False,False,30.233,"LINESTRING (121.5016804 31.2858997, 121.5015487 31.2856522)",,,
442028523,2024714411,0,379035417,东大道,service,False,True,38.25,"LINESTRING (121.5016804 31.2858997, 121.5018432 31.2862143)",,,
558631487,265972708,0,1131988409,彰武路,tertiary,False,True,18.19,"LINESTRING (121.5021631 31.2843723, 121.5019877 31.2844378)",,,
559837138,1937615011,0,379035417,东大道,service,False,False,8.107,"LINESTRING (121.5011086 31.2848081, 121.5010739 31.2847415)",,,
559837138,1937615016,0,379035417,东大道,service,False,True,7.561,"LINESTRING (121.5011086 31.2848081, 121.501141 31.2848702)",,,
559837138,265972708,0,183389273,,service,False,False,93.13499999999999,"LINESTRING (121.5011086 31.2848081, 121.5016226 31.2845919, 121.5019877 31.2844378)",,,
