element_type,osmid,amenity,name,geometry,nodes,parking
node,1393527011,parking,大礼堂停车场,POINT (121.4953031 31.287288),,
node,4279565296,parking,中德学部停车场入口,POINT (121.4955001 31.283612),,
way,183964295,parking,,"POLYGON ((121.5017477 31.2869691, 121.5016231 31.2867222, 121.5020074 31.2865747, 121.502129 31.2868291, 121.5017477 31.2869691))","[1943978034, 1943978015, 1943978013, 1943978018, 1943978034]",surface
way,191911310,parking,,"POLYGON ((121.4974813 31.286212, 121.4974479 31.2861616, 121.4976785 31.2860499, 121.4977119 31.2861003, 121.4974813 31.286212))","[2024714410, 2024714408, 2024714406, 2024714407, 2024714410]",
way,191911311,parking,,"POLYGON ((121.4981693 31.2862187, 121.4983207 31.2864656, 121.498274 31.2864866, 121.4981226 31.2862396, 121.4981693 31.2862187))","[2024714412, 2024714414, 2024714415, 2024714413, 2024714412]",
way,428835963,parking,,"POLYGON ((121.4948422 31.2836139, 121.4949739 31.2835652, 121.4950551 31.2835352, 121.4951049 31.2835168, 121.495164 31.283495, 121.4951761 31.2835189, 121.495202 31.2835701, 121.4952132 31.2835924, 121.495221 31.2836077, 121.4952362 31.2836378, 121.495248 31.2836611, 121.4952672 31.2836991, 121.4952855 31.2837352, 121.4951616 31.2837809, 121.4947767 31.2839231, 121.4945949 31.2839903, 121.49454 31.2838817, 121.4944734 31.2837501, 121.4946834 31.2836725, 121.4948422 31.2836139))","[4279564774, 4279564775, 4279564776, 4279564777, 4279564778, 4279564779, 4279564780, 4279564781, 4279564782, 4279564783, 4279564784, 4279564785, 4279564786, 4279564787, 4279564788, 4279565289, 4279565290, 4279565291, 4279565292, 4279564774]",
way,436877315,parking,,"POLYGON ((121.492747 31.284494, 121.4924896 31.2840307, 121.4931032 31.2837962, 121.4931831 31.2839488, 121.4936137 31.2837843, 121.4937825 31.2841069, 121.4943377 31.2838869, 121.494272 31.2837539, 121.494399 31.2840076, 121.4942542 31.284058, 121.4935358 31.2843271, 121.493501 31.2842491, 121.4932962 31.284313, 121.4931763 31.2843739, 121.492767 31.2845279, 121.492747 31.284494))","[4347329624, 4347329625, 4347329626, 4347329627, 4347329628, 4347329629, 4347329633, 4279565299, 4347329635, 4347329631, 4279565302, 4279565303, 4279565304, 4279565305, 4347329632, 4347329624]",
way,970840995,parking,,"POLYGON ((121.4938948 31.2863709, 121.4940852 31.2865027, 121.4945734 31.2862529, 121.4944433 31.2860993, 121.4938948 31.2863709))","[8985164507, 8985164506, 8985164505, 8985164504, 8985164507]",
way,970840996,parking,,"POLYGON ((121.4948647 31.287114, 121.495111 31.2876097, 121.4952441 31.2875614, 121.4950462 31.2871632, 121.4952895 31.2870749, 121.495233 31.2869613, 121.4948567 31.2870979, 121.4948647 31.287114))","[8985164514, 8985164513, 8985164512, 8985164511, 8985164510, 8985164509, 8985164508, 8985164514]",
