element_type,osmid,building,name,geometry,addr:city,nodes,addr:housename,addr:housenumber,addr:postcode,addr:street,building:levels,alt_name,layer,note,amenity,library,operator,fast_food,leisure,shop,atm,tourism,addr:district,addr:province,cuisine,diet:local,delivery,opening_hours,smoking,min_height,sport
way,283738108,apartments,北区15栋,"POLYGON ((114.392245 30.5314734, 114.392241 30.5313701, 114.392369 30.5313631, 114.3923772 30.5314629, 114.392245 30.5314734))",,"[2875717346, 2875717347, 2875717348, 2875717349, 2875717346]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283738109,apartments,北区16栋,"POLYGON ((114.3922532 30.531638, 114.3922532 30.5315469, 114.3923894 30.5315364, 114.3923853 30.5316327, 114.3922532 30.531638))",,"[2875717350, 2875717351, 2875717352, 2875717353, 2875717350]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283738110,apartments,北区17栋,"POLYGON ((114.3926069 30.5315504, 114.3925987 30.5313929, 114.3932309 30.5313491, 114.393237 30.5315207, 114.3926069 30.5315504))",,"[2875717354, 2875717355, 2875717356, 2875717357, 2875717354]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283738111,university,中国地质大学MBA教育中心,"POLYGON ((114.3947654 30.5312177, 114.3947532 30.5313144, 114.3944825 30.5312889, 114.3945324 30.5308949, 114.3947927 30.5309193, 114.3947789 30.5310287, 114.3946845 30.5310198, 114.3946607 30.5312079, 114.3947654 30.5312177))",,"[2875717358, 2875717359, 2875717360, 2875717361, 2875717362, 2875717363, 2875717364, 2875717365, 2875717358]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283739278,yes,中国银行ATM,"POLYGON ((114.3934716 30.5315594, 114.3934877 30.5314647, 114.3934179 30.5314589, 114.3933992 30.5315571, 114.3934716 30.5315594))",,"[2875697576, 2875697577, 2875697578, 2875697579, 2875697576]",,,,,,,,,bank,,,,,,yes,,,,,,,,,,
way,283739279,yes,中国工商银行ATM,"POLYGON ((114.3934179 30.5314589, 114.3934877 30.5314647, 114.3934984 30.5313757, 114.3934327 30.5313711, 114.3934179 30.5314589))",,"[2875697578, 2875697577, 2875697580, 2875697581, 2875697578]",,,,,,,,,bank,,,,,,yes,,,,,,,,,,
way,283739291,university,教三楼,"POLYGON ((114.3934342 30.5238212, 114.3934289 30.5237374, 114.3934855 30.5237343, 114.3934891 30.5236215, 114.3936395 30.5236292, 114.3936466 30.5237404, 114.3938324 30.5237404, 114.3938324 30.5235423, 114.3939757 30.5235423, 114.3939686 30.5238258, 114.3934342 30.5238212))",,"[2875728314, 2875728315, 2875728316, 2875728317, 2875728318, 2875728319, 2875728320, 2875728321, 2875728322, 2875728323, 2875728314]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283739796,yes,中国地质大学逸夫博物馆,"POLYGON ((114.394672 30.5202838, 114.3950713 30.5202818, 114.3950783 30.5199017, 114.3950059 30.5198936, 114.3950199 30.5197005, 114.3950736 30.5196663, 114.3951157 30.519604, 114.395118 30.5195255, 114.395041 30.5194933, 114.3949546 30.5195094, 114.3948939 30.5195637, 114.3948682 30.5196321, 114.3948028 30.5196281, 114.3948098 30.5194672, 114.394672 30.5195155, 114.3947141 30.5195859, 114.3946627 30.5196019, 114.3947117 30.5198212, 114.3946604 30.5198192, 114.394672 30.5202838))",,"[2875733863, 2875733864, 2875733865, 2875733866, 2875733867, 2875733868, 2875733869, 2875733870, 2875733871, 2875733872, 2875733873, 2875733874, 2875733875, 2875733876, 2875733877, 2875733878, 2875733879, 2875733880, 2875733881, 2875733863]",,,,,,,,,,,,,,,,museum,,,,,,,,,
way,283764864,yes,,"POLYGON ((114.3973699 30.5233613, 114.3974651 30.5233615, 114.3974653 30.5232658, 114.3974824 30.5232658, 114.3974827 30.5231297, 114.3976216 30.52313, 114.397621 30.523372, 114.3977776 30.5233723, 114.3977787 30.522984, 114.397371 30.5229831, 114.3973699 30.5233613))",,"[2875986258, 2875986259, 2875986260, 2875986261, 2875986262, 2875986263, 6502917028, 6502917027, 2875986264, 2875986265, 2875986258]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283764865,yes,,"POLYGON ((114.3975163 30.5235258, 114.3976574 30.5235237, 114.3976578 30.5235416, 114.3977365 30.5235405, 114.397736 30.5235218, 114.3978115 30.5235205, 114.3978138 30.523379, 114.3975135 30.5233835, 114.3975163 30.5235258))",,"[2875986266, 2875986267, 2875986268, 2875986269, 2875986270, 2875986271, 2875986272, 2875986273, 2875986266]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283764866,yes,教职工活动中心,"POLYGON ((114.3980685 30.5232632, 114.3980697 30.5230789, 114.3980283 30.5230787, 114.3980289 30.5229829, 114.3985188 30.5229853, 114.3985179 30.5231241, 114.3982654 30.5231229, 114.3982645 30.5232641, 114.3980685 30.5232632))",,"[2875986274, 2875986275, 2875986276, 2875986277, 2875986278, 2875986279, 2875986280, 2875986281, 2875986274]",,,,,,,,,,,,,sports_centre,,,,,,,,,,,,
way,283764867,yes,,"POLYGON ((114.3980316 30.5237752, 114.3985376 30.5237725, 114.398537 30.5236849, 114.3980309 30.5236876, 114.3980316 30.5237752))",,"[2875986282, 2875986283, 2875986284, 2875986285, 2875986282]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283764868,dormitory,研究生公寓9号楼,"POLYGON ((114.3986659 30.5235526, 114.3987474 30.5235527, 114.3987473 30.5235649, 114.3990194 30.5235653, 114.3990198 30.523388, 114.3987563 30.5233875, 114.3987561 30.5234521, 114.3986661 30.523452, 114.3986659 30.5235526))",,"[2875986286, 2875986287, 2875986288, 2875986289, 2875986290, 2875986291, 2875986292, 2875986293, 2875986286]",,,,,5,,,,,,,,,,,,,,,,,,,,
way,283789788,residential,,"POLYGON ((114.3936669 30.5256835, 114.3937176 30.5256471, 114.3937498 30.5256667, 114.3937947 30.5256396, 114.3937576 30.5255941, 114.3937945 30.5255718, 114.393837 30.525624, 114.3939273 30.5256243, 114.3939274 30.5256013, 114.3939596 30.5256015, 114.3939593 30.5256508, 114.3942184 30.5256519, 114.3942188 30.525597, 114.3946712 30.5255991, 114.3946722 30.5254296, 114.394442 30.5254286, 114.3944419 30.5254432, 114.3942238 30.5254421, 114.3942237 30.5254568, 114.3941575 30.5254565, 114.3941173 30.5254957, 114.3940305 30.5254959, 114.3940306 30.525528, 114.3938377 30.5255283, 114.3938376 30.5254985, 114.3938708 30.5254984, 114.3938708 30.5254823, 114.3939108 30.5254821, 114.3939106 30.5254521, 114.393881 30.5254523, 114.3938806 30.5254008, 114.3936548 30.5254023, 114.3936556 30.5254948, 114.3936935 30.5254946, 114.393719 30.5255188, 114.3937163 30.5255443, 114.3936076 30.5256222, 114.3936669 30.5256835))",,"[2876178649, 2876178650, 2876178651, 2876178652, 2876178653, 2876178654, 2876178655, 2876178656, 2876178657, 2876178658, 2876178659, 2876178660, 2876178661, 2876178662, 2876178663, 2876178664, 2876178665, 2876178666, 2876178667, 2876178668, 2876178669, 2876178670, 2876178671, 2876178672, 2876178673, 2876178674, 2876178675, 2876178676, 2876178677, 2876178678, 2876178679, 2876178680, 2876178681, 2876178682, 2876178683, 2876178684, 2876178685, 2876178649]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283789789,residential,,"POLYGON ((114.3936324 30.5251153, 114.3937057 30.5251148, 114.3937059 30.5251315, 114.3939812 30.5251296, 114.3939814 30.5251576, 114.394317 30.5251552, 114.3943166 30.5251125, 114.3943682 30.5251122, 114.3943687 30.5251569, 114.3946631 30.5251548, 114.3946619 30.5250278, 114.3938995 30.5250331, 114.3938983 30.5249109, 114.3936787 30.5249125, 114.39368 30.5250491, 114.3936318 30.5250494, 114.3936324 30.5251153))",,"[2876178686, 2876178687, 2876178688, 2876178689, 2876178690, 2876178691, 2876178692, 2876178693, 2876178694, 2876178695, 2876178696, 2876178697, 2876178698, 2876178699, 2876178700, 2876178801, 2876178686]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283789790,residential,,"POLYGON ((114.3938598 30.5247307, 114.3947095 30.5247277, 114.3947088 30.5245981, 114.3938592 30.5246011, 114.3938598 30.5247307))",,"[2876178802, 2876178803, 2876178804, 2876178805, 2876178802]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283789791,residential,,"POLYGON ((114.394685 30.5244587, 114.3946826 30.5243331, 114.3935922 30.5243484, 114.3935946 30.524474, 114.394685 30.5244587))",,"[2876178806, 2876178807, 2876178808, 2876178809, 2876178806]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283789793,yes,文华楼,"POLYGON ((114.3941688 30.5241947, 114.3948483 30.5241947, 114.3948541 30.5240529, 114.3946043 30.5240569, 114.3946078 30.5239563, 114.3945202 30.5239553, 114.3945202 30.5240549, 114.3941641 30.5240619, 114.3941688 30.5241947))",,"[2876178822, 2876178823, 2876178824, 2876178829, 2876178826, 2876178828, 2876178827, 2876178825, 2876178822]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283789959,residential,,"POLYGON ((114.3947857 30.5255451, 114.3953349 30.52555, 114.3953363 30.5254348, 114.394787 30.5254299, 114.3947857 30.5255451))",,"[2876178380, 2876178381, 2876178382, 2876178383, 2876178380]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283789960,residential,,"POLYGON ((114.3947972 30.5252574, 114.3950762 30.5252604, 114.3950762 30.5252031, 114.3953109 30.5252071, 114.3953132 30.5250955, 114.3950342 30.5250965, 114.3950342 30.5251588, 114.3947995 30.5251568, 114.3947972 30.5252574))",,"[2876178384, 2876178385, 2876178386, 2876178387, 2876178388, 2876178389, 2876178390, 2876178391, 2876178384]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283789961,residential,,"POLYGON ((114.3947823 30.5249997, 114.3950615 30.5250007, 114.3950619 30.5249325, 114.395308 30.5249334, 114.3953085 30.524826, 114.3950305 30.524825, 114.3950301 30.5248972, 114.3947828 30.5248963, 114.3947823 30.5249997))",,"[2876178392, 2876178393, 2876178394, 2876178395, 2876178396, 2876178397, 2876178398, 2876178399, 2876178392]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283790030,residential,,"POLYGON ((114.3954334 30.5255727, 114.3960996 30.5255732, 114.3960997 30.5254605, 114.3954336 30.5254599, 114.3954334 30.5255727))",,"[2876178400, 2876180301, 2876180302, 2876180303, 2876178400]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283790400,residential,,"POLYGON ((114.3954279 30.5252404, 114.3961034 30.5252382, 114.3961029 30.5251273, 114.3954274 30.5251296, 114.3954279 30.5252404))",,"[2876180325, 2876180326, 2876180327, 2876180328, 2876180325]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283790401,residential,,"POLYGON ((114.3954275 30.5249528, 114.396099 30.5249572, 114.3961001 30.5248444, 114.3954285 30.5248399, 114.3954275 30.5249528))",,"[2876180329, 2876180330, 2876180331, 2876180332, 2876180329]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283790402,residential,,"POLYGON ((114.3948162 30.5245168, 114.3950544 30.5245159, 114.3950547 30.5245703, 114.3953362 30.5245692, 114.3953357 30.5244621, 114.3950727 30.5244631, 114.3950723 30.5244023, 114.3948157 30.5244033, 114.3948162 30.5245168))",,"[2876180333, 2876180334, 2876180335, 2876180336, 2876180337, 2876180338, 2876180339, 2876180340, 2876180333]",,,,,,,,,,,,,,,,,,,,,,,,,
