element_type,osmid,amenity,geometry,nodes,building,building:levels,fast_food,name,addr:city,addr:district,addr:housenumber,addr:postcode,addr:province,addr:street,cuisine,diet:local,delivery,opening_hours,smoking
node,6449009096,restaurant,POINT (114.3959399 30.5243396),,,,,,,,,,,,,,,,
way,283735718,restaurant,"POLYGON ((114.3937337 30.5292888, 114.3933743 30.5292472, 114.3932804 30.5292703, 114.3929612 30.5292587, 114.3929237 30.5295337, 114.3930578 30.5295614, 114.3930497 30.5296307, 114.3935111 30.5296861, 114.3934762 30.529931, 114.3937364 30.5299588, 114.393782 30.5295591, 114.3936908 30.5295452, 114.3937337 30.5292888))","[2875694383, 2875694384, 2875694385, 2875694386, 2875694387, 2875694388, 2875694389, 2875694390, 2875694391, 2875694392, 2875694393, 2875694394, 2875694383]",yes,2,cafeteria,北区学生一食堂,,,,,,,,,,,
way,283999177,restaurant,"POLYGON ((114.4000485 30.520779, 114.4002748 30.5207802, 114.4002745 30.520819, 114.4007124 30.5208213, 114.4007133 30.5206931, 114.4002972 30.5206909, 114.4002973 30.5206732, 114.4001882 30.5206726, 114.4001885 30.520631, 114.4003951 30.5206321, 114.400396 30.5204999, 114.4004818 30.5205003, 114.4004829 30.5203558, 114.4001109 30.5203538, 114.4001089 30.5206203, 114.4000497 30.52062, 114.4000485 30.520779))","[2877867173, 2877867174, 2877867175, 2877867176, 2877867177, 2877867178, 2877867179, 2877867180, 2877867181, 2877867182, 2877867183, 2877867184, 2877867185, 2877867186, 2877867187, 2877867188, 2877867173]",yes,,,震旦园教工餐厅,武汉,洪山区,338,430074,湖北省,鲁磨路,regional;chinese,yes,,,
way,301933406,restaurant,"POLYGON ((114.4000284 30.523267, 114.4000287 30.5230926, 114.4006762 30.5230936, 114.4006758 30.5232679, 114.4000284 30.523267))","[3061035092, 3061035093, 3061035094, 3061035095, 3061035092]",yes,,,东苑食堂,,,,,,,chinese,,no,7:00-20:00,no
way,488421043,restaurant,"POLYGON ((114.3904652 30.5241501, 114.3904635 30.5239573, 114.391005 30.5239537, 114.3910067 30.5241465, 114.3904652 30.5241501))","[4807242023, 4807242024, 4807242025, 4807242026, 4807242023]",yes,,cafeteria,学二食堂,,,,,,,asian,,,,
way,848480901,restaurant,"POLYGON ((114.3915249 30.5225571, 114.3911894 30.5225571, 114.3911894 30.5234001, 114.3915249 30.5234001, 114.3915249 30.5231697, 114.3915249 30.5225571))","[7917287983, 7917287977, 7917287976, 7917287975, 7917293686, 7917287983]",yes,,,学三食堂,,,,,,,,,,,
way,848480903,restaurant,"POLYGON ((114.3904767 30.5233619, 114.3904805 30.5238002, 114.3909993 30.5237969, 114.3909847 30.5233636, 114.3904767 30.5233619))","[7917293688, 7917293687, 7917293692, 7917293691, 7917293688]",yes,,,西苑食堂,,,,,,,chinese,,,,
way,1228766351,restaurant,"POLYGON ((114.3993373 30.5213494, 114.3995899 30.5213494, 114.3995899 30.5212549, 114.3993373 30.5212549, 114.3993373 30.5213494))","[11395238413, 11395238414, 11395238415, 11395238416, 11395238413]",yes,,,胡馨园餐厅,武汉,洪山区,338,430074,湖北省,鲁磨路,coffee_shop;burger;chinese,,,,
