element_type,osmid,nodes,building,name,name:en,geometry,building:levels,addr:street,amenity,cuisine,fast_food,office,operator,ways,type
way,521555215,"[5081662080, 5081662081, 5081662082, 5081662083, 5081662080]",yes,实验15楼,Research Building 15,"POLYGON ((121.4220569 31.1453902, 121.4221284 31.1452012, 121.4228859 31.145411, 121.4228143 31.1456001, 121.4220569 31.1453902))",,,,,,,,,
way,521555379,"[5081663140, 5081663141, 5081663142, 5081663143, 5081663144, 5081663145, 5081663140]",yes,实验16楼,Research Building 16,"POLYGON ((121.4231662 31.1452468, 121.4232238 31.1450892, 121.4237263 31.1452237, 121.4237678 31.1451102, 121.4239734 31.1451652, 121.4238743 31.1454363, 121.4231662 31.1452468))",11,,,,,,,,
way,521556382,"[5081671577, 5081671578, 5081671579, 5081671580, 5081671577]",school,实验12楼,Research Building 12,"POLYGON ((121.4230482 31.1456596, 121.4231142 31.1454838, 121.4239775 31.1457203, 121.4239212 31.1459024, 121.4230482 31.1456596))",,,,,,,,,
way,521556718,"[5081676957, 5081676958, 5081676959, 5081676960, 5081676961, 5081676962, 5081676957]",school,实验17楼,Research Building 17,"POLYGON ((121.4226097 31.1466925, 121.4226733 31.1465188, 121.4227931 31.1465523, 121.4228127 31.1465147, 121.4234583 31.1466842, 121.4233702 31.1469081, 121.4226097 31.1466925))",,,,,,,,,
way,521561250,"[5081703478, 5081703479, 5081703480, 5081703481, 5081703482, 5081703483, 5081703484, 5081703485, 5081703486, 5081703487, 5081703478]",school,,School of Business,"POLYGON ((121.4188663 31.1453965, 121.4190291 31.1449633, 121.4189052 31.1449209, 121.4188273 31.1450906, 121.4185619 31.1450118, 121.4185159 31.1451269, 121.4186964 31.1451754, 121.4186645 31.1452602, 121.4186043 31.1452481, 121.418569 31.1453117, 121.4188663 31.1453965))",,,,,,,,,
way,521561427,"[5081705948, 5081705949, 5081705950, 5081705951, 5081705952, 5081705953, 5081705948]",apartments,晨园,Chen Yuan,"POLYGON ((121.4174628 31.1440157, 121.4175166 31.1438964, 121.4178565 31.1440094, 121.4179714 31.1440324, 121.417925 31.1441371, 121.4178907 31.1441454, 121.4174628 31.1440157))",,,,,,,,,
way,521561621,"[5081702193, 5081702194, 5081702195, 5081702196, 5081702197, 5081702198, 5081702199, 5081702200, 5081702201, 5081702193]",school,,College of International Education,"POLYGON ((121.4178271 31.1442857, 121.4178663 31.1441747, 121.4180375 31.1442333, 121.4181304 31.1440157, 121.418348 31.1440952, 121.4182673 31.1442878, 121.4181133 31.144338, 121.4180203 31.144315, 121.4180057 31.1443505, 121.4178271 31.1442857))",,,,,,,,,
way,521561799,"[5081709945, 5081709946, 5081709947, 5081709948, 5081709949, 5081709950, 5081709951, 5081709952, 5081709953, 5081709954, 5081709955, 5081709956, 5081709945]",public,档案馆,University Archives,"POLYGON ((121.4176449 31.1452919, 121.4176841 31.1451642, 121.4177281 31.1451747, 121.4178919 31.1447415, 121.4178528 31.1447289, 121.4179115 31.1445971, 121.418156 31.1446682, 121.4181022 31.1448063, 121.4180509 31.1447896, 121.4178944 31.1451998, 121.4179482 31.1452082, 121.417887 31.1453652, 121.4176449 31.1452919))",,,,,,,,,
way,521562491,"[5081713640, 5081713641, 5081713642, 5081713643, 5081713644, 5081713645, 5081713646, 5081713647, 5081713648, 5081713649, 5081713650, 5081713651, 5081713652, 5081713653, 5081713654, 5081713655, 5081713640]",school,第六教学楼,Teaching Building 6,"POLYGON ((121.420926 31.1450017, 121.420997 31.1448175, 121.4214371 31.1449556, 121.4214836 31.1448133, 121.4213149 31.1447652, 121.4213638 31.1446354, 121.4216034 31.1446982, 121.4215814 31.1447568, 121.4216792 31.1447903, 121.4216401 31.1449012, 121.4215056 31.1448573, 121.4214616 31.1449954, 121.4216964 31.1450687, 121.4216254 31.1452905, 121.421332 31.1452089, 121.4213613 31.1451252, 121.420926 31.1450017))",,,,,,,,,
way,521562533,"[5081718749, 5081718750, 5081718751, 5081718752, 5081718753, 5081718754, 5081718755, 5081718756, 5081718757, 5081718758, 5081718759, 5081718760, 5081718749]",school,实验6楼,Research Building 6,"POLYGON ((121.4204138 31.1462295, 121.4205226 31.1459534, 121.4206405 31.1459874, 121.4206182 31.1460441, 121.4210478 31.146168, 121.4210675 31.1461181, 121.4211588 31.1461444, 121.4210549 31.1464082, 121.4209649 31.1463822, 121.4209891 31.1463206, 121.4205522 31.1461945, 121.4205257 31.1462618, 121.4204138 31.1462295))",,,,,,,,,
way,521562570,"[5081721220, 5081721621, 5081721622, 5081721623, 5081721220]",school,实验5楼,Research Building 5,"POLYGON ((121.4211607 31.1460982, 121.4213318 31.1456545, 121.4215373 31.1457047, 121.4213538 31.146163, 121.4211607 31.1460982))",,,,,,,,,
way,521563416,"[5081729126, 5081729127, 5081729128, 5081729129, 5081729130, 5081729131, 5081729132, 5081729133, 5081729126]",school,,University Information Center,"POLYGON ((121.4190529 31.1449328, 121.419101 31.1448144, 121.4191939 31.1448421, 121.4191816 31.1448724, 121.4195754 31.1449896, 121.4195915 31.14495, 121.4197089 31.144985, 121.419657 31.1451127, 121.4190529 31.1449328))",,,,,,,,,
