element_type,osmid,geometry,amenity,maxheight,parking,name,access,description,lit,addr:housenumber,addr:street,nodes,operator,fee,surface,building,addr:city,addr:postcode,addr:state,capacity,payment:credit_cards,charge,maxstay,ref,fee:conditional,park_ride,payment:coins,payment:debit_cards,access:conditional,supervised,website,opening_hours,operational_status,operator:type,capacity:disabled,note,old_name,area,ways,type
way,5107838,"POLYGON ((-83.7243177 42.2927993, -83.7237523 42.2927862, -83.7230327 42.2918523, -83.723295 42.2915327, -83.7238228 42.2915101, -83.7245246 42.2923889, -83.7246768 42.2926131, -83.7244848 42.2927271, -83.7243177 42.2927993))",parking,,surface,U-M Lot NC32,private,,,,,"[34965210, 34965211, 34965212, 34965221, 34965222, 34965223, 34965225, 34965209, 34965210]",University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33690006,"POLYGON ((-83.7221968 42.2899877, -83.7223047 42.2896975, -83.7223654 42.2895082, -83.7223837 42.2892944, -83.7222841 42.2892911, -83.722195 42.2892468, -83.7221611 42.2892229, -83.722149 42.2892086, -83.7221436 42.2891927, -83.7221535 42.2891815, -83.722198 42.2891801, -83.7222047 42.2889495, -83.7220944 42.28895, -83.7220946 42.2890046, -83.7218582 42.2890053, -83.721858 42.2889506, -83.7217436 42.2889509, -83.7217459 42.289149, -83.7217554 42.289149, -83.7218076 42.2891485, -83.7218073 42.2892581, -83.7217941 42.2893645, -83.7217142 42.2893635, -83.7217012 42.2894395, -83.7216764 42.2895262, -83.7216312 42.28964, -83.721727 42.2896577, -83.7216473 42.2898629, -83.7216327 42.2899601, -83.7216359 42.2900588, -83.7220763 42.2900599, -83.7220507 42.2901497, -83.7221311 42.290154, -83.7221987 42.2901561, -83.7221972 42.2900483, -83.7221968 42.2899877))",parking,,surface,U of M Lot NC 10,private,"U of M Blue parking permit required. Other valid permits: Gold. Visitor parking in designated areas only. Enforcement hours 6 AM-5 PM, Monday-Friday; parking facilities are open to the public outside enforcement hours.",yes,,,"[385193399, 385193400, 385193401, 11012532022, 385193402, 385193403, 11409861244, 11409861243, 11409861245, 385193404, 385193405, 385193384, 385193385, 11409861248, 11409861247, 11409861249, 385193386, 11409861246, 385193391, 2037494830, 385193392, 2037494841, 385193393, 2037494857, 385193394, 385193395, 385193396, 2037494944, 11012532021, 385193397, 385193398, 385193414, 385193389, 385193388, 385193387, 385193399]",University of Michigan,yes @ (visitor AND Mo-Fr 06:00-17:00),asphalt,,,,,,,2.00 USD/hour,48 hours,NC10,,,,,,,,,,,,,,,,
way,82004462,"POLYGON ((-83.7089227 42.2962409, -83.7088694 42.2962148, -83.7086867 42.2962261, -83.7082589 42.2961496, -83.7080795 42.2960958, -83.7079276 42.2960157, -83.7078407 42.2959549, -83.707767 42.2958845, -83.7077023 42.2958065, -83.7076476 42.2957178, -83.7076876 42.2956914, -83.7076597 42.2956474, -83.7078137 42.2955724, -83.7079534 42.2954976, -83.7080795 42.2954143, -83.7081824 42.2953363, -83.7082967 42.2952407, -83.708331 42.2952072, -83.7083876 42.2952321, -83.7084162 42.2951899, -83.7091253 42.2954216, -83.7090915 42.2954846, -83.7091751 42.2954877, -83.7091172 42.2960544, -83.7089227 42.2962409))",parking,,surface,U of M Lot NC 46,private,"U of M Orange permit required 6 AM-5 PM Monday-Friday. Other valid permits Gold, Blue, Yellow, Student Yellow, Student Orange.",yes,,,"[955399251, 9848446224, 955399252, 955399254, 9848446223, 955399256, 9848446221, 9848446222, 955399257, 9848446220, 955399260, 9848446219, 955399263, 9848446217, 9848446218, 955399265, 9848442216, 9848442214, 955399267, 9848442215, 955399270, 9848442213, 9848442212, 955399272, 955399251]",University of Michigan,,asphalt,,,,,,,,,NC46,,,,,,,,,,,,,,,,
way,82004603,"POLYGON ((-83.7120108 42.2950032, -83.7119796 42.2950033, -83.710227 42.2950081, -83.7102257 42.2947438, -83.7120095 42.2947389, -83.7120108 42.2950032))",parking,,surface,U of M Lot NC 28,private,U of M Blue permit required 6 AM-5 PM Monday-Friday. Other valid permits: Gold.,yes,,,"[955401841, 9868327533, 2370482451, 955401846, 308163119, 955401841]",University of Michigan,,asphalt,,,,,,,,,NC28,,,,,,,,,,,,,,,,
way,82004729,"POLYGON ((-83.7164882 42.2935663, -83.716116 42.2935687, -83.7161172 42.2936752, -83.716234 42.2936745, -83.7162356 42.2938097, -83.7166195 42.2938073, -83.7166187 42.2937361, -83.7164901 42.293737, -83.7164882 42.2935663))",parking,,surface,U of M Lot NC 21,private,U of M Blue permit required 24 hours Monday-Friday. Other valid permits: Gold.,yes,,,"[955403847, 6433545896, 6433545895, 6433545894, 955403849, 955403848, 9842698321, 9842698320, 955403847]",,,asphalt,,,,,28,,,,NC21,,,,,,,,,,,,,,,,
way,82004730,"POLYGON ((-83.7144781 42.2937802, -83.7144787 42.2938624, -83.7137297 42.2938654, -83.7137293 42.2938146, -83.713606 42.2938151, -83.7136063 42.2938563, -83.7135129 42.2938567, -83.7135105 42.2935217, -83.7135984 42.2935213, -83.7135982 42.2934913, -83.7135084 42.2934916, -83.7135079 42.2934314, -83.7138112 42.2934301, -83.7138138 42.2937829, -83.7144781 42.2937802))",parking,,surface,U of M Lot NC 20,private,"U of M Blue permit required 6 AM-5 PM Monday-Friday. Other valid permits Gold. Motorcycles, scooters in designated places only.",yes,,,"[955403854, 955403850, 2036819043, 9842641764, 9842641763, 9842641762, 2036819034, 2036819041, 2036819045, 9848568691, 9848568690, 955403852, 2036819030, 955403853, 955403854]",University of Michigan,,asphalt,,,,,53,,,,NC20,,,,,,,,,,,,,,,,
way,82004880,"POLYGON ((-83.7184473 42.2925541, -83.718446 42.2922179, -83.7172214 42.2922124, -83.7167646 42.2922072, -83.7167643 42.2924388, -83.7168347 42.2924393, -83.7168349 42.2925116, -83.7168425 42.2925146, -83.7168465 42.2925178, -83.7168499 42.2925212, -83.7168504 42.2925248, -83.7168506 42.2925503, -83.7184473 42.2925541))",parking,,surface,,private,,yes,,,"[955407148, 955602821, 957664172, 957664173, 5643172261, 5643172262, 955407149, 5643172263, 5643172264, 5643172265, 5643172266, 955407150, 955407148]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,82009863,"POLYGON ((-83.7131074 42.2911113, -83.713044 42.2911365, -83.7130735 42.2911772, -83.7127704 42.291297, -83.7127234 42.2912323, -83.7125918 42.2912846, -83.7126389 42.2913493, -83.712302 42.2914835, -83.7122551 42.2914189, -83.7123619 42.2913765, -83.7122617 42.2912384, -83.7123381 42.2912081, -83.7122689 42.2911126, -83.7123097 42.2910964, -83.7122542 42.2910199, -83.7123914 42.2909654, -83.7123298 42.2908805, -83.7123784 42.2908612, -83.7122797 42.2907251, -83.7128923 42.290482, -83.7129425 42.2905513, -83.7128905 42.2905719, -83.7129431 42.2906444, -83.7129158 42.2906552, -83.7130181 42.2907963, -83.7129729 42.2908142, -83.7130312 42.2908945, -83.7131642 42.2908929, -83.7131688 42.2911106, -83.7131074 42.2911113))",parking,,surface,U of M Lot NC 60,private,U of M Blue permit required 6 AM-5 PM Monday-Friday. Other valid permits: Gold.,yes,,,"[9867164482, 9867164483, 955597492, 955597479, 9867164468, 9867164469, 9867164470, 955597493, 955597494, 9867164473, 9867164474, 9867164475, 2036650133, 955597495, 955597496, 955597497, 2036649997, 955597498, 955597459, 9867164476, 9867164471, 9867164472, 9867164477, 9867164478, 9867164479, 9867164480, 9867164481, 957747730, 2036649958, 9867164482]",,,asphalt,,,,,,,,,NC60,,,,,,,,,,,,,,,,
way,82009972,"POLYGON ((-83.708545 42.2944439, -83.7084082 42.2943577, -83.7082283 42.2942874, -83.7082655 42.2942341, -83.7081122 42.2941778, -83.7082012 42.2940546, -83.7077506 42.2938699, -83.707712 42.2939283, -83.7076302 42.2938975, -83.7071434 42.2945473, -83.7070978 42.2945999, -83.7070232 42.2946452, -83.7069668 42.2946714, -83.706879 42.2947115, -83.7069062 42.2947504, -83.7068393 42.2947851, -83.7069001 42.2948708, -83.7068325 42.2948872, -83.7067799 42.2948895, -83.7066969 42.2948908, -83.7066075 42.2948834, -83.7065388 42.2949125, -83.7065033 42.2948871, -83.705821 42.2952724, -83.7058837 42.2953275, -83.7058371 42.2953716, -83.7059283 42.2954193, -83.7060329 42.295455, -83.7061885 42.2955006, -83.7063683 42.2955391, -83.7065024 42.2955589, -83.7066551 42.2955724, -83.7068115 42.295571, -83.7069748 42.2955621, -83.7071676 42.2955307, -83.7074415 42.2954575, -83.7075715 42.295405, -83.7077599 42.2953088, -83.7079415 42.2951853, -83.7080558 42.2950825, -83.7082012 42.2949148, -83.7082816 42.2947999, -83.7083827 42.294665, -83.708545 42.2944439))",parking,,surface,U of M Lot NC 53,private,"U of M Orange permit required 6 AM-5 PM Monday-Friday. Other valid permits: Gold, Blue, Yellow, Student Yellow, Student Orange.",yes,,,"[955598511, 2036650073, 7272904739, 2036649786, 2036649930, 2036650066, 955598513, 7272904740, 7272904741, 7272904742, 7272904743, 955598514, 2036649852, 2036649989, 2036649877, 955598515, 2036649835, 2036650033, 7272904744, 2036649887, 955598516, 2036649999, 2036649968, 7272904746, 2036649875, 7272904749, 7272904745, 7272904747, 7272904748, 2036649871, 2036650088, 2036650119, 2036649961, 2036649883, 2036649925, 955598517, 955598518, 955598519, 955598520, 955598521, 955598522, 955598523, 955598524, 955598511]",University of Michigan,,asphalt,,,,,,,,,NC53,,,,,,,,,,,,,,,,
way,82009974,"POLYGON ((-83.7090155 42.2940767, -83.7089635 42.2941037, -83.7090026 42.294145, -83.7087537 42.2942741, -83.7087145 42.2942328, -83.7086501 42.2942662, -83.708235 42.2938281, -83.7085214 42.2936796, -83.7086004 42.2936386, -83.7089389 42.2939959, -83.7090155 42.2940767))",parking,,surface,U of M Lot NC 26,private,U of M Visitor Parking Lot. Fees enforced 6 AM-5 PM Monday-Friday.,yes,,,"[955598526, 9831908734, 9831908733, 9831908732, 9831908735, 955598527, 955598529, 9831908723, 955598530, 9831908724, 955598526]",University of Michigan,,asphalt,,,,,82,,2.00 USD/hour,,NC26,yes @ (6:00-17:00),,,,,,,,,,,,,,,
