element_type,osmid,geometry,amenity,maxheight,parking,name,access,description,lit,addr:housenumber,addr:street,nodes,operator,fee,surface,building,addr:city,addr:postcode,addr:state,capacity,payment:credit_cards,charge,maxstay,ref,fee:conditional,park_ride,payment:coins,payment:debit_cards,access:conditional,supervised,website,opening_hours,operational_status,operator:type,capacity:disabled,note,old_name,area,ways,type
way,82246290,"POLYGON ((-83.7067229 42.2973228, -83.7067343 42.2962222, -83.7066726 42.2962219, -83.7066606 42.296194, -83.7066384 42.2961861, -83.7066229 42.2961806, -83.7062501 42.2961644, -83.7061295 42.2961851, -83.7060021 42.2962347, -83.7059259 42.2962821, -83.7059188 42.2963176, -83.7059019 42.2963396, -83.7058454 42.2963394, -83.7058406 42.2970852, -83.7059069 42.2970854, -83.7059444 42.2971374, -83.7060061 42.2971522, -83.7060893 42.2971909, -83.7061577 42.2972504, -83.7062167 42.29732, -83.7067229 42.2973228))",parking,,surface,U of M Lot NC 90,private,"U of M Yellow parking permit required. Other valid permits: Gold, Blue. Enforcement hours: 6 AM-5 PM, Monday-Friday; parking facilities are open to the public outside enforcement hours.",yes,,,"[957689803, 957689804, 9421776808, 9421776809, 9421776738, 957689805, 957689806, 9421776810, 9421776811, 957689807, 957689808, 957689809, 5371372749, 9421776812, 9421776813, 9421776814, 9421776815, 9421776816, 9421776817, 957689811, 957689803]",University of Michigan,,asphalt,,,,,,,,48 hours,NC90,,,,,,,,,,,,,,,,
way,82246877,"POLYGON ((-83.6933692 42.300593, -83.6933531 42.2999319, -83.693782 42.2999262, -83.6937745 42.2996217, -83.6949012 42.2996067, -83.6949167 42.3002432, -83.6944809 42.3005781, -83.6933692 42.300593))",parking,,surface,Green Road Park & Ride Lot,,,,,,"[957704147, 957704150, 957704153, 957704155, 957704157, 957704158, 62474027, 957704147]",,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,
way,82246918,"POLYGON ((-83.7178792 42.2886838, -83.717871 42.2880679, -83.7169876 42.2877846, -83.7169806 42.2879512, -83.7165999 42.2879581, -83.7165673 42.2879409, -83.7165144 42.2879857, -83.7165412 42.2880212, -83.7165295 42.2880447, -83.7164491 42.2880518, -83.7164591 42.2886964, -83.7167462 42.2887588, -83.7168319 42.2887614, -83.7169974 42.2887311, -83.717331 42.2887285, -83.7174871 42.2887633, -83.7175828 42.2887589, -83.7178792 42.2886838))",parking,,surface,,permissive,,yes,,,"[957704343, 957704344, 5321270822, 5321270829, 5321270842, 3027595097, 957704345, 5321270840, 957704347, 957704349, 957704351, 5321270898, 2954617576, 5321270881, 5321270866, 5321270859, 2954617575, 957704343]",,yes,paved,,,,,,yes,$1.80/hr,,,,,yes,yes,,,,,,,,,,,,
way,82246919,"POLYGON ((-83.7150653 42.2881895, -83.7150655 42.2878637, -83.7141762 42.2878635, -83.714176 42.2882771, -83.7144016 42.2882772, -83.7144016 42.2884283, -83.7147807 42.2884284, -83.7150653 42.2881895))",parking,,surface,U of M Lot NC 5,private,"U of M Blue permit required 6 AM - 5 PM, Monday-Friday. Other valid permits: Gold. Visitor parking in designated spaces only.",yes,,,"[957704358, 957704360, 10822764806, 10822764805, 957704366, 957704368, 957704356, 957704358]",University of Michigan,,asphalt,,,,,,,,,NC5,yes @ visitors,,,,,,,,,,,,,,,
way,82246920,"POLYGON ((-83.7141268 42.2896831, -83.7140394 42.2896834, -83.71349 42.2896849, -83.7134905 42.2897787, -83.7133728 42.289779, -83.7133705 42.2893384, -83.7139874 42.2893351, -83.7140378 42.2893351, -83.7141251 42.289335, -83.7141268 42.2896831))",parking,,surface,U of M Lot NC 16,private,"U of M Blue permit required 6 AM - 5 PM, Monday - Friday. Other valid permits: Gold. Visitor parking in designated spaces only.",yes,,,"[957704374, 10795359253, 10795359254, 10795359252, 957704376, 957704378, 10819880001, 11077275077, 957704380, 957704374]",University of Michigan,,asphalt,,,,,,,,,NC16,,,,,,,,,,,,,,,,
way,97181955,"POLYGON ((-83.7372136 42.2725085, -83.7363718 42.2725179, -83.7363711 42.2724827, -83.7363194 42.2724833, -83.7363139 42.2722111, -83.736363 42.2722106, -83.7363623 42.2721791, -83.7371942 42.2721698, -83.7372139 42.2721696, -83.7372146 42.2722044, -83.7372563 42.2722039, -83.7372619 42.2724802, -83.737213 42.2724808, -83.7372136 42.2725085))",parking,,multi-storey,Hill Structure,private,,,,,"[1125730840, 1125730844, 5406246228, 5406246227, 5406246229, 5406246230, 1125730821, 9190805683, 1125730798, 5406246223, 5406246224, 5406246226, 5406246225, 1125730840]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,132574383,"POLYGON ((-83.7364882 42.2804858, -83.7364589 42.280486, -83.7360024 42.2804889, -83.7355818 42.2804916, -83.7355798 42.2803203, -83.7355787 42.280224, -83.7355736 42.279793, -83.73648 42.2797852, -83.7364842 42.2801445, -83.7364853 42.2802344, -83.7364878 42.2804523, -83.7364882 42.2804858))",parking,,multi-storey,Fletcher Structure,private,,,,,"[1458141610, 3416867981, 4393371107, 1458141577, 4147093456, 4147093453, 1458141544, 1458141569, 3095946660, 3095946658, 4393371106, 1458141610]",University of Michigan,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,133385417,"POLYGON ((-83.7429119 42.2645175, -83.7423207 42.2635103, -83.7424378 42.2634319, -83.7449143 42.2640305, -83.7447582 42.2642988, -83.7446354 42.2643813, -83.7429119 42.2645175))",parking,,surface,U-M Lot SC7 / RV Lot,,,,,,"[1468329784, 1468329780, 1468329779, 1468329781, 1468329782, 1468329783, 1468329784]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,154202642,"POLYGON ((-83.7401967 42.2799683, -83.7397416 42.2799799, -83.7397398 42.2799413, -83.739728 42.2796883, -83.7397192 42.2794991, -83.7401743 42.2794875, -83.7401967 42.2799683))",parking,,multi-storey,Thayer Street Parking Structure,private,University parking permit required.,,,,"[1667717236, 1667717237, 7124481600, 7124481597, 1667717054, 1667717053, 1667717236]",University of Michigan,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,158896613,"POLYGON ((-83.7455975 42.2656901, -83.7455603 42.2654573, -83.7453322 42.2651315, -83.7452056 42.2645755, -83.7447825 42.2645886, -83.7446681 42.2647072, -83.7446146 42.2648145, -83.7446375 42.2649444, -83.7447444 42.2651759, -83.7450258 42.2657041, -83.7455975 42.2656901))",parking,,surface,U-M Lot SC6,,,,,,"[1710201056, 1710201055, 2715622823, 1710201036, 1710201046, 1710201047, 1710201049, 1710201051, 1710201053, 3858009793, 1710201056]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,158896615,"POLYGON ((-83.7472934 42.2679377, -83.7471407 42.2678755, -83.7466905 42.2674746, -83.7465455 42.2672995, -83.7464425 42.2670897, -83.7464435 42.2665186, -83.7469513 42.2665157, -83.7469643 42.2667692, -83.747077 42.2667826, -83.7471861 42.2668435, -83.7472883 42.2669194, -83.7472934 42.2679377))",parking,,surface,U-M Lot SC4,private,,,,,"[1710201101, 1710201098, 1710201095, 1710201090, 1710201088, 1710201086, 3858009798, 3858009803, 3858009804, 3858009805, 3858009806, 1710201101]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,190113113,"POLYGON ((-83.746398 42.272355, -83.7464029 42.2722373, -83.7453412 42.272274, -83.7453702 42.271869, -83.7448998 42.2718837, -83.7449128 42.2724408, -83.7445432 42.2724313, -83.7445405 42.2725331, -83.7449151 42.27254, -83.7449192 42.2727162, -83.745781 42.272695, -83.7457991 42.2723804, -83.7458005 42.2723638, -83.746398 42.272355))",parking,,surface,U-M Lot SC9,yes,,,,,"[5921713585, 3858009882, 3858009883, 3858009876, 2007196461, 5921713611, 4907802261, 5921713612, 5921713610, 2007196467, 2007196466, 6392559346, 5921713586, 5921713585]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,190113121,"POLYGON ((-83.7451156 42.2713745, -83.7451059 42.2711693, -83.7450559 42.2711435, -83.7445723 42.2711502, -83.7445786 42.2714186, -83.7448069 42.2714122, -83.7448135 42.2714133, -83.7448197 42.2714159, -83.744829 42.2714207, -83.7448861 42.2714484, -83.7448954 42.2714551, -83.7448999 42.2714585, -83.7449041 42.2714628, -83.7449087 42.2714687, -83.7449122 42.2714763, -83.7449136 42.2714825, -83.7449219 42.2716642, -83.7449681 42.2716631, -83.7450105 42.271662, -83.7450105 42.2716536, -83.7450113 42.2716516, -83.7450134 42.2716499, -83.7450159 42.2716489, -83.7450694 42.2716475, -83.7450731 42.2716468, -83.7450737 42.2716442, -83.7450706 42.2714556, -83.7450582 42.271449, -83.7450082 42.2714494, -83.7450006 42.2714458, -83.7450002 42.2714379, -83.7450048 42.2714275, -83.7450312 42.2714079, -83.7450533 42.2713763, -83.7451156 42.2713745))",parking,,surface,U-M Lot SC38 (Elbel Field Locker Bldg),private,,,,,"[2007196457, 2007196450, 2007196447, 2007196449, 2007196453, 5599522533, 5599522532, 5599522531, 2007196452, 5599522526, 5599522527, 5599522530, 2007196454, 5599522529, 5599522528, 5599522525, 2007196458, 5599522522, 5599522518, 5599522517, 5599522516, 5599522521, 5599522515, 5599522519, 5599522514, 5599522520, 5599522513, 5599522512, 5599522511, 5599522510, 5599522509, 5599522508, 5599522507, 5599522506, 2007196457]",,,,,,,,,,,,,,,,,"yes @ (Mo-Sa 00:00-08:00, 18:00-24:00; Su 00:00-24:00)",,,,,,,,,,,
way,192429436,"POLYGON ((-83.7062497 42.3012494, -83.7060822 42.3012489, -83.705012 42.3012458, -83.7050086 42.3018898, -83.7062463 42.3018933, -83.7062497 42.3012494))",parking,,multi-storey,NC100,private,Blue,,,,"[2029853513, 9440430866, 2029853512, 2029853530, 2029853531, 2029853513]",University of Michigan,,,parking,,,,,,,,,,,,,,no,,,,,,,,,,
way,192429452,"POLYGON ((-83.6968883 42.3031973, -83.6971814 42.3031908, -83.6971808 42.3032615, -83.6972198 42.3033067, -83.6972208 42.3033561, -83.6972247 42.3034674, -83.697273 42.3034444, -83.697337 42.3034141, -83.6974698 42.3033908, -83.6974634 42.3033391, -83.697485 42.3033287, -83.6975316 42.3033292, -83.6975322 42.302924, -83.697531 42.3028818, -83.6974494 42.3028801, -83.6974477 42.3027672, -83.6973877 42.3027607, -83.6973871 42.3027275, -83.6972149 42.3027324, -83.69696 42.3027396, -83.6969594 42.3027766, -83.6968708 42.3027758, -83.6968819 42.302971, -83.6968883 42.3031973))",parking,,surface,,,,,,,"[2029853564, 2029853563, 2029853567, 2029853568, 2029853582, 2029853588, 2029853587, 2029853585, 2029853584, 2029853579, 2029853576, 2029853577, 2029853560, 2029853557, 2029853556, 2029853546, 2029853544, 2029853540, 4444302412, 2029853542, 2029853548, 2029853547, 2029853562, 2029853564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192429453,"POLYGON ((-83.7081122 42.2993507, -83.7081152 42.2996086, -83.7081497 42.2996084, -83.7081504 42.2996704, -83.7087658 42.2996664, -83.7087597 42.2991519, -83.7081098 42.2991561, -83.7081122 42.2993507))",parking,,surface,,private,,,,,"[5371372818, 9421776781, 9421776782, 2029853420, 2029853423, 9421776780, 9421776779, 5371372818]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192429456,"POLYGON ((-83.6997264 42.301477, -83.6991733 42.3014721, -83.6991776 42.3012004, -83.6993075 42.3011315, -83.6994467 42.3010976, -83.6994839 42.3009923, -83.6997332 42.3009987, -83.6997264 42.301477))",parking,,surface,,,,,,,"[2029853524, 2029853522, 2029853514, 2029853517, 4446200210, 2029853502, 2029853503, 2029853524]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192429457,"POLYGON ((-83.7087522 42.2991347, -83.7087369 42.2989708, -83.7087279 42.2986413, -83.7086809 42.298539, -83.7085972 42.2984546, -83.7084554 42.2983793, -83.7082784 42.2983612, -83.7082317 42.2988063, -83.7081638 42.2990873, -83.7081668 42.2990936, -83.7081713 42.2991029, -83.7082007 42.2991025, -83.7082035 42.2991391, -83.7087522 42.2991347))",parking,,surface,,private,,,,,"[2029853403, 2029853387, 2029853386, 9421776778, 2029853385, 2029853379, 2029853382, 9421776777, 2029853398, 9421776762, 9421776775, 2029853402, 9421776776, 2029853403]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,193157877,"POLYGON ((-83.7129633 42.298863, -83.7129827 42.2987066, -83.7135505 42.2987451, -83.7136738 42.2987535, -83.7136544 42.2989099, -83.7129633 42.298863))",parking,,,,private,,,,,"[2036721985, 2036721983, 3010359873, 2036721989, 2036722001, 2036721985]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,193159383,"POLYGON ((-83.712536 42.3013273, -83.7121952 42.3013291, -83.7121812 42.3008447, -83.7126272 42.3008462, -83.7126285 42.3009999, -83.7126111 42.3011368, -83.712536 42.3013273))",parking,,,,private,,,,,"[2036729963, 2036729979, 2036729980, 2036729950, 2036729954, 2036729973, 2036729963]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,193813106,"POLYGON ((-83.7272175 42.2828847, -83.7278955 42.2828765, -83.7278948 42.2837202, -83.7277987 42.2837307, -83.7277454 42.2837315, -83.7277421 42.2837186, -83.7272399 42.2837261, -83.7272371 42.2836779, -83.7271748 42.2836789, -83.7271573 42.2830523, -83.727154 42.2829675, -83.7271518 42.2829353, -83.7272148 42.2829314, -83.7272175 42.2828847))",parking,,multi-storey,U-M P2 M18 Taubman Structure,,,,,,"[2043272496, 3222750452, 2043272491, 3065664571, 5324521359, 5324521358, 2043272513, 5324521356, 5324521357, 5324521341, 5324521334, 2043272505, 2043272508, 2043272496]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,193910369,"POLYGON ((-83.7330866 42.2851765, -83.7329524 42.2851757, -83.7324376 42.2851726, -83.7319144 42.2851695, -83.7319151 42.2851043, -83.7319172 42.2849128, -83.73192 42.2846558, -83.7328341 42.2846613, -83.7328334 42.2847234, -83.7330915 42.284725, -83.7330866 42.2851765))",parking,,multi-storey,U-M Lot P1 M15 North Entrance Structure,private,,,,,"[2044154248, 5208422498, 5208409801, 2044154441, 2044154438, 4994662336, 2044154257, 2044154321, 2044154262, 2044154342, 2044154248]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,193911886,"POLYGON ((-83.7303459 42.2800122, -83.7303342 42.279602, -83.7309225 42.2795955, -83.7309302 42.2799487, -83.730935 42.2799565, -83.7309431 42.2799616, -83.7309513 42.2799646, -83.7309606 42.2799653, -83.7309608 42.2799802, -83.7309609 42.2799977, -83.7309524 42.2799977, -83.730944 42.2800005, -83.7309365 42.2800051, -83.7309329 42.2800108, -83.7309304 42.280017, -83.730932 42.2800652, -83.7307344 42.2800675, -83.7305179 42.2800694, -83.7305176 42.2800177, -83.7304989 42.2800179, -83.7304051 42.2800195, -83.7304044 42.2800117, -83.7303459 42.2800122))",parking,,surface,U-M Lot M34,private,,,,,"[2044184863, 2044184935, 2044184867, 5615379054, 5615379056, 5615379055, 5615379057, 5615379053, 5615379025, 5615379052, 5615398740, 5615379051, 5615398739, 5615398738, 5615379050, 2044184905, 5615398737, 2044184890, 2044184911, 5615379049, 5615379058, 5615379059, 2044184863]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,193911893,"POLYGON ((-83.7287781 42.2801336, -83.7293971 42.2801132, -83.7294108 42.2803389, -83.7295004 42.280336, -83.7295053 42.2804178, -83.7279281 42.2804764, -83.7279152 42.280268, -83.7279104 42.280164, -83.7287781 42.2801336))",parking,,surface,U-M Lot M28,private,,,,,"[2044184909, 2044184848, 3216886715, 3216886714, 2044184879, 2044184877, 2044184860, 2044184900, 2044184909]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,223569638,"POLYGON ((-83.735985 42.2840009, -83.7361857 42.2839954, -83.7362414 42.2839939, -83.7370244 42.2839724, -83.7369913 42.2833108, -83.73699 42.2832856, -83.7368705 42.2832889, -83.7359506 42.2833142, -83.7359519 42.2833404, -83.7359804 42.2839097, -83.735985 42.2840009))",parking,,multi-storey,U-M M61 Glen Structure,private,,,333,Glen Street,"[2324517599, 62621809, 4939302615, 2324517604, 5965397317, 2324517602, 5965397320, 2324517606, 4646094453, 4646094457, 2324517599]",,,,yes,,,,1033,,,,,,,,,permit @ (Mo-Fr 06:00-18:00),,https://ltp.umich.edu/parking/structureglen.php,,,,,,,,,
way,226571543,"POLYGON ((-83.7248622 42.286923, -83.7249149 42.2865998, -83.7203534 42.2867266, -83.7203614 42.2870449, -83.7248622 42.286923))",parking,,surface,Lot M75,private,,,,,"[2353531715, 2353531721, 2353531722, 2353531719, 2353531715]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,226571631,"POLYGON ((-83.7233121 42.2880047, -83.7232953 42.2875188, -83.7230431 42.2875236, -83.7230374 42.2873599, -83.7216017 42.2873871, -83.7216192 42.2878904, -83.7224099 42.2878754, -83.7224081 42.2878234, -83.7224368 42.2878229, -83.7224437 42.2880212, -83.722664 42.288017, -83.7226625 42.2879742, -83.7227799 42.2879719, -83.7227813 42.2880148, -83.7233121 42.2880047))",parking,,surface,U of M Lot NC 78,private,"U of M Orange permit required. Other valid permits: Gold, Blue, Yellow, Student Yellow, and Student Orange. Enforcement hours 6 AM - 5 PM, Monday-Friday; parking facilities are open to the public outside of enforcement hours.",yes,,,"[2353532049, 2353532053, 2353532043, 2353532051, 2353532047, 2353532039, 11394558670, 11394558669, 2353532041, 2353532046, 11394558673, 11394558672, 11394558671, 11394558674, 2353532049]",,,asphalt,,,,,291,,,48 hours,NC78,,,,,,,,,,,,,,,,
