element_type,osmid,nodes,amenity,building,bus,name,operator,public_transport,ref,shelter,short_name,wheelchair,geometry,layer
way,504121174,"[560916424, 4943238153, 5614353340, 5614353341, 5614353342, 5614353339, 5614353336, 5614353337, 5614353338, 5614353335, 4943238154, 4943238155, 560916424]",bus_station,bus_station,yes,Central Campus Transit Center,University of Michigan,station,1285,yes,CCTC,yes,"POLYGON ((-83.7354007 42.2781216, -83.7354476 42.2780856, -83.7353744 42.2780286, -83.7353962 42.2780144, -83.7353444 42.2779699, -83.7353207 42.2779868, -83.7351705 42.2778698, -83.7351908 42.2778545, -83.7351365 42.2778137, -83.735118 42.2778289, -83.7350433 42.2777707, -83.7349964 42.2778034, -83.7354007 42.2781216))",
way,506294893,"[4960643783, 4960643784, 4960643785, 4960643786, 4960643787, 4960643788, 4960643789, 4960643790, 4960643791, 4960643792, 4960643793, 4960643794, 4960643783]",bus_station,,yes,Central Campus Transit Center,University of Michigan,station,,,CCTC,yes,"POLYGON ((-83.7351059 42.2782157, -83.7350807 42.2781955, -83.7350593 42.2782096, -83.7350077 42.2781683, -83.7350295 42.2781534, -83.7349816 42.2781151, -83.7349568 42.2781321, -83.7349041 42.27809, -83.7349231 42.278077, -83.7348968 42.278056, -83.7349506 42.2780192, -83.7351558 42.2781833, -83.7351059 42.2782157))",1
