element_type,osmid,geometry,nodes,source,natural,NHD:ComID,NHD:FCode,NHD:FDate,NHD:FTYPE,NHD:RESOLUTION,NHD:ReachCode,golf,water,intermittent,amenity,athletics,sport,surface,ways,type,name,tidal
way,52448198,"POLYGON ((-83.7445711 42.2618486, -83.7446724 42.2618608, -83.7447596 42.2618988, -83.7448136 42.261934, -83.7448428 42.2619668, -83.7448559 42.2620056, -83.7448488 42.2620436, -83.7448418 42.2620816, -83.7448207 42.2621498, -83.7448103 42.2622181, -83.7448082 42.2622666, -83.7448088 42.2623151, -83.7448104 42.2623729, -83.7448174 42.2624307, -83.7448418 42.262481, -83.7448718 42.2625264, -83.7449192 42.2625608, -83.7449625 42.2625902, -83.7450146 42.2626167, -83.7450768 42.2626634, -83.7450899 42.2626898, -83.7450789 42.2627094, -83.745072 42.26273, -83.7450722 42.2627578, -83.745077 42.2627731, -83.745063 42.2627875, -83.7449991 42.2627939, -83.7449339 42.2627685, -83.7448984 42.2627546, -83.7448499 42.2627519, -83.7448053 42.2627424, -83.7447594 42.2627333, -83.7447231 42.2627138, -83.7447055 42.2626845, -83.744688 42.2626279, -83.7446592 42.2625551, -83.744625 42.2624824, -83.7445622 42.2624374, -83.7444865 42.2624089, -83.7444108 42.2624122, -83.7442972 42.2624255, -83.7442069 42.2624163, -83.7441354 42.2624359, -83.7440869 42.2624725, -83.7440384 42.2625022, -83.7439619 42.2625471, -83.7439062 42.2625527, -83.7438639 42.2625345, -83.7438529 42.262502, -83.7438505 42.2624679, -83.7438433 42.2624493, -83.7438294 42.2624357, -83.7437941 42.2624333, -83.7437555 42.2624353, -83.7437137 42.2624348, -83.7436793 42.2624383, -83.7436753 42.2624173, -83.7436922 42.2623983, -83.743705 42.2623635, -83.7437353 42.2623316, -83.7437644 42.2623188, -83.743791 42.2623143, -83.7438046 42.2623039, -83.7438011 42.26229, -83.743796 42.2622767, -83.7438022 42.2622587, -83.7438721 42.2621633, -83.7439443 42.2620728, -83.7439878 42.2620303, -83.7440413 42.2619946, -83.7441134 42.2619727, -83.7441855 42.2619627, -83.744265 42.2619487, -83.7443441 42.2619344, -83.7444071 42.2619051, -83.7444497 42.2618805, -83.7444923 42.2618648, -83.7445711 42.2618486))","[666515901, 666515888, 666515892, 666515890, 6297222197, 6297222196, 6297222198, 666515884, 6297222199, 666515882, 6297222200, 666515886, 6297222201, 666515899, 666515898, 6297222203, 6297222202, 6297222204, 1125730847, 6297222205, 6297222206, 6297222207, 1125730826, 6297222208, 6297222209, 6294762480, 6294762481, 666515895, 6294762482, 6297221667, 6294762483, 6297221668, 6297221669, 1125730819, 6297221670, 6297221671, 666515929, 6297221672, 6297221673, 1125730799, 6297221674, 6297221675, 666515927, 6297221676, 666515922, 6297221677, 6297221678, 666515920, 6297221679, 6297221681, 6297221682, 6297221680, 6297221683, 666515926, 6297221684, 666515924, 666515931, 6297222185, 6297222186, 666515918, 6297222187, 6297222188, 6297222189, 6297222190, 6297222191, 666515914, 666515916, 666515911, 6297222192, 666515913, 6297222193, 666515907, 666515909, 6297222194, 666515903, 6297222195, 666515905, 666515901]",NHD,water,145334260,39004,2006/02/04,LakePond,High,04090005007122,water_hazard,,,,,,,,,,
way,174701045,"POLYGON ((-83.7008326 42.3005083, -83.7008314 42.3004901, -83.7008111 42.300175, -83.7008755 42.2998656, -83.7009721 42.2996831, -83.7009828 42.2995402, -83.700905 42.2994601, -83.7007977 42.2995712, -83.7006824 42.2998973, -83.7006904 42.3002853, -83.7008326 42.3005083))","[1853580237, 1853580406, 1853580353, 1853580241, 1853580302, 1853580543, 1853580173, 1853580175, 1853580509, 1853580233, 1853580237]",,water,,,,,,,,,,,,,,,,,
way,174701046,"POLYGON ((-83.7159388 42.2886915, -83.7159924 42.2886042, -83.7158101 42.2885249, -83.7157242 42.2884534, -83.715735 42.2886122, -83.7159388 42.2886915))","[1853580424, 1853580486, 1853580182, 1853580487, 1853580292, 1853580424]",,water,,,,,,,,,,,,,,,,,
way,174701049,"POLYGON ((-83.7079458 42.3017462, -83.7080424 42.3016351, -83.7080746 42.3015082, -83.7079002 42.3013169, -83.7077286 42.3012455, -83.7075381 42.3013098, -83.7073852 42.3013963, -83.7075033 42.3014677, -83.7077318 42.301484, -83.7078144 42.3015867, -83.7079458 42.3017462))","[1853580308, 1853580352, 1853580183, 1853580235, 1853580305, 1853580249, 1853580243, 1853580506, 1853580178, 1853580163, 1853580308]",,water,,,,,,,,,,,,,,,,,
way,174701050,"POLYGON ((-83.7039332 42.2991276, -83.7039547 42.2990165, -83.703901 42.2987387, -83.7037696 42.2986903, -83.703665 42.2987863, -83.7038152 42.2989451, -83.7039332 42.2991276))","[1853580244, 1853580466, 1853580494, 1853580522, 1853580257, 1853580297, 1853580244]",,water,,,,,,,,,,,,,,,,,
way,174701052,"POLYGON ((-83.7080531 42.3008337, -83.7082891 42.3005401, -83.7084179 42.3003099, -83.708493 42.3001671, -83.708257 42.3000957, -83.7079217 42.2999283, -83.7079753 42.3003092, -83.7081711 42.3002782, -83.7079968 42.3005869, -83.7079565 42.3008019, -83.7080531 42.3008337))","[1853580211, 1853580394, 1853580448, 1853580432, 1853580484, 1853580438, 1853580492, 1853580212, 1853580453, 1853580309, 1853580211]",,water,,,,,,,,,,,,,,,,,
way,174701053,"POLYGON ((-83.7157779 42.2883582, -83.7159388 42.2882153, -83.7160649 42.288159, -83.716089 42.2880486, -83.7160783 42.2879058, -83.7158315 42.287882, -83.7155955 42.2879613, -83.7155499 42.288151, -83.7156679 42.2883415, -83.7157779 42.2883582))","[1853580421, 1853580159, 1853580290, 1853580498, 1853580442, 1853580274, 1853580420, 1853580490, 1853580465, 1853580421]",,water,,,,,,,,,,,,,,,,,
way,174701056,"POLYGON ((-83.7086754 42.2981515, -83.7087827 42.2980483, -83.7087156 42.2979841, -83.7084286 42.2980166, -83.7085037 42.2981277, -83.7086754 42.2981515))","[1853580161, 1853580179, 1853580317, 1853580377, 1853580437, 1853580161]",,water,,,,,,,,,,,,,,,,,
way,174701057,"POLYGON ((-83.7013047 42.2991831, -83.7013476 42.2989054, -83.7013476 42.2987625, -83.7011518 42.2988054, -83.7011437 42.2989292, -83.7012054 42.2991268, -83.7013047 42.2991831))","[1853580361, 1853580248, 1853580340, 1853580404, 1853580519, 1853580440, 1853580361]",,water,,,,,,,,,,,,,,,,,
way,174701058,"POLYGON ((-83.7143961 42.2914087, -83.7143939 42.2908168, -83.7143563 42.2908168, -83.7143562 42.2907895, -83.7142332 42.2907897, -83.7142333 42.2908154, -83.7141981 42.2908155, -83.7142002 42.2914093, -83.7142357 42.2914092, -83.7142358 42.2914381, -83.714362 42.2914378, -83.7143619 42.2914087, -83.7143961 42.2914087))","[1853580426, 1853580232, 2952556801, 2952556804, 2952556803, 2952556802, 1853580410, 1853580273, 2952556805, 2952556808, 2952556807, 2952556806, 1853580426]",,water,,,,,,,,,,fountain,,,,,,,
way,174701060,"POLYGON ((-83.7012188 42.3024842, -83.7012913 42.3023882, -83.7011196 42.3023406, -83.701023 42.3023802, -83.7010686 42.3025001, -83.7012188 42.3024842))","[1853580471, 1853580214, 1853580187, 1853580247, 1853580186, 1853580471]",,water,,,,,,,,,,,,,,,,,
way,174701065,"POLYGON ((-83.7009399 42.3020795, -83.7009366 42.3020319, -83.7008862 42.3013019, -83.7007468 42.3011987, -83.7008192 42.3021263, -83.7009399 42.3020795))","[1853580283, 1853580540, 1853580462, 1853580455, 1853580385, 1853580283]",,water,,,,,,,,,,,,,,,,,
way,174701068,"POLYGON ((-83.7202432 42.2912352, -83.7202795 42.2911952, -83.7202987 42.2911462, -83.7202821 42.2910338, -83.7202835 42.2910008, -83.7203009 42.290973, -83.7204055 42.2908771, -83.7204297 42.2908281, -83.7204404 42.2907736, -83.7204229 42.2907114, -83.7204015 42.2906506, -83.7203457 42.2905876, -83.7202849 42.2905553, -83.7201874 42.2905251, -83.7200958 42.2905156, -83.7199965 42.290522, -83.7199147 42.2905325, -83.7198684 42.2905434, -83.7198328 42.2905606, -83.7198181 42.2905811, -83.7198168 42.2906019, -83.7198222 42.2906327, -83.7198517 42.2907011, -83.7198771 42.2907868, -83.7198906 42.2908777, -83.7198798 42.2909502, -83.7198718 42.2910057, -83.7198731 42.2910706, -83.7198892 42.2911258, -83.7199415 42.2911763, -83.7200152 42.2912313, -83.7200743 42.2912587, -83.7201311 42.2912701, -83.7201923 42.2912636, -83.7202432 42.2912352))","[1853580209, 11407910979, 1853580321, 1853580450, 11407910978, 11407910977, 1853580470, 11407910976, 11407910975, 1853580422, 11407910974, 1853580268, 11407910973, 1853580238, 11407910972, 1853580512, 11407910971, 11435037283, 1853580180, 11435037281, 11435037282, 11407910970, 11407910969, 1853580204, 11407887768, 11407887767, 11407887766, 1853580203, 11407887765, 11407887764, 1853580530, 11407887763, 1853580544, 11407910980, 1853580209]",,water,,,,,,,,,,,,,,,,,
way,174701070,"POLYGON ((-83.7159173 42.2893662, -83.7159924 42.2892312, -83.7160568 42.2890566, -83.7160568 42.2889614, -83.7158825 42.2889368, -83.7157645 42.2890876, -83.715743 42.2892622, -83.7157779 42.2893741, -83.7159173 42.2893662))","[1853580190, 1853580170, 1853580429, 1853580423, 1853580415, 1853580255, 1853580174, 1853580295, 1853580190]",,water,,,,,,,,,,,,,,,,,
way,285302201,"POLYGON ((-83.6826497 42.3006755, -83.6826345 42.3002904, -83.6824757 42.3002956, -83.6823578 42.30035, -83.6823368 42.3004493, -83.68238 42.3005771, -83.6824524 42.3006608, -83.6826497 42.3006755))","[2889760554, 2889760555, 2889760556, 2889760557, 2889760558, 2889760559, 2889760560, 2889760554]",,water,,,,,,,,,,,,,,,,,
way,285302203,"POLYGON ((-83.6832241 42.3008156, -83.6834273 42.3009883, -83.683614 42.3010108, -83.6837588 42.3009555, -83.6839806 42.3008881, -83.683962 42.3006135, -83.6838942 42.3004443, -83.6838966 42.3003355, -83.683997 42.3002319, -83.6842772 42.3001006, -83.6846601 42.2999659, -83.6848049 42.2998105, -83.6849683 42.2996481, -83.6852018 42.2995531, -83.6853863 42.2995842, -83.6856759 42.2997552, -83.685914 42.3000212, -83.685886 42.3004305, -83.6855941 42.3006999, -83.6850828 42.3012888, -83.6848026 42.3014788, -83.6845387 42.3015703, -83.6843192 42.3015168, -83.683983 42.3014891, -83.6837518 42.3014598, -83.6837822 42.301275, -83.6836444 42.3011852, -83.6834599 42.3012301, -83.6830887 42.3015479, -83.683035 42.3015202, -83.6831774 42.3009227, -83.6831727 42.3008173, -83.6832241 42.3008156))","[2889760561, 2889760562, 2889760563, 2889760564, 2889760565, 2889760566, 2889760567, 2889760568, 2889760569, 2889760570, 2889760571, 2889760572, 2889760573, 2889760574, 2889760575, 2889760576, 2889760577, 2889760578, 2889760579, 2889760580, 2889760581, 2889760582, 2889760583, 2889760584, 2889760585, 2889760586, 2889760587, 2889760588, 2889760589, 2889760590, 2889760591, 2889760592, 2889760561]",,water,,,,,,,,,,,,,,,,,
way,316111376,"POLYGON ((-83.7074045 42.2914137, -83.7073487 42.2914275, -83.707399 42.2914895, -83.7074306 42.2914991, -83.7074511 42.291528, -83.7075181 42.2915515, -83.7076093 42.2915515, -83.7076949 42.2915294, -83.707721 42.2915143, -83.7076689 42.2914564, -83.7076298 42.291422, -83.707533 42.2914096, -83.7074045 42.2914137))","[3222200059, 3222200361, 3222200371, 3222200372, 3222200374, 3222200376, 3222200377, 3222200375, 3222200373, 3222200367, 3222200060, 3222200058, 3222200059]",,water,,,,,,,,,,,,,,,,,
way,316111377,"POLYGON ((-83.706067 42.2914709, -83.7062103 42.2914654, -83.7062867 42.2914461, -83.7064151 42.2914365, -83.7065733 42.2914461, -83.7067018 42.2914723, -83.7067223 42.2914406, -83.706672 42.2914089, -83.7065901 42.2913993, -83.7064635 42.2913731, -83.7063593 42.2913869, -83.7062196 42.2913855, -83.7061228 42.2913869, -83.7060614 42.2914089, -83.7060391 42.2914392, -83.706067 42.2914709))","[3222200369, 3222200368, 3222200365, 3222200362, 3222200366, 3222200370, 3222200364, 3222200057, 3222200055, 3222200051, 3222200054, 3222200052, 3222200053, 3222200056, 3222200363, 3222200369]",,water,,,,,,,,,,,,,,,,,
way,346997745,"POLYGON ((-83.6752783 42.3107843, -83.6751634 42.3108277, -83.6750673 42.3108433, -83.6749695 42.3108173, -83.6748946 42.310796, -83.6747821 42.3107853, -83.6746909 42.3108256, -83.6745837 42.3108659, -83.6745176 42.3108639, -83.6744095 42.3108292, -83.6743657 42.3107984, -83.6743639 42.3107311, -83.6744104 42.3106717, -83.6746321 42.3105876, -83.6747241 42.3104258, -83.6748053 42.3103631, -83.6749506 42.3103438, -83.6750149 42.3103446, -83.6752562 42.3104526, -83.6753214 42.3105408, -83.6752637 42.3105876, -83.6752247 42.3106662, -83.6752435 42.3107312, -83.6752783 42.3107843))","[3534441105, 5912207115, 3534441106, 3534441107, 5912207116, 5912207117, 5912207118, 3534441108, 5912207119, 5912207120, 3534441109, 5912207121, 3534441110, 3534441111, 5912207122, 3534441112, 3534441113, 5912207123, 3534441114, 3534441115, 5912207124, 3534441116, 5912207125, 3534441105]",,water,,,,,,,,pond,,,,,,,,,
way,346997746,"POLYGON ((-83.6768054 42.3121448, -83.6768947 42.3120599, -83.6769312 42.3119701, -83.6769162 42.3119072, -83.6768514 42.3118385, -83.676766 42.3117584, -83.6766533 42.3117029, -83.6765783 42.3116978, -83.6765273 42.3117227, -83.6764656 42.3117723, -83.6764227 42.3118159, -83.6763503 42.3118774, -83.6762895 42.3118964, -83.6762054 42.3118913, -83.6761384 42.3118734, -83.6759492 42.3118456, -83.6758701 42.31181, -83.6758081 42.3118203, -83.6757709 42.3118794, -83.6757559 42.3119451, -83.6757655 42.3120143, -83.6758004 42.3120698, -83.6758848 42.3121335, -83.6761491 42.3121551, -83.6764157 42.3122038, -83.6766507 42.3121908, -83.6768054 42.3121448))","[3534441117, 4073341394, 3534441118, 4073341391, 3534441119, 4073338581, 4073338579, 3534441120, 4073338580, 4073338582, 4073338585, 4073338588, 3534441121, 4073341390, 4073338587, 3534441122, 4073338584, 3534441123, 4073341389, 3534441124, 4073341393, 4073341395, 3534441125, 4073341396, 3534441126, 4073341397, 3534441117]",,water,,,,,,,,pond,,,,,,,,,
way,376668167,"POLYGON ((-83.6674835 42.3063076, -83.6675061 42.3063968, -83.6676682 42.3064609, -83.6679321 42.3064943, -83.6681167 42.3064804, -83.66826 42.3064441, -83.6683768 42.3063995, -83.6684183 42.3063549, -83.6682675 42.3063466, -83.6679547 42.3063354, -83.6677926 42.3063215, -83.667623 42.3062741, -83.6675514 42.3062351, -83.6674948 42.306249, -83.6674835 42.3063076))","[3800679091, 3800679097, 3800679100, 3800679104, 3800679102, 3800679099, 3800679098, 3800679095, 3800679094, 3800679093, 3800679092, 3800679089, 3800679085, 3800679086, 3800679091]",,water,,,,,,,,,,,,,,,,,
way,431478722,"POLYGON ((-83.6797403 42.3019113, -83.6792777 42.3016598, -83.6794556 42.301262, -83.6789218 42.3009725, -83.678989 42.3007356, -83.6798827 42.3007502, -83.680033 42.3013585, -83.6797403 42.3019113))","[4306882368, 4306882369, 4306882370, 4306882371, 4306882372, 4306882373, 4306882374, 4306882368]",,water,,,,,,,,pond,,,,,,,,,
way,700895718,"POLYGON ((-83.744984 42.2542966, -83.7450148 42.2545289, -83.7450296 42.2545616, -83.7450966 42.2545646, -83.7453005 42.2545666, -83.7453286 42.2545477, -83.7453501 42.2544981, -83.7453219 42.2543353, -83.7452737 42.2542102, -83.745216 42.2541517, -83.7451878 42.2540931, -83.7451637 42.2539899, -83.7451369 42.2539045, -83.7450939 42.2538221, -83.7450658 42.2538012, -83.7450068 42.253836, -83.7449022 42.2538836, -83.7448753 42.2539412, -83.7448432 42.2539958, -83.7448633 42.2540812, -83.7449183 42.2541576, -83.744984 42.2542966))","[6582235369, 6582235368, 6582235367, 6582235366, 6582235365, 6582235364, 6582235363, 6582235362, 6582235361, 6582235360, 6582235359, 6582235358, 6582235357, 6582235356, 6582235355, 6582235354, 6582235353, 6582235352, 6582235351, 6582235350, 6582235349, 6582235369]",Mapbox,water,,,,,,,,pond,,,,,,,,,
way,721860437,"POLYGON ((-83.7436793 42.2624383, -83.7436053 42.2624396, -83.7435071 42.2624435, -83.7433257 42.2624494, -83.7431514 42.2624579, -83.7428904 42.2624776, -83.7427948 42.2624894, -83.7426736 42.2624913, -83.7426249 42.2624966, -83.7425426 42.2625208, -83.742463 42.2625856, -83.7424002 42.2626465, -83.7423736 42.2626989, -83.7423728 42.2627749, -83.7423789 42.2628312, -83.7423621 42.2627827, -83.7423586 42.2627081, -83.7423949 42.2626347, -83.7424639 42.2625614, -83.7425347 42.2625097, -83.7426072 42.2624789, -83.7426639 42.262473, -83.7427037 42.2624697, -83.7428205 42.2624645, -83.742947 42.2624566, -83.7429983 42.262454, -83.7430417 42.2624429, -83.7431142 42.262418, -83.7431178 42.262435, -83.7430673 42.2624534, -83.7431275 42.2624501, -83.7432735 42.2624422, -83.7433328 42.262437, -83.7435071 42.2624298, -83.7436221 42.2624298, -83.7436753 42.2624173, -83.7436793 42.2624383))","[666515924, 6771508090, 6771508091, 6771508092, 6771508093, 6771508094, 6771508095, 6771508096, 6771508097, 6771508098, 6771508099, 6771508100, 6771508101, 6771508102, 6771508103, 6771508104, 6771508105, 6771508106, 6771508107, 6771508108, 6771508109, 6771508110, 6771508111, 6771508112, 6771508113, 6771508114, 6771508115, 6771508116, 6771508117, 6771508118, 6771508119, 6771508120, 6771508121, 6771508122, 6771508123, 666515931, 666515924]",,water,,,,,,,,stream,,,,,,,,,
way,1009998967,"POLYGON ((-83.7404149 42.2507913, -83.740455 42.2507909, -83.7404544 42.2507585, -83.7404143 42.2507589, -83.7404149 42.2507913))","[9318858263, 9318858271, 9318858272, 9318858270, 9318858263]",,water,,,,,,,,,,,steeplechase,athletics,tartan,,,,
