u,v,key,osmid,highway,oneway,reversed,length,width,geometry,lanes,name,access,bridge,service,maxspeed,junction,tunnel
9168493697,9168493695,0,992339527,footway,False,True,4.546,,"LINESTRING (-83.7020613 42.3010329, -83.7020666 42.3010199, -83.7020812 42.3010116, -83.7020997 42.3010113)",,,,,,,,
9168493700,9168493698,0,992339528,footway,False,False,59.746,,"LINESTRING (-83.7021591 42.3015536, -83.7021588 42.3010444, -83.7021208 42.3010444)",,,,,,,,
9168493700,9168493702,0,992339528,footway,False,True,176.18099999999998,,"LINESTRING (-83.7021591 42.3015536, -83.7032049 42.3015533, -83.7032048 42.3012656, -83.7035745 42.3012655, -83.7035743 42.3010157)",,,,,,,,
9168493700,4135213395,0,"[993468112, 993468111]",footway,False,True,9.686,,"LINESTRING (-83.7021591 42.3015536, -83.7021592 42.3016075, -83.7021582 42.3016407)",,,,,,,,
2370583684,2370583674,0,228374737,footway,False,True,10.603,,"LINESTRING (-83.7160368 42.2975503, -83.7160324 42.297455)",,,,,,,,
9168493702,9168493703,0,992339528,footway,False,True,7.228,,"LINESTRING (-83.7035743 42.3010157, -83.7035743 42.3009507)",,,,,,,,
9168493702,9168516820,0,992339548,footway,False,False,12.558,,"LINESTRING (-83.7035743 42.3010157, -83.703727 42.3010154)",,,,,,,,
9168493702,9168493700,0,992339528,footway,False,False,176.18099999999998,,"LINESTRING (-83.7035743 42.3010157, -83.7035745 42.3012655, -83.7032048 42.3012656, -83.7032049 42.3015533, -83.7021591 42.3015536)",,,,,,,,
9168493702,9168516817,0,992339548,footway,False,True,12.244,,"LINESTRING (-83.7035743 42.3010157, -83.7034942 42.3010158, -83.7034719 42.3010121, -83.7034551 42.3010005, -83.7034483 42.3009843)",,,,,,,,
3079601284,3079601285,0,303571855,service,False,False,32.993,,"LINESTRING (-83.6963289 42.2975434, -83.6962958 42.2978391)",,,,,,,,
3079601284,3079601281,0,303571855,service,False,True,53.370000000000005,,"LINESTRING (-83.6963289 42.2975434, -83.696372 42.2975036, -83.696442 42.297493, -83.6969498 42.2975129)",,,,,,,,
3079601284,11369986769,0,1226063933,service,False,True,50.991,,"LINESTRING (-83.6963289 42.2975434, -83.696036 42.2974508, -83.6958765 42.2972616)",,,,,parking_aisle,,,
2370583686,2370583670,0,228374738,footway,False,True,12.148,,"LINESTRING (-83.7164806 42.2975634, -83.7164761 42.2974542)",,,,,,,,
3079601286,3079601275,0,303571856,service,False,True,48.123,,"LINESTRING (-83.6975365 42.2970316, -83.6971317 42.2970335, -83.6969514 42.2970343)",,,,,,,,
3079601285,62535098,0,8726407,residential,False,False,5.544,,"LINESTRING (-83.6962958 42.2978391, -83.696363 42.297843)",2,Baxter Road,,,,30 mph,,
3079601285,3079601284,0,303571855,service,False,True,32.993,,"LINESTRING (-83.6962958 42.2978391, -83.6963289 42.2975434)",,,,,,,,
3079601285,3079601303,0,8726407,residential,False,True,61.86,,"LINESTRING (-83.6962958 42.2978391, -83.695694 42.297804, -83.6955456 42.2978008)",2,Baxter Road,,,,30 mph,,
9168493703,9168493702,0,992339528,footway,False,False,7.228,,"LINESTRING (-83.7035743 42.3009507, -83.7035743 42.3010157)",,,,,,,,
9168493703,9168493706,0,992339528,footway,False,True,19.993,,"LINESTRING (-83.7035743 42.3009507, -83.7035742 42.3007709)",,,,,,,,
9168493703,9168516823,0,992339548,footway,False,True,12.517,,"LINESTRING (-83.7035743 42.3009507, -83.7037265 42.3009507)",,,,,,,,
9168493703,9168516817,0,992339548,footway,False,False,12.499,,"LINESTRING (-83.7035743 42.3009507, -83.7034909 42.3009507, -83.703469 42.3009554, -83.7034534 42.3009678, -83.7034483 42.3009843)",,,,,,,,
3079601290,3079601291,0,303571857,service,False,False,17.656,,"LINESTRING (-83.6976814 42.2964306, -83.6978855 42.2964798)",,,,,,,,
3079601290,11369986772,0,1226063934,service,False,True,71.306,,"LINESTRING (-83.6976814 42.2964306, -83.6969454 42.2967695)",,,,,,,,
3079601290,62625204,0,303571857,service,False,True,95.842,,"LINESTRING (-83.6976814 42.2964306, -83.6976195 42.2964001, -83.6972968 42.2960296, -83.6971792 42.2958946, -83.6971104 42.2958539, -83.696934 42.295802)",,,,,,,,
