element_type,osmid,amenity,bicycle_parking,capacity,covered,geometry,access,fee,lit,operator,surface,nodes,building,description,layer
way,587898286,bicycle_parking,stands,40,no,"POLYGON ((-83.7327975 42.2817545, -83.7327964 42.2817361, -83.73263 42.2817401, -83.7326311 42.2817585, -83.7327975 42.2817545))",,,,,,"[5615363360, 5615363361, 5615363362, 5615363363, 5615363360]",,,
way,587898287,bicycle_parking,stands,26,no,"POLYGON ((-83.7331619 42.2817413, -83.7331615 42.2817261, -83.7330172 42.2817282, -83.7330176 42.2817433, -83.7331619 42.2817413))",,,,,,"[5615363364, 5615363365, 5615363366, 5615363367, 5615363364]",,,
way,587898288,bicycle_parking,stands,14,no,"POLYGON ((-83.7330953 42.2817135, -83.7330949 42.2816973, -83.7330152 42.2816984, -83.7330156 42.2817146, -83.7330953 42.2817135))",,,,,,"[5615363368, 5615363369, 5615363370, 5615363371, 5615363368]",,,
way,587898289,bicycle_parking,stands,14,no,"POLYGON ((-83.7333162 42.2816782, -83.7333173 42.281661, -83.7332354 42.2816571, -83.7332333 42.2816746, -83.7333162 42.2816782))",,,,,,"[5615363372, 5615363373, 5615363374, 5615363375, 5615363372]",,,
way,587901619,bicycle_parking,stands,,no,"POLYGON ((-83.7304873 42.280322, -83.7304826 42.2801613, -83.7303854 42.2801618, -83.7303922 42.2803235, -83.7304873 42.280322))",,,,,,"[5615379063, 5615379064, 5615379065, 5615379066, 5615379063]",,,
way,589346663,bicycle_parking,stands,84,no,"POLYGON ((-83.7400977 42.274014, -83.7400957 42.2738937, -83.7400954 42.2738765, -83.7399978 42.273877, -83.7399981 42.273895, -83.74 42.2740149, -83.7400977 42.274014))",,,,,,"[5627761792, 5627761790, 5627761793, 5627761794, 5631296964, 5627761795, 5627761792]",,,
way,591140520,bicycle_parking,stands,10,no,"POLYGON ((-83.7333971 42.2735996, -83.7333796 42.2735999, -83.7333783 42.273557, -83.7333958 42.2735568, -83.7333971 42.2735996))",,,,,,"[5643226635, 5643226636, 5643226637, 5643226638, 5643226635]",,,
way,591253466,bicycle_parking,bollard,8,no,"POLYGON ((-83.7389427 42.278445, -83.7389427 42.2784279, -83.738895 42.2784279, -83.738895 42.278445, -83.7389427 42.278445))",yes,,,,,"[5644413286, 5644413287, 5644413288, 5644413289, 5644413286]",,,
way,591253470,bicycle_parking,bollard,18,no,"POLYGON ((-83.7393076 42.2774854, -83.7393479 42.2774847, -83.7393464 42.2774316, -83.7393061 42.2774323, -83.7393076 42.2774854))",,,,,,"[5644413304, 5644413305, 5644413306, 5644413307, 5644413304]",,,
way,591301442,bicycle_parking,stands,24,no,"POLYGON ((-83.736764 42.2759223, -83.7366307 42.2759237, -83.7366318 42.2759575, -83.7367647 42.2759562, -83.736764 42.2759223))",,,,,,"[5645173330, 5645173331, 5645173332, 5645173333, 5645173330]",,,
