element_type,osmid,access,addr:street,amenity,level,name,operator,outdoor_seating,geometry
node,7368856159,university,Sherfield Walkway,food_court,2,Junior Common Room,Imperial College London,no,POINT (-0.1769488 51.4987022)
node,7368856160,university,Sherfield Walkway,food_court,2,Senior Common Room,Imperial College London,no,POINT (-0.1775001 51.4986587)
