u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,access,geometry,tunnel,bridge,service
1108317727,1108317687,0,95587070,,,service,,False,True,53.143,destination,"LINESTRING (-0.1723324 51.4999751, -0.1722692 51.4994988)",,,
1108317750,1108317788,0,95587068,,,footway,,False,True,79.554,,"LINESTRING (-0.1735344 51.4987379, -0.1736822 51.4994474)",,,
1108317750,1108317716,0,95587068,,,footway,,False,False,8.114,,"LINESTRING (-0.1735344 51.4987379, -0.1735256 51.4987191, -0.1735129 51.4986663)",,,
1108317750,1108317789,0,95587069,,,footway,,False,False,55.256,,"LINESTRING (-0.1735344 51.4987379, -0.1733074 51.4988064, -0.1730892 51.4988951, -0.1728736 51.4990115)",,,
1108317750,1108317758,0,1158308275,,,footway,,False,True,89.51,,"LINESTRING (-0.1735344 51.4987379, -0.1734936 51.4987421, -0.1722584 51.4988683)",,,
1108317755,1108317801,0,95587066,,,footway,,False,False,100.639,,"LINESTRING (-0.1736832 51.4997366, -0.1736161 51.4996971, -0.1735216 51.4996542, -0.1733734 51.4996017, -0.1732483 51.4995619, -0.1730924 51.4995317, -0.1728881 51.4995015, -0.1726607 51.4994872, -0.1724717 51.4994856, -0.1723295 51.4994933)",,,
1108317755,1108317788,0,95587068,,,footway,,False,False,32.795,,"LINESTRING (-0.1736832 51.4997366, -0.1736985 51.4997159, -0.1737215 51.4996698, -0.1737164 51.4996112, -0.1736822 51.4994474)",,,
1108317755,1108317691,0,95587068,,,footway,,False,True,12.556000000000001,,"LINESTRING (-0.1736832 51.4997366, -0.1737007 51.4997925, -0.1737218 51.4998469)",,,
1108317758,1108317714,0,95587067,,,footway,,False,False,5.122,,"LINESTRING (-0.1722584 51.4988683, -0.1721849 51.498863)",,,
1108317758,1108317789,0,95587067,,,footway,,False,True,45.708,,"LINESTRING (-0.1722584 51.4988683, -0.1723489 51.4988811, -0.172494 51.4989028, -0.1726678 51.498946, -0.1728736 51.4990115)",,,
1108317758,1108317750,0,1158308275,,,footway,,False,False,89.51,,"LINESTRING (-0.1722584 51.4988683, -0.1734936 51.4987421, -0.1735344 51.4987379)",,,
1108317788,1108317750,0,95587068,,,footway,,False,False,79.554,,"LINESTRING (-0.1736822 51.4994474, -0.1735344 51.4987379)",,,
