element_type,osmid,geometry,amenity,fee,name,operator,operator:type,wheelchair,layer,nodes,addr:housename,addr:street,building,building:levels,wikidata,wikimedia_commons,wikipedia,addr:city,architect,architect:wikidata,deanery,denomination,diocese,heritage,heritage:operator,heritage:website,inscription_date,listed_status,ref:GB:nhle,religion,year_of_construction,changing_table,changing_table:location,check_date,name:de,name:en,name:es,name:fr,name:he,name:it,name:uk,opening_hours,roof:levels,roof:shape,toilets:wheelchair,tourism,website,addr:housenumber,addr:postcode,description,office,start_date,internet_access,alt_name,source,fixme,int_name,leisure,addr:country,theatre:genre,smoking,height,old_name,ref:dove,tower:type,ways,name_1,type
way,640503314,"POLYGON ((-0.1722218 51.4999139, -0.1720229 51.4999204, -0.1720136 51.4998115, -0.1720001 51.499812, -0.1719955 51.4997574, -0.1719818 51.4997578, -0.1719776 51.4997063, -0.1719552 51.499707, -0.1719502 51.499645, -0.1718907 51.4996469, -0.1718871 51.4996022, -0.1718574 51.4996031, -0.1718547 51.4995696, -0.1719978 51.4995652, -0.1721915 51.4995588, -0.1722218 51.4999139))",,,Wilkinson Hall,,,yes,,"[6033804560, 6033804561, 6033804562, 6033804563, 6033804564, 6033804565, 6033804566, 6033804567, 6033804568, 6033804569, 6033804570, 6033804571, 6033804572, 6033804574, 6033804573, 6033804560]",Wilkinson Hall,Prince's Gardens,dormitory,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,,,,,,,,,,,,no,,,,,,,
way,640503315,"POLYGON ((-0.1721915 51.4995588, -0.1719978 51.4995652, -0.1719914 51.4995076, -0.1719773 51.4995082, -0.1719721 51.499462, -0.1719536 51.4994628, -0.1719472 51.4994047, -0.1719319 51.4994053, -0.1719264 51.4993556, -0.1719091 51.4993564, -0.1719036 51.4993069, -0.1718668 51.4993084, -0.1718603 51.4992492, -0.1718375 51.4992501, -0.171834 51.4992178, -0.171951 51.4992126, -0.172156 51.4992051, -0.1721915 51.4995588))",,,Gabor Hall,,,,,"[6033804573, 6033804574, 6033804575, 6033804576, 6033804577, 6033804578, 6033804579, 6033804580, 6033804581, 6033804582, 6033804583, 6033804584, 6033804585, 6033804586, 6033804587, 6033804589, 6033804588, 6033804573]",Gabor Hall,Prince's Gardens,dormitory,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,,,,,,,,,,,,,,,,,,,
way,640503316,"POLYGON ((-0.172156 51.4992051, -0.171951 51.4992126, -0.171946 51.4991591, -0.1719215 51.49916, -0.171917 51.4991106, -0.1718955 51.4991114, -0.1718918 51.4990698, -0.1718691 51.4990706, -0.1718644 51.4990167, -0.1718517 51.4990171, -0.1718472 51.4989636, -0.1718298 51.4989642, -0.1718252 51.4989078, -0.171938 51.4989042, -0.1719349 51.498866, -0.1720428 51.4988626, -0.1720438 51.498873, -0.1721243 51.4988701, -0.172156 51.4992051))",,,Linstead Hall,,,,,"[6033804588, 6033804589, 6033804590, 6033804591, 6033804592, 6033804593, 6033804594, 6033804595, 6033804596, 6033804597, 6033804598, 6033804599, 6033804600, 6033804601, 6033804602, 6033804603, 6033804605, 6033804606, 6033804588]",Linstead Hall,Prince's Gardens,dormitory,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,,,,,,,,,,,,,,,,,,,
way,640791593,"POLYGON ((-0.1731864 51.4984431, -0.1731391 51.4984469, -0.173135 51.498427, -0.1726189 51.4984686, -0.1726048 51.4984007, -0.1731675 51.4983558, -0.1731864 51.4984431))",,,Keogh Hall,,,,,"[6036148111, 6036148112, 6036148113, 6036148114, 6036148115, 6036148116, 6036148111]",,,dormitory,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,640808101,"POLYGON ((-0.173226 51.4986266, -0.1733395 51.4986176, -0.1732812 51.498346, -0.1731675 51.4983558, -0.1731864 51.4984431, -0.1731985 51.4984993, -0.173226 51.4986266))",,,,,,,,"[2710912054, 6036265478, 6036265479, 6036148116, 6036148111, 6036148094, 2710912054]",,Princes Gardens,residential,5,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,46,SW7 2PE,,,,,,,,,,,,,,,,,,,
way,640976477,"POLYGON ((-0.1768078 51.4990214, -0.1767902 51.498925, -0.1766097 51.4989377, -0.1766273 51.4990341, -0.1768078 51.4990214))",,,,,,,,"[6037519350, 6037519351, 6037519352, 6037519353, 6037519350]",Contractors Welfare Facility,,university,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
way,703836510,"POLYGON ((-0.1790172 51.4986089, -0.1787922 51.4986242, -0.1787773 51.4985394, -0.1790023 51.498524, -0.1790172 51.4986089))",,,,,,,,"[6609252986, 6609252987, 6609252988, 6609252989, 6609252986]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,788153046,"POLYGON ((-0.1723548 51.5002514, -0.1721559 51.500267, -0.1721346 51.5001777, -0.1721215 51.5001225, -0.1721121 51.5000829, -0.172311 51.5000646, -0.1723548 51.5002514))",,,,Imperial College London,,,,"[6033708415, 7368794551, 1254038288, 7368794552, 7368794553, 6033708416, 6033708415]",,Prince's Gardens,university,4,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,14-15,,,,,,,,,,,,,,,,,,,,
way,788306098,"POLYGON ((-0.1786754 51.4993219, -0.1787762 51.4993148, -0.1787523 51.4991842, -0.1786515 51.4991913, -0.1786754 51.4993219))",,,,,,,,"[7933754338, 7933754339, 7933754340, 7933754341, 7933754338]",,,service,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,788526940,"POLYGON ((-0.1770093 51.4984103, -0.1770047 51.4983844, -0.1769973 51.4983429, -0.1769897 51.4983006, -0.1769855 51.4982767, -0.1769345 51.4982803, -0.1768714 51.4982846, -0.1768037 51.4982893, -0.1767715 51.4982915, -0.1767769 51.4983215, -0.1767838 51.4983601, -0.1767899 51.4983946, -0.1767954 51.4984251, -0.1768438 51.4984217, -0.1769061 51.4984174, -0.1769649 51.4984134, -0.1770093 51.4984103))",,,Queen's Tower,,,,,"[7372138037, 7372138038, 7372138039, 7372138040, 7372138041, 7372138050, 7372138051, 7372138052, 7372138042, 7372138043, 7372138044, 7372138045, 7372138046, 7372138049, 7372138047, 7372138048, 7372138037]",,,tower,,Q7270127,"Category:Queen's Tower, Imperial College London","en:Queen's Tower, London",,Thomas Edward Collcutt,,,,,,,,,,,,,,,,,,,,,,,,,,,attraction,,,,"Remnant of Imperial Institute buildings, demolished in 1957",,1893,,,,,,,,,,87.5,Collcutt Tower,12403,bell_tower,,,
way,850407202,"POLYGON ((-0.1749251 51.4979999, -0.1748669 51.4980038, -0.1748323 51.4980061, -0.1747831 51.4977197, -0.1748759 51.4977128, -0.1749251 51.4979999))",,,,,,,1,"[7933770417, 7933770414, 7933770418, 1141096754, 7933770413, 7933770417]",,,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1133279024,"POLYGON ((-0.1775196 51.498871, -0.1777635 51.4988509, -0.1778106 51.498847, -0.1778058 51.4988243, -0.1778032 51.498812, -0.1777927 51.4987629, -0.1775014 51.4987853, -0.1775115 51.4988329, -0.1775149 51.498849, -0.1775196 51.498871))",,,,,,,,"[10566015730, 6037519357, 10566015728, 10566015725, 10565964006, 10565963995, 10566015727, 10565964005, 10566015726, 10566015730]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1154608369,"POLYGON ((-0.1789794 51.4994757, -0.178969 51.4994248, -0.1788367 51.4994352, -0.1788471 51.4994861, -0.1789794 51.4994757))",,,,,,,,"[10738032127, 10738032128, 10738032129, 10738032130, 10738032127]",,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1154608372,"POLYGON ((-0.1795712 51.4991214, -0.179579 51.4991584, -0.1795525 51.4991606, -0.1794967 51.4991651, -0.179489 51.4991281, -0.1795712 51.4991214))",,,,,,,,"[304884743, 10738032152, 10738032120, 10738032153, 10738032154, 304884743]",,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,37787,"POLYGON ((-0.179489 51.4991281, -0.1792149 51.4991479, -0.1789499 51.499169, -0.1789325 51.499171, -0.1789265 51.4991409, -0.1788861 51.499144, -0.178889 51.4991586, -0.1787454 51.4991695, -0.1787437 51.4991609, -0.1786562 51.4991675, -0.1786178 51.4989689, -0.1786423 51.4989569, -0.178701 51.4989522, -0.1786577 51.4987428, -0.1786527 51.4987164, -0.1787217 51.4987115, -0.1788041 51.4987062, -0.1788061 51.4987133, -0.17901 51.4986962, -0.1790737 51.4986913, -0.179051 51.4985422, -0.1791039 51.4985377, -0.1790992 51.4985131, -0.1792056 51.4985052, -0.1792078 51.4985257, -0.1793006 51.498519, -0.1792966 51.4984985, -0.1794471 51.4984874, -0.1794787 51.4986465, -0.1795712 51.4991214, -0.179539 51.4991242, -0.179489 51.4991281), (-0.1791745 51.4986013, -0.1791946 51.4987057, -0.1793171 51.4986965, -0.179297 51.4985921, -0.1791745 51.4986013), (-0.1792638 51.4988055, -0.1790362 51.4988238, -0.1790796 51.4990472, -0.1791928 51.4990378, -0.1793047 51.499028, -0.1792638 51.4988055))",,,Huxley Building,,,,,"[[[304884743, 304884748, 304884753, 1270123320, 6037519587, 6037519588, 1270123324, 1270123325, 1270123328, 3028813111, 3028813112, 10565963992, 10565963989, 10565963990, 304884750, 6037519585, 7369598769, 6037519382, 6037519381, 7370249783, 304884746, 7933754342, 7370249774, 7933754337, 7933754336, 7933754335, 7933754334, 304884740, 304884742, 10738032154, 10738032151, 304884743], [7933754349, 7933754350, 7933754351, 7933754352, 7933754349], [7933754345, 7933754346, 7933754347, 7933754348, 10738032126, 7933754345]]]",Huxley Building,Queen's Gate,university,8,Q86088084,"Category:Huxley Building, Imperial College London",,London,,,,,,,,,,,,,,,,,,,,,,,,,3,flat,,,,180,SW7 5QL,,,,,,,,,,,,,,,,,"[27765403, 850407195, 850407194]","Department of Computing, Imperial College London",multipolygon
relation,1569057,"POLYGON ((-0.1792931 51.4984803, -0.1792021 51.498487, -0.1792056 51.4985052, -0.1790992 51.4985131, -0.1790956 51.4984942, -0.1790588 51.4984969, -0.1790622 51.4985145, -0.1789998 51.4985191, -0.1789667 51.4983638, -0.1788799 51.4983694, -0.1788495 51.4982331, -0.1789264 51.498227, -0.1789043 51.4980954, -0.1789943 51.4980881, -0.1789862 51.4980613, -0.1793545 51.4980372, -0.1793867 51.4981964, -0.1793776 51.4982046, -0.1793103 51.4982084, -0.1793124 51.4982253, -0.1792444 51.4982308, -0.1792403 51.4982137, -0.1790988 51.4982235, -0.1790838 51.4982338, -0.1790958 51.4983206, -0.1791241 51.4983336, -0.1792675 51.4983244, -0.1792657 51.4983072, -0.1793359 51.4983028, -0.1793384 51.4983173, -0.1794054 51.4983135, -0.1794189 51.4983226, -0.1794471 51.4984874, -0.1792966 51.4984985, -0.1792931 51.4984803), (-0.179148 51.4983916, -0.1791242 51.4984101, -0.1791286 51.4984343, -0.1791533 51.4984466, -0.1792879 51.4984372, -0.1792781 51.4983825, -0.179148 51.4983916), (-0.1792173 51.4981055, -0.1790863 51.4981146, -0.1790642 51.4981318, -0.1790691 51.498159, -0.1790912 51.49817, -0.1792272 51.4981605, -0.1792173 51.4981055))",,,Alexandra Court,,,,,"[[[1270123369, 1270123370, 1270123371, 1270123372, 1270123373, 1270123374, 1270123369], [1270123363, 1270123364, 1270123365, 1270123366, 1270123367, 1270123368, 1270123363], [304884753, 1270123320, 1270123322, 1270123323, 1270123324, 1270123325, 1270123326, 1270123327, 6037519586, 1270123329, 1270123330, 7370249769, 7370249770, 7370249771, 1270123339, 1270123340, 1270123341, 1258483189, 1270123349, 1270123350, 1270123351, 7933754355, 7933754354, 1270123352, 1270123353, 1270123354, 1270123355, 1270123356, 1270123357, 1270123358, 1270123359, 1270123360, 1270123361, 1270123362, 304884753]]]",Alexandra Court,Queen's Gate,apartments,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171-175,,,,,,,survey;Bing,,,,,,,,,,,"[111492466, 111492463, 111492453]",,multipolygon
