element_type,osmid,geometry,amenity,fee,name,operator,operator:type,wheelchair,layer,nodes,addr:housename,addr:street,building,building:levels,wikidata,wikimedia_commons,wikipedia,addr:city,architect,architect:wikidata,deanery,denomination,diocese,heritage,heritage:operator,heritage:website,inscription_date,listed_status,ref:GB:nhle,religion,year_of_construction,changing_table,changing_table:location,check_date,name:de,name:en,name:es,name:fr,name:he,name:it,name:uk,opening_hours,roof:levels,roof:shape,toilets:wheelchair,tourism,website,addr:housenumber,addr:postcode,description,office,start_date,internet_access,alt_name,source,fixme,int_name,leisure,addr:country,theatre:genre,smoking,height,old_name,ref:dove,tower:type,ways,name_1,type
way,6143074,"POLYGON ((-0.1787445 51.4996484, -0.1787406 51.4996268, -0.178729 51.4995732, -0.1787168 51.4995162, -0.1790121 51.4994931, -0.1790043 51.4994547, -0.1789499 51.499169, -0.1792149 51.4991479, -0.1792777 51.4994384, -0.1793775 51.4994284, -0.1795957 51.4994108, -0.1796068 51.4994097, -0.1796387 51.4995759, -0.1792049 51.499609, -0.1787445 51.4996484))",,,Blackett Laboratory,,,,,"[50826669, 7370281003, 7370281004, 304884730, 304884737, 6731316343, 304884740, 304884742, 304884734, 10738032122, 10738032119, 304884732, 50826670, 3358814593, 50826669]",Blackett Laboratory,Prince Consort Road,university,6,Q29025019,Category:Blackett Laboratory,en:Blackett Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27765401,"POLYGON ((-0.1789679 51.5001109, -0.1789607 51.5000617, -0.179027 51.500058, -0.1789914 51.4998313, -0.17864 51.4998568, -0.1786512 51.4999344, -0.1786948 51.5002971, -0.1787908 51.5002928, -0.1787863 51.5002544, -0.1789153 51.5001581, -0.1789089 51.5001143, -0.1789679 51.5001109))",place_of_worship,,Holy Trinity,,,,,"[304884719, 6048085808, 304884722, 292162126, 292162519, 6048063166, 304884726, 304884729, 304884725, 6048085809, 304884718, 304884719]",,Prince Consort Road,church,,Q5886589,,"en:Holy Trinity Church, South Kensington",London,George Frederick Bodley,Q966448,Deanery of Westminster (St. Margaret),anglican,Diocese of London,2,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1265499,1958-02-24,Grade I,1265499,christian,1901 - 1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27765411,"POLYGON ((-0.1782508 51.4969551, -0.1783304 51.4973377, -0.1774457 51.4974091, -0.1774179 51.4972757, -0.1773178 51.4972838, -0.1772981 51.4973143, -0.1772824 51.4973195, -0.1772599 51.4973231, -0.177235 51.4973194, -0.17721 51.4973077, -0.1771932 51.4972938, -0.1761287 51.4973739, -0.1761251 51.4973871, -0.1761155 51.4974011, -0.1760955 51.4974093, -0.1760714 51.4974107, -0.1760503 51.4974059, -0.1760178 51.4973845, -0.1760123 51.4973559, -0.175827 51.4973698, -0.1758227 51.4973475, -0.1751819 51.4973954, -0.1751959 51.4974677, -0.1750919 51.4974755, -0.1751339 51.4976935, -0.17499 51.4977042, -0.1748759 51.4977128, -0.1747831 51.4977197, -0.1744294 51.4977462, -0.1744445 51.4978245, -0.1742478 51.4978392, -0.1742334 51.4977643, -0.1742249 51.4977207, -0.1741919 51.4975494, -0.1741395 51.4972776, -0.1741311 51.4972343, -0.1741603 51.4972322, -0.1745387 51.4972049, -0.1746505 51.4971967, -0.174746 51.4971883, -0.1747432 51.4971734, -0.1751563 51.4971426, -0.1751594 51.4971585, -0.1756742 51.4971201, -0.1756801 51.4971513, -0.1759787 51.4971291, -0.1759739 51.4971043, -0.1759935 51.4970938, -0.1760401 51.4970902, -0.1760726 51.4970941, -0.1760665 51.4970639, -0.1760619 51.4970416, -0.1761316 51.4970368, -0.1761422 51.4970889, -0.1766486 51.4970492, -0.1770746 51.497015, -0.1772007 51.4970056, -0.1772185 51.4970042, -0.1772449 51.497008, -0.1772581 51.4970241, -0.177363 51.4970156, -0.1773604 51.497003, -0.1777458 51.496972, -0.1777507 51.4969955, -0.1782508 51.4969551))",,no,Science Museum,,,limited,,"[807945751, 304884794, 304884795, 304884793, 7934792267, 7934792270, 7934792272, 7934792271, 7934792269, 7934792268, 1141096745, 1141096779, 7934792275, 7934792277, 7934792279, 7934792278, 7934792276, 7934792274, 7934792273, 7934792280, 7934792281, 1141096812, 1141096696, 304884796, 304884797, 7933770412, 7933770413, 1141096754, 7933770415, 1141096788, 7933770416, 8014249400, 8014249399, 6067140588, 4584037476, 32052017, 8014230175, 1347057739, 1347057733, 7934792283, 7934792284, 7934809585, 7934792282, 7934809587, 7934809586, 7934809592, 7934809591, 7934809590, 7934809589, 7934809588, 7934809604, 7934809613, 7934809614, 1141096756, 7934809605, 7934809602, 7934809603, 7934809594, 7934809595, 7934809596, 7934809597, 7934809593, 6705384910, 7934809598, 807945751]",Science Museum,,public,3,Q674773,,"en:Science Museum, London",,,,,,,,,,,,,,,yes,wheelchair_toilet,2022-09-18,Wissenschaftsmuseum,Science Museum,Museo de Ciencias,Musée de la science,מוזיאון המדע,Museo della scienza,Музей науки,Mo-Su 10:00-18:00,2,quadruple_saltbox,yes,museum,https://www.sciencemuseum.org.uk/,,,,,,,,,,,,,,,,,,,,,
way,98631141,"POLYGON ((-0.1743004 51.4980603, -0.1742755 51.4979301, -0.1742478 51.4978392, -0.1744445 51.4978245, -0.1744294 51.4977462, -0.1747831 51.4977197, -0.1748323 51.4980061, -0.174837 51.4980206, -0.1746192 51.4980367, -0.1743004 51.4980603))",,,Dyson School of Design Engineering,,,,,"[1141096723, 6282911955, 7933770416, 1141096788, 7933770415, 1141096754, 7933770418, 1141096803, 6282911956, 1141096723]",Dyson School of Design Engineering,Exhibition Road,university,4,Q89408233,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
way,102050789,"POLYGON ((-0.1784995 51.4996539, -0.1784892 51.4995956, -0.1784822 51.4995564, -0.1784788 51.4995369, -0.1783612 51.499545, -0.1783188 51.4992153, -0.1782786 51.499217, -0.1781824 51.4992233, -0.1780549 51.4992318, -0.1780653 51.4992926, -0.1779556 51.4992999, -0.177994 51.4995232, -0.1779986 51.4995539, -0.1778592 51.499562, -0.1777328 51.4995697, -0.1777539 51.4997032, -0.1780888 51.4996829, -0.1784995 51.4996539))",,,Roderic Hill Building,,,,,"[7369577094, 7370281000, 7370281001, 1178179405, 1178179404, 1258482997, 6037519346, 6037519345, 1178179411, 6037519362, 6037519363, 3781148039, 1178179406, 3781148040, 1347057732, 1178179427, 3358814594, 7369577094]",Roderic Hill Building,Prince Consort Road,university,6,Q89421950,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,,,,,,,,,,,,,,,,,,,
way,109577446,"POLYGON ((-0.1721346 51.5001777, -0.1721215 51.5001225, -0.1720643 51.5001273, -0.1720388 51.5001295, -0.1720275 51.50008, -0.1718161 51.5000986, -0.1718224 51.500126, -0.1718082 51.5001293, -0.1718015 51.5001402, -0.1717988 51.500151, -0.1718095 51.5001586, -0.1718279 51.5001657, -0.1718402 51.5002202, -0.1720638 51.5002005, -0.1720601 51.5001843, -0.1721346 51.5001777))",,,Weeks Hall,,,,,"[1254038288, 7368794552, 11214898470, 1254038313, 1254038304, 1254038303, 1254038311, 1254038293, 1254038312, 1254038309, 1254038289, 1254038301, 1254038310, 1254038297, 1254038285, 1254038288]",Weeks Hall,Princes Gardens,university,10,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-18,SW7 1NE,,,,,,,,,,,,,,,,,,,
way,110085213,"POLYGON ((-0.1789629 51.4979416, -0.1793307 51.497914, -0.1793416 51.4979704, -0.1793545 51.4980372, -0.1789862 51.4980613, -0.1789629 51.4979416))",,,Rector's Residence,,,,,"[1258483163, 1258483020, 1258483307, 1258483189, 1270123341, 1258483163]",,Queen's Gate,house,3,Q17549860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,
way,110085215,"POLYGON ((-0.1746807 51.4998884, -0.1745883 51.4994939, -0.174928 51.4994629, -0.1749759 51.4994592, -0.1750199 51.4996758, -0.1755355 51.4996352, -0.1755921 51.4996306, -0.1756016 51.4996771, -0.1763885 51.4996144, -0.1763954 51.499648, -0.176659 51.4996317, -0.1766782 51.4997301, -0.1746807 51.4998884))",,,Royal School of Mines,,,,,"[1258483037, 1258483004, 6037519322, 6037519324, 1258483235, 6037519326, 1258483083, 6037519327, 6037519328, 6037519329, 1258483119, 4724062976, 1258483037]",Goldsmiths Building,Prince Consort Road,university,3,Q1508631,,en:Royal School of Mines,,,,,,,,,,,,,,,,,,,,,,,,,,1,quadruple_saltbox,,,,,,,,,,,,,,,,,,,,,,,,
way,110085216,"POLYGON ((-0.1744922 51.4991571, -0.1748561 51.49913, -0.174825 51.4989678, -0.1744611 51.4989949, -0.1744788 51.4990873, -0.1744922 51.4991571))",,,Imperial College Main Entrance,,,yes,,"[1258483209, 1258483246, 7865495709, 7865495708, 2609483561, 1258483209]",,Exhibition Road,university,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110085217,"POLYGON ((-0.1751211 51.4993405, -0.1754099 51.4993183, -0.1755999 51.4993037, -0.1762875 51.49925, -0.1765676 51.499229, -0.1765791 51.4992568, -0.1765808 51.4992702, -0.176659 51.4996317, -0.1763954 51.499648, -0.1763885 51.4996144, -0.1756016 51.4996771, -0.1755921 51.4996306, -0.1755355 51.4996352, -0.1754955 51.4994441, -0.175431 51.4994493, -0.1751475 51.4994723, -0.1751211 51.4993405))",,,Bessemer Building,,,,,"[1258483291, 6524005150, 6705384904, 1258483039, 1258483035, 6037519337, 6037519338, 1258483119, 6037519329, 6037519328, 6037519327, 1258483083, 6037519326, 6037519325, 6247030343, 6037519323, 1258483291]",Bessemer Building,,university,7,Q105116699,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
way,110085218,"POLYGON ((-0.1777707 51.4977663, -0.1777343 51.4975808, -0.1776032 51.497591, -0.1774773 51.497598, -0.1774726 51.4975723, -0.1772867 51.4975854, -0.177292 51.4976145, -0.1771112 51.4976272, -0.1771179 51.4976645, -0.1767588 51.4976899, -0.1767863 51.4978366, -0.1777707 51.4977663))",,,Chemistry Building,,,,,"[1258483283, 1258482998, 1258483309, 6038768388, 6038768387, 6038768386, 6038768385, 6038766983, 6038766984, 1258483017, 1258483117, 1258483283]",Chemistry Building,,university,8,Q90903117,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,Services / facilities within the building include Chemistry teaching rooms and laboratories and staff offices.,,,,,,,,,,,,,,,,,,
way,110085219,"POLYGON ((-0.1784056 51.4975662, -0.1781435 51.4975868, -0.1781359 51.4975493, -0.1777343 51.4975808, -0.1777707 51.4977663, -0.1777946 51.4977645, -0.1778037 51.4978107, -0.178451 51.4977613, -0.1784402 51.4977065, -0.1785046 51.4977015, -0.1784951 51.4976532, -0.1784262 51.4976584, -0.1784056 51.4975662))",,,Sir Ernst Chain Building - Wolfson Laboratories,,,,,"[1258483160, 6038768390, 6038768389, 1258482998, 1258483283, 7933754378, 1258483100, 1258483012, 6038766977, 6038766978, 6038766979, 6038766980, 1258483160]",,,university,7,Q90718770,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,"Services / facilities within the building include Biology, Cell and Molecular Biology, Molecular Biosciences, the Centre for Bioinformatics, the Centre for Biomolecular Electron Microscopy, the Glycobiology Training Research and Infrastructure Centre",,,,,,,,,,,,,,,,,,
way,110085220,"POLYGON ((-0.1784056 51.4975662, -0.1781435 51.4975868, -0.1781359 51.4975493, -0.1777343 51.4975808, -0.1776032 51.497591, -0.1775954 51.4975527, -0.1775409 51.4975569, -0.1775201 51.497454, -0.1781102 51.4974077, -0.178395 51.4973853, -0.1784228 51.4975229, -0.1783972 51.4975249, -0.1784056 51.4975662))",,,Flowers Building,,,,,"[1258483160, 6038768390, 6038768389, 1258482998, 1258483309, 7933754382, 7933754381, 1258483170, 7933754383, 1258483244, 7933754380, 7933754379, 1258483160]",Flowers Building,,university,9,Q90718424,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,"Services / facilities within the building include Cell and Molecular Biology, Chemistry, the Centre for Molecular Microbiology and Infection.",,,,,,,,,,,,,,,,,,
way,110085221,"POLYGON ((-0.1786417 51.4984649, -0.1786872 51.4986941, -0.1780317 51.4987445, -0.1780105 51.4987461, -0.1777927 51.4987629, -0.1775014 51.4987853, -0.1774134 51.4987921, -0.1764965 51.4988626, -0.1764948 51.498854, -0.1764669 51.4987102, -0.1765423 51.4987044, -0.1765294 51.4986396, -0.1767398 51.4986234, -0.1779355 51.4985315, -0.1779862 51.4985276, -0.1785694 51.4984827, -0.178567 51.4984707, -0.1786417 51.4984649))",,,Sherfield Building,,,,,"[6037519597, 6247030339, 7368767296, 10565963994, 10565963995, 10566015727, 10566015729, 1258483059, 6247030338, 7371559436, 10565963997, 1258483208, 7368856156, 7371559430, 6524005142, 1258483122, 10570882366, 6037519597]",Sherfield Building,,university,5,Q89407523,"Category:Sherfield Building, Imperial College London",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
way,110085222,"POLYGON ((-0.1783539 51.4991497, -0.1783897 51.4991476, -0.1783985 51.4991875, -0.1782762 51.4991966, -0.1782786 51.499217, -0.1781824 51.4992233, -0.1781646 51.4991415, -0.177806 51.4991656, -0.1778108 51.4991933, -0.1775293 51.4992122, -0.1775283 51.4991938, -0.177207 51.4992165, -0.1768985 51.4992335, -0.1768778 51.4990926, -0.1768716 51.4990644, -0.1769077 51.4990617, -0.1769098 51.4990786, -0.1773182 51.4990438, -0.1774592 51.4990336, -0.1774271 51.4988579, -0.1774232 51.4988407, -0.1774134 51.4987921, -0.1775014 51.4987853, -0.1775115 51.4988329, -0.1775149 51.498849, -0.1775196 51.498871, -0.1777635 51.4988509, -0.177798 51.4989967, -0.1779538 51.4989846, -0.1779404 51.4989412, -0.1780201 51.4989338, -0.178005 51.4988351, -0.1782981 51.4988099, -0.1783539 51.4991497))",,,ACE Extension,,,,,"[1258483033, 6037519349, 6037519348, 6037519347, 6037519346, 6037519345, 6037519344, 4724062962, 3781148036, 3781148037, 6038518440, 4724062955, 1258483179, 4724062960, 10570882357, 2372547699, 10570882356, 6038518441, 6037519355, 10565963988, 10565964004, 10566015729, 10566015727, 10565964005, 10566015726, 10566015730, 6037519357, 6037519354, 10566015723, 10566015724, 1258483241, 10566015718, 1258483005, 1258483033]",ACE Extension,,university,5,Q89421588,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
way,110085223,"POLYGON ((-0.1745883 51.4994939, -0.174928 51.4994629, -0.1748561 51.49913, -0.1744922 51.4991571, -0.1745622 51.4994979, -0.1745883 51.4994939))",,,Imperial College Business School,,,,,"[1258483004, 6037519322, 1258483246, 1258483209, 6037519330, 1258483004]",,Exhibition Road,university,5,Q89783264,,,London,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,research,,,,,,,,,,,,,,,,,
way,110085224,"POLYGON ((-0.1763959 51.4981332, -0.1758248 51.498176, -0.1752346 51.4982202, -0.1752394 51.4982452, -0.1752571 51.4983383, -0.1752583 51.4983449, -0.1753546 51.4983382, -0.1753999 51.4985886, -0.1759234 51.4985518, -0.1761558 51.4985344, -0.1761612 51.498565, -0.1761662 51.4985931, -0.1761724 51.4986276, -0.176176 51.4986457, -0.1761741 51.4986658, -0.1764042 51.4986485, -0.1763952 51.498609, -0.1763179 51.4982579, -0.1764186 51.4982503, -0.1763959 51.4981332))",,,Skempton Building,,,,,"[1258483253, 6705384907, 1258483207, 6037519318, 1347057735, 6037519320, 6037519319, 1258483146, 1258483232, 1258483224, 6570736885, 7369600692, 6247030345, 6568760609, 1258483061, 1258483277, 6247030344, 1347057736, 1347057734, 1258483253]",Skempton Building,,university,6,Q7534539,,en:Skempton Building,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
way,110085226,"POLYGON ((-0.1749259 51.4980149, -0.1752222 51.4979937, -0.175258 51.4979789, -0.1752578 51.4979544, -0.1752306 51.4979349, -0.1751861 51.4979384, -0.1751737 51.4978779, -0.1751937 51.4978762, -0.1756353 51.4978414, -0.1756369 51.4978494, -0.1757207 51.4978428, -0.1757307 51.4978921, -0.1758998 51.4978789, -0.1758949 51.4978546, -0.1761027 51.4978383, -0.1761002 51.4978258, -0.1760773 51.4977124, -0.1760483 51.4977147, -0.1760376 51.4976614, -0.1759978 51.4974636, -0.1759637 51.4974662, -0.1759614 51.4974549, -0.1755311 51.4974882, -0.1755847 51.4977569, -0.175178 51.4977884, -0.1750095 51.4978015, -0.175006 51.497784, -0.17499 51.4977042, -0.1748759 51.4977128, -0.1749251 51.4979999, -0.1749259 51.4980149))",,,Chemistry RCS1,,,,,"[1258483106, 7933770411, 7933770410, 7933770409, 7933770408, 7933770407, 7933770406, 8357438371, 7933770397, 7933770398, 6038768408, 6038768407, 6038768406, 6038768405, 7933770399, 1258483095, 6038768410, 7933770401, 6038768402, 1258483251, 7933770400, 1258483234, 1258483057, 1258483102, 8357821313, 1258483265, 1258483159, 7933770412, 7933770413, 7933770417, 1258483106]",Chemistry RCS Building,,university,3,Q7373985,,en:Royal College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,1,gabled,,,,,,"Services / facilities within the building include Biochemistry, Biology, Chemistry and the Centre for Photomolecular Sciences.",,,,,,,,,,,,,,,,,,
way,110085228,"POLYGON ((-0.1743349 51.4983002, -0.1744281 51.4987917, -0.1747911 51.4987663, -0.174825 51.4989678, -0.1748561 51.49913, -0.1744922 51.4991571, -0.1745622 51.4994979, -0.1745883 51.4994939, -0.174928 51.4994629, -0.1749759 51.4994592, -0.1751416 51.4994446, -0.1751211 51.4993405, -0.1750823 51.4991313, -0.1750772 51.4990902, -0.1752813 51.4990755, -0.1752438 51.4988833, -0.1751416 51.4983514, -0.1752205 51.4983437, -0.1752571 51.4983383, -0.1752394 51.4982452, -0.1751987 51.4982494, -0.1751185 51.4982559, -0.1751149 51.4982403, -0.1743349 51.4983002))",,,City & Guilds Building,,,,,"[1258483256, 1258483310, 1258483167, 7865495709, 1258483246, 1258483209, 6037519330, 1258483004, 6037519322, 6037519324, 1258483104, 1258483291, 6705384902, 1258483183, 1258483052, 1258483296, 1347057731, 4806744861, 1347057735, 6037519318, 4806744862, 6037519316, 6037519317, 1258483256]",City & Guilds Building,Exhibition Road,university,6,Q89405595,,,London,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,,,,,,,,,,,,,,,,,,,
way,110085229,"POLYGON ((-0.1767863 51.4978366, -0.1767588 51.4976899, -0.1767384 51.4975811, -0.177303 51.4975401, -0.177305 51.497531, -0.1773428 51.497528, -0.1773187 51.4974084, -0.1772824 51.4974112, -0.1772741 51.4973704, -0.176798 51.4974077, -0.1767968 51.4974018, -0.1766982 51.4974095, -0.1766997 51.4974169, -0.1766565 51.4974203, -0.1766581 51.4974148, -0.1759978 51.4974636, -0.1760376 51.4976614, -0.176082 51.4976581, -0.1760926 51.4977133, -0.1760773 51.4977124, -0.1761002 51.4978258, -0.1761431 51.4978226, -0.1761618 51.497921, -0.1761427 51.4979224, -0.1761495 51.4979588, -0.1763817 51.4979418, -0.1763742 51.4979016, -0.1767469 51.4978744, -0.1767425 51.4978513, -0.1767884 51.4978479, -0.1767863 51.4978366))",,,Sir Alexander Fleming Building,,,,,"[1258483117, 1258483017, 1258483016, 7933770388, 7933770389, 1258483123, 6038768404, 6038768403, 1258483162, 7933770390, 7933770393, 7933770392, 7933770394, 7933770395, 7933770391, 1258483251, 6038768402, 6038768401, 6038768400, 6038768410, 1258483095, 6038768399, 1258483000, 6038768396, 6038768395, 6038768394, 6038768393, 6038768392, 6038768391, 7933770396, 1258483117]",Sir Alexander Fleming Building,,university,7,Q90719128,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,flat,,,,,,"Services / facilities within the building include Medicine, Biology, Biomedical Sciences, Cell and Molecular Biology, Molecular Biosciences, Advanced Biotechnology Centre, the Centre for Chronobiology.",,,,,,,,,,,,,,,,,,
way,110085230,"POLYGON ((-0.176003 51.4988262, -0.1759891 51.4987532, -0.1759712 51.4986588, -0.1759647 51.4986245, -0.1754428 51.4986629, -0.1754515 51.4987088, -0.1754692 51.4988017, -0.1754811 51.4988646, -0.1757832 51.4988424, -0.176003 51.4988262))",,,Faculty Building,,,,1,"[1258483182, 1258483295, 1258483054, 6247030334, 1258483231, 7370280994, 7370280995, 7368767293, 1258483077, 1258483182]",,,university,7,Q89408840,"Category:Faculty Building, Imperial College London",,,Foster + Partners,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2004,,,,,,,,,,,,,,,,
way,110085233,"POLYGON ((-0.1785124 51.4979329, -0.1778251 51.4979865, -0.1778834 51.4982916, -0.1778557 51.4982937, -0.1778331 51.4982961, -0.1778266 51.4982983, -0.1778243 51.4983009, -0.1778229 51.4983048, -0.1778229 51.4983078, -0.1778361 51.4983685, -0.1778415 51.4983722, -0.1778486 51.4983739, -0.1778573 51.4983737, -0.1778747 51.4983719, -0.1779039 51.4983676, -0.1779149 51.4984246, -0.177929 51.4984934, -0.1779355 51.4985315, -0.1779862 51.4985276, -0.1785694 51.4984827, -0.178567 51.4984707, -0.1785168 51.4982469, -0.1785789 51.4982431, -0.1785124 51.4979329))",library,,Imperial College Central Library,Imperial College London,university,,,"[1258483013, 6037519601, 6037519600, 6575572077, 10570882351, 10570882350, 10570882349, 6037519604, 10570882352, 6037519603, 10570882353, 10570882354, 10570882355, 6575572076, 6037519602, 7371559435, 7371559431, 7371559430, 6524005142, 1258483122, 10570882366, 6037519598, 6037519599, 1258483013]",,,university,5,Q76834801,Category:Imperial College Central Library,en:Imperial College Central Library,,,,,,,,,,,,,,,,,,,,,,,,,"Su-Th 00:00-24:00, Sa 10:00-24:00; Fr 00:00-23:00",1,flat,,,,,,,,,wlan,,,,,,,,,,,,,,,
way,110085234,"POLYGON ((-0.1764042 51.4986485, -0.1761741 51.4986658, -0.1761887 51.498741, -0.1762007 51.4988031, -0.1762139 51.4988708, -0.1762174 51.4988887, -0.176226 51.4989328, -0.1762875 51.49925, -0.1765676 51.499229, -0.1765445 51.4991097, -0.1765067 51.4989154, -0.1764965 51.4988626, -0.1764948 51.498854, -0.1764669 51.4987102, -0.1764542 51.4986448, -0.1764042 51.4986485))",,,Electrical & Electronic Engineering Building,,,,,"[1258483277, 1258483061, 10566015735, 10566015736, 10566015739, 1258483121, 11253687818, 1258483039, 1258483035, 4724062965, 6037519341, 1258483059, 6247030338, 7371559436, 10565963996, 1258483277]",Electrical & Electronic Engineering,,university,14,Q90688225,,,London,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,SW7 2BT,,,,,EEE,,,,,,,,,,,,,,
way,111492453,"POLYGON ((-0.1794471 51.4984874, -0.1792966 51.4984985, -0.1792931 51.4984803, -0.1792021 51.498487, -0.1792056 51.4985052, -0.1790992 51.4985131, -0.1790956 51.4984942, -0.1790588 51.4984969, -0.1790622 51.4985145, -0.1789998 51.4985191, -0.1789667 51.4983638, -0.1788799 51.4983694, -0.1788495 51.4982331, -0.1789264 51.498227, -0.1789043 51.4980954, -0.1789943 51.4980881, -0.1789862 51.4980613, -0.1793545 51.4980372, -0.1793867 51.4981964, -0.1793776 51.4982046, -0.1793103 51.4982084, -0.1793124 51.4982253, -0.1792444 51.4982308, -0.1792403 51.4982137, -0.1790988 51.4982235, -0.1790838 51.4982338, -0.1790958 51.4983206, -0.1791241 51.4983336, -0.1792675 51.4983244, -0.1792657 51.4983072, -0.1793359 51.4983028, -0.1793384 51.4983173, -0.1794054 51.4983135, -0.1794189 51.4983226, -0.1794471 51.4984874))",,,,,,,,"[304884753, 1270123320, 1270123322, 1270123323, 1270123324, 1270123325, 1270123326, 1270123327, 6037519586, 1270123329, 1270123330, 7370249769, 7370249770, 7370249771, 1270123339, 1270123340, 1270123341, 1258483189, 1270123349, 1270123350, 1270123351, 7933754355, 7933754354, 1270123352, 1270123353, 1270123354, 1270123355, 1270123356, 1270123357, 1270123358, 1270123359, 1270123360, 1270123361, 1270123362, 304884753]",,Queen's Gate,apartments,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,hipped,,,,171-175,,,,,,,Bing,,,,,,,,,,,,,
way,134451199,"POLYGON ((-0.177541 51.4999264, -0.1775525 51.5000015, -0.1775824 51.4999997, -0.1776362 51.5003375, -0.1777152 51.5003303, -0.1777695 51.5003273, -0.1777581 51.5002739, -0.1778313 51.500269, -0.1777878 51.5000074, -0.1780929 51.4999881, -0.1783629 51.4999711, -0.1784143 51.5002932, -0.1785625 51.5002841, -0.1785739 51.5003556, -0.178662 51.5003499, -0.1786747 51.500349, -0.1786734 51.5003261, -0.1786977 51.5003246, -0.1786948 51.5002971, -0.1786802 51.5002172, -0.1786243 51.5002189, -0.1785794 51.4999389, -0.1786512 51.4999344, -0.17864 51.4998568, -0.1780777 51.499894, -0.177541 51.4999264))",,,Beit Hall,,,,,"[1258483227, 6048063176, 6048063177, 1478210451, 6048063182, 6048063181, 6048063180, 6048063178, 1478210466, 2920576169, 1478210448, 1478210445, 6048063174, 6048063173, 1478210428, 6048063172, 6048063171, 6048063170, 304884726, 6048063169, 6048063168, 6048063167, 6048063166, 292162519, 2920576168, 1258483227]",Beit Hall,Prince Consort Road,dormitory,5,Q14996878,,en:Beit Hall,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
way,134451201,"POLYGON ((-0.178662 51.5003499, -0.1785739 51.5003556, -0.1784247 51.5003645, -0.1781604 51.5003803, -0.1778516 51.5003984, -0.1778117 51.5004012, -0.1778067 51.5003729, -0.1777238 51.5003786, -0.1777152 51.5003303, -0.1776362 51.5003375, -0.1776585 51.5004953, -0.1776601 51.5005048, -0.1786769 51.5004389, -0.1786747 51.5004256, -0.178662 51.5003499))",,,Imperial College Union,,,,,"[1478210428, 6048063173, 6048063175, 2920576167, 1478210454, 6048063179, 6048063184, 6048063183, 6048063182, 1478210451, 6140845916, 304884690, 304884689, 6048167836, 1478210428]",,,yes,,Q89778361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local knowledge - exact boundaries of hall/union unmeasured,,,,,,,,,,,,
way,154199572,"POLYGON ((-0.1738055 51.4999344, -0.1734153 51.4999719, -0.1730488 51.5000071, -0.173087 51.5001985, -0.1731014 51.5002688, -0.1737136 51.5002238, -0.1737094 51.5002017, -0.1738542 51.5001911, -0.1738055 51.4999344))",,,Ethos Gym,,,yes,,"[1667676702, 7865495713, 2332131754, 2332131751, 1667676700, 1973226513, 1973226512, 1667676704, 1667676702]",Ethos,Princes Gardens,yes,,Q89424522,"Category:Ethos Gym, Imperial College London",,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,SW7 1AZ,,,,,,http://www3.imperial.ac.uk/sports/facilities/ethos,,Ethos,sports_centre,,,,,,,,,,
