element_type,osmid,nodes,amenity,building,emergency,healthcare,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,operator,operator:type,wheelchair,geometry,building:levels,smoking,ref,leisure,air_conditioning,outdoor_seating,layer,note,access,sport,description,internet_access,internet_access:fee,addr:city,addr:housenumber,addr:postcode,addr:street,foot,start_date,addr:province,bicycle_parking,man_made
way,267646979,"[2730842121, 2730842123, 2730842126, 2730842128, 2730842130, 2730842132, 2730842134, 2730842136, 2730842139, 2730842145, 2730842143, 2730842141, 2730842121]",,university,,,科研楼,,科研楼,科研楼,科研樓,中国科学技术大学,,yes,"POLYGON ((117.2666893 31.8428095, 117.2673607 31.8428213, 117.2673587 31.8429051, 117.2673875 31.8429056, 117.2673782 31.8432761, 117.2673457 31.8433597, 117.2671193 31.8432961, 117.2671449 31.8432305, 117.267149 31.8430516, 117.2667099 31.8430443, 117.2667119 31.8429606, 117.2666856 31.8429601, 117.2666893 31.8428095))",,no,,,,,,,,,,,,,,,,,,,,
way,267646980,"[2730842146, 2730842147, 2730842148, 2730842149, 2730842150, 3112611568, 2730842151, 2730842152, 2730842153, 2730842154, 2730842155, 2730842146]",,yes,,,水上报告厅,,水上报告厅,水上报告厅,水上報告廳,中国科学技术大学,,yes,"POLYGON ((117.2649139 31.840542, 117.2649152 31.8405127, 117.2649653 31.8405142, 117.2649752 31.840288, 117.2648318 31.8402834, 117.264831 31.8402997, 117.2648302 31.840321, 117.2646365 31.840315, 117.264629 31.8404838, 117.2648123 31.8404896, 117.2648101 31.8405388, 117.2649139 31.840542))",,no,203#,,,,,,,,,,,,,,,,,,,
way,268207470,"[2735682928, 2735682929, 2735682930, 2735682931, 2735682928]",cafe,yes,,,USTC1958（东区）,,USTC1958（东区）,USTC1958（东区）,USTC1958（東區）,,,yes,"POLYGON ((117.2631177 31.8404383, 117.2631186 31.8405189, 117.2633178 31.8405174, 117.263317 31.8404368, 117.2631177 31.8404383))",,no,,,yes,yes,,,,,,,,,,,,,,,,
way,268836823,"[2682745778, 2741497151, 2741497153, 2741497154, 2741497155, 2741497156, 2741497157, 2741497158, 2741497159, 2741497160, 2741497161, 2741497162, 2741497163, 2741497164, 2741497165, 2682745760, 2741497166, 2682745779, 2682745778]",,yes,,,高科技广场（南区）,,高科技广场（南区）,高科技广场（南区）,高科技廣場（南區）,中国科学技术大学,,yes,"POLYGON ((117.2610535 31.8396671, 117.2611391 31.8396204, 117.2609552 31.8392656, 117.260996 31.8392498, 117.2609497 31.8391554, 117.260911 31.8391643, 117.2608279 31.8389797, 117.260852 31.8389683, 117.2608091 31.8388612, 117.2607755 31.8388704, 117.2607514 31.8388153, 117.2607903 31.8388043, 117.2607501 31.8386994, 117.2607106 31.8387098, 117.2605772 31.838376, 117.2604697 31.8384185, 117.260655 31.8388657, 117.2608403 31.8392782, 117.2610535 31.8396671))",,no,,,,,,,,,,,,,,,,,,,,
way,268836824,"[2741497168, 2741497169, 2741497170, 2741497171, 2741497172, 2741497173, 10583324315, 2741497174, 2741497175, 2741497176, 2741497177, 2741497178, 2741497179, 2741497180, 2741497181, 2682745780, 2741497182, 2682745761, 2741497168]",,yes,,,高科技广场（南区）,,高科技广场（南区）,高科技广场（南区）,高科技廣場（南區）,中国科学技术大学,,yes,"POLYGON ((117.2604493 31.8383904, 117.2605531 31.8383573, 117.260453 31.8380534, 117.2604938 31.838044, 117.2604586 31.8379322, 117.2604178 31.8379432, 117.2603215 31.8376359, 117.2602881 31.8375292, 117.260314 31.8375229, 117.2602881 31.8374111, 117.2603381 31.837389, 117.2603492 31.83723, 117.2602843 31.8372253, 117.2602862 31.8370899, 117.2601676 31.8370773, 117.2600675 31.837093, 117.2602658 31.8378582, 117.2603288 31.8380645, 117.2604493 31.8383904))",,no,,,,,,,,,,,,,,,,,,,,
way,270048432,"[2751451448, 2751451450, 2751451451, 2751451453, 2751451454, 2751451456, 2751451448]",,dormitory,,,,,,,,,,,"POLYGON ((117.2638982 31.8373346, 117.2631918 31.8373005, 117.2632013 31.8371588, 117.2638796 31.8371915, 117.2638766 31.8372363, 117.2639047 31.8372377, 117.2638982 31.8373346))",6,,229#,,,,,,,,,,,,,,,,,,,
way,270048433,"[2751451457, 2751451459, 2751451461, 2751451463, 2751451464, 2751451466, 2751451467, 2751451469, 2751451470, 2751451472, 2751451473, 2751451475, 2751451476, 2751451478, 2751451479, 2751451488, 2751451491, 2751451492, 2751451489, 2751451481, 2751451482, 2751451484, 2751451485, 2751451487, 2751451457]",,dormitory,,,,,,,,中国科学技术大学,,yes,"POLYGON ((117.2642697 31.8374692, 117.2643904 31.8374776, 117.2643971 31.8374088, 117.2643733 31.8374071, 117.2643752 31.8373872, 117.2646437 31.8374058, 117.264642 31.8374227, 117.2646181 31.8374211, 117.2646117 31.8374884, 117.2647283 31.8374965, 117.2647346 31.8374307, 117.2647214 31.8374298, 117.2647231 31.8374119, 117.264861 31.8374214, 117.2648715 31.8373123, 117.2645787 31.8372921, 117.2645799 31.83728, 117.2644598 31.8372716, 117.2644587 31.8372828, 117.264152 31.8372615, 117.2641411 31.837374, 117.2642982 31.8373849, 117.2642966 31.8374014, 117.2642764 31.8374, 117.2642697 31.8374692))",,no,221#,,,,,,,,,,,,,,,,,,,
way,270048434,"[2751451494, 2751451495, 2751451497, 2751451498, 2751451494]",,yes,,,,,,,,中国科学技术大学,,yes,"POLYGON ((117.2650975 31.8371011, 117.2651097 31.8369715, 117.265635 31.8370073, 117.2656228 31.8371368, 117.2650975 31.8371011))",,no,216#,,,,,,,,,,,,,,,,,,,
way,270334645,"[2753721008, 2753721014, 2753721016, 2753721018, 2753721021, 3114152053, 3114152052, 3114152054, 3114152055, 2753721024, 3114152057, 3114152056, 2753721008]",,yes,,,物理楼,,物理楼,物理楼,物理樓,中国科学技术大学,,yes,"POLYGON ((117.2612156 31.8398132, 117.2617258 31.8398442, 117.2617361 31.8397229, 117.2613673 31.8397005, 117.261372 31.8396439, 117.2613962 31.8396453, 117.2614123 31.8394881, 117.2611655 31.8394722, 117.2611521 31.8396431, 117.2611723 31.8396442, 117.2611669 31.8396978, 117.2612219 31.8397023, 117.2612156 31.8398132))",,no,,,,,,,,,,,,,,,,,,,,
way,270334647,"[2753721027, 2753721030, 2753721032, 2753721035, 2753721027]",,yes,,,陶瓷艺术中心,,陶瓷艺术中心,陶瓷艺术中心,陶瓷藝術中心,中国科学技术大学,,yes,"POLYGON ((117.2614521 31.8396135, 117.2615826 31.8396278, 117.2616055 31.839477, 117.261475 31.8394627, 117.2614521 31.8396135))",,no,,,,,,,,,,,,,,,,,,,,
