element_type,osmid,nodes,amenity,parking,geometry
way,364596138,"[3686355840, 3686355841, 3686355842, 3686355843, 3686355840]",parking,surface,"POLYGON ((108.9076011 34.2476139, 108.9076009 34.2476594, 108.9072559 34.2476583, 108.9072561 34.2476127, 108.9076011 34.2476139))"
way,364596139,"[3686355844, 3686355845, 3686355846, 3686355847, 3686355844]",parking,surface,"POLYGON ((108.9075973 34.2477034, 108.9075971 34.247749, 108.9072521 34.2477479, 108.9072523 34.2477023, 108.9075973 34.2477034))"
way,970816437,"[8984905499, 8984905498, 8984905497, 8984905496, 8984905495, 8984905499]",parking,,"POLYGON ((108.905892 34.2473537, 108.9062104 34.2473566, 108.9062243 34.2463233, 108.905906 34.2463204, 108.9059003 34.2467411, 108.905892 34.2473537))"
