element_type,osmid,geometry,nodes,amenity,building,building:levels,internet_access,internet_access:fee,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,opening_hours,operator,addr:city,addr:district,addr:province,addr:street,layer,leisure,sport,access,historic,historic:civilization,ruins,bridge,level,building:min_level,ways,type
way,727355599,"POLYGON ((113.997222 22.6019708, 113.9974702 22.6020413, 113.9975441 22.6018199, 113.9972958 22.6017494, 113.997222 22.6019708))","[6816439990, 6816439991, 6816439992, 6816439993, 6816439990]",,apartments,10,,,教师公寓5,Faculty Apartment 5,教师公寓5,教师公寓5,教師公寓5,,,,,,,,,,,,,,,,,,
way,727355600,"POLYGON ((113.9976446 22.6026261, 113.9978899 22.6027025, 113.9979677 22.6024894, 113.9977224 22.602413, 113.9976446 22.6026261))","[6816439994, 6816439995, 6816439996, 6816439997, 6816439994]",,apartments,10,,,教师公寓4,Faculty Apartment 4,教师公寓4,教师公寓4,教師公寓4,,,,,,,,,,,,,,,,,,
way,727355601,"POLYGON ((113.9974302 22.6024714, 113.9974253 22.6022482, 113.9971847 22.6022527, 113.9971896 22.6024759, 113.9974302 22.6024714))","[6816439998, 6816439999, 6816440000, 6816440001, 6816439998]",,apartments,10,,,教师公寓3,Faculty Apartment 3,教师公寓3,教师公寓3,教師公寓3,,,,,,,,,,,,,,,,,,
way,727355602,"POLYGON ((113.9978743 22.6029504, 113.9977984 22.6031693, 113.9975621 22.6030994, 113.997638 22.6028806, 113.9978743 22.6029504))","[6816440002, 6816440003, 6816440004, 6816440005, 6816440002]",,apartments,10,,,教师公寓2,Faculty Apartment 2,教师公寓2,教师公寓2,教師公寓2,,,,,,,,,,,,,,,,,,
way,727355603,"POLYGON ((113.9970177 22.6029228, 113.9972873 22.6029241, 113.9972885 22.6027025, 113.997019 22.6027012, 113.9970177 22.6029228))","[6816440006, 6816440007, 6816440008, 6816440009, 6816440006]",,apartments,10,,,教师公寓1,Faculty Apartment 1,教师公寓1,教师公寓1,教師公寓1,,,,,,,,,,,,,,,,,,
way,727356943,"POLYGON ((113.997394 22.6026095, 113.9976191 22.6026706, 113.9976857 22.6024616, 113.9974607 22.6024005, 113.997394 22.6026095))","[6816428499, 6816428500, 6816428501, 6816428502, 6816428499]",,yes,10,,,Faculty Club,Faculty Club,,,,,,,,,,,,,,,,,,,,,
way,736809369,"POLYGON ((113.9915215 22.5960506, 113.9913382 22.5957855, 113.991506 22.5956427, 113.9915939 22.5955326, 113.9916795 22.5954099, 113.9917468 22.5952503, 113.9917922 22.5950764, 113.9923841 22.5951743, 113.9922792 22.5953332, 113.992172 22.5954882, 113.9919857 22.5956969, 113.9918317 22.5958328, 113.9916904 22.5959399, 113.9915215 22.5960506))","[6898352563, 6898352564, 6898352565, 8552162823, 6898352566, 8552162824, 6898352567, 6898352568, 8552162821, 6898352569, 6898352570, 6898352571, 8552162822, 6898352563]",,university,5,,,南科大会堂,SUSTech Hall,南科大会堂,南科大会堂,南科大會堂,,,,,,,,,,,,,,,,,,
way,755112934,"POLYGON ((113.9971851 22.6064258, 113.9971016 22.6062217, 113.9975669 22.6060594, 113.9976504 22.6062636, 113.9971851 22.6064258))","[7053887916, 7053887917, 7053887918, 7053887919, 7053887916]",,yes,9,,,创园2栋,Chuang Yuan 2,创园2栋,创园2栋,創園2棟,,,,,,,,,,,,,,,,,,
way,755562229,"POLYGON ((113.9947514 22.599451, 113.9947508 22.5994155, 113.9947109 22.599416, 113.9947114 22.5994516, 113.9947514 22.599451))","[7057414605, 7057414604, 7057414603, 7057414601, 7057414605]",,yes,,,,避世楼,Bishi Building,避世楼,避世楼,,,,,,,,,,,permit,ruins,modern,building,,,,,
way,755562230,"POLYGON ((113.9921263 22.6041003, 113.9925582 22.6041783, 113.992584 22.6040567, 113.9921521 22.6039786, 113.9921263 22.6041003))","[7057414611, 7057414610, 7057414609, 7057414608, 7057414611]",,dormitory,7,,,宿舍7栋,Dorm Block 7,宿舍7栋,宿舍7栋,宿舍7棟,,,,,,,,,,,,,,,,,,
