element_type,osmid,nodes,natural,water,geometry
way,302089575,"[3063271433, 3063271533, 3063271633, 3063271534, 3063271733, 3063269434, 3063271833, 3063206239, 3063270935, 3063271535, 3063270936, 3063271834, 3063270937, 3063271933, 3063271835, 3063237834, 3063271434, 3063272033, 3063272133, 3063269835, 3063269737, 3063206838, 3063270938, 3063271433]",water,pond,"POLYGON ((121.500272 31.2991171, 121.5002272 31.2990718, 121.5002365 31.2990312, 121.5002743 31.2990005, 121.500323 31.2990046, 121.5003667 31.2990348, 121.5003804 31.2990684, 121.5004174 31.2990955, 121.5004548 31.299104, 121.5004924 31.2991201, 121.5005142 31.2991497, 121.5005171 31.2991941, 121.5004904 31.2992309, 121.5004546 31.2992461, 121.5004122 31.2992513, 121.5003705 31.2992444, 121.5003631 31.2992127, 121.5003894 31.2991661, 121.5003486 31.2991444, 121.5003545 31.2991079, 121.5003295 31.299085, 121.500292 31.2990857, 121.5002922 31.2991057, 121.500272 31.2991171))"
way,302226354,"[3064798233, 3064798333, 3064797334, 3064797834, 3064796835, 3064798334, 3064797434, 3064797635, 3064796936, 3064797435, 3064798234, 3064796836, 3064797636, 3064797335, 3064797637, 3064797638, 3064797639, 3064797934, 3064797734, 3064798233]",water,pond,"POLYGON ((121.4924487 31.3029336, 121.4925035 31.3029339, 121.492548 31.3028979, 121.4925788 31.3028506, 121.4926164 31.3028459, 121.4926625 31.3028765, 121.4927102 31.3029061, 121.4927505 31.3029057, 121.4928088 31.3028672, 121.4928107 31.3028217, 121.4927614 31.302796, 121.4927026 31.3028048, 121.4926167 31.3028199, 121.4925604 31.3027994, 121.4925172 31.3028177, 121.4925256 31.3028415, 121.4924942 31.3028518, 121.4924993 31.3028709, 121.4924647 31.3028908, 121.4924487 31.3029336))"
