element_type,osmid,nodes,amenity,geometry,access,parking
way,71461973,"[850249762, 667339525, 3057653194, 3057653192, 3057653195, 3057653199, 3057653204, 667339530, 850249765, 850249762]",parking,"POLYGON ((121.4984776 31.300667, 121.4985004 31.3006076, 121.4985417 31.3005938, 121.4986454 31.3005808, 121.498749 31.3005943, 121.4988507 31.3006372, 121.4989313 31.3007053, 121.4989536 31.3007471, 121.4989332 31.3008033, 121.4984776 31.300667))",,
way,176802641,"[1872927479, 1872927519, 1872927459, 1872927655, 1872927479]",parking,"POLYGON ((121.5049917 31.3018011, 121.505032 31.3017059, 121.5055038 31.3018513, 121.5054635 31.3019466, 121.5049917 31.3018011))",,
way,301674302,"[3057653435, 3057653443, 3057653322, 3057653320, 3057653435]",parking,"POLYGON ((121.5007905 31.3029852, 121.5013356 31.3031435, 121.5015318 31.3026503, 121.5009867 31.302492, 121.5007905 31.3029852))",,
way,729110406,"[6830956610, 6830956609, 6830956608, 6830956607, 6830956606, 6830956605, 6830956610]",parking,"POLYGON ((121.4993101 31.294117, 121.4997205 31.2933469, 121.4998037 31.2933813, 121.4998037 31.2934202, 121.5000397 31.2935325, 121.4996481 31.2942568, 121.4993101 31.294117))",private,surface
