osmid,y,x,highway,street_count,geometry
3823797630,31.2818564,121.4999489,,1,POINT (121.4999489 31.2818564)
3823819536,31.2821945,121.4955855,,3,POINT (121.4955855 31.2821945)
3823819657,31.2822183,121.4953149,,3,POINT (121.4953149 31.2822183)
3823819666,31.280526,121.4946192,,3,POINT (121.4946192 31.280526)
3823836092,31.2814791,121.4949935,,3,POINT (121.4949935 31.2814791)
3838584964,31.2819789,121.4961703,,1,POINT (121.4961703 31.2819789)
3838584981,31.2817845,121.4950972,,3,POINT (121.4950972 31.2817845)
3838584982,31.2814929,121.4959584,,1,POINT (121.4959584 31.2814929)
3838584983,31.2821644,121.4956672,,3,POINT (121.4956672 31.2821644)
3838584984,31.281666,121.4954269,,4,POINT (121.4954269 31.281666)
3838584986,31.2818764,121.4955283,,3,POINT (121.4955283 31.2818764)
3838584987,31.2816946,121.4960523,,1,POINT (121.4960523 31.2816946)
3838585002,31.2826214,121.494241,,1,POINT (121.494241 31.2826214)
3838585037,31.2820184,121.4951971,,3,POINT (121.4951971 31.2820184)
3838585039,31.2815599,121.4941949,,3,POINT (121.4941949 31.2815599)
3838585043,31.2813057,121.4949289,,4,POINT (121.4949289 31.2813057)
3838585044,31.2809622,121.4957975,,1,POINT (121.4957975 31.2809622)
3838585157,31.2809928,121.4957165,,3,POINT (121.4957165 31.2809928)
3838585158,31.2806705,121.4955928,,3,POINT (121.4955928 31.2806705)
3838585164,31.2804828,121.4951362,,3,POINT (121.4951362 31.2804828)
3838585181,31.2805897,121.4940758,,3,POINT (121.4940758 31.2805897)
3838585192,31.2804591,121.493588,,1,POINT (121.493588 31.2804591)
3907534270,31.286768,121.500454,,3,POINT (121.500454 31.286768)
3907534271,31.2864032,121.5013902,,3,POINT (121.5013902 31.2864032)
3907534272,31.2864758,121.4926156,,1,POINT (121.4926156 31.2864758)
3907534273,31.2861111,121.4934288,,3,POINT (121.4934288 31.2861111)
3907534288,31.285526,121.4931352,,3,POINT (121.4931352 31.285526)
3907534289,31.2857979,121.49452,,3,POINT (121.49452 31.2857979)
4756333588,31.283638,121.5017742,,3,POINT (121.5017742 31.283638)
8985086440,31.2854197,121.4957005,,3,POINT (121.4957005 31.2854197)
8985086445,31.2853904,121.4955992,,3,POINT (121.4955992 31.2853904)
10881813993,31.2861541,121.4961855,,1,POINT (121.4961855 31.2861541)
