element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,leisure,wikidata,wikipedia,layer,building:levels,amenity,operator
way,1047336481,"[9630618730, 9630618731, 9630618732, 9630618733, 9630618730]",yes,北区浴室,北区浴室,北区浴室,北區浴室,"POLYGON ((116.4757809 39.8774158, 116.4762403 39.8774083, 116.4762319 39.8771755, 116.4757822 39.8771812, 116.4757809 39.8774158))",,,,,,public_bath,
way,1047336482,"[9630618734, 9630618735, 9630618736, 9630618737, 9630618734]",yes,南区浴室,南区浴室,南区浴室,南區浴室,"POLYGON ((116.4763545 39.8731105, 116.476358 39.8727429, 116.4765124 39.8727429, 116.4765101 39.8731173, 116.4763545 39.8731105))",,,,,,public_bath,
way,1047352408,"[9630668645, 9630668646, 9630668647, 9630668648, 9630668645]",university,能源楼,能源楼,能源楼,能源樓,"POLYGON ((116.4776595 39.8751574, 116.4776588 39.8749736, 116.4783847 39.8749678, 116.478387 39.8751437, 116.4776595 39.8751574))",,,,,,,
way,1047352410,"[9630668659, 9630668660, 9630668661, 9630668662, 9630668659]",university,,,,,"POLYGON ((116.4776258 39.8757481, 116.4776164 39.8755158, 116.478413 39.8754961, 116.4784236 39.8757633, 116.4776258 39.8757481))",,,,,,,
way,1047352411,"[9630668663, 9630668664, 9630668665, 9630668666, 9630668663]",university,,,,,"POLYGON ((116.4776587 39.8753914, 116.4776532 39.8752416, 116.4788352 39.8752194, 116.4788435 39.8753876, 116.4776587 39.8753914))",,,,,,,
way,1047352412,"[9630668667, 9630668668, 9630668669, 9630668670, 9630668667]",university,保卫处,保卫处,保卫处,保衛處,"POLYGON ((116.4776326 39.876606, 116.4776291 39.8765265, 116.4778396 39.8765194, 116.4778431 39.8766035, 116.4776326 39.876606))",,,,,,,
way,1047352421,"[9630747841, 9630747842, 9630747843, 9630747844, 9630747845, 9630747846, 9630747847, 9630747848, 9630747841]",apartments,学生宿舍1号楼,学生宿舍1号楼,学生宿舍1号楼,學生宿舍1號樓,"POLYGON ((116.4722256 39.8779063, 116.4722206 39.8777424, 116.4729969 39.8777404, 116.4729944 39.8778561, 116.4735422 39.8778484, 116.4735422 39.8779776, 116.4728914 39.8779834, 116.4728939 39.8779063, 116.4722256 39.8779063))",,,,,6,,
way,1051762778,"[9665247350, 9665247351, 9665247352, 9665247353, 9665247354, 9665247355, 9665247350]",university,绿色建筑技术中心,绿色建筑技术中心,绿色建筑技术中心,綠色建築技術中心,"POLYGON ((116.4754176 39.87708, 116.4746519 39.8770804, 116.4746494 39.876924, 116.4751231 39.8769223, 116.4751281 39.8768002, 116.4754229 39.8767923, 116.4754176 39.87708))",,,,,,,
way,1051762780,"[9665247361, 9665247362, 9665247363, 9665247364, 9665247361]",university,智研楼,智研楼,智研楼,智研樓,"POLYGON ((116.4715195 39.8780019, 116.4715193 39.8773555, 116.4719573 39.8773554, 116.4719576 39.8780018, 116.4715195 39.8780019))",,,,,,,
way,1051762781,"[9665247367, 9665247368, 9665247369, 9665247370, 9665247371, 9665247372, 9665247367]",university,地震研究所,地震研究所,地震研究所,地震研究所,"POLYGON ((116.4737443 39.8770677, 116.4737398 39.8768136, 116.4741863 39.8768118, 116.4741888 39.8769441, 116.4743168 39.8769461, 116.4743051 39.8770672, 116.4737443 39.8770677))",,,,,,,
way,1214956493,"[11256616927, 11256616926, 11256616925, 11256616924, 11256616927]",university,信北阶,信北阶,信北阶,信北阶,"POLYGON ((116.4728099 39.87389, 116.4728101 39.8737457, 116.4729208 39.8737458, 116.4729206 39.8738901, 116.4728099 39.87389))",,,,,,,
