element_type,osmid,nodes,amenity,building,name,geometry,tourism,ways,type
way,226696321,"[2354604092, 2354604093, 2354604094, 2354604095, 2354604096, 2354604097, 2354604092]",,yes,农学楼,"POLYGON ((116.2764963 40.023257, 116.2759 40.0229497, 116.2764048 40.0223753, 116.2766416 40.0224974, 116.2762685 40.022922, 116.2766279 40.0231072, 116.2764963 40.023257))",,,
way,226696717,"[2354611898, 2354611899, 2354611900, 2354611901, 2354611902, 2354611903, 2354611904, 2354611905, 2354611898]",,yes,植保楼,"POLYGON ((116.2771202 40.0231686, 116.2772373 40.023015, 116.2777514 40.0232583, 116.2778768 40.0232615, 116.2780314 40.0230438, 116.2781819 40.023127, 116.277906 40.0234375, 116.2777472 40.0234503, 116.2771202 40.0231686))",,,
way,226696833,"[2354612657, 2354612659, 2354612661, 2354612662, 2354612657]",,yes,玉米楼,"POLYGON ((116.2771798 40.0226793, 116.276693 40.0224194, 116.2767981 40.022304, 116.2772849 40.0225639, 116.2771798 40.0226793))",,,
way,921296233,"[8553698241, 8553698227, 8553698237, 8553698246, 8553698241]",,yes,,"POLYGON ((116.2787954 40.0224628, 116.2791003 40.0221316, 116.2782956 40.0216972, 116.2779906 40.0220285, 116.2787954 40.0224628))",,,
way,1145919315,"[10664137563, 10664137564, 10664137565, 10664137566, 10664137567, 10664137568, 10664137569, 10664137570, 10664137571, 10664137572, 10664137563]",,yes,神内楼,"POLYGON ((116.2793247 40.0280522, 116.2794562 40.0280588, 116.2793709 40.0281126, 116.2794777 40.0282119, 116.2795825 40.0281458, 116.2795657 40.0282875, 116.2797735 40.028302, 116.2798045 40.0280408, 116.279707 40.0279247, 116.2793372 40.0279061, 116.2793247 40.0280522))",,,
way,1145919319,"[10664137591, 10664137592, 10664137593, 10664137594, 10664137591]",,greenhouse,,"POLYGON ((116.2797598 40.0295289, 116.2803651 40.0295721, 116.280412 40.0291866, 116.2798067 40.0291434, 116.2797598 40.0295289))",,,
way,1145919320,"[10664137595, 10664137596, 10664137597, 10664137598, 10664137595]",,greenhouse,,"POLYGON ((116.2799427 40.0290663, 116.2804194 40.0290976, 116.2804526 40.0288002, 116.2799759 40.028769, 116.2799427 40.0290663))",,,
way,1145919321,"[10664137599, 10664137600, 10664137601, 10664137602, 10664137599]",,greenhouse,,"POLYGON ((116.2795749 40.0290369, 116.2798608 40.0290564, 116.2798979 40.028737, 116.279612 40.0287176, 116.2795749 40.0290369))",,,
way,1145919322,"[10664137603, 10664137604, 10664137605, 10664137606, 10664137603]",,greenhouse,科学园,"POLYGON ((116.2814387 40.0289763, 116.2822053 40.029025, 116.2822412 40.0286938, 116.2814746 40.028645, 116.2814387 40.0289763))",,,
way,1145919323,"[10664137607, 10664137608, 10664137609, 10664137610, 10664137607]",,greenhouse,,"POLYGON ((116.2814483 40.0291541, 116.2818358 40.0291789, 116.2818468 40.0290778, 116.2814593 40.0290531, 116.2814483 40.0291541))",,,
