element_type,osmid,amenity,name,geometry,nodes,healthcare
node,2285740581,hospital,中国农业大学校医院,POINT (116.2750777 40.02634),,
way,1145919340,hospital,中国农业大学动物医院,"POLYGON ((116.2750486 40.029176, 116.2753356 40.0288358, 116.2769899 40.0296557, 116.2769665 40.0297719, 116.2764904 40.0296899, 116.2757581 40.0295441, 116.2750486 40.029176))","[10664137712, 10664137713, 10664137714, 10664137715, 5067719000, 644592449, 10664137712]",hospital
