element_type,osmid,nodes,amenity,geometry
way,226695443,"[2354589069, 2354589070, 644592459, 11066096015, 644592455, 644592453, 2354589074, 2354589069]",parking,"POLYGON ((116.2713106 40.0275416, 116.2705574 40.0271335, 116.2709646 40.0266471, 116.2712653 40.0269856, 116.2714353 40.027177, 116.2714916 40.0274984, 116.2714162 40.0274588, 116.2713106 40.0275416))"
way,1146172263,"[10666269198, 10666269199, 10666269200, 10666269201, 10666269198]",parking,"POLYGON ((116.2725216 40.0262337, 116.2731165 40.0265355, 116.2733034 40.0263196, 116.2727086 40.0260176, 116.2725216 40.0262337))"
