element_type,osmid,nodes,building,name,geometry,amenity,name:en,name:zh,leisure,building:levels,ref,ways,type
way,560023985,"[5400753056, 5400753057, 5400753058, 5400753059, 5400753056]",yes,,"POLYGON ((126.6702137 45.77882, 126.6702315 45.778592, 126.6707897 45.7786132, 126.6707718 45.7788412, 126.6702137 45.77882))",,,,,,,,
way,560023986,"[5400753060, 5400753061, 5400753062, 5400753063, 5400753060]",yes,,"POLYGON ((126.6703185 45.7785569, 126.6703852 45.7781735, 126.6706811 45.7781985, 126.6706144 45.7785819, 126.6703185 45.7785569))",,,,,,,,
way,560023987,"[5400753064, 5400753065, 5400753066, 5400753067, 5400753068, 5400753069, 5400753070, 5400753071, 5400753064]",university,Building 31,"POLYGON ((126.6703404 45.7781278, 126.6703586 45.7779558, 126.6713325 45.7780059, 126.6713183 45.7779664, 126.6718846 45.777996, 126.6718492 45.7780207, 126.6728058 45.7780699, 126.6727863 45.7782536, 126.6703404 45.7781278))",,,,,,,,
way,560023988,"[5400753072, 5400753073, 5400753074, 5400753075, 5400753072]",yes,,"POLYGON ((126.6723823 45.7786581, 126.6724361 45.7782654, 126.672726 45.7782847, 126.6726723 45.7786774, 126.6723823 45.7786581))",,,,,,,,
way,560023989,"[5400753076, 5400753077, 5400753078, 5400753079, 5400753076]",yes,,"POLYGON ((126.6721741 45.7788735, 126.6721934 45.7786735, 126.6727488 45.7786995, 126.6727295 45.7788996, 126.6721741 45.7788735))",,,,,,,,
way,560023990,"[5400753080, 5400753081, 5400753082, 5400753083, 5400753084, 5400753085, 5400753086, 5400753087, 5400753088, 5400753089, 5400753080]",university,,"POLYGON ((126.6703594 45.7792924, 126.6703898 45.7789916, 126.6705824 45.7790011, 126.6705766 45.7790587, 126.6712196 45.7790903, 126.6712249 45.7790373, 126.6717302 45.7790621, 126.6717251 45.7791126, 126.6724455 45.7791467, 126.6724207 45.7793679, 126.6703594 45.7792924))",,,,,,,,
way,560023991,"[5400753090, 5400753091, 5400753092, 5400753093, 5400753094, 5400753095, 5400753090]",yes,,"POLYGON ((126.6705078 45.7794843, 126.6705162 45.7793806, 126.6710361 45.7794012, 126.6710204 45.7795942, 126.6706763 45.7795805, 126.6706836 45.7794913, 126.6705078 45.7794843))",,,,,,,,
way,560023992,"[5400753096, 5400753097, 5400753098, 5400753099, 5400753096]",yes,,"POLYGON ((126.6712159 45.7796769, 126.6712248 45.7793767, 126.6715829 45.7793819, 126.6715741 45.779682, 126.6712159 45.7796769))",,,,,,,,
way,675690933,"[6327767455, 6327767456, 6327767457, 6327767458, 6327767455]",university,,"POLYGON ((126.6791996 45.7778765, 126.679309 45.7775758, 126.6797979 45.7776623, 126.6796886 45.777963, 126.6791996 45.7778765))",,,,,,,,
way,675690934,"[6327767459, 6327767460, 6327767461, 6327767462, 6327767459]",university,,"POLYGON ((126.6801944 45.7780665, 126.6803289 45.7777553, 126.6808348 45.7778617, 126.6807004 45.7781729, 126.6801944 45.7780665))",,,,,,,,
