u,v,key,osmid,highway,oneway,reversed,length,geometry,name,service,tunnel
6327768615,6327768613,0,675690968,service,False,False,40.47,"LINESTRING (126.6811413 45.7706413, 126.6811725 45.770278)",,,
6327768615,6327768809,0,675690968,service,False,True,24.34,"LINESTRING (126.6811413 45.7706413, 126.6811224 45.7708598)",,,
6327768615,6327768662,0,675690970,residential,False,False,193.443,"LINESTRING (126.6811413 45.7706413, 126.6786515 45.7705399)",智水路,,
6327768616,6327768662,0,675690970,residential,False,True,64.681,"LINESTRING (126.677819 45.770506, 126.6786515 45.7705399)",智水路,,
6327768616,6327768681,0,675690987,residential,False,False,52.53,"LINESTRING (126.677819 45.770506, 126.6778393 45.7700338)",世昌路,,
6327768616,6327768658,0,675708927,residential,False,False,89.56,"LINESTRING (126.677819 45.770506, 126.6777665 45.7713106)",世昌路,,
6327768617,6328109201,0,675690992,service,False,False,89.472,"LINESTRING (126.6776747 45.7727077, 126.6775926 45.7735103)",世昌路,,
6327768617,6327768658,0,675708927,residential,False,True,155.514,"LINESTRING (126.6776747 45.7727077, 126.6777665 45.7713106)",世昌路,,
6327768617,5636755212,0,675723386,residential,False,False,146.816,"LINESTRING (126.6776747 45.7727077, 126.6795637 45.772793)",文庙街,,
6327768617,6328109190,0,675723386,residential,False,True,84.05,"LINESTRING (126.6776747 45.7727077, 126.6775756 45.7727061, 126.6765913 45.7726903)",文庙街,,
6327768657,6327768809,0,675690968,service,False,False,65.89,"LINESTRING (126.6810715 45.7714513, 126.6811224 45.7708598)",,,
6327768657,6327768807,0,675690968,service,False,True,64.197,"LINESTRING (126.6810715 45.7714513, 126.6810219 45.7720276)",,,
6327768657,6328109220,0,675690978,residential,False,False,183.812,"LINESTRING (126.6810715 45.7714513, 126.678706 45.7713506)",郑和路,,
6327768658,6327768660,0,675690978,residential,False,False,198.639,"LINESTRING (126.6777665 45.7713106, 126.6752102 45.7712017)",郑和路,,
6327768658,6328109220,0,675690978,residential,False,True,73.004,"LINESTRING (126.6777665 45.7713106, 126.678706 45.7713506)",郑和路,,
6327768658,6327768617,0,675708927,residential,False,False,155.514,"LINESTRING (126.6777665 45.7713106, 126.6776747 45.7727077)",世昌路,,
6327768658,6327768616,0,675708927,residential,False,True,89.56,"LINESTRING (126.6777665 45.7713106, 126.677819 45.770506)",世昌路,,
6327768660,8463470197,0,675690978,residential,False,False,211.569,"LINESTRING (126.6752102 45.7712017, 126.6724875 45.7710859)",郑和路,,
6327768660,6327768658,0,675690978,residential,False,True,198.639,"LINESTRING (126.6752102 45.7712017, 126.6777665 45.7713106)",郑和路,,
6327768660,6327768680,0,675690979,service,False,False,141.383,"LINESTRING (126.6752102 45.7712017, 126.6753241 45.7699327)",陈赓路,,
6327768660,8463470191,0,675690979,service,False,True,133.484,"LINESTRING (126.6752102 45.7712017, 126.6751026 45.7723998)",陈赓路,,
6327768661,6327768680,0,675690979,service,False,True,45.066,"LINESTRING (126.6753604 45.7695282, 126.6753241 45.7699327)",陈赓路,,
6327768661,6327768684,0,675690986,service,False,False,193.951,"LINESTRING (126.6753604 45.7695282, 126.6778566 45.7696309)",灵水路,,
6327768662,6327768616,0,675690970,residential,False,False,64.681,"LINESTRING (126.6786515 45.7705399, 126.677819 45.770506)",智水路,,
6327768662,6327768615,0,675690970,residential,False,True,193.443,"LINESTRING (126.6786515 45.7705399, 126.6811413 45.7706413)",智水路,,
6327768662,6327768683,0,675690980,service,False,False,97.273,"LINESTRING (126.6786515 45.7705399, 126.6787198 45.7696664)",,,
6327768680,6327768661,0,675690979,service,False,False,45.066,"LINESTRING (126.6753241 45.7699327, 126.6753604 45.7695282)",陈赓路,,
6327768680,6327768660,0,675690979,service,False,True,141.383,"LINESTRING (126.6753241 45.7699327, 126.6752102 45.7712017)",陈赓路,,
6327768680,6327768681,0,675690985,service,False,False,195.41,"LINESTRING (126.6753241 45.7699327, 126.6778393 45.7700338)",静水路,,
6327768681,6327768680,0,675690985,service,False,True,195.41,"LINESTRING (126.6778393 45.7700338, 126.6753241 45.7699327)",静水路,,
6327768681,6327768684,0,675690987,residential,False,False,44.821,"LINESTRING (126.6778393 45.7700338, 126.6778566 45.7696309)",世昌路,,
6327768681,6327768616,0,675690987,residential,False,True,52.53,"LINESTRING (126.6778393 45.7700338, 126.677819 45.770506)",世昌路,,
6327768683,6327768662,0,675690980,service,False,True,97.273,"LINESTRING (126.6787198 45.7696664, 126.6786515 45.7705399)",,,
6327768683,6327768684,0,675690986,service,False,True,67.069,"LINESTRING (126.6787198 45.7696664, 126.6778566 45.7696309)",灵水路,,
6327768684,6327768683,0,675690986,service,False,False,67.069,"LINESTRING (126.6778566 45.7696309, 126.6787198 45.7696664)",灵水路,,
6327768684,6327768661,0,675690986,service,False,True,193.951,"LINESTRING (126.6778566 45.7696309, 126.6753604 45.7695282)",灵水路,,
6327768684,6327768681,0,675690987,residential,False,True,44.821,"LINESTRING (126.6778566 45.7696309, 126.6778393 45.7700338)",世昌路,,
6327768702,2839601141,0,279766039,residential,False,False,136.898,"LINESTRING (126.6747116 45.7768587, 126.6748083 45.7756294)",陈赓路,,
6327768702,6327767448,0,279766039,residential,False,True,124.506,"LINESTRING (126.6747116 45.7768587, 126.674596 45.7779755)",陈赓路,,
6327768702,6327768703,0,675733272,service,False,True,154.983,"LINESTRING (126.6747116 45.7768587, 126.6767084 45.7769146)",,,
6327768703,6327768702,0,675733272,service,False,False,154.983,"LINESTRING (126.6767084 45.7769146, 126.6747116 45.7768587)",,,
6327768703,6327768705,0,675733272,service,False,True,188.385,"LINESTRING (126.6767084 45.7769146, 126.6768264 45.7756033, 126.6773714 45.775615)",,,
6327768703,8956491779,0,968103896,service,False,False,119.073,"LINESTRING (126.6767084 45.7769146, 126.6768506 45.7770064, 126.6768533 45.7771261, 126.6780201 45.777186)",,,
6327768705,6327905511,0,675690992,service,False,True,99.84,"LINESTRING (126.6773714 45.775615, 126.677469 45.7747197)",世昌路,,
6327768705,6327768703,0,675733272,service,False,False,188.385,"LINESTRING (126.6773714 45.775615, 126.6768264 45.7756033, 126.6767084 45.7769146)",,,
6327768705,8956491776,0,968103895,service,False,False,63.064,"LINESTRING (126.6773714 45.775615, 126.6779061 45.7756333, 126.6779252 45.77544)",,,
6327768753,6327767445,0,675690931,residential,False,False,209.993,"LINESTRING (126.6702816 45.7777667, 126.6729844 45.777881)",北海路,,
6327768753,6327768754,0,675690997,service,False,False,123.208,"LINESTRING (126.6702816 45.7777667, 126.6701585 45.7788714)",Xihai Road,,
6327768753,2839601231,0,675708922,residential,False,False,293.71299999999997,"LINESTRING (126.6702816 45.7777667, 126.670168 45.7777618, 126.6699749 45.7777132, 126.6698462 45.7776159, 126.669696 45.7773466, 126.66992 45.7753552)",Xihai Road,,
6327768754,6327768753,0,675690997,service,False,True,123.208,"LINESTRING (126.6701585 45.7788714, 126.6702816 45.7777667)",Xihai Road,,
6327768759,6327905528,0,911499281,residential,False,False,130.587,"LINESTRING (126.6783319 45.778435, 126.6779137 45.7795726)",居英路,,
6327768759,2839601395,0,911499282,residential,False,False,16.497,"LINESTRING (126.6783319 45.778435, 126.6785437 45.7784488)",兴海路,,
6327768759,6327767451,0,911499282,residential,False,True,147.35,"LINESTRING (126.6783319 45.778435, 126.6779958 45.778443, 126.6764576 45.7786393)",兴海路,,
6327768776,6328109213,0,675690999,residential,False,False,29.556,"LINESTRING (126.6830574 45.7715489, 126.6830784 45.7712835)",林毅路,,
6327768776,6328109207,0,675690999,residential,False,True,25.903,"LINESTRING (126.6830574 45.7715489, 126.683039 45.7717815)",林毅路,,
6327768806,6328109214,0,675690999,residential,False,False,14.555,"LINESTRING (126.6830122 45.7721207, 126.6830225 45.77199)",林毅路,,
6327768806,5636738652,0,675690999,residential,False,True,98.568,"LINESTRING (126.6830122 45.7721207, 126.6829424 45.7730058)",林毅路,,
6327768806,6327768807,0,675691009,service,False,False,154.715,"LINESTRING (126.6830122 45.7721207, 126.6810219 45.7720276)",善水路,,
6327768807,6327768657,0,675690968,service,False,False,64.197,"LINESTRING (126.6810219 45.7720276, 126.6810715 45.7714513)",,,
6327768807,6327768611,0,675690968,service,False,True,98.239,"LINESTRING (126.6810219 45.7720276, 126.680946 45.7729095)",,,
6327768807,6327768806,0,675691009,service,False,True,154.715,"LINESTRING (126.6810219 45.7720276, 126.6830122 45.7721207)",善水路,,
6327768808,6327768614,0,675690999,residential,False,False,66.105,"LINESTRING (126.6831044 45.7709537, 126.6831512 45.7703601)",林毅路,,
6327768808,6328109217,0,675690999,residential,False,True,18.787,"LINESTRING (126.6831044 45.7709537, 126.6830911 45.7711224)",林毅路,,
6327768808,6327768809,0,675691010,service,False,False,154.082,"LINESTRING (126.6831044 45.7709537, 126.6811224 45.7708598)",Zhishui Road,,
6327768809,6327768615,0,675690968,service,False,False,24.34,"LINESTRING (126.6811224 45.7708598, 126.6811413 45.7706413)",,,
6327768809,6327768657,0,675690968,service,False,True,65.89,"LINESTRING (126.6811224 45.7708598, 126.6810715 45.7714513)",,,
6327768809,6327768808,0,675691010,service,False,True,154.082,"LINESTRING (126.6811224 45.7708598, 126.6831044 45.7709537)",Zhishui Road,,
6327905511,6327768705,0,675690992,service,False,False,99.84,"LINESTRING (126.677469 45.7747197, 126.6773714 45.775615)",世昌路,,
6327905511,6328109204,0,675690992,service,False,True,79.807,"LINESTRING (126.677469 45.7747197, 126.6775422 45.7740038)",世昌路,,
6327905511,8956491777,0,675708921,service,False,False,40.82,"LINESTRING (126.677469 45.7747197, 126.6779941 45.7747448)",,,
6327905513,8956491777,0,675708921,service,False,True,277.149,"LINESTRING (126.6782898 45.7766776, 126.6788669 45.7748483, 126.6783558 45.774812, 126.6779941 45.7747448)",,,
6327905528,6327905529,0,675708924,residential,False,False,114.126,"LINESTRING (126.6779137 45.7795726, 126.6793253 45.7798628)",Tuohai Road,,
6327905528,6327905529,1,"[911499281, 675690999]",residential,False,False,259.39300000000003,"LINESTRING (126.6779137 45.7795726, 126.6777169 45.7800649, 126.6779208 45.7806111, 126.678409 45.7804914, 126.6793253 45.7798628)","['林毅路', '居英路']",,
6327905528,6327768759,0,911499281,residential,False,True,130.587,"LINESTRING (126.6779137 45.7795726, 126.6783319 45.778435)",居英路,,
6327905529,6327767453,0,675690999,residential,False,False,156.353,"LINESTRING (126.6793253 45.7798628, 126.6807627 45.7788768)",林毅路,,
6327905529,6327905528,0,675708924,residential,False,True,114.126,"LINESTRING (126.6793253 45.7798628, 126.6779137 45.7795726)",Tuohai Road,,
6327905529,6327905528,1,"[911499281, 675690999]",residential,False,True,259.39300000000003,"LINESTRING (126.6793253 45.7798628, 126.678409 45.7804914, 126.6779208 45.7806111, 126.6777169 45.7800649, 126.6779137 45.7795726)","['林毅路', '居英路']",,
6328109190,6328109195,0,675723386,residential,False,True,39.123,"LINESTRING (126.6765913 45.7726903, 126.676087 45.7726823)",文庙街,,
6328109190,6328109195,1,675733287,service,False,False,86.065,"LINESTRING (126.6765913 45.7726903, 126.6765325 45.7728732, 126.6764466 45.7729743, 126.6761838 45.7729443, 126.6760818 45.7728358, 126.676087 45.7726823)",,driveway,
6328109190,6328109195,2,675733287,service,False,True,79.26,"LINESTRING (126.6765913 45.7726903, 126.6765861 45.7725702, 126.6764949 45.7724429, 126.6762374 45.7724429, 126.676114 45.7725515, 126.676087 45.7726823)",,driveway,
6328109190,6327768617,0,675723386,residential,False,False,84.05,"LINESTRING (126.6765913 45.7726903, 126.6775756 45.7727061, 126.6776747 45.7727077)",文庙街,,
6328109195,6328109190,0,675723386,residential,False,False,39.123,"LINESTRING (126.676087 45.7726823, 126.6765913 45.7726903)",文庙街,,
6328109195,6328109190,1,675733287,service,False,False,79.26,"LINESTRING (126.676087 45.7726823, 126.676114 45.7725515, 126.6762374 45.7724429, 126.6764949 45.7724429, 126.6765861 45.7725702, 126.6765913 45.7726903)",,driveway,
6328109195,6328109190,2,675733287,service,False,True,86.065,"LINESTRING (126.676087 45.7726823, 126.6760818 45.7728358, 126.6761838 45.7729443, 126.6764466 45.7729743, 126.6765325 45.7728732, 126.6765913 45.7726903)",,driveway,
6328109195,2839601048,0,675723386,residential,False,True,78.224,"LINESTRING (126.676087 45.7726823, 126.6751722 45.7726676, 126.6750787 45.7726661)",文庙街,,
6328109201,6328109204,0,675690992,service,False,False,55.014,"LINESTRING (126.6775926 45.7735103, 126.6775422 45.7740038)",世昌路,,
6328109201,6328109204,1,675733289,service,False,False,213.33299999999997,"LINESTRING (126.6775926 45.7735103, 126.6785924 45.7735467, 126.6785763 45.7740444, 126.6775422 45.7740038)",,driveway,
6328109201,6327768617,0,675690992,service,False,True,89.472,"LINESTRING (126.6775926 45.7735103, 126.6776747 45.7727077)",世昌路,,
6328109204,6327905511,0,675690992,service,False,False,79.807,"LINESTRING (126.6775422 45.7740038, 126.677469 45.7747197)",世昌路,,
6328109204,6328109201,0,675690992,service,False,True,55.014,"LINESTRING (126.6775422 45.7740038, 126.6775926 45.7735103)",世昌路,,
6328109204,6328109201,1,675733289,service,False,True,213.333,"LINESTRING (126.6775422 45.7740038, 126.6785763 45.7740444, 126.6785924 45.7735467, 126.6775926 45.7735103)",,driveway,
6328109207,6327768776,0,675690999,residential,False,False,25.903,"LINESTRING (126.683039 45.7717815, 126.6830574 45.7715489)",林毅路,,
6328109207,6328109214,0,675690999,residential,False,True,23.219,"LINESTRING (126.683039 45.7717815, 126.6830225 45.77199)",林毅路,,
6328109207,6328109208,0,675733290,service,False,False,43.232,"LINESTRING (126.683039 45.7717815, 126.6824816 45.7717807)",,driveway,
