u,v,key,osmid,highway,oneway,reversed,length,geometry,name,service,tunnel
8956491786,8956491787,0,968103898,service,False,True,80.351,"LINESTRING (126.6741865 45.7781665, 126.6731517 45.7781303)",,,
8956491786,8956491787,1,675733299,service,False,False,160.72899999999998,"LINESTRING (126.6741865 45.7781665, 126.6741641 45.7785266, 126.6731358 45.7784974, 126.6731517 45.7781303)",,driveway,
8956491787,8956491788,0,675733299,service,False,False,26.689,"LINESTRING (126.6731517 45.7781303, 126.6731694 45.7778906)",,driveway,
8956491787,8956491786,0,968103898,service,False,False,80.351,"LINESTRING (126.6731517 45.7781303, 126.6741865 45.7781665)",,,
8956491787,8956491786,1,675733299,service,False,True,160.729,"LINESTRING (126.6731517 45.7781303, 126.6731358 45.7784974, 126.6741641 45.7785266, 126.6741865 45.7781665)",,driveway,
8956491788,6327767420,0,675708923,residential,False,True,6.471,"LINESTRING (126.6731694 45.7778906, 126.6730863 45.7778853)",北海路,,
8956491788,8956491787,0,675733299,service,False,True,26.689,"LINESTRING (126.6731694 45.7778906, 126.6731517 45.7781303)",,driveway,
8956491788,6328109243,0,675708923,residential,False,False,79.947,"LINESTRING (126.6731694 45.7778906, 126.6736523 45.7779303, 126.6741946 45.7779655)",北海路,,
9880612182,6328109242,0,279766039,residential,False,False,23.602,"LINESTRING (126.6745493 45.7789852, 126.6745609 45.7787731)",陈赓路,,
9880612182,6327767451,0,1077640058,footway,False,True,152.907,"LINESTRING (126.6745493 45.7789852, 126.6764576 45.7786393)",,,
