element_type,osmid,nodes,layer,natural,water,geometry,name,ways,type
way,291753948,"[2952464821, 2952465100, 2952465117, 2952465071, 2952465092, 2952464727, 2952464749, 2952464864, 2952465033, 2952464926, 2952464927, 2952464876, 2952465087, 2952464783, 2952465139, 2952464690, 2952464703, 2952464829, 2952465070, 2952465131, 2952464715, 2952465096, 2952465090, 2952464743, 2952465107, 2952464992, 2952465105, 2952464791, 2952465126, 2952464974, 2952465038, 2952464950, 2952464675, 2952464928, 2952464794, 2952464963, 2952464684, 2952464991, 2952464722, 2952464735, 2952464750, 2952465065, 2952464990, 2952464756, 2952464832, 2952464835, 2952464777, 2952464782, 2952465053, 2952464805, 2952464956, 2952465077, 2952464686, 5736055208, 2952464768, 3031031554, 2952464984, 2952465011, 2952465078, 2952465083, 2952464773, 2952464889, 2952464717, 2952464902, 2952464795, 3015489182, 2952465066, 3015489171, 2952464948, 3015489165, 2952464945, 2952465020, 2952465056, 2952465115, 2952464894, 2952465137, 2952464826, 2952464918, 2952464871, 2952464867, 2952464915, 2952464833, 2952464738, 2952464941, 2952464989, 2952464972, 2952465099, 2952465104, 2952464888, 2952465016, 2952464680, 2952465005, 2952465045, 2952464859, 2952464841, 2952464968, 2952465084, 2952464744, 2952464755, 2952464985, 2952465067, 2952464886, 2952464769, 2952464747, 2952464909, 2952464713, 2952464957, 2952464845, 2952464935, 2952464846, 2952465037, 2952465116, 2952464821]",-1,water,river,"POLYGON ((103.9953991 30.5429823, 103.9958578 30.5431171, 103.9958097 30.5432998, 103.9957166 30.543649, 103.9956238 30.5442643, 103.9955809 30.5445141, 103.9955385 30.5449583, 103.9954894 30.5455812, 103.9954286 30.5458338, 103.9953642 30.5462057, 103.9953266 30.5465476, 103.9952891 30.5467948, 103.9952757 30.5468941, 103.9952435 30.5470812, 103.9952399 30.5473751, 103.9951843 30.5476782, 103.9950211 30.5479388, 103.9949916 30.5481074, 103.9950638 30.5483817, 103.9950826 30.5485642, 103.9951791 30.5488922, 103.9952652 30.5491538, 103.9953293 30.5494558, 103.9953615 30.5496429, 103.9953454 30.5498808, 103.9952864 30.5502827, 103.9952513 30.5504016, 103.9950936 30.5509624, 103.9950048 30.5512667, 103.9949002 30.551567, 103.9948334 30.5517293, 103.9947071 30.5518442, 103.9945971 30.5520544, 103.9945515 30.5524286, 103.9945944 30.5527358, 103.9947844 30.552966, 103.9949621 30.5530898, 103.9952357 30.5531868, 103.9955278 30.5532416, 103.9958178 30.5532191, 103.9962279 30.5531492, 103.9966677 30.5530684, 103.9970489 30.553069, 103.9972635 30.553136, 103.9975371 30.5532838, 103.9977141 30.5534755, 103.9979257 30.5538976, 103.9980518 30.5542579, 103.9981 30.5545882, 103.998084 30.5548885, 103.9980038 30.5550138, 103.997923 30.5554198, 103.997746 30.5557154, 103.9974702 30.5560166, 103.9972527 30.5562541, 103.9970104 30.5560936, 103.9967297 30.5559077, 103.9967485 30.5558823, 103.996708 30.5558517, 103.9970164 30.5555953, 103.9973919 30.5554151, 103.9974673 30.5552979, 103.9975904 30.5548885, 103.9976256 30.5545288, 103.9976232 30.5541506, 103.9975494 30.5538564, 103.9974928 30.5537086, 103.9973915 30.5535696, 103.9972902 30.5534454, 103.9971476 30.5533537, 103.9970172 30.5533019, 103.9968043 30.5532679, 103.9966087 30.5532809, 103.996212 30.5533739, 103.9958338 30.553457, 103.9954259 30.5534842, 103.9949994 30.5534518, 103.9945571 30.5532515, 103.9944498 30.553136, 103.9943745 30.5529621, 103.9943154 30.552514, 103.9943345 30.5521081, 103.994423 30.5517824, 103.9945622 30.551671, 103.9946829 30.5514053, 103.9948009 30.5510034, 103.9948763 30.5506275, 103.9949648 30.5502348, 103.9950236 30.5498531, 103.995037 30.5496059, 103.9949753 30.5492433, 103.994868 30.5489569, 103.9947822 30.5487513, 103.9947258 30.5484417, 103.9947151 30.5480745, 103.9947312 30.5478758, 103.9947316 30.5476143, 103.9947601 30.5473144, 103.9948342 30.5471312, 103.9949377 30.5468063, 103.9949538 30.5466793, 103.9949541 30.5464904, 103.9949863 30.5462502, 103.9950504 30.5459909, 103.995004 30.5457073, 103.9950365 30.5452386, 103.9951125 30.5449321, 103.9951203 30.5444745, 103.9952274 30.5442053, 103.9952652 30.5439656, 103.9953215 30.5435036, 103.995383 30.5431657, 103.9953991 30.5429823))",,,
way,291753949,"[2506945184, 3031031556, 2506945259, 2952465012, 2952465149, 2952465003, 2952464939, 2952465021, 2952464971, 2952464981, 6380427537, 2952464983, 2952464976, 2952464789, 2952464878, 2952464897, 2952464714, 2952464737, 2952464899, 2952464893, 2952464804, 2952464933, 2952465007, 2952464852, 6380427536, 2952464955, 2952464745, 2952465048, 2952465044, 2952465039, 2952465034, 2952464887, 2952464850, 2952464776, 2952465141, 6380427334, 2952465132, 2952465022, 2952464708, 2952465127, 2952464966, 2952464753, 2952464748, 2952464857, 2952464943, 2952464739, 2952464787, 2952464837, 6380427348, 2952464816, 2952464692, 2952465026, 2952465043, 2952464813, 2952464969, 2952464914, 2952465148, 2952465013, 2952464856, 2952464742, 2952464809, 2952465058, 2952464880, 2952464725, 2952465047, 2952465125, 2952464720, 2952464771, 2952465146, 2952465030, 2952464997, 2952465052, 2952465004, 2952465108, 2952464764, 2952464910, 2952464709, 2952465082, 2952465111, 2952464741, 2952464913, 2952464793, 2952464904, 2952465010, 2952465063, 2952464854, 2952464868, 2952465006, 2952465001, 2952465094, 2952464853, 2952464767, 2952465051, 2952464906, 2952465134, 2952464726, 2952464822, 2952464908, 2952464903, 2952464687, 5428657048, 2952464975, 2952465147, 2952465136, 2952464728, 2952465057, 2952464882, 2952465086, 2952465036, 2952464762, 2952464806, 2952464916, 2952464732, 2952464760, 2952465089, 2952464849, 2952464996, 2952464823, 2952464962, 2952464940, 2952464693, 2952465124, 2952465123, 2952464959, 2952464802, 2952464954, 2952464676, 2952464861, 2952464964, 2952464701, 2952465079, 2952465102, 2952464818, 2952464961, 2952464694, 2952464702, 2952465130, 2952464734, 2952464980, 2952465064, 2952465028, 2952464803, 2952464907, 2360454233, 3015489574, 2360454228, 2952465019, 2952464729, 2952465103, 2952464949, 2952464925, 2952464920, 2952464936, 2952464700, 2952465027, 2952465101, 2952464812, 2952464719, 2952464858, 2952464784, 2952464995, 2952465091, 2952465098, 2952464879, 2952465040, 2952464779, 2952464830, 2952464695, 2952464932, 2952465081, 2952464751, 2952464819, 2952464986, 2952464993, 2952465002, 2952465015, 2952464979, 2952464843, 2952464951, 2952465112, 2952464808, 2952465120, 2952464965, 2952464798, 2952465072, 2952464824, 2952464988, 5403929337, 2952464731, 5403929336, 2952465150, 2952464772, 2952464730, 2952465062, 2952465018, 2952465024, 2952464685, 2952464855, 2952464895, 2952464811, 2952464810, 2952465041, 2952464874, 7574479562, 2952465133, 2952464820, 2952464766, 471115947, 5430897266, 2952464953, 2952464733, 2952464931, 2952464929, 2952465000, 2952464815, 2952464891, 2952464836, 2952464942, 2952464967, 2952464707, 2952464696, 2952465109, 2952464866, 2952465031, 2952464716, 2952465059, 2952464711, 2952465009, 2952464999, 2952464699, 2952465093, 2952465049, 2952465095, 2952465097, 2952465060, 2952464807, 2952465076, 2952465068, 2952465069, 2952465023, 2952464840, 2952464842, 2952464706, 2952464704, 2952464770, 2952465088, 2952464778, 2952464998, 2952464946, 2952464905, 2952465085, 2952464740, 2952464892, 2952464763, 2952465042, 2952464724, 2952464736, 2952465110, 2952464870, 2952464863, 2952464947, 2952464718, 2952464877, 2952464679, 2952464683, 2952464814, 2506945184]",,water,river,"POLYGON ((103.9965953 30.5560411, 103.996879 30.5562207, 103.9971106 30.5563673, 103.9970862 30.5564661, 103.9965631 30.5566832, 103.9958821 30.5569193, 103.9952489 30.5571405, 103.9948519 30.5572999, 103.9946829 30.5573992, 103.9945729 30.5575216, 103.9943974 30.5577831, 103.9943881 30.557797, 103.994305 30.557931, 103.9942511 30.5581937, 103.9942699 30.5585032, 103.9942645 30.5587296, 103.9941894 30.5591476, 103.9941065 30.5594184, 103.9939027 30.5597372, 103.9937471 30.5599427, 103.9935537 30.56012, 103.9935081 30.5601616, 103.9932882 30.560314, 103.9931141 30.5604139, 103.9930078 30.560459, 103.9928268 30.5605357, 103.9925613 30.5606096, 103.9922224 30.5606764, 103.991882 30.5607154, 103.9914511 30.5607419, 103.9909066 30.560795, 103.990676 30.5608227, 103.9905338 30.5608481, 103.9903648 30.5609128, 103.9901905 30.5610652, 103.9900966 30.5612304, 103.9900563 30.5613909, 103.9900373 30.5616304, 103.9900776 30.5618915, 103.9902412 30.5621617, 103.9904343 30.562321, 103.9906542 30.5624827, 103.9909841 30.562589, 103.9914243 30.5626126, 103.9918505 30.5626051, 103.9922877 30.5626167, 103.9927708 30.5626704, 103.9932241 30.5627974, 103.9934056 30.5628795, 103.9936315 30.5629816, 103.9940609 30.563294, 103.9945247 30.5636768, 103.9948012 30.5639268, 103.9950075 30.5641756, 103.995163 30.5644505, 103.9952113 30.5647161, 103.9952489 30.5650602, 103.9952569 30.5653904, 103.995225 30.5655735, 103.9951828 30.5658641, 103.9949112 30.566391, 103.9947708 30.5665548, 103.9946988 30.5666339, 103.9946724 30.5666628, 103.9946508 30.5666879, 103.9942213 30.5668824, 103.9937542 30.5668975, 103.9936487 30.5669121, 103.9934364 30.5669532, 103.9930497 30.5670769, 103.9928566 30.5671462, 103.9926045 30.5672478, 103.9924301 30.5673564, 103.9922263 30.5675458, 103.9920519 30.5677375, 103.9918347 30.567876, 103.991427 30.5680839, 103.9911024 30.5682155, 103.9908288 30.568294, 103.9906143 30.5683171, 103.9903407 30.5683702, 103.9899223 30.568361, 103.9896674 30.5683425, 103.9893617 30.5681993, 103.9892463 30.5681624, 103.9889057 30.567973, 103.9887528 30.5679153, 103.9884095 30.567779, 103.9882243 30.5677908, 103.9880313 30.5677767, 103.987637 30.5677744, 103.9873849 30.5677536, 103.9871515 30.5677582, 103.987004 30.5677836, 103.9868216 30.5678067, 103.9865185 30.5678275, 103.9862074 30.5678298, 103.9859928 30.5678229, 103.9854966 30.5677975, 103.9851184 30.5677813, 103.984895 30.5677651, 103.9848314 30.5677605, 103.9844664 30.5677808, 103.9841231 30.5678131, 103.9837073 30.56785, 103.9833023 30.5679678, 103.982959 30.5680764, 103.9825459 30.5682219, 103.9822348 30.5684413, 103.982039 30.5686329, 103.9819344 30.5687623, 103.9819049 30.5689701, 103.9818727 30.5694066, 103.9818378 30.56982, 103.9818056 30.5701549, 103.9817895 30.5703789, 103.9814626 30.5710376, 103.9811968 30.5714573, 103.9810197 30.5716675, 103.9806818 30.572201, 103.9805396 30.5723834, 103.9803492 30.5725474, 103.9802124 30.5726259, 103.9800676 30.5726859, 103.9799683 30.5727229, 103.9797162 30.5727275, 103.9795445 30.5727021, 103.9793112 30.572619, 103.9789681 30.5724048, 103.9787291 30.5722056, 103.9782437 30.5718753, 103.9779352 30.5716721, 103.9774795 30.5714579, 103.9771922 30.5714112, 103.9770501 30.5714343, 103.9768867 30.5715133, 103.9768006 30.5716305, 103.9767365 30.5717997, 103.9766263 30.5721247, 103.9764683 30.5725687, 103.9763125 30.5730277, 103.9762052 30.5733649, 103.9760284 30.573765, 103.9759452 30.5738684, 103.9757538 30.5738274, 103.975538 30.5737811, 103.9756636 30.5734971, 103.9758299 30.5732546, 103.9759772 30.5728314, 103.9761086 30.5725404, 103.9762457 30.5722385, 103.9763178 30.5718453, 103.9764281 30.5715249, 103.9765807 30.5713257, 103.976825 30.5711739, 103.9770664 30.5710838, 103.9772703 30.5710676, 103.9774578 30.5711063, 103.9778467 30.571298, 103.9782198 30.5715041, 103.9784692 30.5716404, 103.9788686 30.5719285, 103.9792039 30.5721709, 103.9794187 30.5723031, 103.9797323 30.5723926, 103.97999 30.572377, 103.980207 30.5722795, 103.9804514 30.5719591, 103.9804916 30.5718436, 103.980891 30.5712749, 103.9811622 30.5707905, 103.9813526 30.5703148, 103.9814462 30.5700809, 103.9814677 30.5698061, 103.9814891 30.5693004, 103.9815052 30.5688777, 103.9815562 30.5686884, 103.9817335 30.5684326, 103.9819293 30.5682478, 103.9821704 30.5680556, 103.9823772 30.5679545, 103.9825703 30.5678691, 103.9828707 30.5677836, 103.9833643 30.5676474, 103.9837288 30.5675706, 103.9840536 30.5674996, 103.9844798 30.567469, 103.9848893 30.5674538, 103.9849012 30.5674534, 103.9852078 30.5674708, 103.9853783 30.5674805, 103.9861025 30.5675013, 103.9865397 30.5674782, 103.9871674 30.5674528, 103.9876475 30.5674505, 103.9879854 30.5674713, 103.9883425 30.567534, 103.9888172 30.5676959, 103.9890961 30.567816, 103.9894153 30.5679361, 103.9897426 30.5680331, 103.9899947 30.56807, 103.9903582 30.5680337, 103.9905148 30.5680057, 103.9909308 30.5679314, 103.9913894 30.5677721, 103.9917515 30.5675666, 103.9919976 30.5673874, 103.9921921 30.5671843, 103.9926102 30.5669742, 103.9928727 30.5668645, 103.9930873 30.5667929, 103.9934306 30.5666843, 103.9936505 30.5666474, 103.9940797 30.5665666, 103.994356 30.566495, 103.9945276 30.566391, 103.9946252 30.5662265, 103.9948334 30.5658321, 103.9948804 30.5656073, 103.994908 30.5653589, 103.9949242 30.5651643, 103.9948265 30.564754, 103.9945973 30.5644002, 103.994412 30.5642103, 103.9941357 30.5639608, 103.9936824 30.5635844, 103.9932667 30.5633095, 103.9928483 30.5631409, 103.9922904 30.5630555, 103.9916976 30.5630208, 103.9914562 30.5630278, 103.9910834 30.5630347, 103.9907481 30.5629954, 103.990378 30.5628592, 103.990209 30.5627783, 103.9899542 30.5625959, 103.9897932 30.5623926, 103.989654 30.5621276, 103.9895736 30.5619683, 103.9895602 30.5618158, 103.9895441 30.5614925, 103.9896326 30.5610606, 103.9897184 30.5608666, 103.9899196 30.5606703, 103.9902197 30.5604803, 103.9905043 30.5603885, 103.9910139 30.5603538, 103.9918266 30.5602684, 103.9924328 30.5601829, 103.9928 30.560053, 103.9932321 30.5598088, 103.9934813 30.5595218, 103.9936342 30.5592677, 103.9937256 30.5589403, 103.9937736 30.5585402, 103.9937683 30.5581452, 103.9937812 30.5578666, 103.9938442 30.5577051, 103.9940901 30.5572722, 103.9943211 30.5570348, 103.9947422 30.5568293, 103.9951955 30.5566722, 103.995914 30.5564314, 103.9962279 30.5563182, 103.9963381 30.5562033, 103.9965953 30.5560411))",,,
way,604463305,"[5735552840, 5735552841, 5735552842, 5735552843, 5735552840]",,water,pond,"POLYGON ((103.9988213 30.5566479, 103.9989404 30.556669, 103.999119 30.556069, 103.9989894 30.5560479, 103.9988213 30.5566479))",,,
way,604463309,"[5735552844, 5735552845, 5735552846, 5735552847, 5735552844]",,water,pond,"POLYGON ((103.9993641 30.5567625, 103.9994867 30.5567957, 103.9996792 30.5561896, 103.9995532 30.5561624, 103.9993641 30.5567625))",,,
way,604526845,"[8825322668, 5735928105, 5735928106, 8825322667, 8825322668]",,water,pond,"POLYGON ((104.0016989 30.5611118, 104.0043093 30.5628439, 104.0044032 30.5627469, 104.0018526 30.5610585, 104.0016989 30.5611118))",景观水道,,
way,604547688,"[7805980472, 7805980466, 7805980467, 7805980468, 5736055201, 5736055202, 5736055203, 5736055204, 5736055205, 5736055206, 5736055207, 5736055208, 5736055209, 5736055210, 5736055211, 5736055212, 5736055213, 5736055214, 5736055215, 5736055216, 5736055217, 7805980471, 7805980470, 7805980469, 7805980472]",,water,,"POLYGON ((103.9987682 30.5571919, 103.99876 30.5571572, 103.9987479 30.557122, 103.998713 30.5570873, 103.9986112 30.5570138, 103.9984583 30.5569045, 103.9983592 30.5568283, 103.9980546 30.5565365, 103.9979419 30.5563818, 103.9978373 30.5562801, 103.9975643 30.5561176, 103.9974702 30.5560166, 103.9973503 30.5561583, 103.9975305 30.5563033, 103.9975493 30.5563726, 103.9975439 30.5564304, 103.9975922 30.5564604, 103.9975815 30.5564997, 103.9977826 30.5566171, 103.9980414 30.5567896, 103.998502 30.5570937, 103.9986453 30.5571815, 103.998707 30.5571976, 103.9987392 30.5571959, 103.9987682 30.5571919))",,,
way,836330308,"[5736055218, 7805980463, 7805980464, 7805980465, 5736055219, 5736055220, 5736055197, 5736055198, 5736055199, 7805980461, 7805980462, 5736055218]",,water,,"POLYGON ((103.9991351 30.5574151, 103.9991402 30.5574563, 103.999159 30.557491, 103.9992354 30.5575447, 103.9995044 30.5577532, 104.0005827 30.5584351, 104.0028432 30.5598983, 104.0029105 30.5598312, 103.9994274 30.5575452, 103.9992146 30.5574211, 103.999165 30.557409, 103.9991351 30.5574151))",,,
way,953475819,"[8825322669, 5735928107, 5735928108, 8825322666, 8825322669]",,water,pond,"POLYGON ((104.0012501 30.5606596, 103.9996088 30.5595731, 103.9995318 30.5596739, 104.001167 30.5607589, 104.0012501 30.5606596))",景观水道,,
