u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge
4770960541,4770960542,0,484351217,service,False,False,54.952,,"LINESTRING (103.9909612 30.5545565, 103.9911001 30.554077)",
4770960541,4770960526,0,859542692,residential,False,False,63.486,,"LINESTRING (103.9909612 30.5545565, 103.9903187 30.5544156)",
4770960541,4770960530,0,859542692,residential,False,True,16.971,,"LINESTRING (103.9909612 30.5545565, 103.9911308 30.5546008)",
4770960542,4770960541,0,484351217,service,False,True,54.952,,"LINESTRING (103.9911001 30.554077, 103.9909612 30.5545565)",
4770960543,4770960540,0,484351218,residential,False,False,81.311,,"LINESTRING (103.992738 30.5556719, 103.992927 30.554959)",
4770960543,4770960516,0,859542692,residential,False,True,11.014,,"LINESTRING (103.992738 30.5556719, 103.9928487 30.5556988)",
4770960543,4770960535,0,859542692,residential,False,False,78.83099999999999,,"LINESTRING (103.992738 30.5556719, 103.9923584 30.5555796, 103.9920011 30.5553754)",
4770960544,4770960540,0,484351218,residential,False,True,53.001,,"LINESTRING (103.9930733 30.5544993, 103.992927 30.554959)",
4770960545,4770960546,0,484351219,service,False,False,73.386,,"LINESTRING (103.9900768 30.5543601, 103.9902716 30.5537218)",
4770960545,4770960526,0,859542692,residential,False,True,23.971,,"LINESTRING (103.9900768 30.5543601, 103.9903187 30.5544156)",
4770960545,4770960524,0,859542692,residential,False,False,148.388,,"LINESTRING (103.9900768 30.5543601, 103.9896221 30.5542629, 103.9895315 30.5542505, 103.9894167 30.5542681, 103.9892997 30.5543265, 103.9892589 30.5544017, 103.9891306 30.5549427)",
4770960546,4770960545,0,484351219,service,False,True,73.386,,"LINESTRING (103.9902716 30.5537218, 103.9900768 30.5543601)",
4770960549,5735558326,0,859542694,pedestrian,False,False,42.114,,"LINESTRING (103.9925455 30.5568457, 103.9924298 30.5572111)",
4770960549,5704032070,0,484351220,pedestrian,False,True,141.91,,"LINESTRING (103.9925455 30.5568457, 103.9923072 30.5567758, 103.9912917 30.5561777)",
4770960549,4770960558,0,859542693,pedestrian,False,False,76.882,,"LINESTRING (103.9925455 30.5568457, 103.9927648 30.5569136, 103.9927894 30.556932, 103.9929116 30.5570233, 103.9929691 30.557107, 103.9930037 30.5571574, 103.9929878 30.5573244)",
4770960553,5703950651,0,604500132,residential,False,True,111.231,,"LINESTRING (103.9905904 30.5571523, 103.9903145 30.558124)",
4770960553,4770960507,0,599567591,residential,False,False,86.844,,"LINESTRING (103.9905904 30.5571523, 103.9902265 30.5569235, 103.9900571 30.5568338, 103.9898104 30.5567702)",
4770960553,4770960509,0,599567591,residential,False,True,97.673,,"LINESTRING (103.9905904 30.5571523, 103.9907204 30.557259, 103.9909291 30.5573768, 103.9911289 30.5574783, 103.991335 30.5575444, 103.9914657 30.5575852)",
4770960553,5704032072,0,604500132,residential,False,False,73.943,,"LINESTRING (103.9905904 30.5571523, 103.99062 30.5570494, 103.9906753 30.5569549, 103.9909618 30.5565748)",
4770960558,5735558326,0,484351225,pedestrian,False,False,54.895,,"LINESTRING (103.9929878 30.5573244, 103.9924298 30.5572111)",
4770960558,2506945293,0,484351225,pedestrian,False,True,47.197,,"LINESTRING (103.9929878 30.5573244, 103.9934668 30.5574245)",
