u,v,key,osmid,oneway,name,highway,reversed,length,maxspeed,access,geometry,service,junction
1683871122,1683871120,0,156085187,False,,footway,True,5.772,,,"LINESTRING (118.7755594 32.0565665, 118.7754987 32.0565596)",,
1683871126,1683871142,0,156085176,False,,footway,True,21.929,,,"LINESTRING (118.775236 32.0567327, 118.7754666 32.0567591)",,
1683871126,1030350260,0,156220841,False,中央大道,service,False,58.307,10,permissive,"LINESTRING (118.775236 32.0567327, 118.7751502 32.057252)",,
1683871126,1683871113,0,156220841,False,中央大道,service,True,22.378,10,permissive,"LINESTRING (118.775236 32.0567327, 118.775269 32.0565334)",,
1683871126,1684918722,0,156220851,False,,footway,True,60.707,,,"LINESTRING (118.775236 32.0567327, 118.7750042 32.0567185, 118.7746774 32.0568004, 118.7746069 32.0567934)",,
1683871142,1683871126,0,156085176,False,,footway,False,21.929,,,"LINESTRING (118.7754666 32.0567591, 118.775236 32.0567327)",,
1683871142,1683871120,0,156085188,False,,footway,True,22.389,,,"LINESTRING (118.7754666 32.0567591, 118.7754987 32.0565596)",,
1683871142,1984452097,0,156085188,False,,footway,False,51.525999999999996,,,"LINESTRING (118.7754666 32.0567591, 118.7754428 32.0569072, 118.7758098 32.0569496)",,
1683871148,1984452095,0,88779378,False,金大路,footway,False,7.778,,,"LINESTRING (118.7760787 32.0569807, 118.7760899 32.0569114)",,
1683871148,1683871195,0,88779378,False,金大路,footway,True,42.397,,,"LINESTRING (118.7760787 32.0569807, 118.776018 32.0573585)",,
1683871148,1984452097,0,156085188,False,,footway,True,25.576,,,"LINESTRING (118.7760787 32.0569807, 118.7758098 32.0569496)",,
1683871158,1683871173,0,156066572,False,三江路,service,False,42.887,10,permissive,"LINESTRING (118.7743933 32.0571592, 118.7748437 32.0572144)",,
1683871158,1683871179,0,156085175,False,,footway,True,8.928,,,"LINESTRING (118.7743933 32.0571592, 118.77438 32.0572387)",,
1683871158,1683685554,0,"[156066593, 156066572]",False,"['西南路', '三江路']",service,True,64.726,10,permissive,"LINESTRING (118.7743933 32.0571592, 118.7739769 32.0571081, 118.7739415 32.0573316)",,
1683871173,1030350260,0,156066572,False,三江路,service,False,29.186,10,permissive,"LINESTRING (118.7748437 32.0572144, 118.7751502 32.057252)",,
1683871173,1683871158,0,156066572,False,三江路,service,True,42.887,10,permissive,"LINESTRING (118.7748437 32.0572144, 118.7743933 32.0571592)",,
1683871173,1683871190,0,156085170,False,,footway,True,8.807,,,"LINESTRING (118.7748437 32.0572144, 118.7748304 32.0572928)",,
1683871179,1683871158,0,156085175,False,,footway,False,8.928,,,"LINESTRING (118.77438 32.0572387, 118.7743933 32.0571592)",,
1683871179,1683871207,0,156085175,False,,footway,True,34.456,,,"LINESTRING (118.77438 32.0572387, 118.7743287 32.0575455)",,
1683871179,1683871207,1,156085185,False,,footway,False,66.821,,,"LINESTRING (118.77438 32.0572387, 118.7742107 32.0572178, 118.7741582 32.0575245, 118.7743287 32.0575455)",,
1683871190,1683871173,0,156085170,False,,footway,False,8.807,,,"LINESTRING (118.7748304 32.0572928, 118.7748437 32.0572144)",,
1683871190,1683871210,0,156085170,False,,footway,True,40.885,,,"LINESTRING (118.7748304 32.0572928, 118.7747691 32.0576568)",,
1683871190,1683871207,0,156563750,False,,footway,True,55.0,,,"LINESTRING (118.7748304 32.0572928, 118.7743287 32.0575455)",,
1683871195,1683871148,0,88779378,False,金大路,footway,False,42.397,,,"LINESTRING (118.776018 32.0573585, 118.7760787 32.0569807)",,
1683871195,2024911728,0,88779378,False,金大路,footway,True,25.824,,,"LINESTRING (118.776018 32.0573585, 118.7759809 32.0575886)",,
1683871195,1030350301,0,156066572,False,三江路,service,False,36.156,10,permissive,"LINESTRING (118.776018 32.0573585, 118.7763977 32.0574051)",,
1683871195,1030350260,0,156066572,False,三江路,service,True,82.634,10,permissive,"LINESTRING (118.776018 32.0573585, 118.7751502 32.057252)",,
1683871207,1683871179,0,156085175,False,,footway,False,34.456,,,"LINESTRING (118.7743287 32.0575455, 118.77438 32.0572387)",,
1683871207,1683871179,1,156085185,False,,footway,True,66.821,,,"LINESTRING (118.7743287 32.0575455, 118.7741582 32.0575245, 118.7742107 32.0572178, 118.77438 32.0572387)",,
1683871207,1683871209,0,156085175,False,,footway,True,6.434,,,"LINESTRING (118.7743287 32.0575455, 118.7743192 32.0576028)",,
1683871207,1683871190,0,156563750,False,,footway,False,55.0,,,"LINESTRING (118.7743287 32.0575455, 118.7748304 32.0572928)",,
1683871209,1030350293,0,156066573,False,两江路,service,False,39.033,10,permissive,"LINESTRING (118.7743192 32.0576028, 118.7739091 32.0575536)",,
1683871209,1683871210,0,156066573,False,两江路,service,True,42.821,10,permissive,"LINESTRING (118.7743192 32.0576028, 118.7747691 32.0576568)",,
1683871209,1683871207,0,156085175,False,,footway,False,6.434,,,"LINESTRING (118.7743192 32.0576028, 118.7743287 32.0575455)",,
1683871209,1984452118,0,156085175,False,,footway,True,62.352000000000004,,,"LINESTRING (118.7743192 32.0576028, 118.7742761 32.0578607, 118.7746269 32.0579028)",,
1683871210,1683871209,0,156066573,False,两江路,service,False,42.821,10,permissive,"LINESTRING (118.7747691 32.0576568, 118.7743192 32.0576028)",,
1683871210,1030350299,0,156066573,False,两江路,service,True,29.506,10,permissive,"LINESTRING (118.7747691 32.0576568, 118.7750791 32.057694)",,
1683871210,1683871190,0,156085170,False,,footway,False,40.885,,,"LINESTRING (118.7747691 32.0576568, 118.7748304 32.0572928)",,
1683882090,1155818387,0,99978656,False,,footway,False,70.751,,,"LINESTRING (118.7778492 32.0529476, 118.777106 32.0528578)",,
1683882090,1699099705,0,187814574,False,,footway,True,17.109,,,"LINESTRING (118.7778492 32.0529476, 118.7778724 32.052795)",,
1683882090,1985873498,0,156085162,False,,service,False,41.617999999999995,10,permissive,"LINESTRING (118.7778492 32.0529476, 118.7777982 32.0532395, 118.7777057 32.0532283)",,
1683882125,1683882129,0,156339450,False,,service,True,26.403,10,permissive,"LINESTRING (118.7768603 32.0544701, 118.7768245 32.0547056)",,
1683882125,1682466442,0,156339450,False,,service,False,45.083,10,permissive,"LINESTRING (118.7768603 32.0544701, 118.7768759 32.0543679, 118.776888 32.0542883, 118.7769216 32.054068)",,
1683882125,1984584675,0,187815913,False,,footway,False,102.262,,,"LINESTRING (118.7768603 32.0544701, 118.7776219 32.0545622, 118.7775679 32.0548259)",,
1683882129,1984584675,0,156085174,False,,service,False,71.325,10,permissive,"LINESTRING (118.7768245 32.0547056, 118.7775679 32.0548259)",,
1683882129,1683870916,0,156085174,False,,service,True,70.08,10,permissive,"LINESTRING (118.7768245 32.0547056, 118.7760932 32.0545914)",,
1683882129,1683882125,0,156339450,False,,service,False,26.403,10,permissive,"LINESTRING (118.7768245 32.0547056, 118.7768603 32.0544701)",,
1683882129,1683871043,0,156339450,False,,service,True,38.703,10,permissive,"LINESTRING (118.7768245 32.0547056, 118.7767719 32.0550508)",,
1684824265,1684824352,0,156205178,False,,service,True,6.751,,,"LINESTRING (118.7710983 32.0570264, 118.7710969 32.0570871)",driveway,
1684824266,1684824356,0,156205186,False,,service,True,6.929,,,"LINESTRING (118.771214 32.0570267, 118.7712126 32.057089)",driveway,
1684824285,1684824362,0,156205184,False,,service,False,7.385,,,"LINESTRING (118.7715393 32.0570277, 118.7715379 32.0570941)",driveway,
1684824293,1684824360,0,156205192,False,,service,False,6.929,,,"LINESTRING (118.7714064 32.0570297, 118.7714051 32.057092)",driveway,
1684824352,1684824448,0,156205176,False,,service,False,15.136,,,"LINESTRING (118.7710969 32.0570871, 118.7710939 32.0572232)",driveway,
1684824352,1684824356,0,156205176,False,,service,True,10.906,,,"LINESTRING (118.7710969 32.0570871, 118.7712126 32.057089)",driveway,
1684824352,1684824265,0,156205178,False,,service,False,6.751,,,"LINESTRING (118.7710969 32.0570871, 118.7710983 32.0570264)",driveway,
1684824356,1684824352,0,156205176,False,,service,False,10.906,,,"LINESTRING (118.7712126 32.057089, 118.7710969 32.0570871)",driveway,
1684824356,1684824360,0,156205176,False,,service,True,18.144,,,"LINESTRING (118.7712126 32.057089, 118.7714051 32.057092)",driveway,
1684824356,1684824266,0,156205186,False,,service,False,6.929,,,"LINESTRING (118.7712126 32.057089, 118.771214 32.0570267)",driveway,
1684824360,1684824356,0,156205176,False,,service,False,18.144,,,"LINESTRING (118.7714051 32.057092, 118.7712126 32.057089)",driveway,
1684824360,1684824362,0,156205176,False,,service,True,12.517,,,"LINESTRING (118.7714051 32.057092, 118.7715379 32.0570941)",driveway,
1684824360,1684824293,0,156205192,False,,service,True,6.929,,,"LINESTRING (118.7714051 32.057092, 118.7714064 32.0570297)",driveway,
