element_type,osmid,geometry,nodes,building,name,height,roof:colour,roof:shape,tourism,amenity,building:levels,leisure,sport,alt_name,historic,wikipedia,cuisine,fast_food,smoking,alt_name:en,loc_name,name:en,official_name,short_name,healthcare,power,voltage,atm,opening_hours,shop,layer,ways,type
way,88778622,"POLYGON ((118.7743307 32.0577758, 118.7743518 32.0576496, 118.7746805 32.057689, 118.7746717 32.0577422, 118.7750632 32.0577891, 118.7753946 32.0578289, 118.7754049 32.0577671, 118.775717 32.0578045, 118.775696 32.0579299, 118.7754036 32.0578949, 118.7753916 32.0579671, 118.7750405 32.0579249, 118.7746307 32.0578758, 118.774601 32.0578722, 118.7746115 32.0578095, 118.7743307 32.0577758))","[1030351490, 1030351556, 1030351471, 1030351476, 1683685569, 1030351461, 1030351465, 1030351488, 1030351501, 1030351482, 1030351468, 1683685581, 1984452117, 1030351462, 1030351478, 1030351490]",university,教学楼,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
way,88778623,"POLYGON ((118.7763032 32.0583306, 118.7763286 32.0581349, 118.7764786 32.0581489, 118.776474 32.0581839, 118.7768402 32.0582181, 118.7768235 32.0583464, 118.7764574 32.0583123, 118.7764532 32.0583446, 118.7763032 32.0583306))","[1030351487, 1030351560, 1984421611, 1984421612, 1030351485, 1030351516, 1984421614, 1984421626, 1030351487]",university,新教学楼,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
way,88779103,"POLYGON ((118.7745576 32.0600583, 118.7745869 32.0599127, 118.7744319 32.0599093, 118.774454 32.0596836, 118.774476 32.0594578, 118.7746648 32.0594638, 118.7750217 32.0595362, 118.7748961 32.0601099, 118.7745576 32.0600583))","[1030354716, 1683601332, 1683601328, 10806750272, 1683601313, 1030354686, 1030354690, 1030354669, 1030354716]",yes,吕志和游泳健身馆,,,,,,,stadium,swimming,,,,,,,,,,,,,,,,,,,,
way,88779104,"POLYGON ((118.7726421 32.0597133, 118.7721626 32.0597009, 118.7721546 32.0599218, 118.7726341 32.0599342, 118.7726421 32.0597133))","[1030354732, 1030354703, 1030354714, 1030354697, 1030354732]",university,逸夫管理科学楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779105,"POLYGON ((118.7721 32.0588529, 118.772543 32.0588641, 118.7727469 32.0588693, 118.772742 32.059008, 118.7722742 32.0589961, 118.7722093 32.059033, 118.7722057 32.0591357, 118.7720541 32.0591318, 118.772059 32.0589926, 118.772095 32.0589935, 118.7721 32.0588529))","[1030354664, 1984469035, 1030354710, 1030354675, 1030354724, 1030354698, 1030354665, 1030354708, 2024911741, 2024911743, 1030354664]",university,文科楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779106,"POLYGON ((118.7719767 32.0598046, 118.7720686 32.0598079, 118.7720744 32.05969, 118.7720313 32.0596884, 118.7720479 32.0593543, 118.7718591 32.0593443, 118.771823 32.0595884, 118.7718124 32.0598013, 118.7718757 32.0598035, 118.7718741 32.059836, 118.771975 32.0598396, 118.7719767 32.0598046))","[1030354734, 1684947701, 1684947698, 1684947695, 1030354666, 1030354694, 1030354687, 1030354704, 1684947699, 1684947703, 1030354707, 1030354734]",university,苏富特大楼,,,,,,,,,电子楼,,,,,,,,,,,,,,,,,,,
way,88779107,"POLYGON ((118.7718753 32.0606098, 118.771877 32.0604471, 118.7721996 32.0604494, 118.7722271 32.0604496, 118.7722279 32.0603714, 118.7722802 32.0603717, 118.7727806 32.0603754, 118.7727791 32.0605289, 118.7724452 32.0605265, 118.7724443 32.0606139, 118.7718753 32.0606098))","[1030354725, 1030354712, 1686027141, 1030354683, 1030354677, 1686027138, 1030354684, 1030354702, 1030354733, 1030354688, 1030354725]",university,化学楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779108,"POLYGON ((118.7740507 32.0602679, 118.7740616 32.0599906, 118.7745224 32.0600036, 118.7745115 32.0602809, 118.7740507 32.0602679))","[1030354701, 1030354731, 1030354736, 1030354711, 1030354701]",yes,体育馆,,,,,,,sports_centre,,,,,,,,,,,,,,,,,,,,,
way,88779109,"POLYGON ((118.7721793 32.0594465, 118.7721816 32.0592324, 118.7721822 32.0591839, 118.7723075 32.0591849, 118.7723084 32.0590995, 118.7725471 32.0591014, 118.7725463 32.0591797, 118.7726366 32.0591804, 118.7726337 32.05945, 118.7721793 32.0594465))","[1030354679, 1030354721, 1030354674, 1030354735, 1030354681, 1030354692, 1030354680, 1030354719, 1030354695, 1030354679]",university,田家炳楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779110,"POLYGON ((118.7723948 32.0584033, 118.7722631 32.0584026, 118.7722636 32.058334, 118.7722647 32.0581849, 118.7724144 32.0581857, 118.7726858 32.0581872, 118.7726852 32.0582596, 118.772767 32.05826, 118.7727659 32.0584053, 118.7726722 32.0584048, 118.7723948 32.0584033))","[1030354673, 1983333723, 1030354730, 1030354685, 1983333711, 1030354691, 1983333713, 1983333714, 1030354717, 1984469013, 1030354673]",university,逸夫馆Ⅱ区,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779111,"POLYGON ((118.7713689 32.0602794, 118.7713407 32.0599368, 118.7707338 32.0599727, 118.770762 32.0603153, 118.7713689 32.0602794))","[1030354693, 1030354720, 1030354715, 1030354670, 1030354693]",yes,安中楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779165,"POLYGON ((118.7740173 32.0570316, 118.7740685 32.0567905, 118.7744904 32.0568549, 118.7744634 32.0569819, 118.7742233 32.0569452, 118.774199 32.0570594, 118.7740173 32.0570316))","[1030356295, 1030356290, 1030356271, 1030356272, 1030356286, 1030356302, 1030356295]",yes,知行楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779166,"POLYGON ((118.7735609 32.0562673, 118.7737561 32.0562925, 118.7737178 32.0565051, 118.7739018 32.0565289, 118.7738751 32.0566772, 118.7734959 32.0566282, 118.7735477 32.0563405, 118.7735609 32.0562673))","[1030356304, 1030356294, 1030356283, 1030356275, 1030356307, 1030356276, 1683685507, 1030356304]",university,声学楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779167,"POLYGON ((118.7739694 32.05668, 118.7739873 32.0565559, 118.7744543 32.0566042, 118.7745105 32.0562141, 118.774387 32.0562013, 118.7744077 32.0560576, 118.7746667 32.0560844, 118.7746471 32.0562204, 118.7746424 32.0562528, 118.7746128 32.0564584, 118.7745861 32.0566438, 118.7745479 32.0566398, 118.7745337 32.0567384, 118.7739694 32.05668))","[1030356303, 1030356285, 1030356274, 1030357720, 1030356278, 1030357713, 1030357719, 1030357735, 1030356306, 1683871111, 1030356277, 1030356284, 1030356281, 1030356303]",university,物理楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779168,"POLYGON ((118.7740881 32.0560241, 118.7743591 32.0560573, 118.7743339 32.056205, 118.7740629 32.0561718, 118.7740881 32.0560241))","[1030356280, 1030356288, 1030356282, 1030356267, 1030356280]",university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88779169,"POLYGON ((118.7747653 32.0569331, 118.7747697 32.056847, 118.7749317 32.0568529, 118.7749253 32.0569789, 118.7748284 32.0569753, 118.7748304 32.0569355, 118.7747653 32.0569331))","[1030356297, 1030356301, 1030356269, 1030356299, 1030356287, 1030356270, 1030356297]",yes,何应钦公馆旧址,,,,,,,,,斗鸡闸,ruins,zh:南京何应钦公馆旧址,,,,,,,,,,,,,,,,,
way,88779170,"POLYGON ((118.7737793 32.0571111, 118.7738087 32.0569286, 118.7733152 32.0568716, 118.773284 32.0570654, 118.7734901 32.0570893, 118.7734595 32.0572794, 118.7734334 32.0574416, 118.7732247 32.0574174, 118.7731926 32.0576168, 118.7737239 32.0576783, 118.7737528 32.057499, 118.7736504 32.0574872, 118.77368 32.0573033, 118.7737122 32.0571033, 118.7737793 32.0571111))","[1030356291, 1030356289, 1030356268, 1030356305, 1030356266, 1683685541, 1030356279, 1030356292, 1030356293, 1030356273, 1030356298, 1030356300, 1683685552, 1030356296, 1030356291]",yes,西南楼;生命科学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978634,"POLYGON ((118.7763543 32.0534354, 118.7763803 32.0532573, 118.7767854 32.0532997, 118.7769111 32.0533128, 118.7768851 32.0534909, 118.7766714 32.0534686, 118.7764465 32.053445, 118.7763543 32.0534354))","[1155818311, 1155818447, 1685988958, 1155818406, 1155818455, 1683882106, 1683882103, 1155818311]",dormitory,陶园2舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978637,"POLYGON ((118.7750339 32.0531771, 118.7750532 32.0530433, 118.7755525 32.0530951, 118.7755331 32.0532289, 118.7750339 32.0531771))","[1155818404, 1155818354, 1155818398, 1155818340, 1155818404]",yes,外教公寓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978638,"POLYGON ((118.7750664 32.0528977, 118.7750904 32.0527385, 118.7755849 32.0527921, 118.7755609 32.0529513, 118.7750664 32.0528977))","[1155818279, 1155818353, 1155818305, 1155818368, 1155818279]",yes,南苑宾馆,,,,guest_house,,,,,,,,,,,,,,,,,,,,,,,,
way,99978639,"POLYGON ((118.7742265 32.0550505, 118.7742476 32.0549181, 118.7749209 32.0549948, 118.7748999 32.0551273, 118.7742265 32.0550505))","[1155818320, 1155818289, 1155818362, 1155818384, 1155818320]",dormitory,南园14舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978640,"POLYGON ((118.7769811 32.0540061, 118.7769959 32.0538739, 118.7772154 32.0538915, 118.7772188 32.0538612, 118.7776874 32.0538987, 118.7776652 32.0540989, 118.7775633 32.0540908, 118.777569 32.0540394, 118.7773205 32.0540195, 118.777312 32.0540958, 118.7771955 32.0540865, 118.7772024 32.0540238, 118.7769811 32.0540061))","[1155818423, 1155818369, 1155818441, 1155818352, 1155818425, 1155818264, 1166322388, 1166322387, 1166322386, 1166322384, 1166322383, 1166322385, 1155818423]",dormitory,陶园1舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978642,"POLYGON ((118.7768028 32.0550081, 118.7768251 32.0548783, 118.7774935 32.054961, 118.7774711 32.0550908, 118.7768028 32.0550081))","[1155818434, 1155818316, 1155818292, 1155818417, 1155818434]",dormitory,南园6舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978643,"POLYGON ((118.7743117 32.054674, 118.774336 32.0545188, 118.7749842 32.0545914, 118.77496 32.0547467, 118.7743117 32.054674))","[1155818268, 1155818409, 1155818274, 1155818402, 1155818268]",dormitory,南园13舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978644,"POLYGON ((118.7751132 32.0525309, 118.775133 32.0523742, 118.7756388 32.05242, 118.7756191 32.0525766, 118.7751132 32.0525309))","[1155818391, 1155818397, 1155818262, 1155818281, 1155818391]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978645,"POLYGON ((118.7753406 32.053809, 118.7754315 32.0532996, 118.7761514 32.0533919, 118.7760605 32.0539013, 118.7753406 32.053809))","[1155818295, 1155818379, 1155818394, 1155818403, 1155818295]",yes,食堂,,,,,restaurant,,,,,,,chinese,cafeteria,no,,,,,,,,,,,,,,
