element_type,osmid,geometry,nodes,building,building:levels,name,name:en,sport,tourism,wheelchair,leisure,amenity,roof:levels,addr:housenumber,addr:street,addr:city,addr:postcode,name:zh,operator,opening_hours,source,library,ways,type
way,193057316,"POLYGON ((121.4935867 31.3015167, 121.4936223 31.3014294, 121.4944073 31.301663, 121.4943717 31.3017503, 121.4935867 31.3015167))","[2035903717, 2035903710, 2035903728, 2035903735, 2035903717]",apartments,,,,,,,,,,,,,,,,,,,,
way,193057317,"POLYGON ((121.4920774 31.3027548, 121.4926035 31.3025111, 121.4925359 31.3024045, 121.4920097 31.3026482, 121.4920774 31.3027548))","[2035903790, 2035903782, 2035903776, 2035903787, 2035903790]",apartments,,,,,,,,,,,,,,,,,,,,
way,193057318,"POLYGON ((121.492698 31.3018842, 121.4927336 31.3017969, 121.4936477 31.302069, 121.4936121 31.3021563, 121.492698 31.3018842))","[2035903748, 2035903740, 2035903758, 2035903763, 2035903748]",apartments,,,,,,,,,,,,,,,,,,,,
way,193057319,"POLYGON ((121.4929891 31.3012384, 121.4935637 31.3014118, 121.4935281 31.3014991, 121.4929536 31.3013245, 121.4927588 31.3013214, 121.4927607 31.3012348, 121.4929891 31.3012384))","[2035903700, 2035903708, 2035903713, 2035903703, 2035903702, 2035903699, 2035903700]",apartments,,,,,,,,,,,,,,,,,,,,
way,193057320,"POLYGON ((121.4915692 31.301691, 121.4917437 31.3015991, 121.4916656 31.3014908, 121.4914648 31.3015965, 121.4910701 31.3019532, 121.4911807 31.3020425, 121.4915692 31.301691))","[2035903731, 2035903723, 2035903712, 2035903722, 2035903751, 2035903757, 2035903731]",apartments,,,,,,,,,,,,,,,,,,,,
way,193057321,"POLYGON ((121.491956 31.3020004, 121.4914827 31.3023322, 121.4915795 31.3024325, 121.4920403 31.30211, 121.4925613 31.3019434, 121.4925088 31.3018237, 121.491956 31.3020004))","[2035903755, 2035903773, 2035903780, 2035903760, 2035903750, 2035903743, 2035903755]",apartments,,,,,,,,,,,,,,,,,,,,
way,193057322,"POLYGON ((121.4921392 31.3017177, 121.4925493 31.301637, 121.4925161 31.3015138, 121.4920679 31.301602, 121.4917656 31.3017565, 121.4918439 31.3018683, 121.4921392 31.3017177))","[2035903733, 2035903726, 2035903716, 2035903725, 2035903736, 2035903745, 2035903733]",apartments,,,,,,,,,,,,,,,,,,,,
way,193057323,"POLYGON ((121.4920316 31.3013046, 121.4917293 31.3014587, 121.4918075 31.3015708, 121.4921029 31.3014203, 121.4925364 31.301339, 121.4925047 31.3012157, 121.4920316 31.3013046))","[2035903701, 2035903711, 2035903720, 2035903709, 2035903704, 2035903698, 2035903701]",apartments,,,,,,,,,,,,,,,,,,,,
way,193057324,"POLYGON ((121.492196 31.302376, 121.4925942 31.3022609, 121.4925467 31.3021408, 121.4921118 31.3022666, 121.4916924 31.3025625, 121.4917892 31.3026627, 121.492196 31.302376))","[2035903775, 2035903768, 2035903762, 2035903769, 2035903785, 2035903788, 2035903775]",apartments,,,,,,,,,,,,,,,,,,,,
way,244262924,"POLYGON ((121.4967086 31.3005022, 121.4967769 31.3003419, 121.4971959 31.3004723, 121.4971734 31.3005252, 121.4972826 31.3005592, 121.4972369 31.3006665, 121.4967086 31.3005022))","[2516014078, 2516014081, 3064797835, 3064797735, 2516014084, 2516014086, 2516014078]",yes,5,第四教学楼,,,,limited,,,,,,,,,,,,,,
