u,v,key,osmid,name,highway,oneway,reversed,length,geometry,tunnel
667526459,850250032,0,52531396,,service,False,True,92.957,"LINESTRING (121.5023685 31.3005824, 121.5014412 31.3003158)",
667526459,667526480,0,301674306,,service,False,False,40.639,"LINESTRING (121.5023685 31.3005824, 121.5025017 31.3002351)",
667526459,667526466,0,301674306,,service,False,True,47.416,"LINESTRING (121.5023685 31.3005824, 121.5022037 31.3009849)",
667526464,667438062,0,52509361,光华大道,service,False,False,92.097,"LINESTRING (121.5012815 31.300704, 121.5003684 31.300426)",
667526464,667526466,0,52509361,光华大道,service,False,True,93.02,"LINESTRING (121.5012815 31.300704, 121.5022037 31.3009849)",
667526464,850250032,0,52531401,,service,False,False,45.755,"LINESTRING (121.5012815 31.300704, 121.5014412 31.3003158)",
667526466,667526464,0,52509361,光华大道,service,False,False,93.02,"LINESTRING (121.5022037 31.3009849, 121.5012815 31.300704)",
667526466,667339614,0,52509361,光华大道,service,False,True,89.455,"LINESTRING (121.5022037 31.3009849, 121.5030926 31.3012501)",
667526466,667526459,0,301674306,,service,False,False,47.416,"LINESTRING (121.5022037 31.3009849, 121.5023685 31.3005824)",
667526466,667526688,0,301674306,,service,False,True,93.458,"LINESTRING (121.5022037 31.3009849, 121.5019072 31.3017863)",
667526477,3067824737,0,52519781,,service,False,False,27.057,"LINESTRING (121.5006578 31.2996914, 121.5005645 31.2999213)",
667526477,667340958,0,52519781,,service,False,True,7.396,"LINESTRING (121.5006578 31.2996914, 121.5006817 31.2996281)",
667526477,667526479,0,52531398,望道路,service,False,False,93.98,"LINESTRING (121.5006578 31.2996914, 121.5015944 31.2999632)",
667526479,667526480,0,52531398,望道路,service,False,False,91.352,"LINESTRING (121.5015944 31.2999632, 121.5025017 31.3002351)",
667526479,667526477,0,52531398,望道路,service,False,True,93.98,"LINESTRING (121.5015944 31.2999632, 121.5006578 31.2996914)",
667526479,850250032,0,52531401,,service,False,True,41.822,"LINESTRING (121.5015944 31.2999632, 121.5014412 31.3003158)",
667526480,667526479,0,52531398,望道路,service,False,True,91.352,"LINESTRING (121.5025017 31.3002351, 121.5015944 31.2999632)",
667526480,1875128773,0,301674306,,service,False,False,58.905,"LINESTRING (121.5025017 31.3002351, 121.5027011 31.2997335)",
667526480,667526459,0,301674306,,service,False,True,40.639,"LINESTRING (121.5025017 31.3002351, 121.5023685 31.3005824)",
667526480,667339614,0,"[52531456, 52531398]",望道路,service,False,"[False, True]",177.664,"LINESTRING (121.5025017 31.3002351, 121.5033539 31.3004823, 121.5033834 31.3004977, 121.5033939 31.3005205, 121.5033916 31.3005488, 121.5030926 31.3012501)",
