u,v,key,osmid,oneway,name,highway,reversed,length,bridge,geometry
2784758216,2784758217,0,273640484,False,行健西路,unclassified,False,151.791,,"LINESTRING (117.1414641 34.2206176, 117.1404956 34.2195121)"
2784758216,4535621136,0,"[273640273, 273640484, 968464102, 968464103]",False,"['行健西路', '行健北路']",unclassified,True,178.28699999999998,yes,"LINESTRING (117.1414641 34.2206176, 117.1417429 34.2205829, 117.1420883 34.2205183, 117.1426772 34.2203994, 117.1433659 34.2203118)"
2784758216,8602624211,0,927170628,False,,service,False,785.1320000000001,,"LINESTRING (117.1414641 34.2206176, 117.1411597 34.2206813, 117.140599 34.2211322, 117.1403956 34.2214074, 117.140183 34.2215067, 117.1399489 34.2215526, 117.139776 34.221493, 117.1394744 34.2215042, 117.1379277 34.2219526, 117.1378291 34.2219602, 117.1377028 34.2218965, 117.1374748 34.2217589, 117.1369418 34.2212978, 117.1369233 34.2212036, 117.1367908 34.2210532, 117.1368247 34.2209004, 117.1362886 34.2203909, 117.1377285 34.2195056)"
2784758217,4535620587,0,273640484,False,行健西路,unclassified,False,53.339,,"LINESTRING (117.1404956 34.2195121, 117.1401383 34.2191342)"
2784758217,2784758216,0,273640484,False,行健西路,unclassified,True,151.791,,"LINESTRING (117.1404956 34.2195121, 117.1414641 34.2206176)"
2784758217,4535620590,0,"[457409380, 457409381, 457409382]",False,,pedestrian,False,71.843,yes,"LINESTRING (117.1404956 34.2195121, 117.1405854 34.2194544, 117.1410133 34.2191799, 117.1411129 34.219116)"
2784758219,8602650565,0,273640484,False,行健西路,unclassified,False,49.712,,"LINESTRING (117.1381103 34.2169958, 117.1377981 34.2166308)"
2784758219,4535621039,0,273640484,False,行健西路,unclassified,True,58.681,,"LINESTRING (117.1381103 34.2169958, 117.1385053 34.2174103)"
2784758219,4535621021,0,457409411,False,,service,False,32.867,,"LINESTRING (117.1381103 34.2169958, 117.1378253 34.2171742)"
2784758219,4535621182,0,1182220167,False,,steps,False,50.41,,"LINESTRING (117.1381103 34.2169958, 117.1385553 34.216731)"
2784758224,8602624151,0,273640484,False,行健西路,unclassified,True,45.533,,"LINESTRING (117.1361124 34.2160325, 117.1365942 34.2161271)"
2784758224,8602650572,0,927170647,False,,steps,True,31.551,,"LINESTRING (117.1361124 34.2160325, 117.1359035 34.2162576)"
2784758224,2784758225,0,273640484,False,行健西路,unclassified,False,42.126000000000005,,"LINESTRING (117.1361124 34.2160325, 117.1359293 34.2159391, 117.1357722 34.2157858)"
2784758225,10978707306,0,273640484,False,行健西路,unclassified,False,90.203,,"LINESTRING (117.1357722 34.2157858, 117.1355056 34.2155168, 117.1353561 34.2152773, 117.1353234 34.2150853)"
2784758225,2784758224,0,273640484,False,行健西路,unclassified,True,42.126000000000005,,"LINESTRING (117.1357722 34.2157858, 117.1359293 34.2159391, 117.1361124 34.2160325)"
2784758225,4535620340,0,273640735,False,学苑西路,unclassified,False,80.924,,"LINESTRING (117.1357722 34.2157858, 117.1354818 34.2159347, 117.1350528 34.2162037)"
2784758231,8602650527,0,273640539,False,行健西路,unclassified,False,121.786,,"LINESTRING (117.1352721 34.2117708, 117.1352502 34.2106757)"
2784758231,4535621079,0,273640484,False,行健西路,unclassified,True,104.652,,"LINESTRING (117.1352721 34.2117708, 117.1352627 34.2123037, 117.1352627 34.2127119)"
2784758231,10978707322,0,"[835732969, 835732970, 273640518]",False,行健南路,unclassified,False,303.216,yes,"LINESTRING (117.1352721 34.2117708, 117.1373669 34.2117807, 117.1376547 34.2117767, 117.1385278 34.2117863, 117.1385694 34.2117868)"
2784758231,8602650534,0,"[968461481, 968461482, 927170638]",False,,footway,True,111.785,,"LINESTRING (117.1352721 34.2117708, 117.1350921 34.2116943, 117.1347168 34.2116991, 117.1346394 34.2117011, 117.134079 34.2117089)"
2784758657,8602624170,0,"[273640238, 273640518]",False,"['行健南路', '行健东路']",unclassified,"[False, True]",284.255,,"LINESTRING (117.1396603 34.2119097, 117.1401125 34.2120648, 117.1408946 34.2124999, 117.1414557 34.2130446, 117.1416142 34.2132934, 117.1418034 34.2136345)"
2784758657,8602624165,0,273640518,False,行健南路,unclassified,True,82.526,,"LINESTRING (117.1396603 34.2119097, 117.1389654 34.2117911, 117.1387775 34.211789)"
2784758657,8647689381,0,932901057,False,,path,False,221.914,,"LINESTRING (117.1396603 34.2119097, 117.1397038 34.2117735, 117.1396921 34.2115649, 117.1396314 34.2114298, 117.1397785 34.2112598, 117.1400657 34.2112116, 117.1404696 34.2109876, 117.1405514 34.2108775, 117.1408339 34.210696, 117.1408736 34.2105975, 117.1407825 34.2105048)"
2784759582,8602650521,0,273640666,False,学苑南路,unclassified,False,63.781000000000006,,"LINESTRING (117.1346779 34.2095595, 117.1345774 34.2095096, 117.134189 34.2096536, 117.1340595 34.2097174)"
2784759582,8602650527,0,"[273640666, 273640539]",False,"['行健西路', '学苑南路']",unclassified,True,136.71099999999998,,"LINESTRING (117.1346779 34.2095595, 117.1350864 34.2102296, 117.1352463 34.2104788, 117.1352502 34.2106757)"
2784759590,8602650520,0,457409419,False,,unclassified,False,79.981,,"LINESTRING (117.1325162 34.2127106, 117.133386 34.212711)"
2784759590,8602650536,0,273640666,False,学苑南路,unclassified,False,96.542,,"LINESTRING (117.1325162 34.2127106, 117.1323867 34.212987, 117.1323675 34.2135135, 117.1323702 34.2135585)"
2784759590,8602650531,0,273640666,False,学苑南路,unclassified,True,85.963,,"LINESTRING (117.1325162 34.2127106, 117.1326788 34.2124179, 117.1327454 34.2121381, 117.1327441 34.2119723)"
2784759596,4535621064,0,273640666,False,学苑南路,unclassified,True,109.83000000000001,,"LINESTRING (117.1343202 34.2166777, 117.1340417 34.216382, 117.1337203 34.2160054, 117.1336086 34.2158847)"
2784759596,8602650577,0,273640722,False,学苑北路,unclassified,False,118.265,,"LINESTRING (117.1343202 34.2166777, 117.1346913 34.2170631, 117.135119 34.2175113)"
