element_type,osmid,nodes,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,natural,water,intermittent,salt,tidal,ways,type
way,659826163,"[6177640621, 6177640620, 6177640619, 6177640618, 6177640617, 6177640616, 6177640615, 6177640614, 6177640613, 6177640612, 9751795233, 6177640611, 6177640610, 6177640609, 6177640608, 6177640607, 6177640606, 6177640605, 6177640604, 6177640603, 6177640602, 6177640601, 6177640600, 6177640599, 6177640598, 6177640597, 6177640596, 6177640595, 6177640594, 6177640593, 6177640591, 6177640590, 6177640621]",荷塘,荷塘,荷塘,荷塘,"POLYGON ((116.3158178 40.0022363, 116.316027 40.0022117, 116.316306 40.0022014, 116.3165179 40.0022302, 116.3166279 40.0022733, 116.3166869 40.0022877, 116.3167942 40.0022548, 116.3169524 40.0022302, 116.3170409 40.0022384, 116.3171609 40.0022276, 116.3172121 40.0021603, 116.31723 40.0021367, 116.3171992 40.002034, 116.3170503 40.0019805, 116.3170288 40.0019692, 116.3169638 40.0019548, 116.316833 40.0019548, 116.316713 40.0019456, 116.3166372 40.0019723, 116.3165829 40.0019929, 116.3164756 40.0019846, 116.3164475 40.0019692, 116.3164079 40.0019626, 116.3163871 40.0019759, 116.3163261 40.0019692, 116.3162416 40.00196, 116.3160901 40.001962, 116.3159721 40.00196, 116.315893 40.0019395, 116.3157629 40.0019549, 116.3156958 40.0020319, 116.3157414 40.0022127, 116.3158178 40.0022363))",water,pond,,,,,
way,993288489,"[9176648423, 9176648424, 9176648425, 9176648426, 9176648427, 9176648428, 9176648429, 974490965, 9176648430, 9176648431, 9176648432, 9176648433, 9176648434, 9176648435, 9176648436, 9176648437, 9176648438, 9176648439, 9176648440, 9176648441, 9176648442, 9176648443, 9176648444, 9176648445, 9176648446, 9176648447, 9176648423]",,,,,"POLYGON ((116.3186846 39.9995235, 116.3194873 39.999626, 116.3199189 39.9996126, 116.3200128 39.9996297, 116.3200526 39.9996516, 116.3201705 39.9999322, 116.3204635 40.000591, 116.3205071 40.0005899, 116.3205447 40.0005703, 116.3202151 39.9998017, 116.3201259 39.9996285, 116.3200781 39.9995919, 116.3199841 39.9995626, 116.3199061 39.9995577, 116.3195701 39.9995443, 116.3194984 39.9995406, 116.3183136 39.9994247, 116.3182148 39.9994064, 116.317933 39.9993759, 116.3178406 39.9993344, 116.3175683 39.9991917, 116.3168086 39.9988098, 116.3168007 39.9988721, 116.3177148 39.9993454, 116.317796 39.9993991, 116.3179266 39.9994516, 116.3186846 39.9995235))",water,river,,,,,
way,1013335980,"[9348838089, 9348838091, 9348838092, 9348838094, 9348838096, 9348838097, 9348838098, 9348838099, 9348838100, 9348838101, 9348838102, 9348838103, 9348838106, 9348838107, 9348838108, 9348838109, 9348838110, 9348838112, 9348838113, 9348838114, 9348838115, 9348838116, 9348893117, 9348893118, 9348893120, 9348893121, 9348893122, 9348893123, 9348893124, 9348893125, 9348893126, 9348893127, 9348893128, 9348893129, 9348893130, 9348893131, 9348838089]",光阴湖,光阴湖,光阴湖,光陰湖,"POLYGON ((116.3135171 40.008086, 116.3135722 40.0080919, 116.3135869 40.0081129, 116.3136431 40.0080899, 116.3136497 40.0080467, 116.3136982 40.0080296, 116.3137271 40.0080507, 116.3137179 40.0080789, 116.3137179 40.0080939, 116.3137389 40.0081, 116.3137651 40.0080839, 116.3138045 40.0080789, 116.3138609 40.008101, 116.3138806 40.0080869, 116.3138977 40.0080939, 116.3139095 40.0081161, 116.3139462 40.0081321, 116.3141136 40.0081411, 116.3141009 40.0082797, 116.3144044 40.0082961, 116.3144474 40.0078292, 116.3141368 40.0078123, 116.3141233 40.0079581, 116.3139777 40.0079502, 116.3139049 40.0079206, 116.3138872 40.0079462, 116.3138872 40.0079723, 116.3138688 40.0079814, 116.3138373 40.0079824, 116.3138045 40.0079593, 116.3137914 40.0079572, 116.3137691 40.0079904, 116.313735 40.0079854, 116.3137048 40.0079693, 116.3136982 40.0079492, 116.3135453 40.0079327, 116.3135171 40.008086))",water,lake,yes,no,yes,,
way,1059173089,"[9731817446, 9731817445, 9731817444, 9731817443, 9731817442, 9731817441, 9731817440, 9731817439, 9731817438, 9731817437, 9731817436, 9731817435, 9731817434, 9731817446]",中水池,中水池,中水池,中水池,"POLYGON ((116.3152361 39.9991916, 116.3152141 39.9991796, 116.3152019 39.9991611, 116.3152023 39.9991405, 116.3152152 39.9991223, 116.3152376 39.9991108, 116.3152644 39.9991087, 116.3152895 39.9991163, 116.3153071 39.9991319, 116.3153132 39.9991521, 116.3153063 39.999172, 116.3152881 39.9991873, 116.3152628 39.9991943, 116.3152361 39.9991916))",water,pond,,,,,
way,1150459877,"[10702077804, 10702086205, 10702086206, 10702086207, 10702086208, 10702086209, 10702086210, 10702086211, 10702086212, 10702077804]",,,,,"POLYGON ((116.3273452 40.0072277, 116.3272845 40.0072093, 116.3271934 40.0071526, 116.3271731 40.0070716, 116.3271889 40.0069924, 116.327251 40.0069705, 116.3273218 40.0069861, 116.3273981 40.0070642, 116.3274054 40.0071824, 116.3273452 40.0072277))",water,pond,,,,,
relation,1260420,"[[[974489960, 974489974, 380418489, 974489975, 974489976, 980076607, 974489977, 974489978, 9736393931, 9736393930, 9736393932, 380418490, 380418491, 984042490, 380418492, 380418464, 380418465, 974489939, 974489941, 380418466, 380418468, 980112191, 380418469, 980112195, 380418471, 980112196, 380418472, 380418474, 380418475, 974489947, 974489948, 974489950, 9731817462, 380418476, 974489952, 974489954, 974489956, 380418477, 980076643, 980076646, 974489958, 974489959, 974489960], [974489961, 974489962, 380418478, 974489963, 380418480, 984042518, 380418481, 984042437, 974489967, 380418483, 980084664, 380418484, 380418485, 380418486, 974489971, 380418487, 974489961]]]",,,,,"POLYGON ((116.3144239 40.0000228, 116.3135012 39.9999981, 116.3133617 40.0000557, 116.3127954 40.0000462, 116.3127095 39.9999887, 116.3127716 39.9998666, 116.3129182 39.9998289, 116.3129564 39.9997834, 116.3129607 39.9996576, 116.3130447 39.9995688, 116.3130492 39.9994906, 116.3127545 39.9993609, 116.3126831 39.9994439, 116.3125474 39.9994822, 116.312478 39.9996552, 116.3124618 39.9998789, 116.3126109 40.0000233, 116.3125714 40.0002884, 116.3126681 40.0010278, 116.3129593 40.0012078, 116.3134046 40.0013686, 116.3137073 40.0014179, 116.3140507 40.0014023, 116.3143725 40.0013366, 116.3145308 40.0013242, 116.3147587 40.0012376, 116.314853 40.0007953, 116.3149067 40.0000639, 116.3148852 39.9997351, 116.3147779 39.9996036, 116.3147203 39.9994577, 116.3147822 39.9993938, 116.3147694 39.9993369, 116.3146439 39.9993139, 116.3145741 39.9994475, 116.3145428 39.9995408, 116.3145764 39.9996928, 116.3145764 39.9998819, 116.3146729 40.000038, 116.3147299 40.0001043, 116.3147643 40.0002188, 116.3146407 40.0002517, 116.3144239 40.0000228), (116.3146492 40.0004255, 116.3146277 40.0006227, 116.314381 40.0009844, 116.3140055 40.0011816, 116.3137897 40.0012278, 116.3135679 40.0012297, 116.3133498 40.0012, 116.3131408 40.0011008, 116.3129778 40.0009257, 116.3129134 40.0006955, 116.3130315 40.0005353, 116.3130512 40.0001969, 116.3136966 40.0002024, 116.3137824 40.0002517, 116.3142974 40.0002599, 116.3145227 40.0003092, 116.3146492 40.0004255))",water,,,,,"[33431763, 84273822]",multipolygon
